"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25091216040000","Petro-Hunt, LLC","Addie Grandlund  1","Oil","P&A - Approved","Sheridan","Katy Lake, North","32N-57E","14",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-091-21604-00-00","6/30/2025 12:00:00 AM","Madison","3903","0","0","0","0",
"25-091-21604-00-00","5/31/2025 12:00:00 AM","Madison","3903","0","0","0","0",
"25-091-21604-00-00","4/30/2025 12:00:00 AM","Madison","3903","0","0","0","0",
"25-091-21604-00-00","3/31/2025 12:00:00 AM","Madison","3903","0","0","0","0",
"25-091-21604-00-00","2/28/2025 12:00:00 AM","Madison","3903","0","0","0","0",
"25-091-21604-00-00","1/31/2025 12:00:00 AM","Madison","3903","0","0","0","0",
"25-091-21604-00-00","12/31/2024 12:00:00 AM","Madison","3903","-46","0","0","0",
"25-091-21604-00-00","11/30/2024 12:00:00 AM","Madison","3903","0","0","0","0",
"25-091-21604-00-00","10/31/2024 12:00:00 AM","Madison","3903","0","0","0","0",
"25-091-21604-00-00","9/30/2024 12:00:00 AM","Madison","3903","0","0","0","0",
"25-091-21604-00-00","8/31/2024 12:00:00 AM","Madison","3903","0","0","0","0",
"25-091-21604-00-00","7/31/2024 12:00:00 AM","Madison","3903","0","0","0","0",
"25-091-21604-00-00","6/30/2024 12:00:00 AM","Madison","3903","0","0","0","0",
"25-091-21604-00-00","5/31/2024 12:00:00 AM","Madison","3903","0","0","0","0",
"25-091-21604-00-00","4/30/2024 12:00:00 AM","Madison","3903","-59","3","56","1",
"25-091-21604-00-00","3/31/2024 12:00:00 AM","Madison","3903","0","3","0","1",
"25-091-21604-00-00","2/29/2024 12:00:00 AM","Madison","3903","0","3","0","1",
"25-091-21604-00-00","1/31/2024 12:00:00 AM","Madison","3903","0","3","0","0",
"25-091-21604-00-00","12/31/2023 12:00:00 AM","Madison","3903","0","0","0","0",
"25-091-21604-00-00","11/30/2023 12:00:00 AM","Madison","3903","0","0","0","0",
"25-091-21604-00-00","10/31/2023 12:00:00 AM","Madison","3903","71","33","3366","12",
"25-091-21604-00-00","9/30/2023 12:00:00 AM","Madison","3903","456","81","10058","30",
"25-091-21604-00-00","8/31/2023 12:00:00 AM","Madison","3903","458","82","9150","30",
"25-091-21604-00-00","7/31/2023 12:00:00 AM","Madison","3903","219","40","6094","15",
