"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25101234700000","Keesun Corporation","Abracadabra  1","Oil","Producing","Toole","Kevin-Sunburst","34N-2W","19",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-101-23470-00-00","5/31/2025 12:00:00 AM","Madison","4882","2","0","0","31",
"25-101-23470-00-00","4/30/2025 12:00:00 AM","Madison","4882","3","0","0","30",
"25-101-23470-00-00","3/31/2025 12:00:00 AM","Madison","4882","2","0","0","11",
"25-101-23470-00-00","2/28/2025 12:00:00 AM","Madison","4882","3","0","0","9",
"25-101-23470-00-00","1/31/2025 12:00:00 AM","Madison","4882","3","0","0","9",
"25-101-23470-00-00","12/31/2024 12:00:00 AM","Madison","4882","4","0","0","0",
"25-101-23470-00-00","11/30/2024 12:00:00 AM","Madison","4882","0","0","0","0",
"25-101-23470-00-00","10/31/2024 12:00:00 AM","Madison","4882","4","0","0","7",
"25-101-23470-00-00","9/30/2024 12:00:00 AM","Madison","4882","0","0","0","0",
"25-101-23470-00-00","8/31/2024 12:00:00 AM","Madison","4882","0","0","0","5",
"25-101-23470-00-00","7/31/2024 12:00:00 AM","Madison","4882","12","0","0","31",
"25-101-23470-00-00","6/30/2024 12:00:00 AM","Madison","4882","12","0","0","30",
"25-101-23470-00-00","5/31/2024 12:00:00 AM","Madison","4882","4","0","0","31",
"25-101-23470-00-00","4/30/2024 12:00:00 AM","Madison","4882","4","0","0","31",
"25-101-23470-00-00","3/31/2024 12:00:00 AM","Madison","4882","4","0","0","31",
"25-101-23470-00-00","2/29/2024 12:00:00 AM","Madison","4882","4","0","0","29",
"25-101-23470-00-00","1/31/2024 12:00:00 AM","Madison","4882","4","0","0","31",
"25-101-23470-00-00","12/31/2023 12:00:00 AM","Madison","4882","4","0","0","31",
"25-101-23470-00-00","11/30/2023 12:00:00 AM","Madison","4882","4","0","0","30",
"25-101-23470-00-00","10/31/2023 12:00:00 AM","Madison","4882","8","0","0","31",
"25-101-23470-00-00","9/30/2023 12:00:00 AM","Madison","4882","8","0","0","31",
"25-101-23470-00-00","8/31/2023 12:00:00 AM","Madison","4882","8","0","0","31",
"25-101-23470-00-00","7/31/2023 12:00:00 AM","Madison","4882","8","0","0","31",
"25-101-23470-00-00","6/30/2023 12:00:00 AM","Madison","4882","8","0","0","30",
"25-101-23470-00-00","5/31/2023 12:00:00 AM","Madison","4882","8","0","0","31",
"25-101-23470-00-00","4/30/2023 12:00:00 AM","Madison","4882","7","0","0","30",
"25-101-23470-00-00","3/31/2023 12:00:00 AM","Madison","4882","3","0","0","31",
"25-101-23470-00-00","2/28/2023 12:00:00 AM","Madison","4882","4","0","0","28",
"25-101-23470-00-00","1/31/2023 12:00:00 AM","Madison","4882","3","0","0","31",
"25-101-23470-00-00","12/31/2022 12:00:00 AM","Madison","4882","4","0","0","15",
"25-101-23470-00-00","11/30/2022 12:00:00 AM","Madison","4882","4","0","0","18",
"25-101-23470-00-00","10/31/2022 12:00:00 AM","Madison","4882","8","0","0","31",
"25-101-23470-00-00","9/30/2022 12:00:00 AM","Madison","4882","8","0","0","30",
