"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25005222580000","NorthWestern Corporation","Boggess  2-13","Gas","Shut In","Blaine","Sherard","25N-17E","2",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-005-22258-00-00","7/31/2025 12:00:00 AM","Eagle","4012","0","0","0","0",
"25-005-22258-00-00","7/31/2025 12:00:00 AM","Judith River","4012","0","0","0","0",
"25-005-22258-00-00","6/30/2025 12:00:00 AM","Judith River","4012","0","0","0","0",
"25-005-22258-00-00","6/30/2025 12:00:00 AM","Eagle","4012","0","0","0","0",
"25-005-22258-00-00","5/31/2025 12:00:00 AM","Eagle","4012","0","0","0","0",
"25-005-22258-00-00","5/31/2025 12:00:00 AM","Judith River","4012","0","0","0","0",
"25-005-22258-00-00","4/30/2025 12:00:00 AM","Judith River","4012","0","0","0","0",
"25-005-22258-00-00","4/30/2025 12:00:00 AM","Eagle","4012","0","0","0","0",
"25-005-22258-00-00","3/31/2025 12:00:00 AM","Judith River","4012","0","0","0","0",
"25-005-22258-00-00","3/31/2025 12:00:00 AM","Eagle","4012","0","0","0","0",
"25-005-22258-00-00","2/28/2025 12:00:00 AM","Eagle","4012","0","0","0","0",
"25-005-22258-00-00","2/28/2025 12:00:00 AM","Judith River","4012","0","0","0","0",
"25-005-22258-00-00","1/31/2025 12:00:00 AM","Judith River","4012","0","0","0","0",
"25-005-22258-00-00","1/31/2025 12:00:00 AM","Eagle","4012","0","0","0","0",
"25-005-22258-00-00","12/31/2024 12:00:00 AM","Eagle","4012","0","0","0","0",
"25-005-22258-00-00","12/31/2024 12:00:00 AM","Judith River","4012","0","0","0","0",
"25-005-22258-00-00","11/30/2024 12:00:00 AM","Judith River","4012","0","0","0","0",
"25-005-22258-00-00","11/30/2024 12:00:00 AM","Eagle","4012","0","0","0","0",
"25-005-22258-00-00","10/31/2024 12:00:00 AM","Eagle","4012","0","0","0","0",
"25-005-22258-00-00","10/31/2024 12:00:00 AM","Judith River","4012","0","0","0","0",
"25-005-22258-00-00","9/30/2024 12:00:00 AM","Judith River","4012","0","0","0","0",
"25-005-22258-00-00","9/30/2024 12:00:00 AM","Eagle","4012","0","0","0","0",
