"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25005237250000","Citation Oil & Gas Corp.","Bowes Sawtooth Unit  F406H","Oil","Producing","Blaine","Bowes","31N-20E","6",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-005-23725-00-00","7/31/2025 12:00:00 AM","Sawtooth","4344","375","1","673","31",
"25-005-23725-00-00","6/30/2025 12:00:00 AM","Sawtooth","4344","356","1","650","30",
"25-005-23725-00-00","5/31/2025 12:00:00 AM","Sawtooth","4344","316","1","589","31",
"25-005-23725-00-00","4/30/2025 12:00:00 AM","Sawtooth","4344","288","1","548","30",
"25-005-23725-00-00","3/31/2025 12:00:00 AM","Sawtooth","4344","315","1","598","31",
"25-005-23725-00-00","2/28/2025 12:00:00 AM","Sawtooth","4344","214","1","475","27",
"25-005-23725-00-00","1/31/2025 12:00:00 AM","Sawtooth","4344","303","1","680","31",
"25-005-23725-00-00","12/31/2024 12:00:00 AM","Sawtooth","4344","285","1","525","31",
"25-005-23725-00-00","11/30/2024 12:00:00 AM","Sawtooth","4344","310","1","472","30",
"25-005-23725-00-00","10/31/2024 12:00:00 AM","Sawtooth","4344","338","1","513","30",
"25-005-23725-00-00","9/30/2024 12:00:00 AM","Sawtooth","4344","288","1","430","30",
"25-005-23725-00-00","8/31/2024 12:00:00 AM","Sawtooth","4344","270","1","414","31",
"25-005-23725-00-00","7/31/2024 12:00:00 AM","Sawtooth","4344","272","1","524","31",
"25-005-23725-00-00","6/30/2024 12:00:00 AM","Sawtooth","4344","299","1","465","30",
"25-005-23725-00-00","5/31/2024 12:00:00 AM","Sawtooth","4344","303","1","514","29",
"25-005-23725-00-00","4/30/2024 12:00:00 AM","Sawtooth","4344","287","1","556","30",
"25-005-23725-00-00","3/31/2024 12:00:00 AM","Sawtooth","4344","372","1","569","31",
"25-005-23725-00-00","2/29/2024 12:00:00 AM","Sawtooth","4344","386","1","528","29",
"25-005-23725-00-00","1/31/2024 12:00:00 AM","Sawtooth","4344","393","1","509","31",
"25-005-23725-00-00","12/31/2023 12:00:00 AM","Sawtooth","4344","361","1","497","31",
"25-005-23725-00-00","11/30/2023 12:00:00 AM","Sawtooth","4344","308","1","417","30",
"25-005-23725-00-00","10/31/2023 12:00:00 AM","Sawtooth","4344","337","1","454","31",
"25-005-23725-00-00","9/30/2023 12:00:00 AM","Sawtooth","4344","365","1","449","30",
"25-005-23725-00-00","8/31/2023 12:00:00 AM","Sawtooth","4344","384","1","438","31",
"25-005-23725-00-00","7/31/2023 12:00:00 AM","Sawtooth","4344","383","2","463","31",
"25-005-23725-00-00","6/30/2023 12:00:00 AM","Sawtooth","4344","309","1","531","30",
"25-005-23725-00-00","5/31/2023 12:00:00 AM","Sawtooth","4344","342","1","567","31",
"25-005-23725-00-00","4/30/2023 12:00:00 AM","Sawtooth","4344","343","1","536","30",
"25-005-23725-00-00","3/31/2023 12:00:00 AM","Sawtooth","4344","396","1","635","31",
"25-005-23725-00-00","2/28/2023 12:00:00 AM","Sawtooth","4344","356","0","389","28",
"25-005-23725-00-00","1/31/2023 12:00:00 AM","Sawtooth","4344","442","1","548","31",
"25-005-23725-00-00","12/31/2022 12:00:00 AM","Sawtooth","4344","3","0","178","31",
"25-005-23725-00-00","11/30/2022 12:00:00 AM","Sawtooth","4344","141","0","1069","30",
"25-005-23725-00-00","10/31/2022 12:00:00 AM","Sawtooth","4344","153","1","538","31",
"25-005-23725-00-00","9/30/2022 12:00:00 AM","Sawtooth","4344","375","1","252","30",
"25-005-23725-00-00","8/31/2022 12:00:00 AM","Sawtooth","4344","430","1","408","31",
"25-005-23725-00-00","7/31/2022 12:00:00 AM","Sawtooth","4344","455","1","380","31",
"25-005-23725-00-00","6/30/2022 12:00:00 AM","Sawtooth","4344","414","1","336","29",
"25-005-23725-00-00","5/31/2022 12:00:00 AM","Sawtooth","4344","484","1","429","31",
"25-005-23725-00-00","4/30/2022 12:00:00 AM","Sawtooth","4344","473","1","467","30",
"25-005-23725-00-00","3/31/2022 12:00:00 AM","Sawtooth","4344","510","1","246","31",
"25-005-23725-00-00","2/28/2022 12:00:00 AM","Sawtooth","4344","474","1","503","28",
"25-005-23725-00-00","1/31/2022 12:00:00 AM","Sawtooth","4344","464","2","499","31",
"25-005-23725-00-00","12/31/2021 12:00:00 AM","Sawtooth","4344","409","1","463","31",
"25-005-23725-00-00","11/30/2021 12:00:00 AM","Sawtooth","4344","478","1","473","30",
