"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25015211950000","NorthWestern Corporation","Boyce   (1-1123-1)  1-22","Gas","Producing","Chouteau","Bullwacker","27N-16E","22",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-015-21195-00-00","7/31/2025 12:00:00 AM","Eagle","111231","0","115","0","31",
"25-015-21195-00-00","6/30/2025 12:00:00 AM","Eagle","111231","0","112","0","30",
"25-015-21195-00-00","5/31/2025 12:00:00 AM","Eagle","111231","0","113","0","31",
"25-015-21195-00-00","4/30/2025 12:00:00 AM","Eagle","111231","0","116","0","30",
"25-015-21195-00-00","3/31/2025 12:00:00 AM","Eagle","111231","0","113","0","30",
"25-015-21195-00-00","2/28/2025 12:00:00 AM","Eagle","111231","0","140","0","22",
"25-015-21195-00-00","1/31/2025 12:00:00 AM","Eagle","111231","0","157","0","23",
"25-015-21195-00-00","12/31/2024 12:00:00 AM","Eagle","111231","0","109","0","28",
"25-015-21195-00-00","11/30/2024 12:00:00 AM","Eagle","111231","0","110","0","30",
"25-015-21195-00-00","10/31/2024 12:00:00 AM","Eagle","111231","0","106","0","31",
"25-015-21195-00-00","9/30/2024 12:00:00 AM","Eagle","111231","0","104","0","30",
"25-015-21195-00-00","8/31/2024 12:00:00 AM","Eagle","111231","0","113","0","30",
"25-015-21195-00-00","7/31/2024 12:00:00 AM","Eagle","111231","0","103","0","31",
"25-015-21195-00-00","6/30/2024 12:00:00 AM","Eagle","111231","0","88","0","30",
"25-015-21195-00-00","5/31/2024 12:00:00 AM","Eagle","111231","0","92","0","31",
"25-015-21195-00-00","4/30/2024 12:00:00 AM","Eagle","111231","0","82","0","29",
"25-015-21195-00-00","3/31/2024 12:00:00 AM","Eagle","111231","0","60","0","24",
"25-015-21195-00-00","2/29/2024 12:00:00 AM","Eagle","111231","0","123","0","29",
"25-015-21195-00-00","1/31/2024 12:00:00 AM","Eagle","111231","0","121","0","27",
"25-015-21195-00-00","12/31/2023 12:00:00 AM","Eagle","111231","0","126","0","31",
"25-015-21195-00-00","11/30/2023 12:00:00 AM","Eagle","111231","0","132","0","30",
"25-015-21195-00-00","10/31/2023 12:00:00 AM","Eagle","111231","0","133","0","31",
"25-015-21195-00-00","9/30/2023 12:00:00 AM","Eagle","111231","0","128","0","30",
"25-015-21195-00-00","8/31/2023 12:00:00 AM","Eagle","111231","0","132","0","31",
"25-015-21195-00-00","7/31/2023 12:00:00 AM","Eagle","111231","0","133","0","31",
"25-015-21195-00-00","6/30/2023 12:00:00 AM","Eagle","111231","0","129","0","30",
"25-015-21195-00-00","5/31/2023 12:00:00 AM","Eagle","111231","0","133","0","31",
"25-015-21195-00-00","4/30/2023 12:00:00 AM","Eagle","111231","0","122","0","30",
"25-015-21195-00-00","3/31/2023 12:00:00 AM","Eagle","111231","0","130","0","31",
"25-015-21195-00-00","2/28/2023 12:00:00 AM","Eagle","111231","0","115","0","26",
"25-015-21195-00-00","1/31/2023 12:00:00 AM","Eagle","111231","0","132","0","31",
"25-015-21195-00-00","12/31/2022 12:00:00 AM","Eagle","111231","0","124","0","24",
"25-015-21195-00-00","11/30/2022 12:00:00 AM","Eagle","111231","0","157","0","27",
"25-015-21195-00-00","10/31/2022 12:00:00 AM","Eagle","111231","0","134","0","31",
"25-015-21195-00-00","9/30/2022 12:00:00 AM","Eagle","111231","0","130","0","30",
"25-015-21195-00-00","8/31/2022 12:00:00 AM","Eagle","111231","0","135","0","31",
"25-015-21195-00-00","7/31/2022 12:00:00 AM","Eagle","111231","0","135","0","31",
"25-015-21195-00-00","6/30/2022 12:00:00 AM","Eagle","111231","0","132","0","30",
"25-015-21195-00-00","5/31/2022 12:00:00 AM","Eagle","111231","0","136","0","31",
"25-015-21195-00-00","4/30/2022 12:00:00 AM","Eagle","111231","0","130","0","30",
"25-015-21195-00-00","3/31/2022 12:00:00 AM","Eagle","111231","0","131","0","31",
"25-015-21195-00-00","2/28/2022 12:00:00 AM","Eagle","111231","0","112","0","27",
"25-015-21195-00-00","1/31/2022 12:00:00 AM","Eagle","111231","0","138","0","30",
