"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25041224360000","NorthWestern Corporation","Boyce  24-4","Gas","Producing","Hill","Tiger Ridge","30N-15E","24",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-041-22436-00-00","7/31/2025 12:00:00 AM","Eagle","4489","0","135","0","31",
"25-041-22436-00-00","6/30/2025 12:00:00 AM","Eagle","4489","0","132","0","30",
"25-041-22436-00-00","5/31/2025 12:00:00 AM","Eagle","4489","0","139","0","31",
"25-041-22436-00-00","4/30/2025 12:00:00 AM","Eagle","4489","0","144","0","30",
"25-041-22436-00-00","3/31/2025 12:00:00 AM","Eagle","4489","0","175","0","31",
"25-041-22436-00-00","2/28/2025 12:00:00 AM","Eagle","4489","0","114","0","18",
"25-041-22436-00-00","1/31/2025 12:00:00 AM","Eagle","4489","0","137","0","31",
"25-041-22436-00-00","12/31/2024 12:00:00 AM","Eagle","4489","0","123","0","31",
"25-041-22436-00-00","11/30/2024 12:00:00 AM","Eagle","4489","0","124","0","30",
"25-041-22436-00-00","10/31/2024 12:00:00 AM","Eagle","4489","0","112","0","31",
"25-041-22436-00-00","9/30/2024 12:00:00 AM","Eagle","4489","0","111","0","29",
"25-041-22436-00-00","8/31/2024 12:00:00 AM","Eagle","4489","0","92","0","31",
"25-041-22436-00-00","7/31/2024 12:00:00 AM","Eagle","4489","0","92","0","31",
"25-041-22436-00-00","6/30/2024 12:00:00 AM","Eagle","4489","0","91","0","30",
"25-041-22436-00-00","5/31/2024 12:00:00 AM","Eagle","4489","0","104","0","31",
"25-041-22436-00-00","4/30/2024 12:00:00 AM","Eagle","4489","0","112","0","30",
"25-041-22436-00-00","3/31/2024 12:00:00 AM","Eagle","4489","0","121","0","31",
"25-041-22436-00-00","2/29/2024 12:00:00 AM","Eagle","4489","0","111","0","29",
"25-041-22436-00-00","1/31/2024 12:00:00 AM","Eagle","4489","0","161","0","29",
"25-041-22436-00-00","12/31/2023 12:00:00 AM","Eagle","4489","0","218","0","31",
"25-041-22436-00-00","11/30/2023 12:00:00 AM","Eagle","4489","0","216","0","30",
"25-041-22436-00-00","10/31/2023 12:00:00 AM","Eagle","4489","0","230","0","30",
"25-041-22436-00-00","9/30/2023 12:00:00 AM","Eagle","4489","0","228","0","30",
"25-041-22436-00-00","8/31/2023 12:00:00 AM","Eagle","4489","0","236","0","31",
"25-041-22436-00-00","7/31/2023 12:00:00 AM","Eagle","4489","0","237","0","31",
"25-041-22436-00-00","6/30/2023 12:00:00 AM","Eagle","4489","0","232","0","30",
"25-041-22436-00-00","5/31/2023 12:00:00 AM","Eagle","4489","0","242","0","31",
"25-041-22436-00-00","4/30/2023 12:00:00 AM","Eagle","4489","0","233","0","30",
"25-041-22436-00-00","3/31/2023 12:00:00 AM","Eagle","4489","0","240","0","31",
"25-041-22436-00-00","2/28/2023 12:00:00 AM","Eagle","4489","0","223","0","28",
"25-041-22436-00-00","1/31/2023 12:00:00 AM","Eagle","4489","0","251","0","31",
"25-041-22436-00-00","12/31/2022 12:00:00 AM","Eagle","4489","0","207","0","27",
"25-041-22436-00-00","11/30/2022 12:00:00 AM","Eagle","4489","0","224","0","30",
"25-041-22436-00-00","10/31/2022 12:00:00 AM","Eagle","4489","0","241","0","31",
"25-041-22436-00-00","9/30/2022 12:00:00 AM","Eagle","4489","0","240","0","30",
"25-041-22436-00-00","8/31/2022 12:00:00 AM","Eagle","4489","0","246","0","29",
"25-041-22436-00-00","7/31/2022 12:00:00 AM","Eagle","4489","0","245","0","31",
"25-041-22436-00-00","6/30/2022 12:00:00 AM","Eagle","4489","0","235","0","30",
"25-041-22436-00-00","5/31/2022 12:00:00 AM","Eagle","4489","0","244","0","31",
"25-041-22436-00-00","4/30/2022 12:00:00 AM","Eagle","4489","0","234","0","30",
"25-041-22436-00-00","3/31/2022 12:00:00 AM","Eagle","4489","0","253","0","31",
"25-041-22436-00-00","2/28/2022 12:00:00 AM","Eagle","4489","0","225","0","28",
"25-041-22436-00-00","1/31/2022 12:00:00 AM","Eagle","4489","0","260","0","30",
"25-041-22436-00-00","12/31/2021 12:00:00 AM","Eagle","4489","0","258","0","31",
"25-041-22436-00-00","11/30/2021 12:00:00 AM","Eagle","4489","0","249","0","30",
"25-041-22436-00-00","10/31/2021 12:00:00 AM","Eagle","4489","0","254","0","31",
"25-041-22436-00-00","9/30/2021 12:00:00 AM","Eagle","4489","0","247","0","30",
"25-041-22436-00-00","8/31/2021 12:00:00 AM","Eagle","4489","0","257","0","31",
"25-041-22436-00-00","7/31/2021 12:00:00 AM","Eagle","4489","0","257","0","31",
"25-041-22436-00-00","6/30/2021 12:00:00 AM","Eagle","4489","0","249","0","30",
"25-041-22436-00-00","5/31/2021 12:00:00 AM","Eagle","4489","0","261","0","31",
"25-041-22436-00-00","4/30/2021 12:00:00 AM","Eagle","4489","0","254","0","30",
"25-041-22436-00-00","3/31/2021 12:00:00 AM","Eagle","4489","0","268","0","31",
"25-041-22436-00-00","2/28/2021 12:00:00 AM","Eagle","4489","0","189","0","25",
"25-041-22436-00-00","1/31/2021 12:00:00 AM","Eagle","4489","0","262","0","31",
"25-041-22436-00-00","12/31/2020 12:00:00 AM","Eagle","4489","0","256","0","31",
"25-041-22436-00-00","11/30/2020 12:00:00 AM","Eagle","4489","0","248","0","30",
"25-041-22436-00-00","10/31/2020 12:00:00 AM","Eagle","4489","0","260","0","31",
"25-041-22436-00-00","9/30/2020 12:00:00 AM","Eagle","4489","0","255","0","30",
"25-041-22436-00-00","8/31/2020 12:00:00 AM","Eagle","4489","0","267","0","31",
"25-041-22436-00-00","7/31/2020 12:00:00 AM","Eagle","4489","0","266","0","31",
"25-041-22436-00-00","6/30/2020 12:00:00 AM","Eagle","4489","0","258","0","30",
"25-041-22436-00-00","5/31/2020 12:00:00 AM","Eagle","4489","0","269","0","31",
"25-041-22436-00-00","4/30/2020 12:00:00 AM","Eagle","4489","0","260","0","30",
"25-041-22436-00-00","3/31/2020 12:00:00 AM","Eagle","4489","0","268","0","31",
"25-041-22436-00-00","2/29/2020 12:00:00 AM","Eagle","4489","0","251","0","29",
"25-041-22436-00-00","1/31/2020 12:00:00 AM","Eagle","4489","0","262","0","31",
"25-041-22436-00-00","12/31/2019 12:00:00 AM","Eagle","4489","0","271","0","31",
"25-041-22436-00-00","11/30/2019 12:00:00 AM","Eagle","4489","0","254","0","30",
"25-041-22436-00-00","10/31/2019 12:00:00 AM","Eagle","4489","0","268","0","31",
"25-041-22436-00-00","9/30/2019 12:00:00 AM","Eagle","4489","0","267","0","30",
"25-041-22436-00-00","8/31/2019 12:00:00 AM","Eagle","4489","0","278","0","31",
"25-041-22436-00-00","7/31/2019 12:00:00 AM","Eagle","4489","0","276","0","31",
"25-041-22436-00-00","6/30/2019 12:00:00 AM","Eagle","4489","0","266","0","30",
"25-041-22436-00-00","5/31/2019 12:00:00 AM","Eagle","4489","0","277","0","31",
"25-041-22436-00-00","4/30/2019 12:00:00 AM","Eagle","4489","0","266","0","30",
"25-041-22436-00-00","3/31/2019 12:00:00 AM","Eagle","4489","0","277","0","31",
"25-041-22436-00-00","2/28/2019 12:00:00 AM","Eagle","4489","0","219","0","28",
"25-041-22436-00-00","1/31/2019 12:00:00 AM","Eagle","4489","0","279","0","31",
"25-041-22436-00-00","12/31/2018 12:00:00 AM","Eagle","4489","0","275","0","31",
"25-041-22436-00-00","11/30/2018 12:00:00 AM","Eagle","4489","0","279","0","30",
"25-041-22436-00-00","10/31/2018 12:00:00 AM","Eagle","4489","0","292","0","31",
"25-041-22436-00-00","9/30/2018 12:00:00 AM","Eagle","4489","0","281","0","30",
"25-041-22436-00-00","8/31/2018 12:00:00 AM","Eagle","4489","0","290","0","31",
"25-041-22436-00-00","7/31/2018 12:00:00 AM","Eagle","4489","0","286","0","31",
"25-041-22436-00-00","6/30/2018 12:00:00 AM","Eagle","4489","0","277","0","30",
"25-041-22436-00-00","5/31/2018 12:00:00 AM","Eagle","4489","0","287","0","31",
"25-041-22436-00-00","4/30/2018 12:00:00 AM","Eagle","4489","0","280","0","30",
"25-041-22436-00-00","3/31/2018 12:00:00 AM","Eagle","4489","0","291","0","31",
"25-041-22436-00-00","2/28/2018 12:00:00 AM","Eagle","4489","0","263","0","28",
"25-041-22436-00-00","1/31/2018 12:00:00 AM","Eagle","4489","0","290","0","31",
"25-041-22436-00-00","12/31/2017 12:00:00 AM","Eagle","4489","0","301","0","31",
"25-041-22436-00-00","11/30/2017 12:00:00 AM","Eagle","4489","0","270","0","30",
"25-041-22436-00-00","10/31/2017 12:00:00 AM","Eagle","4489","0","279","0","31",
"25-041-22436-00-00","9/30/2017 12:00:00 AM","Eagle","4489","0","280","0","30",
"25-041-22436-00-00","8/31/2017 12:00:00 AM","Eagle","4489","0","290","0","31",
"25-041-22436-00-00","7/31/2017 12:00:00 AM","Eagle","4489","0","292","0","31",
"25-041-22436-00-00","6/30/2017 12:00:00 AM","Eagle","4489","0","279","0","30",
"25-041-22436-00-00","5/31/2017 12:00:00 AM","Eagle","4489","0","306","0","31",
"25-041-22436-00-00","4/30/2017 12:00:00 AM","Eagle","4489","0","300","0","30",
"25-041-22436-00-00","3/31/2017 12:00:00 AM","Eagle","4489","0","304","0","31",
"25-041-22436-00-00","2/28/2017 12:00:00 AM","Eagle","4489","0","281","0","28",
"25-041-22436-00-00","1/31/2017 12:00:00 AM","Eagle","4489","0","320","0","31",
"25-041-22436-00-00","12/31/2016 12:00:00 AM","Eagle","4489","0","324","0","31",
"25-041-22436-00-00","11/30/2016 12:00:00 AM","Eagle","4489","0","316","0","30",
"25-041-22436-00-00","10/31/2016 12:00:00 AM","Eagle","4489","0","321","0","31",
"25-041-22436-00-00","9/30/2016 12:00:00 AM","Eagle","4489","0","310","0","30",
"25-041-22436-00-00","8/31/2016 12:00:00 AM","Eagle","4489","0","328","0","31",
"25-041-22436-00-00","7/31/2016 12:00:00 AM","Eagle","4489","0","326","0","31",
"25-041-22436-00-00","6/30/2016 12:00:00 AM","Eagle","4489","0","311","0","30",
"25-041-22436-00-00","5/31/2016 12:00:00 AM","Eagle","4489","0","326","0","31",
"25-041-22436-00-00","4/30/2016 12:00:00 AM","Eagle","4489","0","323","0","30",
"25-041-22436-00-00","3/31/2016 12:00:00 AM","Eagle","4489","0","338","0","31",
"25-041-22436-00-00","2/29/2016 12:00:00 AM","Eagle","4489","0","316","0","29",
"25-041-22436-00-00","1/31/2016 12:00:00 AM","Eagle","4489","0","344","0","31",
"25-041-22436-00-00","12/31/2015 12:00:00 AM","Eagle","4489","0","337","0","31",
"25-041-22436-00-00","11/30/2015 12:00:00 AM","Eagle","4489","0","328","0","30",
"25-041-22436-00-00","10/31/2015 12:00:00 AM","Eagle","4489","0","346","0","31",
"25-041-22436-00-00","9/30/2015 12:00:00 AM","Eagle","4489","0","339","0","30",
"25-041-22436-00-00","8/31/2015 12:00:00 AM","Eagle","4489","0","352","0","31",
"25-041-22436-00-00","7/31/2015 12:00:00 AM","Eagle","4489","0","354","0","31",
"25-041-22436-00-00","6/30/2015 12:00:00 AM","Eagle","4489","0","347","0","30",
"25-041-22436-00-00","5/31/2015 12:00:00 AM","Eagle","4489","0","365","0","31",
"25-041-22436-00-00","4/30/2015 12:00:00 AM","Eagle","4489","0","352","0","30",
"25-041-22436-00-00","3/31/2015 12:00:00 AM","Eagle","4489","0","360","0","31",
"25-041-22436-00-00","2/28/2015 12:00:00 AM","Eagle","4489","0","318","0","28",
"25-041-22436-00-00","1/31/2015 12:00:00 AM","Eagle","4489","0","370","0","31",
"25-041-22436-00-00","12/31/2014 12:00:00 AM","Eagle","4489","0","373","0","31",
"25-041-22436-00-00","11/30/2014 12:00:00 AM","Eagle","4489","0","337","0","30",
"25-041-22436-00-00","10/31/2014 12:00:00 AM","Eagle","4489","0","378","0","31",
"25-041-22436-00-00","9/30/2014 12:00:00 AM","Eagle","4489","0","369","0","30",
"25-041-22436-00-00","8/31/2014 12:00:00 AM","Eagle","4489","0","379","0","31",
"25-041-22436-00-00","7/31/2014 12:00:00 AM","Eagle","4489","0","375","0","31",
"25-041-22436-00-00","6/30/2014 12:00:00 AM","Eagle","4489","0","365","0","30",
"25-041-22436-00-00","5/31/2014 12:00:00 AM","Eagle","4489","0","377","0","31",
"25-041-22436-00-00","4/30/2014 12:00:00 AM","Eagle","4489","0","372","0","30",
"25-041-22436-00-00","3/31/2014 12:00:00 AM","Eagle","4489","0","390","0","31",
"25-041-22436-00-00","2/28/2014 12:00:00 AM","Eagle","4489","0","354","0","28",
"25-041-22436-00-00","1/31/2014 12:00:00 AM","Eagle","4489","0","392","0","31",
"25-041-22436-00-00","12/31/2013 12:00:00 AM","Eagle","4489","0","349","0","31",
"25-041-22436-00-00","11/30/2013 12:00:00 AM","Eagle","4489","0","382","0","30",
"25-041-22436-00-00","10/31/2013 12:00:00 AM","Eagle","4489","0","399","0","31",
"25-041-22436-00-00","9/30/2013 12:00:00 AM","Eagle","4489","0","399","0","30",
"25-041-22436-00-00","8/31/2013 12:00:00 AM","Eagle","4489","0","445","0","31",
"25-041-22436-00-00","7/31/2013 12:00:00 AM","Eagle","4489","0","411","0","31",
"25-041-22436-00-00","6/30/2013 12:00:00 AM","Eagle","4489","0","402","0","30",
"25-041-22436-00-00","5/31/2013 12:00:00 AM","Eagle","4489","0","420","0","31",
"25-041-22436-00-00","4/30/2013 12:00:00 AM","Eagle","4489","0","404","0","30",
"25-041-22436-00-00","3/31/2013 12:00:00 AM","Eagle","4489","0","420","0","31",
"25-041-22436-00-00","2/28/2013 12:00:00 AM","Eagle","4489","0","381","0","28",
"25-041-22436-00-00","1/31/2013 12:00:00 AM","Eagle","4489","0","424","0","31",
"25-041-22436-00-00","12/31/2012 12:00:00 AM","Eagle","4489","0","427","0","31",
"25-041-22436-00-00","11/30/2012 12:00:00 AM","Eagle","4489","0","413","0","30",
"25-041-22436-00-00","10/31/2012 12:00:00 AM","Eagle","4489","0","431","0","31",
"25-041-22436-00-00","9/30/2012 12:00:00 AM","Eagle","4489","0","429","0","30",
"25-041-22436-00-00","8/31/2012 12:00:00 AM","Eagle","4489","0","441","0","31",
"25-041-22436-00-00","7/31/2012 12:00:00 AM","Eagle","4489","0","433","0","31",
"25-041-22436-00-00","6/30/2012 12:00:00 AM","Eagle","4489","0","430","0","30",
"25-041-22436-00-00","5/31/2012 12:00:00 AM","Eagle","4489","0","332","0","31",
"25-041-22436-00-00","4/30/2012 12:00:00 AM","Eagle","4489","0","249","0","30",
"25-041-22436-00-00","3/31/2012 12:00:00 AM","Eagle","4489","0","258","0","31",
"25-041-22436-00-00","2/29/2012 12:00:00 AM","Eagle","4489","0","265","0","29",
"25-041-22436-00-00","1/31/2012 12:00:00 AM","Eagle","4489","0","285","0","31",
"25-041-22436-00-00","12/31/2011 12:00:00 AM","Eagle","4489","0","286","0","31",
"25-041-22436-00-00","11/30/2011 12:00:00 AM","Eagle","4489","0","285","0","30",
"25-041-22436-00-00","10/31/2011 12:00:00 AM","Eagle","4489","0","374","0","31",
"25-041-22436-00-00","9/30/2011 12:00:00 AM","Eagle","4489","0","440","0","30",
"25-041-22436-00-00","8/31/2011 12:00:00 AM","Eagle","4489","0","471","0","31",
"25-041-22436-00-00","7/31/2011 12:00:00 AM","Eagle","4489","0","472","0","31",
"25-041-22436-00-00","6/30/2011 12:00:00 AM","Eagle","4489","0","463","0","30",
"25-041-22436-00-00","5/31/2011 12:00:00 AM","Eagle","4489","0","479","0","31",
"25-041-22436-00-00","4/30/2011 12:00:00 AM","Eagle","4489","0","468","0","30",
"25-041-22436-00-00","3/31/2011 12:00:00 AM","Eagle","4489","0","489","0","31",
"25-041-22436-00-00","2/28/2011 12:00:00 AM","Eagle","4489","0","449","0","28",
"25-041-22436-00-00","1/31/2011 12:00:00 AM","Eagle","4489","0","502","0","31",
"25-041-22436-00-00","12/31/2010 12:00:00 AM","Eagle","4489","0","507","0","31",
"25-041-22436-00-00","11/30/2010 12:00:00 AM","Eagle","4489","0","493","0","30",
"25-041-22436-00-00","10/31/2010 12:00:00 AM","Eagle","4489","0","519","0","31",
"25-041-22436-00-00","9/30/2010 12:00:00 AM","Eagle","4489","0","507","0","30",
"25-041-22436-00-00","8/31/2010 12:00:00 AM","Eagle","4489","0","528","0","31",
"25-041-22436-00-00","7/31/2010 12:00:00 AM","Eagle","4489","0","531","0","31",
"25-041-22436-00-00","6/30/2010 12:00:00 AM","Eagle","4489","0","519","0","30",
"25-041-22436-00-00","5/31/2010 12:00:00 AM","Eagle","4489","0","514","0","31",
"25-041-22436-00-00","4/30/2010 12:00:00 AM","Eagle","4489","0","328","0","30",
"25-041-22436-00-00","3/31/2010 12:00:00 AM","Eagle","4489","0","333","0","31",
"25-041-22436-00-00","2/28/2010 12:00:00 AM","Eagle","4489","0","314","0","28",
"25-041-22436-00-00","1/31/2010 12:00:00 AM","Eagle","4489","0","354","0","31",
"25-041-22436-00-00","12/31/2009 12:00:00 AM","Eagle","4489","0","369","0","31",
"25-041-22436-00-00","11/30/2009 12:00:00 AM","Eagle","4489","0","431","0","30",
"25-041-22436-00-00","10/31/2009 12:00:00 AM","Eagle","4489","0","556","0","31",
"25-041-22436-00-00","9/30/2009 12:00:00 AM","Eagle","4489","0","545","0","30",
"25-041-22436-00-00","8/31/2009 12:00:00 AM","Eagle","4489","0","570","0","31",
"25-041-22436-00-00","7/31/2009 12:00:00 AM","Eagle","4489","0","570","0","31",
"25-041-22436-00-00","6/30/2009 12:00:00 AM","Eagle","4489","0","534","0","30",
"25-041-22436-00-00","5/31/2009 12:00:00 AM","Eagle","4489","0","435","0","31",
"25-041-22436-00-00","4/30/2009 12:00:00 AM","Eagle","4489","0","415","0","30",
"25-041-22436-00-00","3/31/2009 12:00:00 AM","Eagle","4489","0","430","0","31",
