"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25101218850000","LaMarsa Corp.","Blumberg  13-34","Gas","Producing","Toole","Kevin Southwest","34N-3W","34",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-101-21885-00-00","6/30/2025 12:00:00 AM","Sunburst","249","0","89","0","30",
"25-101-21885-00-00","5/31/2025 12:00:00 AM","Sunburst","249","0","75","0","31",
"25-101-21885-00-00","4/30/2025 12:00:00 AM","Sunburst","249","0","63","0","30",
"25-101-21885-00-00","3/31/2025 12:00:00 AM","Sunburst","249","0","62","0","31",
"25-101-21885-00-00","2/28/2025 12:00:00 AM","Sunburst","249","0","36","0","28",
"25-101-21885-00-00","1/31/2025 12:00:00 AM","Sunburst","249","0","60","0","31",
"25-101-21885-00-00","12/31/2024 12:00:00 AM","Sunburst","249","0","60","0","31",
"25-101-21885-00-00","11/30/2024 12:00:00 AM","Sunburst","249","0","57","0","30",
"25-101-21885-00-00","10/31/2024 12:00:00 AM","Sunburst","249","0","93","0","31",
"25-101-21885-00-00","9/30/2024 12:00:00 AM","Sunburst","249","0","46","0","30",
"25-101-21885-00-00","8/31/2024 12:00:00 AM","Sunburst","249","0","85","0","31",
"25-101-21885-00-00","7/31/2024 12:00:00 AM","Sunburst","249","0","68","0","31",
"25-101-21885-00-00","6/30/2024 12:00:00 AM","Sunburst","249","0","62","0","30",
"25-101-21885-00-00","5/31/2024 12:00:00 AM","Sunburst","249","0","57","0","30",
"25-101-21885-00-00","4/30/2024 12:00:00 AM","Sunburst","249","0","42","0","30",
"25-101-21885-00-00","3/31/2024 12:00:00 AM","Sunburst","249","0","78","0","31",
"25-101-21885-00-00","2/29/2024 12:00:00 AM","Sunburst","249","0","65","0","29",
"25-101-21885-00-00","1/31/2024 12:00:00 AM","Sunburst","249","0","16","0","31",
"25-101-21885-00-00","12/31/2023 12:00:00 AM","Sunburst","249","0","21","0","31",
"25-101-21885-00-00","11/30/2023 12:00:00 AM","Sunburst","249","0","0","0","30",
"25-101-21885-00-00","10/31/2023 12:00:00 AM","Sunburst","249","0","0","0","31",
"25-101-21885-00-00","9/30/2023 12:00:00 AM","Sunburst","249","0","18","0","30",
"25-101-21885-00-00","8/31/2023 12:00:00 AM","Sunburst","249","0","21","0","31",
"25-101-21885-00-00","7/31/2023 12:00:00 AM","Sunburst","249","0","31","0","31",
"25-101-21885-00-00","6/30/2023 12:00:00 AM","Sunburst","249","0","24","0","30",
"25-101-21885-00-00","5/31/2023 12:00:00 AM","Sunburst","249","0","21","0","31",
"25-101-21885-00-00","4/30/2023 12:00:00 AM","Sunburst","249","0","21","0","30",
"25-101-21885-00-00","3/31/2023 12:00:00 AM","Sunburst","249","0","21","0","31",
"25-101-21885-00-00","2/28/2023 12:00:00 AM","Sunburst","249","0","24","0","28",
"25-101-21885-00-00","1/31/2023 12:00:00 AM","Sunburst","249","0","31","0","31",
"25-101-21885-00-00","12/31/2022 12:00:00 AM","Sunburst","249","0","31","0","31",
"25-101-21885-00-00","11/30/2022 12:00:00 AM","Sunburst","249","0","48","0","30",
"25-101-21885-00-00","10/31/2022 12:00:00 AM","Sunburst","249","0","51","0","31",
"25-101-21885-00-00","9/30/2022 12:00:00 AM","Sunburst","249","0","56","0","30",
"25-101-21885-00-00","8/31/2022 12:00:00 AM","Sunburst","249","0","36","0","31",
"25-101-21885-00-00","7/31/2022 12:00:00 AM","Sunburst","249","0","58","0","31",
"25-101-21885-00-00","6/30/2022 12:00:00 AM","Sunburst","249","0","60","0","30",
"25-101-21885-00-00","5/31/2022 12:00:00 AM","Sunburst","249","0","59","0","31",
"25-101-21885-00-00","4/30/2022 12:00:00 AM","Sunburst","249","0","44","0","30",
"25-101-21885-00-00","3/31/2022 12:00:00 AM","Sunburst","249","0","60","0","31",
"25-101-21885-00-00","2/28/2022 12:00:00 AM","Sunburst","249","0","37","0","28",
"25-101-21885-00-00","1/31/2022 12:00:00 AM","Sunburst","249","0","36","0","31",
"25-101-21885-00-00","12/31/2021 12:00:00 AM","Sunburst","249","0","24","0","31",
"25-101-21885-00-00","11/30/2021 12:00:00 AM","Sunburst","249","0","60","0","30",
"25-101-21885-00-00","10/31/2021 12:00:00 AM","Sunburst","249","0","63","0","31",
"25-101-21885-00-00","9/30/2021 12:00:00 AM","Sunburst","249","0","65","0","30",
"25-101-21885-00-00","8/31/2021 12:00:00 AM","Sunburst","249","0","75","0","31",
"25-101-21885-00-00","7/31/2021 12:00:00 AM","Sunburst","249","0","67","0","31",
"25-101-21885-00-00","6/30/2021 12:00:00 AM","Sunburst","249","0","65","0","30",
"25-101-21885-00-00","5/31/2021 12:00:00 AM","Sunburst","249","0","64","0","31",
"25-101-21885-00-00","4/30/2021 12:00:00 AM","Sunburst","249","0","59","0","30",
"25-101-21885-00-00","3/31/2021 12:00:00 AM","Sunburst","249","0","56","0","31",
"25-101-21885-00-00","2/28/2021 12:00:00 AM","Sunburst","249","0","20","0","28",
"25-101-21885-00-00","1/31/2021 12:00:00 AM","Sunburst","249","0","44","0","31",
"25-101-21885-00-00","12/31/2020 12:00:00 AM","Sunburst","249","0","34","0","31",
"25-101-21885-00-00","11/30/2020 12:00:00 AM","Sunburst","249","0","94","0","30",
"25-101-21885-00-00","10/31/2020 12:00:00 AM","Sunburst","249","0","64","0","31",
"25-101-21885-00-00","9/30/2020 12:00:00 AM","Sunburst","249","0","73","0","30",
"25-101-21885-00-00","8/31/2020 12:00:00 AM","Sunburst","249","0","75","0","31",
"25-101-21885-00-00","7/31/2020 12:00:00 AM","Sunburst","249","0","72","0","31",
"25-101-21885-00-00","6/30/2020 12:00:00 AM","Sunburst","249","0","68","0","30",
"25-101-21885-00-00","5/31/2020 12:00:00 AM","Sunburst","249","0","70","0","31",
"25-101-21885-00-00","4/30/2020 12:00:00 AM","Sunburst","249","0","85","0","30",
"25-101-21885-00-00","3/31/2020 12:00:00 AM","Sunburst","249","0","67","0","31",
"25-101-21885-00-00","2/29/2020 12:00:00 AM","Sunburst","249","0","69","0","29",
"25-101-21885-00-00","1/31/2020 12:00:00 AM","Sunburst","249","0","60","0","31",
"25-101-21885-00-00","12/31/2019 12:00:00 AM","Sunburst","249","0","51","0","31",
"25-101-21885-00-00","11/30/2019 12:00:00 AM","Sunburst","249","0","43","0","30",
"25-101-21885-00-00","10/31/2019 12:00:00 AM","Sunburst","249","0","81","0","31",
"25-101-21885-00-00","9/30/2019 12:00:00 AM","Sunburst","249","0","82","0","30",
"25-101-21885-00-00","8/31/2019 12:00:00 AM","Sunburst","249","0","87","0","31",
"25-101-21885-00-00","7/31/2019 12:00:00 AM","Sunburst","249","0","87","0","31",
"25-101-21885-00-00","6/30/2019 12:00:00 AM","Sunburst","249","0","81","0","30",
"25-101-21885-00-00","5/31/2019 12:00:00 AM","Sunburst","249","0","86","0","31",
"25-101-21885-00-00","4/30/2019 12:00:00 AM","Sunburst","249","0","81","0","30",
"25-101-21885-00-00","3/31/2019 12:00:00 AM","Sunburst","249","0","84","0","31",
"25-101-21885-00-00","2/28/2019 12:00:00 AM","Sunburst","249","0","95","0","28",
"25-101-21885-00-00","1/31/2019 12:00:00 AM","Sunburst","249","0","25","0","31",
"25-101-21885-00-00","12/31/2018 12:00:00 AM","Sunburst","249","0","68","0","31",
"25-101-21885-00-00","11/30/2018 12:00:00 AM","Sunburst","249","0","60","0","30",
"25-101-21885-00-00","10/31/2018 12:00:00 AM","Sunburst","249","0","87","0","31",
"25-101-21885-00-00","9/30/2018 12:00:00 AM","Sunburst","249","0","80","0","30",
"25-101-21885-00-00","8/31/2018 12:00:00 AM","Sunburst","249","0","87","0","31",
"25-101-21885-00-00","7/31/2018 12:00:00 AM","Sunburst","249","0","89","0","31",
"25-101-21885-00-00","6/30/2018 12:00:00 AM","Sunburst","249","0","82","0","30",
"25-101-21885-00-00","5/31/2018 12:00:00 AM","Sunburst","249","0","82","0","31",
"25-101-21885-00-00","4/30/2018 12:00:00 AM","Sunburst","249","0","52","0","30",
"25-101-21885-00-00","3/31/2018 12:00:00 AM","Sunburst","249","0","50","0","31",
"25-101-21885-00-00","2/28/2018 12:00:00 AM","Sunburst","249","0","93","0","28",
"25-101-21885-00-00","1/31/2018 12:00:00 AM","Sunburst","249","0","53","0","31",
"25-101-21885-00-00","12/31/2017 12:00:00 AM","Sunburst","249","0","64","0","31",
"25-101-21885-00-00","11/30/2017 12:00:00 AM","Sunburst","249","0","60","0","30",
"25-101-21885-00-00","10/31/2017 12:00:00 AM","Sunburst","249","0","85","0","31",
"25-101-21885-00-00","9/30/2017 12:00:00 AM","Sunburst","249","0","83","0","30",
"25-101-21885-00-00","8/31/2017 12:00:00 AM","Sunburst","249","0","38","0","31",
"25-101-21885-00-00","7/31/2017 12:00:00 AM","Sunburst","249","0","20","0","31",
"25-101-21885-00-00","6/30/2017 12:00:00 AM","Sunburst","249","0","25","0","30",
"25-101-21885-00-00","5/31/2017 12:00:00 AM","Sunburst","249","0","66","0","31",
"25-101-21885-00-00","4/30/2017 12:00:00 AM","Sunburst","249","0","62","0","30",
"25-101-21885-00-00","3/31/2017 12:00:00 AM","Sunburst","249","0","45","0","31",
"25-101-21885-00-00","2/28/2017 12:00:00 AM","Sunburst","249","0","20","0","28",
"25-101-21885-00-00","1/31/2017 12:00:00 AM","Sunburst","249","0","32","0","31",
"25-101-21885-00-00","12/31/2016 12:00:00 AM","Sunburst","249","0","50","0","31",
"25-101-21885-00-00","11/30/2016 12:00:00 AM","Sunburst","249","0","75","0","30",
"25-101-21885-00-00","10/31/2016 12:00:00 AM","Sunburst","249","0","84","0","31",
"25-101-21885-00-00","9/30/2016 12:00:00 AM","Sunburst","249","0","82","0","30",
"25-101-21885-00-00","8/31/2016 12:00:00 AM","Sunburst","249","0","92","0","31",
"25-101-21885-00-00","7/31/2016 12:00:00 AM","Sunburst","249","0","92","0","31",
"25-101-21885-00-00","6/30/2016 12:00:00 AM","Sunburst","249","0","90","0","30",
"25-101-21885-00-00","5/31/2016 12:00:00 AM","Sunburst","249","0","94","0","31",
"25-101-21885-00-00","4/30/2016 12:00:00 AM","Sunburst","249","0","94","0","30",
"25-101-21885-00-00","3/31/2016 12:00:00 AM","Sunburst","249","0","73","0","31",
"25-101-21885-00-00","2/29/2016 12:00:00 AM","Sunburst","249","0","36","0","29",
"25-101-21885-00-00","1/31/2016 12:00:00 AM","Sunburst","249","0","27","0","31",
"25-101-21885-00-00","12/31/2015 12:00:00 AM","Sunburst","249","0","60","0","31",
"25-101-21885-00-00","11/30/2015 12:00:00 AM","Sunburst","249","0","43","0","30",
"25-101-21885-00-00","10/31/2015 12:00:00 AM","Sunburst","249","0","64","0","31",
"25-101-21885-00-00","9/30/2015 12:00:00 AM","Sunburst","249","0","64","0","30",
"25-101-21885-00-00","8/31/2015 12:00:00 AM","Sunburst","249","0","50","0","31",
"25-101-21885-00-00","7/31/2015 12:00:00 AM","Sunburst","249","0","65","0","31",
"25-101-21885-00-00","6/30/2015 12:00:00 AM","Sunburst","249","0","68","0","30",
"25-101-21885-00-00","5/31/2015 12:00:00 AM","Sunburst","249","0","68","0","31",
"25-101-21885-00-00","4/30/2015 12:00:00 AM","Sunburst","249","0","35","0","30",
"25-101-21885-00-00","3/31/2015 12:00:00 AM","Sunburst","249","0","33","0","31",
"25-101-21885-00-00","2/28/2015 12:00:00 AM","Sunburst","249","0","50","0","28",
"25-101-21885-00-00","1/31/2015 12:00:00 AM","Sunburst","249","0","29","0","31",
"25-101-21885-00-00","12/31/2014 12:00:00 AM","Sunburst","249","0","34","0","31",
"25-101-21885-00-00","11/30/2014 12:00:00 AM","Sunburst","249","0","65","0","30",
"25-101-21885-00-00","10/31/2014 12:00:00 AM","Sunburst","249","0","81","0","31",
"25-101-21885-00-00","9/30/2014 12:00:00 AM","Sunburst","249","0","56","0","30",
"25-101-21885-00-00","8/31/2014 12:00:00 AM","Sunburst","249","0","74","0","31",
"25-101-21885-00-00","7/31/2014 12:00:00 AM","Sunburst","249","0","80","0","31",
"25-101-21885-00-00","6/30/2014 12:00:00 AM","Sunburst","249","0","81","0","30",
"25-101-21885-00-00","5/31/2014 12:00:00 AM","Sunburst","249","0","64","0","31",
"25-101-21885-00-00","4/30/2014 12:00:00 AM","Sunburst","249","0","43","0","30",
"25-101-21885-00-00","3/31/2014 12:00:00 AM","Sunburst","249","0","27","0","31",
"25-101-21885-00-00","2/28/2014 12:00:00 AM","Sunburst","249","0","119","0","28",
"25-101-21885-00-00","1/31/2014 12:00:00 AM","Sunburst","249","0","72","0","31",
"25-101-21885-00-00","12/31/2013 12:00:00 AM","Sunburst","249","0","62","0","31",
"25-101-21885-00-00","11/30/2013 12:00:00 AM","Sunburst","249","0","0","0","0",
"25-101-21885-00-00","10/31/2013 12:00:00 AM","Sunburst","249","0","73","0","31",
"25-101-21885-00-00","9/30/2013 12:00:00 AM","Sunburst","249","0","99","0","30",
"25-101-21885-00-00","8/31/2013 12:00:00 AM","Sunburst","249","0","94","0","31",
"25-101-21885-00-00","7/31/2013 12:00:00 AM","Sunburst","249","0","89","0","31",
"25-101-21885-00-00","6/30/2013 12:00:00 AM","Sunburst","249","0","92","0","30",
"25-101-21885-00-00","5/31/2013 12:00:00 AM","Sunburst","249","0","108","0","31",
"25-101-21885-00-00","4/30/2013 12:00:00 AM","Sunburst","249","0","89","0","30",
"25-101-21885-00-00","3/31/2013 12:00:00 AM","Sunburst","249","0","91","0","31",
"25-101-21885-00-00","2/28/2013 12:00:00 AM","Sunburst","249","0","97","0","28",
"25-101-21885-00-00","1/31/2013 12:00:00 AM","Sunburst","249","0","81","0","31",
"25-101-21885-00-00","12/31/2012 12:00:00 AM","Sunburst","249","0","90","0","31",
"25-101-21885-00-00","11/30/2012 12:00:00 AM","Sunburst","249","0","80","0","30",
"25-101-21885-00-00","10/31/2012 12:00:00 AM","Sunburst","249","0","100","0","31",
"25-101-21885-00-00","9/30/2012 12:00:00 AM","Sunburst","249","0","101","0","30",
"25-101-21885-00-00","8/31/2012 12:00:00 AM","Sunburst","249","0","71","0","31",
"25-101-21885-00-00","7/31/2012 12:00:00 AM","Sunburst","249","0","113","0","31",
"25-101-21885-00-00","6/30/2012 12:00:00 AM","Sunburst","249","0","108","0","30",
"25-101-21885-00-00","5/31/2012 12:00:00 AM","Sunburst","249","0","99","0","31",
"25-101-21885-00-00","4/30/2012 12:00:00 AM","Sunburst","249","0","96","0","30",
"25-101-21885-00-00","3/31/2012 12:00:00 AM","Sunburst","249","0","109","0","31",
"25-101-21885-00-00","2/29/2012 12:00:00 AM","Sunburst","249","0","98","0","29",
"25-101-21885-00-00","1/31/2012 12:00:00 AM","Sunburst","249","0","83","0","31",
"25-101-21885-00-00","12/31/2011 12:00:00 AM","Sunburst","249","0","102","0","31",
"25-101-21885-00-00","11/30/2011 12:00:00 AM","Sunburst","249","0","100","0","30",
"25-101-21885-00-00","10/31/2011 12:00:00 AM","Sunburst","249","0","105","0","31",
"25-101-21885-00-00","9/30/2011 12:00:00 AM","Sunburst","249","0","99","0","30",
"25-101-21885-00-00","8/31/2011 12:00:00 AM","Sunburst","249","0","103","0","31",
"25-101-21885-00-00","7/31/2011 12:00:00 AM","Sunburst","249","0","99","0","31",
"25-101-21885-00-00","6/30/2011 12:00:00 AM","Sunburst","249","0","95","0","30",
"25-101-21885-00-00","5/31/2011 12:00:00 AM","Sunburst","249","0","94","0","31",
"25-101-21885-00-00","4/30/2011 12:00:00 AM","Sunburst","249","0","62","0","30",
"25-101-21885-00-00","3/31/2011 12:00:00 AM","Sunburst","249","0","89","0","31",
"25-101-21885-00-00","2/28/2011 12:00:00 AM","Sunburst","249","0","83","0","28",
"25-101-21885-00-00","1/31/2011 12:00:00 AM","Sunburst","249","0","97","0","31",
"25-101-21885-00-00","12/31/2010 12:00:00 AM","Sunburst","249","0","100","0","31",
"25-101-21885-00-00","11/30/2010 12:00:00 AM","Sunburst","249","0","97","0","30",
"25-101-21885-00-00","10/31/2010 12:00:00 AM","Sunburst","249","0","103","0","31",
"25-101-21885-00-00","9/30/2010 12:00:00 AM","Sunburst","249","0","94","0","30",
"25-101-21885-00-00","8/31/2010 12:00:00 AM","Sunburst","249","0","95","0","31",
"25-101-21885-00-00","7/31/2010 12:00:00 AM","Sunburst","249","0","93","0","31",
"25-101-21885-00-00","6/30/2010 12:00:00 AM","Sunburst","249","0","48","0","15",
"25-101-21885-00-00","5/31/2010 12:00:00 AM","Sunburst","249","0","113","0","31",
"25-101-21885-00-00","4/30/2010 12:00:00 AM","Sunburst","249","0","78","0","30",
"25-101-21885-00-00","3/31/2010 12:00:00 AM","Sunburst","249","0","30","0","31",
"25-101-21885-00-00","2/28/2010 12:00:00 AM","Sunburst","249","0","0","0","0",
"25-101-21885-00-00","1/31/2010 12:00:00 AM","Sunburst","249","0","0","0","0",
"25-101-21885-00-00","12/31/2009 12:00:00 AM","Sunburst","249","0","16","0","30",
"25-101-21885-00-00","11/30/2009 12:00:00 AM","Sunburst","249","0","94","0","30",
"25-101-21885-00-00","10/31/2009 12:00:00 AM","Sunburst","249","0","136","0","31",
"25-101-21885-00-00","9/30/2009 12:00:00 AM","Sunburst","249","0","119","0","30",
"25-101-21885-00-00","8/31/2009 12:00:00 AM","Sunburst","249","0","78","0","31",
"25-101-21885-00-00","7/31/2009 12:00:00 AM","Sunburst","249","0","74","0","31",
"25-101-21885-00-00","6/30/2009 12:00:00 AM","Sunburst","249","0","59","0","30",
"25-101-21885-00-00","5/31/2009 12:00:00 AM","Sunburst","249","0","71","0","31",
"25-101-21885-00-00","4/30/2009 12:00:00 AM","Sunburst","249","0","58","0","30",
"25-101-21885-00-00","3/31/2009 12:00:00 AM","Sunburst","249","0","109","0","31",
"25-101-21885-00-00","2/28/2009 12:00:00 AM","Sunburst","249","0","117","0","28",
"25-101-21885-00-00","1/31/2009 12:00:00 AM","Sunburst","249","0","124","0","31",
"25-101-21885-00-00","12/31/2008 12:00:00 AM","Sunburst","249","0","84","0","31",
"25-101-21885-00-00","11/30/2008 12:00:00 AM","Sunburst","249","0","147","0","30",
"25-101-21885-00-00","10/31/2008 12:00:00 AM","Sunburst","249","0","85","0","31",
"25-101-21885-00-00","9/30/2008 12:00:00 AM","Sunburst","249","0","122","0","30",
"25-101-21885-00-00","8/31/2008 12:00:00 AM","Sunburst","249","0","124","0","31",
"25-101-21885-00-00","7/31/2008 12:00:00 AM","Sunburst","249","0","156","0","31",
"25-101-21885-00-00","6/30/2008 12:00:00 AM","Sunburst","249","0","128","0","30",
"25-101-21885-00-00","5/31/2008 12:00:00 AM","Sunburst","249","0","106","0","31",
"25-101-21885-00-00","4/30/2008 12:00:00 AM","Sunburst","249","0","110","0","30",
"25-101-21885-00-00","3/31/2008 12:00:00 AM","Sunburst","249","0","129","0","30",
"25-101-21885-00-00","2/29/2008 12:00:00 AM","Sunburst","249","0","154","0","28",
"25-101-21885-00-00","1/31/2008 12:00:00 AM","Sunburst","249","0","124","0","31",
"25-101-21885-00-00","12/31/2007 12:00:00 AM","Sunburst","249","0","128","0","31",
"25-101-21885-00-00","11/30/2007 12:00:00 AM","Sunburst","249","0","124","0","30",
"25-101-21885-00-00","10/31/2007 12:00:00 AM","Sunburst","249","0","133","0","30",
"25-101-21885-00-00","9/30/2007 12:00:00 AM","Sunburst","249","0","131","0","30",
