"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25025222240000","Ridge Oil & Gas, LLC","BR  2363","Gas","Producing","Fallon","Cedar Creek","9N-58E","27",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-025-22224-00-00","7/31/2025 12:00:00 AM","Eagle","6132","0","453","2","31",
"25-025-22224-00-00","6/30/2025 12:00:00 AM","Eagle","6132","0","449","2","30",
"25-025-22224-00-00","5/31/2025 12:00:00 AM","Eagle","6132","0","443","0","31",
"25-025-22224-00-00","4/30/2025 12:00:00 AM","Eagle","6132","0","438","0","30",
"25-025-22224-00-00","3/31/2025 12:00:00 AM","Eagle","6132","0","453","0","31",
"25-025-22224-00-00","2/28/2025 12:00:00 AM","Eagle","6132","0","404","0","28",
"25-025-22224-00-00","1/31/2025 12:00:00 AM","Eagle","6132","0","460","0","31",
"25-025-22224-00-00","12/31/2024 12:00:00 AM","Eagle","6132","0","459","0","31",
"25-025-22224-00-00","11/30/2024 12:00:00 AM","Eagle","6132","0","446","0","30",
"25-025-22224-00-00","10/31/2024 12:00:00 AM","Eagle","6132","0","469","2","31",
"25-025-22224-00-00","9/30/2024 12:00:00 AM","Eagle","6132","0","456","2","30",
"25-025-22224-00-00","8/31/2024 12:00:00 AM","Eagle","6132","0","469","2","31",
"25-025-22224-00-00","7/31/2024 12:00:00 AM","Eagle","6132","0","472","2","31",
"25-025-22224-00-00","6/30/2024 12:00:00 AM","Eagle","6132","0","461","2","30",
"25-025-22224-00-00","5/31/2024 12:00:00 AM","Eagle","6132","0","487","2","31",
"25-025-22224-00-00","4/30/2024 12:00:00 AM","Eagle","6132","0","468","2","30",
"25-025-22224-00-00","3/31/2024 12:00:00 AM","Eagle","6132","0","477","2","31",
"25-025-22224-00-00","2/29/2024 12:00:00 AM","Eagle","6132","0","460","2","29",
"25-025-22224-00-00","1/31/2024 12:00:00 AM","Eagle","6132","0","485","2","31",
"25-025-22224-00-00","12/31/2023 12:00:00 AM","Eagle","6132","0","487","2","31",
"25-025-22224-00-00","11/30/2023 12:00:00 AM","Eagle","6132","0","474","2","30",
"25-025-22224-00-00","10/31/2023 12:00:00 AM","Eagle","6132","0","489","1","31",
"25-025-22224-00-00","9/30/2023 12:00:00 AM","Eagle","6132","0","486","2","30",
"25-025-22224-00-00","8/31/2023 12:00:00 AM","Eagle","6132","0","497","2","31",
"25-025-22224-00-00","7/31/2023 12:00:00 AM","Eagle","6132","0","493","2","31",
"25-025-22224-00-00","6/30/2023 12:00:00 AM","Eagle","6132","0","489","2","30",
"25-025-22224-00-00","5/31/2023 12:00:00 AM","Eagle","6132","0","503","2","31",
"25-025-22224-00-00","4/30/2023 12:00:00 AM","Eagle","6132","0","485","2","30",
"25-025-22224-00-00","3/31/2023 12:00:00 AM","Eagle","6132","0","509","2","31",
"25-025-22224-00-00","2/28/2023 12:00:00 AM","Eagle","6132","0","465","2","28",
"25-025-22224-00-00","1/31/2023 12:00:00 AM","Eagle","6132","0","512","2","31",
"25-025-22224-00-00","12/31/2022 12:00:00 AM","Eagle","6132","0","510","2","31",
"25-025-22224-00-00","11/30/2022 12:00:00 AM","Eagle","6132","0","497","2","30",
"25-025-22224-00-00","10/31/2022 12:00:00 AM","Eagle","6132","0","519","2","31",
"25-025-22224-00-00","9/30/2022 12:00:00 AM","Eagle","6132","0","503","2","30",
"25-025-22224-00-00","8/31/2022 12:00:00 AM","Eagle","6132","0","517","2","31",
"25-025-22224-00-00","7/31/2022 12:00:00 AM","Eagle","6132","0","531","2","31",
"25-025-22224-00-00","6/30/2022 12:00:00 AM","Eagle","6132","0","515","2","30",
"25-025-22224-00-00","5/31/2022 12:00:00 AM","Eagle","6132","0","538","2","31",
"25-025-22224-00-00","4/30/2022 12:00:00 AM","Eagle","6132","0","498","2","30",
"25-025-22224-00-00","3/31/2022 12:00:00 AM","Eagle","6132","0","529","2","31",
"25-025-22224-00-00","2/28/2022 12:00:00 AM","Eagle","6132","0","473","2","28",
"25-025-22224-00-00","1/31/2022 12:00:00 AM","Eagle","6132","0","514","2","31",
"25-025-22224-00-00","12/31/2021 12:00:00 AM","Eagle","6132","0","521","2","31",
"25-025-22224-00-00","11/30/2021 12:00:00 AM","Eagle","6132","0","518","2","30",
"25-025-22224-00-00","10/31/2021 12:00:00 AM","Eagle","6132","0","540","2","31",
"25-025-22224-00-00","9/30/2021 12:00:00 AM","Eagle","6132","0","529","2","30",
"25-025-22224-00-00","8/31/2021 12:00:00 AM","Eagle","6132","0","538","2","31",
"25-025-22224-00-00","7/31/2021 12:00:00 AM","Eagle","6132","0","537","2","31",
"25-025-22224-00-00","6/30/2021 12:00:00 AM","Eagle","6132","0","524","2","30",
"25-025-22224-00-00","5/31/2021 12:00:00 AM","Eagle","6132","0","541","2","31",
"25-025-22224-00-00","4/30/2021 12:00:00 AM","Eagle","6132","0","528","2","30",
"25-025-22224-00-00","3/31/2021 12:00:00 AM","Eagle","6132","0","550","2","31",
"25-025-22224-00-00","2/28/2021 12:00:00 AM","Eagle","6132","0","482","2","28",
"25-025-22224-00-00","1/31/2021 12:00:00 AM","Eagle","6132","0","546","2","31",
"25-025-22224-00-00","12/31/2020 12:00:00 AM","Eagle","6132","0","562","2","31",
"25-025-22224-00-00","11/30/2020 12:00:00 AM","Eagle","6132","0","551","2","30",
"25-025-22224-00-00","10/31/2020 12:00:00 AM","Eagle","6132","0","571","2","31",
"25-025-22224-00-00","9/30/2020 12:00:00 AM","Eagle","6132","0","570","2","30",
"25-025-22224-00-00","8/31/2020 12:00:00 AM","Eagle","6132","0","596","2","31",
"25-025-22224-00-00","7/31/2020 12:00:00 AM","Eagle","6132","0","590","2","31",
"25-025-22224-00-00","6/30/2020 12:00:00 AM","Eagle","6132","0","601","2","30",
"25-025-22224-00-00","5/31/2020 12:00:00 AM","Eagle","6132","0","620","2","31",
"25-025-22224-00-00","4/30/2020 12:00:00 AM","Eagle","6132","0","608","2","30",
"25-025-22224-00-00","3/31/2020 12:00:00 AM","Eagle","6132","0","653","2","31",
"25-025-22224-00-00","2/29/2020 12:00:00 AM","Eagle","6132","0","520","2","29",
"25-025-22224-00-00","1/31/2020 12:00:00 AM","Eagle","6132","0","622","2","31",
"25-025-22224-00-00","12/31/2019 12:00:00 AM","Eagle","6132","0","618","2","31",
"25-025-22224-00-00","11/30/2019 12:00:00 AM","Eagle","6132","0","701","2","30",
"25-025-22224-00-00","10/31/2019 12:00:00 AM","Eagle","6132","0","662","2","31",
"25-025-22224-00-00","9/30/2019 12:00:00 AM","Eagle","6132","0","608","2","30",
"25-025-22224-00-00","8/31/2019 12:00:00 AM","Eagle","6132","0","627","2","31",
"25-025-22224-00-00","7/31/2019 12:00:00 AM","Eagle","6132","0","644","2","31",
"25-025-22224-00-00","6/30/2019 12:00:00 AM","Eagle","6132","0","610","0","30",
"25-025-22224-00-00","5/31/2019 12:00:00 AM","Eagle","6132","0","654","0","31",
"25-025-22224-00-00","4/30/2019 12:00:00 AM","Eagle","6132","0","629","0","30",
"25-025-22224-00-00","3/31/2019 12:00:00 AM","Eagle","6132","0","643","1","31",
"25-025-22224-00-00","2/28/2019 12:00:00 AM","Eagle","6132","0","605","2","28",
"25-025-22224-00-00","1/31/2019 12:00:00 AM","Eagle","6132","0","664","2","31",
"25-025-22224-00-00","12/31/2018 12:00:00 AM","Eagle","6132","0","663","2","31",
"25-025-22224-00-00","11/30/2018 12:00:00 AM","Eagle","6132","0","650","2","30",
"25-025-22224-00-00","10/31/2018 12:00:00 AM","Eagle","6132","0","683","2","31",
"25-025-22224-00-00","9/30/2018 12:00:00 AM","Eagle","6132","0","648","2","30",
"25-025-22224-00-00","8/31/2018 12:00:00 AM","Eagle","6132","0","675","2","31",
"25-025-22224-00-00","7/31/2018 12:00:00 AM","Eagle","6132","0","693","2","31",
"25-025-22224-00-00","6/30/2018 12:00:00 AM","Eagle","6132","0","645","2","30",
"25-025-22224-00-00","5/31/2018 12:00:00 AM","Eagle","6132","0","696","2","31",
"25-025-22224-00-00","4/30/2018 12:00:00 AM","Eagle","6132","0","674","2","30",
"25-025-22224-00-00","3/31/2018 12:00:00 AM","Eagle","6132","0","692","2","31",
"25-025-22224-00-00","2/28/2018 12:00:00 AM","Eagle","6132","0","627","2","28",
"25-025-22224-00-00","1/31/2018 12:00:00 AM","Eagle","6132","0","705","2","31",
"25-025-22224-00-00","12/31/2017 12:00:00 AM","Eagle","6132","0","710","2","31",
"25-025-22224-00-00","11/30/2017 12:00:00 AM","Eagle","6132","0","690","2","30",
"25-025-22224-00-00","10/31/2017 12:00:00 AM","Eagle","6132","0","711","2","31",
"25-025-22224-00-00","9/30/2017 12:00:00 AM","Eagle","6132","0","701","2","30",
"25-025-22224-00-00","8/31/2017 12:00:00 AM","Eagle","6132","0","745","2","31",
"25-025-22224-00-00","7/31/2017 12:00:00 AM","Eagle","6132","0","758","0","31",
"25-025-22224-00-00","6/30/2017 12:00:00 AM","Eagle","6132","0","734","0","30",
"25-025-22224-00-00","5/31/2017 12:00:00 AM","Eagle","6132","0","766","0","31",
"25-025-22224-00-00","4/30/2017 12:00:00 AM","Eagle","6132","0","745","0","30",
"25-025-22224-00-00","3/31/2017 12:00:00 AM","Eagle","6132","0","762","0","31",
"25-025-22224-00-00","2/28/2017 12:00:00 AM","Eagle","6132","0","704","0","28",
