"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25005237970000","Citation Oil & Gas Corp.","BSU  H311HR","Oil","Producing","Blaine","Bowes","31N-19E","11",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-005-23797-00-00","7/31/2025 12:00:00 AM","Sawtooth","4344","609","1","9160","31",
"25-005-23797-00-00","6/30/2025 12:00:00 AM","Sawtooth","4344","602","1","8967","30",
"25-005-23797-00-00","5/31/2025 12:00:00 AM","Sawtooth","4344","528","1","7733","31",
"25-005-23797-00-00","4/30/2025 12:00:00 AM","Sawtooth","4344","465","1","6479","30",
"25-005-23797-00-00","3/31/2025 12:00:00 AM","Sawtooth","4344","475","1","6064","31",
"25-005-23797-00-00","2/28/2025 12:00:00 AM","Sawtooth","4344","495","1","8759","27",
"25-005-23797-00-00","1/31/2025 12:00:00 AM","Sawtooth","4344","562","0","9942","30",
"25-005-23797-00-00","12/31/2024 12:00:00 AM","Sawtooth","4344","564","0","10112","30",
"25-005-23797-00-00","11/30/2024 12:00:00 AM","Sawtooth","4344","601","0","10775","30",
"25-005-23797-00-00","10/31/2024 12:00:00 AM","Sawtooth","4344","654","0","11787","30",
"25-005-23797-00-00","9/30/2024 12:00:00 AM","Sawtooth","4344","588","1","9314","30",
"25-005-23797-00-00","8/31/2024 12:00:00 AM","Sawtooth","4344","674","1","11264","31",
"25-005-23797-00-00","7/31/2024 12:00:00 AM","Sawtooth","4344","579","1","12054","31",
"25-005-23797-00-00","6/30/2024 12:00:00 AM","Sawtooth","4344","590","1","10027","30",
"25-005-23797-00-00","5/31/2024 12:00:00 AM","Sawtooth","4344","535","1","11026","29",
"25-005-23797-00-00","4/30/2024 12:00:00 AM","Sawtooth","4344","546","0","11791","30",
"25-005-23797-00-00","3/31/2024 12:00:00 AM","Sawtooth","4344","568","1","10548","31",
"25-005-23797-00-00","2/29/2024 12:00:00 AM","Sawtooth","4344","510","1","8757","29",
"25-005-23797-00-00","1/31/2024 12:00:00 AM","Sawtooth","4344","566","1","8589","31",
"25-005-23797-00-00","12/31/2023 12:00:00 AM","Sawtooth","4344","648","1","10089","31",
"25-005-23797-00-00","11/30/2023 12:00:00 AM","Sawtooth","4344","593","1","8873","30",
"25-005-23797-00-00","10/31/2023 12:00:00 AM","Sawtooth","4344","671","1","9928","31",
"25-005-23797-00-00","9/30/2023 12:00:00 AM","Sawtooth","4344","678","1","9804","30",
"25-005-23797-00-00","8/31/2023 12:00:00 AM","Sawtooth","4344","670","1","9558","31",
"25-005-23797-00-00","7/31/2023 12:00:00 AM","Sawtooth","4344","673","2","10199","31",
"25-005-23797-00-00","6/30/2023 12:00:00 AM","Sawtooth","4344","562","1","11409","30",
"25-005-23797-00-00","5/31/2023 12:00:00 AM","Sawtooth","4344","660","1","11955","31",
"25-005-23797-00-00","4/30/2023 12:00:00 AM","Sawtooth","4344","209","1","3761","30",
"25-005-23797-00-00","3/31/2023 12:00:00 AM","Sawtooth","4344","198","1","3378","31",
"25-005-23797-00-00","2/28/2023 12:00:00 AM","Sawtooth","4344","349","0","4776","28",
"25-005-23797-00-00","1/31/2023 12:00:00 AM","Sawtooth","4344","271","1","4959","31",
"25-005-23797-00-00","12/31/2022 12:00:00 AM","Sawtooth","4344","0","0","825","31",
"25-005-23797-00-00","11/30/2022 12:00:00 AM","Sawtooth","4344","18","0","1631","30",
"25-005-23797-00-00","10/31/2022 12:00:00 AM","Sawtooth","4344","29","0","1230","31",
"25-005-23797-00-00","9/30/2022 12:00:00 AM","Sawtooth","4344","353","1","3079","30",
"25-005-23797-00-00","8/31/2022 12:00:00 AM","Sawtooth","4344","406","1","5019","31",
"25-005-23797-00-00","7/31/2022 12:00:00 AM","Sawtooth","4344","427","1","5611","31",
"25-005-23797-00-00","6/30/2022 12:00:00 AM","Sawtooth","4344","443","1","6487","30",
"25-005-23797-00-00","5/31/2022 12:00:00 AM","Sawtooth","4344","390","1","6312","31",
"25-005-23797-00-00","4/30/2022 12:00:00 AM","Sawtooth","4344","291","1","4915","24",
"25-005-23797-00-00","3/31/2022 12:00:00 AM","Sawtooth","4344","404","1","3233","31",
"25-005-23797-00-00","2/28/2022 12:00:00 AM","Sawtooth","4344","393","1","6670","28",
"25-005-23797-00-00","1/31/2022 12:00:00 AM","Sawtooth","4344","440","2","8208","31",
"25-005-23797-00-00","12/31/2021 12:00:00 AM","Sawtooth","4344","435","1","7826","31",
"25-005-23797-00-00","11/30/2021 12:00:00 AM","Sawtooth","4344","510","1","7684","30",
"25-005-23797-00-00","10/31/2021 12:00:00 AM","Sawtooth","4344","417","1","6203","25",
"25-005-23797-00-00","9/30/2021 12:00:00 AM","Sawtooth","4344","390","2","8616","29",
"25-005-23797-00-00","8/31/2021 12:00:00 AM","Sawtooth","4344","463","2","9353","31",
"25-005-23797-00-00","7/31/2021 12:00:00 AM","Sawtooth","4344","520","2","8974","31",
"25-005-23797-00-00","6/30/2021 12:00:00 AM","Sawtooth","4344","425","2","7433","30",
"25-005-23797-00-00","5/31/2021 12:00:00 AM","Sawtooth","4344","307","2","6425","31",
"25-005-23797-00-00","4/30/2021 12:00:00 AM","Sawtooth","4344","318","2","7109","30",
"25-005-23797-00-00","3/31/2021 12:00:00 AM","Sawtooth","4344","334","0","7203","27",
"25-005-23797-00-00","2/28/2021 12:00:00 AM","Sawtooth","4344","240","2","5171","21",
"25-005-23797-00-00","1/31/2021 12:00:00 AM","Sawtooth","4344","462","32","9965","31",
"25-005-23797-00-00","12/31/2020 12:00:00 AM","Sawtooth","4344","485","31","11432","31",
"25-005-23797-00-00","11/30/2020 12:00:00 AM","Sawtooth","4344","621","32","11812","30",
"25-005-23797-00-00","10/31/2020 12:00:00 AM","Sawtooth","4344","537","10","4764","17",
"25-005-23797-00-00","9/30/2020 12:00:00 AM","Sawtooth","4344","0","0","0","0",
"25-005-23797-00-00","8/31/2020 12:00:00 AM","Sawtooth","4344","0","0","0","0",
"25-005-23797-00-00","7/31/2020 12:00:00 AM","Sawtooth","4344","0","0","0","0",
"25-005-23797-00-00","6/30/2020 12:00:00 AM","Sawtooth","4344","0","0","0","0",
"25-005-23797-00-00","5/31/2020 12:00:00 AM","Sawtooth","4344","0","0","0","0",
"25-005-23797-00-00","4/30/2020 12:00:00 AM","Sawtooth","4344","380","1","8851","30",
"25-005-23797-00-00","3/31/2020 12:00:00 AM","Sawtooth","4344","189","1","7076","31",
"25-005-23797-00-00","2/29/2020 12:00:00 AM","Sawtooth","4344","59","1","4460","11",
"25-005-23797-00-00","1/31/2020 12:00:00 AM","Sawtooth","4344","0","0","0","0",
"25-005-23797-00-00","12/31/2019 12:00:00 AM","Sawtooth","4344","0","0","0","0",
"25-005-23797-00-00","11/30/2019 12:00:00 AM","Sawtooth","4344","77","1","4533","17",
"25-005-23797-00-00","10/31/2019 12:00:00 AM","Sawtooth","4344","64","0","1341","5",
"25-005-23797-00-00","9/30/2019 12:00:00 AM","Sawtooth","4344","272","1","5838","23",
"25-005-23797-00-00","8/31/2019 12:00:00 AM","Sawtooth","4344","372","0","8001","31",
"25-005-23797-00-00","7/31/2019 12:00:00 AM","Sawtooth","4344","373","0","8435","31",
"25-005-23797-00-00","6/30/2019 12:00:00 AM","Sawtooth","4344","273","0","7139","30",
"25-005-23797-00-00","5/31/2019 12:00:00 AM","Sawtooth","4344","493","0","9687","31",
"25-005-23797-00-00","4/30/2019 12:00:00 AM","Sawtooth","4344","444","0","9304","30",
"25-005-23797-00-00","3/31/2019 12:00:00 AM","Sawtooth","4344","312","0","5871","26",
"25-005-23797-00-00","2/28/2019 12:00:00 AM","Sawtooth","4344","291","0","6273","28",
"25-005-23797-00-00","1/31/2019 12:00:00 AM","Sawtooth","4344","363","0","5461","31",
"25-005-23797-00-00","12/31/2018 12:00:00 AM","Sawtooth","4344","283","0","3618","28",
"25-005-23797-00-00","11/30/2018 12:00:00 AM","Sawtooth","4344","301","0","3861","30",
"25-005-23797-00-00","10/31/2018 12:00:00 AM","Sawtooth","4344","306","0","4030","30",
"25-005-23797-00-00","9/30/2018 12:00:00 AM","Sawtooth","4344","330","0","4089","30",
"25-005-23797-00-00","8/31/2018 12:00:00 AM","Sawtooth","4344","377","0","4644","30",
"25-005-23797-00-00","7/31/2018 12:00:00 AM","Sawtooth","4344","424","0","6827","31",
"25-005-23797-00-00","6/30/2018 12:00:00 AM","Sawtooth","4344","436","0","5462","30",
"25-005-23797-00-00","5/31/2018 12:00:00 AM","Sawtooth","4344","613","0","4508","28",
"25-005-23797-00-00","4/30/2018 12:00:00 AM","Sawtooth","4344","203","0","2096","29",
"25-005-23797-00-00","3/31/2018 12:00:00 AM","Sawtooth","4344","261","0","3242","31",
"25-005-23797-00-00","2/28/2018 12:00:00 AM","Sawtooth","4344","350","0","5501","28",
"25-005-23797-00-00","1/31/2018 12:00:00 AM","Sawtooth","4344","356","0","5695","31",
"25-005-23797-00-00","12/31/2017 12:00:00 AM","Sawtooth","4344","440","0","4597","31",
"25-005-23797-00-00","11/30/2017 12:00:00 AM","Sawtooth","4344","247","0","2146","15",
"25-005-23797-00-00","10/31/2017 12:00:00 AM","Sawtooth","4344","301","0","3548","25",
"25-005-23797-00-00","9/30/2017 12:00:00 AM","Sawtooth","4344","516","0","6572","30",
"25-005-23797-00-00","8/31/2017 12:00:00 AM","Sawtooth","4344","546","0","6929","31",
"25-005-23797-00-00","7/31/2017 12:00:00 AM","Sawtooth","4344","354","0","5992","31",
"25-005-23797-00-00","6/30/2017 12:00:00 AM","Sawtooth","4344","224","0","3999","21",
"25-005-23797-00-00","5/31/2017 12:00:00 AM","Sawtooth","4344","371","0","6360","31",
"25-005-23797-00-00","4/30/2017 12:00:00 AM","Sawtooth","4344","386","0","7201","30",
"25-005-23797-00-00","3/31/2017 12:00:00 AM","Sawtooth","4344","570","0","8095","31",
"25-005-23797-00-00","2/28/2017 12:00:00 AM","Sawtooth","4344","536","0","7111","27",
"25-005-23797-00-00","1/31/2017 12:00:00 AM","Sawtooth","4344","534","0","9011","31",
"25-005-23797-00-00","12/31/2016 12:00:00 AM","Sawtooth","4344","568","0","9203","31",
"25-005-23797-00-00","11/30/2016 12:00:00 AM","Sawtooth","4344","404","0","6515","30",
"25-005-23797-00-00","10/31/2016 12:00:00 AM","Sawtooth","4344","494","0","6651","31",
"25-005-23797-00-00","9/30/2016 12:00:00 AM","Sawtooth","4344","592","0","8007","30",
"25-005-23797-00-00","8/31/2016 12:00:00 AM","Sawtooth","4344","679","0","9425","31",
"25-005-23797-00-00","7/31/2016 12:00:00 AM","Sawtooth","4344","1068","0","4977","31",
"25-005-23797-00-00","6/30/2016 12:00:00 AM","Sawtooth","4344","513","0","5787","30",
"25-005-23797-00-00","5/31/2016 12:00:00 AM","Sawtooth","4344","978","0","11344","31",
"25-005-23797-00-00","4/30/2016 12:00:00 AM","Sawtooth","4344","504","0","6533","30",
"25-005-23797-00-00","3/31/2016 12:00:00 AM","Sawtooth","4344","704","0","13045","31",
"25-005-23797-00-00","2/29/2016 12:00:00 AM","Sawtooth","4344","885","0","9802","29",
"25-005-23797-00-00","1/31/2016 12:00:00 AM","Sawtooth","4344","1264","0","10550","31",
"25-005-23797-00-00","12/31/2015 12:00:00 AM","Sawtooth","4344","1279","0","16028","31",
"25-005-23797-00-00","11/30/2015 12:00:00 AM","Sawtooth","4344","1027","0","14179","30",
"25-005-23797-00-00","10/31/2015 12:00:00 AM","Sawtooth","4344","1139","0","14460","31",
"25-005-23797-00-00","9/30/2015 12:00:00 AM","Sawtooth","4344","1140","0","14234","30",
"25-005-23797-00-00","8/31/2015 12:00:00 AM","Sawtooth","4344","1130","0","14926","31",
"25-005-23797-00-00","7/31/2015 12:00:00 AM","Sawtooth","4344","763","0","8570","18",
"25-005-23797-00-00","6/30/2015 12:00:00 AM","Sawtooth","4344","1068","0","13726","30",
"25-005-23797-00-00","5/31/2015 12:00:00 AM","Sawtooth","4344","870","0","11788","24",
"25-005-23797-00-00","4/30/2015 12:00:00 AM","Sawtooth","4344","425","0","7532","29",
"25-005-23797-00-00","3/31/2015 12:00:00 AM","Sawtooth","4344","928","0","9372","27",
"25-005-23797-00-00","2/28/2015 12:00:00 AM","Sawtooth","4344","862","0","9726","28",
"25-005-23797-00-00","1/31/2015 12:00:00 AM","Sawtooth","4344","775","0","3160","27",
"25-005-23797-00-00","12/31/2014 12:00:00 AM","Sawtooth","4344","954","0","4756","31",
"25-005-23797-00-00","11/30/2014 12:00:00 AM","Sawtooth","4344","830","0","3912","26",
"25-005-23797-00-00","10/31/2014 12:00:00 AM","Sawtooth","4344","881","0","4376","27",
