"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25099212810000","Robert Hawkins, Inc.","Brownell  5","Oil","Producing","Teton","Pondera","27N-5W","1",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-099-21281-00-00","6/30/2025 12:00:00 AM","Sun River Dolomite","311","50","0","0","15",
"25-099-21281-00-00","5/31/2025 12:00:00 AM","Sun River Dolomite","311","30","0","0","15",
"25-099-21281-00-00","4/30/2025 12:00:00 AM","Sun River Dolomite","311","29","0","0","15",
"25-099-21281-00-00","3/31/2025 12:00:00 AM","Sun River Dolomite","311","48","0","0","15",
"25-099-21281-00-00","2/28/2025 12:00:00 AM","Sun River Dolomite","311","42","0","0","15",
"25-099-21281-00-00","1/31/2025 12:00:00 AM","Sun River Dolomite","311","46","0","0","15",
"25-099-21281-00-00","12/31/2024 12:00:00 AM","Sun River Dolomite","311","55","0","0","15",
"25-099-21281-00-00","11/30/2024 12:00:00 AM","Sun River Dolomite","311","75","0","0","15",
"25-099-21281-00-00","10/31/2024 12:00:00 AM","Sun River Dolomite","311","39","0","0","15",
"25-099-21281-00-00","9/30/2024 12:00:00 AM","Sun River Dolomite","311","0","0","0","0",
"25-099-21281-00-00","8/31/2024 12:00:00 AM","Sun River Dolomite","311","77","0","0","15",
"25-099-21281-00-00","7/31/2024 12:00:00 AM","Sun River Dolomite","311","40","0","0","15",
"25-099-21281-00-00","6/30/2024 12:00:00 AM","Sun River Dolomite","311","40","0","0","15",
"25-099-21281-00-00","5/31/2024 12:00:00 AM","Sun River Dolomite","311","42","0","0","15",
"25-099-21281-00-00","4/30/2024 12:00:00 AM","Sun River Dolomite","311","42","0","0","15",
"25-099-21281-00-00","3/31/2024 12:00:00 AM","Sun River Dolomite","311","0","0","0","0",
"25-099-21281-00-00","2/29/2024 12:00:00 AM","Sun River Dolomite","311","72","0","0","15",
"25-099-21281-00-00","1/31/2024 12:00:00 AM","Sun River Dolomite","311","32","0","0","7",
"25-099-21281-00-00","12/31/2023 12:00:00 AM","Sun River Dolomite","311","50","0","0","15",
"25-099-21281-00-00","11/30/2023 12:00:00 AM","Sun River Dolomite","311","30","0","0","15",
"25-099-21281-00-00","10/31/2023 12:00:00 AM","Sun River Dolomite","311","0","0","0","0",
"25-099-21281-00-00","9/30/2023 12:00:00 AM","Sun River Dolomite","311","60","0","0","20",
"25-099-21281-00-00","8/31/2023 12:00:00 AM","Sun River Dolomite","311","50","0","0","20",
"25-099-21281-00-00","7/31/2023 12:00:00 AM","Sun River Dolomite","311","20","0","0","20",
"25-099-21281-00-00","6/30/2023 12:00:00 AM","Sun River Dolomite","311","20","0","0","20",
"25-099-21281-00-00","5/31/2023 12:00:00 AM","Sun River Dolomite","311","50","0","0","20",
"25-099-21281-00-00","4/30/2023 12:00:00 AM","Sun River Dolomite","311","49","0","0","30",
"25-099-21281-00-00","3/31/2023 12:00:00 AM","Sun River Dolomite","311","0","0","0","0",
"25-099-21281-00-00","2/28/2023 12:00:00 AM","Sun River Dolomite","311","0","0","0","0",
"25-099-21281-00-00","1/31/2023 12:00:00 AM","Sun River Dolomite","311","30","0","0","15",
"25-099-21281-00-00","12/31/2022 12:00:00 AM","Sun River Dolomite","311","30","0","0","15",
"25-099-21281-00-00","11/30/2022 12:00:00 AM","Sun River Dolomite","311","30","0","0","15",
"25-099-21281-00-00","10/31/2022 12:00:00 AM","Sun River Dolomite","311","30","0","0","15",
"25-099-21281-00-00","9/30/2022 12:00:00 AM","Sun River Dolomite","311","30","0","0","15",
"25-099-21281-00-00","8/31/2022 12:00:00 AM","Sun River Dolomite","311","30","0","0","16",
"25-099-21281-00-00","7/31/2022 12:00:00 AM","Sun River Dolomite","311","30","0","0","15",
"25-099-21281-00-00","6/30/2022 12:00:00 AM","Sun River Dolomite","311","30","0","0","15",
"25-099-21281-00-00","5/31/2022 12:00:00 AM","Sun River Dolomite","311","30","0","0","15",
"25-099-21281-00-00","4/30/2022 12:00:00 AM","Sun River Dolomite","311","27","0","0","15",
"25-099-21281-00-00","3/31/2022 12:00:00 AM","Sun River Dolomite","311","27","0","0","16",
"25-099-21281-00-00","2/28/2022 12:00:00 AM","Sun River Dolomite","311","27","0","0","15",
"25-099-21281-00-00","1/31/2022 12:00:00 AM","Sun River Dolomite","311","0","0","0","0",
"25-099-21281-00-00","12/31/2021 12:00:00 AM","Sun River Dolomite","311","0","0","0","0",
"25-099-21281-00-00","11/30/2021 12:00:00 AM","Sun River Dolomite","311","15","0","0","15",
"25-099-21281-00-00","10/31/2021 12:00:00 AM","Sun River Dolomite","311","0","0","0","0",
"25-099-21281-00-00","9/30/2021 12:00:00 AM","Sun River Dolomite","311","30","0","0","15",
"25-099-21281-00-00","8/31/2021 12:00:00 AM","Sun River Dolomite","311","30","0","0","15",
"25-099-21281-00-00","7/31/2021 12:00:00 AM","Sun River Dolomite","311","30","0","0","15",
"25-099-21281-00-00","6/30/2021 12:00:00 AM","Sun River Dolomite","311","30","0","0","15",
"25-099-21281-00-00","5/31/2021 12:00:00 AM","Sun River Dolomite","311","30","0","0","15",
"25-099-21281-00-00","4/30/2021 12:00:00 AM","Sun River Dolomite","311","30","0","0","15",
"25-099-21281-00-00","3/31/2021 12:00:00 AM","Sun River Dolomite","311","30","0","0","15",
"25-099-21281-00-00","2/28/2021 12:00:00 AM","Sun River Dolomite","311","51","0","0","28",
"25-099-21281-00-00","1/31/2021 12:00:00 AM","Sun River Dolomite","311","66","0","0","31",
"25-099-21281-00-00","12/31/2020 12:00:00 AM","Sun River Dolomite","311","93","0","0","31",
"25-099-21281-00-00","11/30/2020 12:00:00 AM","Sun River Dolomite","311","92","0","0","30",
"25-099-21281-00-00","10/31/2020 12:00:00 AM","Sun River Dolomite","311","0","0","0","0",
"25-099-21281-00-00","9/30/2020 12:00:00 AM","Sun River Dolomite","311","30","0","0","15",
"25-099-21281-00-00","8/31/2020 12:00:00 AM","Sun River Dolomite","311","30","0","0","15",
"25-099-21281-00-00","7/31/2020 12:00:00 AM","Sun River Dolomite","311","30","0","0","15",
"25-099-21281-00-00","6/30/2020 12:00:00 AM","Sun River Dolomite","311","37","0","0","30",
