"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25083220170000","MorningStar Operating LLC","Cable-Leonard  29-14H","Oil","Producing","Richland","Elm Coulee","25N-54E","29",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-083-22017-00-00","7/31/2025 12:00:00 AM","Bakken","6779","273","642","44","31",
"25-083-22017-00-00","6/30/2025 12:00:00 AM","Bakken","6779","264","591","38","30",
"25-083-22017-00-00","5/31/2025 12:00:00 AM","Bakken","6779","243","608","32","31",
"25-083-22017-00-00","4/30/2025 12:00:00 AM","Bakken","6779","278","634","45","30",
"25-083-22017-00-00","3/31/2025 12:00:00 AM","Bakken","6779","305","641","27","31",
"25-083-22017-00-00","2/28/2025 12:00:00 AM","Bakken","6779","356","534","37","28",
"25-083-22017-00-00","1/31/2025 12:00:00 AM","Bakken","6779","337","574","124","31",
"25-083-22017-00-00","12/31/2024 12:00:00 AM","Bakken","6779","329","391","117","30",
"25-083-22017-00-00","11/30/2024 12:00:00 AM","Bakken","6779","0","43","0","30",
"25-083-22017-00-00","10/31/2024 12:00:00 AM","Bakken","6779","130","311","59","28",
"25-083-22017-00-00","9/30/2024 12:00:00 AM","Bakken","6779","223","479","1","30",
"25-083-22017-00-00","8/31/2024 12:00:00 AM","Bakken","6779","267","670","69","29",
"25-083-22017-00-00","7/31/2024 12:00:00 AM","Bakken","6779","164","560","74","31",
"25-083-22017-00-00","6/30/2024 12:00:00 AM","Bakken","6779","205","596","19","30",
"25-083-22017-00-00","5/31/2024 12:00:00 AM","Bakken","6779","283","633","24","31",
"25-083-22017-00-00","4/30/2024 12:00:00 AM","Bakken","6779","289","665","29","30",
"25-083-22017-00-00","3/31/2024 12:00:00 AM","Bakken","6779","204","566","72","31",
"25-083-22017-00-00","2/29/2024 12:00:00 AM","Bakken","6779","270","557","5","29",
"25-083-22017-00-00","1/31/2024 12:00:00 AM","Bakken","6779","266","458","39","29",
"25-083-22017-00-00","12/31/2023 12:00:00 AM","Bakken","6779","207","625","7","31",
"25-083-22017-00-00","11/30/2023 12:00:00 AM","Bakken","6779","205","616","27","30",
"25-083-22017-00-00","10/31/2023 12:00:00 AM","Bakken","6779","182","605","35","31",
"25-083-22017-00-00","9/30/2023 12:00:00 AM","Bakken","6779","185","619","35","30",
"25-083-22017-00-00","8/31/2023 12:00:00 AM","Bakken","6779","193","637","14","31",
"25-083-22017-00-00","7/31/2023 12:00:00 AM","Bakken","6779","200","706","25","31",
"25-083-22017-00-00","6/30/2023 12:00:00 AM","Bakken","6779","290","858","50","30",
"25-083-22017-00-00","5/31/2023 12:00:00 AM","Bakken","6779","275","768","35","31",
"25-083-22017-00-00","4/30/2023 12:00:00 AM","Bakken","6779","226","732","22","30",
"25-083-22017-00-00","3/31/2023 12:00:00 AM","Bakken","6779","331","923","40","31",
"25-083-22017-00-00","2/28/2023 12:00:00 AM","Bakken","6779","279","807","32","28",
"25-083-22017-00-00","1/31/2023 12:00:00 AM","Bakken","6779","319","836","29","31",
"25-083-22017-00-00","12/31/2022 12:00:00 AM","Bakken","6779","262","719","33","23",
"25-083-22017-00-00","11/30/2022 12:00:00 AM","Bakken","6779","260","781","34","30",
"25-083-22017-00-00","10/31/2022 12:00:00 AM","Bakken","6779","286","842","32","31",
"25-083-22017-00-00","9/30/2022 12:00:00 AM","Bakken","6779","308","880","39","30",
"25-083-22017-00-00","8/31/2022 12:00:00 AM","Bakken","6779","232","693","4","31",
"25-083-22017-00-00","7/31/2022 12:00:00 AM","Bakken","6779","420","1119","0","31",
"25-083-22017-00-00","6/30/2022 12:00:00 AM","Bakken","6779","248","715","22","30",
"25-083-22017-00-00","5/31/2022 12:00:00 AM","Bakken","6779","300","817","2","31",
"25-083-22017-00-00","4/30/2022 12:00:00 AM","Bakken","6779","293","854","85","30",
"25-083-22017-00-00","3/31/2022 12:00:00 AM","Bakken","6779","366","1037","72","31",
"25-083-22017-00-00","2/28/2022 12:00:00 AM","Bakken","6779","443","1156","45","28",
"25-083-22017-00-00","1/31/2022 12:00:00 AM","Bakken","6779","320","831","2","31",
"25-083-22017-00-00","12/31/2021 12:00:00 AM","Bakken","6779","359","898","5","31",
"25-083-22017-00-00","11/30/2021 12:00:00 AM","Bakken","6779","428","1070","34","30",
"25-083-22017-00-00","10/31/2021 12:00:00 AM","Bakken","6779","407","1018","42","31",
"25-083-22017-00-00","9/30/2021 12:00:00 AM","Bakken","6779","354","885","40","30",
