"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25083223180000","Continental Resources Inc","Charlotte  1-11H","Oil","Producing","Richland","Elm Coulee","25N-52E","11",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-083-22318-00-00","7/31/2025 12:00:00 AM","Bakken","10274","179","608","29","31",
"25-083-22318-00-00","6/30/2025 12:00:00 AM","Bakken","10274","185","584","35","30",
"25-083-22318-00-00","5/31/2025 12:00:00 AM","Bakken","10274","142","428","23","22",
"25-083-22318-00-00","4/30/2025 12:00:00 AM","Bakken","10274","165","527","22","30",
"25-083-22318-00-00","3/31/2025 12:00:00 AM","Bakken","10274","189","549","28","31",
"25-083-22318-00-00","2/28/2025 12:00:00 AM","Bakken","10274","156","451","24","28",
"25-083-22318-00-00","1/31/2025 12:00:00 AM","Bakken","10274","172","533","26","31",
"25-083-22318-00-00","12/31/2024 12:00:00 AM","Bakken","10274","184","570","29","31",
"25-083-22318-00-00","11/30/2024 12:00:00 AM","Bakken","10274","186","556","35","30",
"25-083-22318-00-00","10/31/2024 12:00:00 AM","Bakken","10274","186","574","23","31",
"25-083-22318-00-00","9/30/2024 12:00:00 AM","Bakken","10274","154","560","12","30",
"25-083-22318-00-00","8/31/2024 12:00:00 AM","Bakken","10274","190","593","30","31",
"25-083-22318-00-00","7/31/2024 12:00:00 AM","Bakken","10274","179","553","31","31",
"25-083-22318-00-00","6/30/2024 12:00:00 AM","Bakken","10274","155","527","19","30",
"25-083-22318-00-00","5/31/2024 12:00:00 AM","Bakken","10274","174","528","21","31",
"25-083-22318-00-00","4/30/2024 12:00:00 AM","Bakken","10274","174","530","28","30",
"25-083-22318-00-00","3/31/2024 12:00:00 AM","Bakken","10274","177","522","23","31",
"25-083-22318-00-00","2/29/2024 12:00:00 AM","Bakken","10274","149","468","16","29",
"25-083-22318-00-00","1/31/2024 12:00:00 AM","Bakken","10274","186","483","32","31",
"25-083-22318-00-00","12/31/2023 12:00:00 AM","Bakken","10274","175","513","19","31",
"25-083-22318-00-00","11/30/2023 12:00:00 AM","Bakken","10274","151","553","25","30",
"25-083-22318-00-00","10/31/2023 12:00:00 AM","Bakken","10274","154","656","73","31",
"25-083-22318-00-00","9/30/2023 12:00:00 AM","Bakken","10274","130","656","31","30",
"25-083-22318-00-00","8/31/2023 12:00:00 AM","Bakken","10274","150","692","36","31",
"25-083-22318-00-00","7/31/2023 12:00:00 AM","Bakken","10274","179","651","183","31",
"25-083-22318-00-00","6/30/2023 12:00:00 AM","Bakken","10274","130","642","30","30",
"25-083-22318-00-00","5/31/2023 12:00:00 AM","Bakken","10274","115","503","28","21",
"25-083-22318-00-00","4/30/2023 12:00:00 AM","Bakken","10274","126","599","24","30",
"25-083-22318-00-00","3/31/2023 12:00:00 AM","Bakken","10274","140","633","35","31",
"25-083-22318-00-00","2/28/2023 12:00:00 AM","Bakken","10274","125","571","23","28",
"25-083-22318-00-00","1/31/2023 12:00:00 AM","Bakken","10274","144","628","32","31",
"25-083-22318-00-00","12/31/2022 12:00:00 AM","Bakken","10274","136","613","52","31",
"25-083-22318-00-00","11/30/2022 12:00:00 AM","Bakken","10274","146","649","43","30",
"25-083-22318-00-00","10/31/2022 12:00:00 AM","Bakken","10274","154","690","51","31",
"25-083-22318-00-00","9/30/2022 12:00:00 AM","Bakken","10274","177","655","53","30",
"25-083-22318-00-00","8/31/2022 12:00:00 AM","Bakken","10274","186","644","28","31",
"25-083-22318-00-00","7/31/2022 12:00:00 AM","Bakken","10274","212","680","62","31",
"25-083-22318-00-00","6/30/2022 12:00:00 AM","Bakken","10274","240","671","45","30",
"25-083-22318-00-00","5/31/2022 12:00:00 AM","Bakken","10274","148","334","38","16",
"25-083-22318-00-00","4/30/2022 12:00:00 AM","Bakken","10274","218","611","48","30",
"25-083-22318-00-00","3/31/2022 12:00:00 AM","Bakken","10274","225","639","53","31",
"25-083-22318-00-00","2/28/2022 12:00:00 AM","Bakken","10274","213","581","45","28",
"25-083-22318-00-00","1/31/2022 12:00:00 AM","Bakken","10274","237","645","53","31",
"25-083-22318-00-00","12/31/2021 12:00:00 AM","Bakken","10274","238","646","45","31",
"25-083-22318-00-00","11/30/2021 12:00:00 AM","Bakken","10274","231","635","47","30",
"25-083-22318-00-00","10/31/2021 12:00:00 AM","Bakken","10274","228","650","52","31",
"25-083-22318-00-00","9/30/2021 12:00:00 AM","Bakken","10274","234","630","47","28",
"25-083-22318-00-00","8/31/2021 12:00:00 AM","Bakken","10274","276","689","36","30",
"25-083-22318-00-00","7/31/2021 12:00:00 AM","Bakken","10274","293","710","37","31",
"25-083-22318-00-00","6/30/2021 12:00:00 AM","Bakken","10274","288","672","32","30",
"25-083-22318-00-00","5/31/2021 12:00:00 AM","Bakken","10274","314","653","30","31",
"25-083-22318-00-00","4/30/2021 12:00:00 AM","Bakken","10274","291","666","44","30",
"25-083-22318-00-00","3/31/2021 12:00:00 AM","Bakken","10274","324","695","39","31",
"25-083-22318-00-00","2/28/2021 12:00:00 AM","Bakken","10274","303","622","34","28",
"25-083-22318-00-00","1/31/2021 12:00:00 AM","Bakken","10274","345","700","39","31",
"25-083-22318-00-00","12/31/2020 12:00:00 AM","Bakken","10274","360","714","42","31",
"25-083-22318-00-00","11/30/2020 12:00:00 AM","Bakken","10274","372","711","44","30",
"25-083-22318-00-00","10/31/2020 12:00:00 AM","Bakken","10274","406","788","47","31",
"25-083-22318-00-00","9/30/2020 12:00:00 AM","Bakken","10274","344","565","51","23",
"25-083-22318-00-00","8/31/2020 12:00:00 AM","Bakken","10274","0","0","0","0",
"25-083-22318-00-00","7/31/2020 12:00:00 AM","Bakken","10274","0","0","0","0",
