"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25085215700000","Fort Peck Tribes","Chaske  43-32","Oil","Unknown","Roosevelt","Poplar, Northwest","30N-50E","32",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-085-21570-00-00","7/31/1997 12:00:00 AM","Charles C","4658","0","0","0","0",
"25-085-21570-00-00","6/30/1997 12:00:00 AM","Charles C","4658","376","0","183","30",
"25-085-21570-00-00","5/31/1997 12:00:00 AM","Charles C","4658","344","0","217","26",
"25-085-21570-00-00","4/30/1997 12:00:00 AM","Charles C","4658","367","0","192","30",
"25-085-21570-00-00","3/31/1997 12:00:00 AM","Charles C","4658","374","0","195","31",
"25-085-21570-00-00","2/28/1997 12:00:00 AM","Charles C","4658","349","0","0","28",
"25-085-21570-00-00","1/31/1997 12:00:00 AM","Charles C","4658","390","0","184","31",
"25-085-21570-00-00","12/31/1996 12:00:00 AM","Charles C","4658","394","0","196","31",
"25-085-21570-00-00","11/30/1996 12:00:00 AM","Charles C","4658","392","0","172","30",
"25-085-21570-00-00","10/31/1996 12:00:00 AM","Charles C","4658","402","0","181","31",
"25-085-21570-00-00","9/30/1996 12:00:00 AM","Charles C","4658","397","0","172","30",
"25-085-21570-00-00","8/31/1996 12:00:00 AM","Charles C","4658","420","0","180","31",
"25-085-21570-00-00","7/31/1996 12:00:00 AM","Charles C","4658","420","0","173","31",
"25-085-21570-00-00","6/30/1996 12:00:00 AM","Charles C","4658","397","0","174","30",
"25-085-21570-00-00","5/31/1996 12:00:00 AM","Charles C","4658","414","0","182","27",
"25-085-21570-00-00","4/30/1996 12:00:00 AM","Charles C","4658","437","0","197","29",
"25-085-21570-00-00","3/31/1996 12:00:00 AM","Charles C","4658","404","0","0","28",
"25-085-21570-00-00","2/29/1996 12:00:00 AM","Charles C","4658","367","0","133","28",
"25-085-21570-00-00","1/31/1996 12:00:00 AM","Charles C","4658","452","0","115","28",
"25-085-21570-00-00","12/31/1995 12:00:00 AM","Charles C","4658","453","0","209","30",
"25-085-21570-00-00","11/30/1995 12:00:00 AM","Charles C","4658","285","0","212","17",
"25-085-21570-00-00","10/31/1995 12:00:00 AM","Charles C","4658","464","0","156","31",
"25-085-21570-00-00","9/30/1995 12:00:00 AM","Charles C","4658","431","0","175","29",
"25-085-21570-00-00","8/31/1995 12:00:00 AM","Charles C","4658","460","0","166","31",
"25-085-21570-00-00","7/31/1995 12:00:00 AM","Charles C","4658","489","0","158","29",
"25-085-21570-00-00","6/30/1995 12:00:00 AM","Charles C","4658","393","0","175","21",
"25-085-21570-00-00","5/31/1995 12:00:00 AM","Charles C","4658","503","0","164","31",
"25-085-21570-00-00","4/30/1995 12:00:00 AM","Charles C","4658","513","0","157","30",
"25-085-21570-00-00","3/31/1995 12:00:00 AM","Charles C","4658","551","0","154","31",
"25-085-21570-00-00","2/28/1995 12:00:00 AM","Charles C","4658","517","0","143","28",
"25-085-21570-00-00","1/31/1995 12:00:00 AM","Charles C","4658","520","0","252","27",
"25-085-21570-00-00","12/31/1994 12:00:00 AM","Charles C","4658","596","0","151","31",
"25-085-21570-00-00","11/30/1994 12:00:00 AM","Charles C","4658","568","0","148","30",
"25-085-21570-00-00","10/31/1994 12:00:00 AM","Charles C","4658","594","0","137","31",
"25-085-21570-00-00","9/30/1994 12:00:00 AM","Charles C","4658","570","0","138","30",
"25-085-21570-00-00","8/31/1994 12:00:00 AM","Charles C","4658","618","0","192","27",
"25-085-21570-00-00","7/31/1994 12:00:00 AM","Charles C","4658","554","0","165","28",
"25-085-21570-00-00","6/30/1994 12:00:00 AM","Charles C","4658","513","0","161","28",
"25-085-21570-00-00","5/31/1994 12:00:00 AM","Charles C","4658","605","0","114","31",
"25-085-21570-00-00","4/30/1994 12:00:00 AM","Charles C","4658","606","0","102","30",
"25-085-21570-00-00","3/31/1994 12:00:00 AM","Charles C","4658","663","0","132","31",
"25-085-21570-00-00","2/28/1994 12:00:00 AM","Charles C","4658","562","0","120","24",
"25-085-21570-00-00","1/31/1994 12:00:00 AM","Charles C","4658","694","0","90","31",
"25-085-21570-00-00","12/31/1993 12:00:00 AM","Charles C","4658","695","0","109","31",
"25-085-21570-00-00","11/30/1993 12:00:00 AM","Charles C","4658","611","0","70","26",
"25-085-21570-00-00","10/31/1993 12:00:00 AM","Charles C","4658","696","0","83","31",
"25-085-21570-00-00","9/30/1993 12:00:00 AM","Charles C","4658","693","0","75","30",
"25-085-21570-00-00","8/31/1993 12:00:00 AM","Charles C","4658","731","0","62","30",
"25-085-21570-00-00","7/31/1993 12:00:00 AM","Charles C","4658","744","0","79","31",
"25-085-21570-00-00","6/30/1993 12:00:00 AM","Charles C","4658","731","0","61","30",
"25-085-21570-00-00","5/31/1993 12:00:00 AM","Charles C","4658","778","0","66","31",
"25-085-21570-00-00","4/30/1993 12:00:00 AM","Charles C","4658","764","0","87","30",
"25-085-21570-00-00","3/31/1993 12:00:00 AM","Charles C","4658","768","0","71","31",
"25-085-21570-00-00","2/28/1993 12:00:00 AM","Charles C","4658","705","0","77","28",
"25-085-21570-00-00","1/31/1993 12:00:00 AM","Charles C","4658","786","0","90","31",
"25-085-21570-00-00","12/31/1992 12:00:00 AM","Charles C","4658","815","0","54","31",
"25-085-21570-00-00","11/30/1992 12:00:00 AM","Charles C","4658","788","0","66","30",
"25-085-21570-00-00","10/31/1992 12:00:00 AM","Charles C","4658","821","0","60","31",
"25-085-21570-00-00","9/30/1992 12:00:00 AM","Charles C","4658","795","0","66","30",
"25-085-21570-00-00","8/31/1992 12:00:00 AM","Charles C","4658","609","0","59","31",
"25-085-21570-00-00","7/31/1992 12:00:00 AM","Charles C","4658","1073","0","84","31",
"25-085-21570-00-00","6/30/1992 12:00:00 AM","Charles C","4658","817","0","64","30",
"25-085-21570-00-00","5/31/1992 12:00:00 AM","Charles C","4658","853","0","62","31",
"25-085-21570-00-00","4/30/1992 12:00:00 AM","Charles C","4658","848","0","56","30",
"25-085-21570-00-00","3/31/1992 12:00:00 AM","Charles C","4658","870","0","106","31",
"25-085-21570-00-00","2/29/1992 12:00:00 AM","Charles C","4658","833","0","111","29",
"25-085-21570-00-00","1/31/1992 12:00:00 AM","Charles C","4658","1030","0","63","31",
"25-085-21570-00-00","12/31/1991 12:00:00 AM","Charles C","4658","728","0","84","24",
"25-085-21570-00-00","11/30/1991 12:00:00 AM","Charles C","4658","848","0","61","30",
"25-085-21570-00-00","10/31/1991 12:00:00 AM","Charles C","4658","946","0","57","31",
"25-085-21570-00-00","9/30/1991 12:00:00 AM","Charles C","4658","895","0","62","30",
"25-085-21570-00-00","8/31/1991 12:00:00 AM","Charles C","4658","951","0","91","31",
"25-085-21570-00-00","7/31/1991 12:00:00 AM","Charles C","4658","969","0","48","31",
"25-085-21570-00-00","6/30/1991 12:00:00 AM","Charles C","4658","956","0","44","30",
"25-085-21570-00-00","5/31/1991 12:00:00 AM","Charles C","4658","1077","0","61","31",
"25-085-21570-00-00","4/30/1991 12:00:00 AM","Charles C","4658","999","0","51","30",
"25-085-21570-00-00","3/31/1991 12:00:00 AM","Charles C","4658","1258","0","63","31",
"25-085-21570-00-00","2/28/1991 12:00:00 AM","Charles C","4658","383","0","166","7",

