"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25041224100000","Ocean Energy, Inc.","Clark  1-14","Gas","P&A - Approved","Hill","Tiger Ridge","31N-17E","1",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-041-22410-00-00","9/30/1997 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","8/31/1997 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","7/31/1997 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","6/30/1997 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","5/31/1997 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","4/30/1997 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","3/31/1997 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","2/28/1997 12:00:00 AM","Judith River","2356","0","6","0","2",
"25-041-22410-00-00","1/31/1997 12:00:00 AM","Judith River","2356","0","57","0","31",
"25-041-22410-00-00","12/31/1996 12:00:00 AM","Judith River","2356","0","77","0","31",
"25-041-22410-00-00","11/30/1996 12:00:00 AM","Judith River","2356","0","116","0","30",
"25-041-22410-00-00","10/31/1996 12:00:00 AM","Judith River","2356","0","269","0","31",
"25-041-22410-00-00","9/30/1996 12:00:00 AM","Judith River","2356","0","495","0","27",
"25-041-22410-00-00","8/31/1996 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","7/31/1996 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","6/30/1996 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","5/31/1996 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","4/30/1996 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","3/31/1996 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","2/29/1996 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","1/31/1996 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","12/31/1995 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","11/30/1995 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","10/31/1995 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","9/30/1995 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","8/31/1995 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","7/31/1995 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","6/30/1995 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","5/31/1995 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","4/30/1995 12:00:00 AM","Judith River","2356","0","135","0","23",
"25-041-22410-00-00","3/31/1995 12:00:00 AM","Judith River","2356","0","378","0","19",
"25-041-22410-00-00","2/28/1995 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","1/31/1995 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","12/31/1994 12:00:00 AM","Judith River","2356","0","202","0","4",
"25-041-22410-00-00","11/30/1994 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","10/31/1994 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","9/30/1994 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","8/31/1994 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","7/31/1994 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","6/30/1994 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","5/31/1994 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","4/30/1994 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","3/31/1994 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","2/28/1994 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","1/31/1994 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","12/31/1993 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","11/30/1993 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","10/31/1993 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","9/30/1993 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","8/31/1993 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","7/31/1993 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","6/30/1993 12:00:00 AM","Judith River","6262","0","0","0","0",
"25-041-22410-00-00","5/31/1993 12:00:00 AM","Judith River","6262","0","0","0","0",
