"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25083214280000","Patrick Petroleum Corporation Of Michigan","COGC BN 1","Oil","P&A - Approved","Richland","Enid, North","24N-54E","33",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-083-21428-00-00","4/30/1989 12:00:00 AM","Bakken","428","140","0","0","5",
"25-083-21428-00-00","5/31/1988 12:00:00 AM","Bakken","428","13","0","0","30",
"25-083-21428-00-00","4/30/1988 12:00:00 AM","Bakken","428","17","0","0","30",
"25-083-21428-00-00","3/31/1988 12:00:00 AM","Bakken","428","15","0","0","30",
"25-083-21428-00-00","1/31/1988 12:00:00 AM","Bakken","428","8","0","0","30",
"25-083-21428-00-00","12/31/1987 12:00:00 AM","Bakken","428","14","0","0","30",
"25-083-21428-00-00","11/30/1987 12:00:00 AM","Bakken","428","15","0","0","30",
"25-083-21428-00-00","10/31/1987 12:00:00 AM","Bakken","428","9","0","0","30",
"25-083-21428-00-00","9/30/1987 12:00:00 AM","Bakken","428","10","0","0","30",
"25-083-21428-00-00","8/31/1987 12:00:00 AM","Bakken","428","11","0","0","30",
"25-083-21428-00-00","7/31/1987 12:00:00 AM","Bakken","428","9","0","0","30",
"25-083-21428-00-00","6/30/1987 12:00:00 AM","Bakken","428","15","0","0","30",
"25-083-21428-00-00","3/31/1987 12:00:00 AM","Bakken","428","22","0","0","30",
"25-083-21428-00-00","8/31/1986 12:00:00 AM","Bakken","428","97","0","0","30",
"25-083-21428-00-00","7/31/1986 12:00:00 AM","Bakken","428","21","0","0","30",
"25-083-21428-00-00","6/30/1986 12:00:00 AM","Bakken","428","19","0","0","30",
"25-083-21428-00-00","5/31/1986 12:00:00 AM","Bakken","428","14","0","0","30",
"25-083-21428-00-00","4/30/1986 12:00:00 AM","Bakken","428","13","0","0","30",
"25-083-21428-00-00","3/31/1986 12:00:00 AM","Bakken","428","10","0","0","30",
"25-083-21428-00-00","2/28/1986 12:00:00 AM","Bakken","428","13","0","0","30",
"25-083-21428-00-00","1/31/1986 12:00:00 AM","Bakken","428","15","0","0","30",

