"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25083222740000","MorningStar Operating LLC","Childers  24X-2","Oil","Producing","Richland","Elm Coulee","25N-53E","2",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-083-22274-00-00","7/31/2025 12:00:00 AM","Bakken","6950","482","872","142","31",
"25-083-22274-00-00","5/31/2025 12:00:00 AM","Bakken","6950","130","847","102","31",
"25-083-22274-00-00","4/30/2025 12:00:00 AM","Bakken","6950","103","830","27","30",
"25-083-22274-00-00","3/31/2025 12:00:00 AM","Bakken","6950","206","847","73","31",
"25-083-22274-00-00","2/28/2025 12:00:00 AM","Bakken","6950","231","770","50","28",
"25-083-22274-00-00","1/31/2025 12:00:00 AM","Bakken","6950","260","853","79","31",
"25-083-22274-00-00","12/31/2024 12:00:00 AM","Bakken","6950","253","856","87","31",
"25-083-22274-00-00","11/30/2024 12:00:00 AM","Bakken","6950","226","830","78","30",
"25-083-22274-00-00","10/31/2024 12:00:00 AM","Bakken","6950","228","847","78","31",
"25-083-22274-00-00","9/30/2024 12:00:00 AM","Bakken","6950","233","827","78","30",
"25-083-22274-00-00","8/31/2024 12:00:00 AM","Bakken","6950","333","847","88","31",
"25-083-22274-00-00","7/31/2024 12:00:00 AM","Bakken","6950","215","838","26","30",
"25-083-22274-00-00","6/30/2024 12:00:00 AM","Bakken","6950","136","642","73","22",
"25-083-22274-00-00","5/31/2024 12:00:00 AM","Bakken","6950","67","856","6","31",
"25-083-22274-00-00","4/30/2024 12:00:00 AM","Bakken","6950","148","840","101","30",
"25-083-22274-00-00","3/31/2024 12:00:00 AM","Bakken","6950","145","913","8","31",
"25-083-22274-00-00","2/29/2024 12:00:00 AM","Bakken","6950","145","835","45","29",
"25-083-22274-00-00","1/31/2024 12:00:00 AM","Bakken","6950","124","891","50","31",
"25-083-22274-00-00","12/31/2023 12:00:00 AM","Bakken","6950","198","890","99","31",
"25-083-22274-00-00","11/30/2023 12:00:00 AM","Bakken","6950","191","864","63","30",
"25-083-22274-00-00","10/31/2023 12:00:00 AM","Bakken","6950","183","945","78","31",
"25-083-22274-00-00","9/30/2023 12:00:00 AM","Bakken","6950","213","859","46","25",
"25-083-22274-00-00","8/31/2023 12:00:00 AM","Bakken","6950","175","765","69","23",
"25-083-22274-00-00","7/31/2023 12:00:00 AM","Bakken","6950","392","878","42","31",
"25-083-22274-00-00","6/30/2023 12:00:00 AM","Bakken","6950","417","959","119","30",
"25-083-22274-00-00","5/31/2023 12:00:00 AM","Bakken","6950","399","1093","104","29",
"25-083-22274-00-00","4/30/2023 12:00:00 AM","Bakken","6950","444","972","105","27",
"25-083-22274-00-00","3/31/2023 12:00:00 AM","Bakken","6950","462","1082","107","28",
"25-083-22274-00-00","2/28/2023 12:00:00 AM","Bakken","6950","541","1132","125","28",
"25-083-22274-00-00","1/31/2023 12:00:00 AM","Bakken","6950","481","994","107","27",
"25-083-22274-00-00","12/31/2022 12:00:00 AM","Bakken","6950","376","1132","116","28",
"25-083-22274-00-00","11/30/2022 12:00:00 AM","Bakken","6950","648","1290","169","30",
"25-083-22274-00-00","10/31/2022 12:00:00 AM","Bakken","6950","643","1276","180","31",
"25-083-22274-00-00","9/30/2022 12:00:00 AM","Bakken","6950","309","949","113","28",
"25-083-22274-00-00","8/31/2022 12:00:00 AM","Bakken","6950","287","934","162","29",
"25-083-22274-00-00","7/31/2022 12:00:00 AM","Bakken","6950","89","637","35","18",
"25-083-22274-00-00","6/30/2022 12:00:00 AM","Bakken","6950","166","820","4","30",
"25-083-22274-00-00","5/31/2022 12:00:00 AM","Bakken","6950","210","892","0","31",
"25-083-22274-00-00","4/30/2022 12:00:00 AM","Bakken","6950","279","895","89","30",
"25-083-22274-00-00","3/31/2022 12:00:00 AM","Bakken","6950","184","906","84","31",
"25-083-22274-00-00","2/28/2022 12:00:00 AM","Bakken","6950","212","772","98","26",
"25-083-22274-00-00","1/31/2022 12:00:00 AM","Bakken","6950","179","640","53","20",
"25-083-22274-00-00","12/31/2021 12:00:00 AM","Bakken","6950","134","451","74","9",
"25-083-22274-00-00","11/30/2021 12:00:00 AM","Bakken","6950","0","0","0","0",
"25-083-22274-00-00","10/31/2021 12:00:00 AM","Bakken","6950","18","415","54","15",
"25-083-22274-00-00","9/30/2021 12:00:00 AM","Bakken","6950","370","1052","136","30",
"25-083-22274-00-00","8/31/2021 12:00:00 AM","Bakken","6950","329","973","206","28",
"25-083-22274-00-00","7/31/2021 12:00:00 AM","Bakken","6950","245","622","136","28",
"25-083-22274-00-00","6/30/2021 12:00:00 AM","Bakken","6950","222","629","42","26",
"25-083-22274-00-00","5/31/2021 12:00:00 AM","Bakken","6950","329","1215","0","31",
"25-083-22274-00-00","4/30/2021 12:00:00 AM","Bakken","6950","378","626","149","27",
"25-083-22274-00-00","3/31/2021 12:00:00 AM","Bakken","6950","370","1214","155","31",
"25-083-22274-00-00","2/28/2021 12:00:00 AM","Bakken","6950","465","833","144","26",
"25-083-22274-00-00","1/31/2021 12:00:00 AM","Bakken","6950","499","968","77","29",
"25-083-22274-00-00","12/31/2020 12:00:00 AM","Bakken","6950","245","1010","183","18",
"25-083-22274-00-00","11/30/2020 12:00:00 AM","Bakken","6950","441","1111","135","30",
"25-083-22274-00-00","10/31/2020 12:00:00 AM","Bakken","6950","310","1137","90","31",
"25-083-22274-00-00","9/30/2020 12:00:00 AM","Bakken","6950","232","768","52","26",
"25-083-22274-00-00","8/31/2020 12:00:00 AM","Bakken","6950","242","902","105","28",
"25-083-22274-00-00","7/31/2020 12:00:00 AM","Bakken","6950","276","935","119","31",
"25-083-22274-00-00","6/30/2020 12:00:00 AM","Bakken","6950","277","790","167","27",
"25-083-22274-00-00","5/31/2020 12:00:00 AM","Bakken","6950","393","935","175","31",
"25-083-22274-00-00","4/30/2020 12:00:00 AM","Bakken","6950","360","849","148","27",
"25-083-22274-00-00","3/31/2020 12:00:00 AM","Bakken","6950","373","1062","206","31",
"25-083-22274-00-00","2/29/2020 12:00:00 AM","Bakken","6950","353","779","118","26",
"25-083-22274-00-00","1/31/2020 12:00:00 AM","Bakken","6950","244","748","266","26",
"25-083-22274-00-00","12/31/2019 12:00:00 AM","Bakken","6950","97","418","63","15",
"25-083-22274-00-00","11/30/2019 12:00:00 AM","Bakken","6950","170","621","46","25",
"25-083-22274-00-00","10/31/2019 12:00:00 AM","Bakken","6950","210","758","107","30",
"25-083-22274-00-00","9/30/2019 12:00:00 AM","Bakken","6950","262","761","43","27",
"25-083-22274-00-00","8/31/2019 12:00:00 AM","Bakken","6950","440","1157","165","31",
"25-083-22274-00-00","7/31/2019 12:00:00 AM","Bakken","6950","455","1018","83","30",
"25-083-22274-00-00","6/30/2019 12:00:00 AM","Bakken","6950","548","1117","169","30",
"25-083-22274-00-00","5/31/2019 12:00:00 AM","Bakken","6950","653","1077","211","28",
"25-083-22274-00-00","4/30/2019 12:00:00 AM","Bakken","6950","598","1015","186","27",
"25-083-22274-00-00","3/31/2019 12:00:00 AM","Bakken","6950","760","1274","246","31",
"25-083-22274-00-00","2/28/2019 12:00:00 AM","Bakken","6950","537","1164","240","27",
"25-083-22274-00-00","1/31/2019 12:00:00 AM","Bakken","6950","790","1413","320","31",
"25-083-22274-00-00","12/31/2018 12:00:00 AM","Bakken","6950","357","822","145","29",
"25-083-22274-00-00","11/30/2018 12:00:00 AM","Bakken","6950","14","51","8","2",
"25-083-22274-00-00","10/31/2018 12:00:00 AM","Bakken","6950","90","309","0","14",
"25-083-22274-00-00","9/30/2018 12:00:00 AM","Bakken","6950","316","694","131","27",
"25-083-22274-00-00","8/31/2018 12:00:00 AM","Bakken","6950","271","751","92","24",
"25-083-22274-00-00","7/31/2018 12:00:00 AM","Bakken","6950","328","968","100","28",
"25-083-22274-00-00","6/30/2018 12:00:00 AM","Bakken","6950","306","831","105","27",
"25-083-22274-00-00","5/31/2018 12:00:00 AM","Bakken","6950","543","1174","169","31",
"25-083-22274-00-00","4/30/2018 12:00:00 AM","Bakken","6950","535","1019","182","28",
"25-083-22274-00-00","3/31/2018 12:00:00 AM","Bakken","6950","672","1010","187","29",
"25-083-22274-00-00","2/28/2018 12:00:00 AM","Bakken","6950","563","875","144","25",
"25-083-22274-00-00","1/31/2018 12:00:00 AM","Bakken","6950","769","1263","196","31",
"25-083-22274-00-00","12/31/2017 12:00:00 AM","Bakken","6950","668","1107","170","28",
"25-083-22274-00-00","11/30/2017 12:00:00 AM","Bakken","6950","769","1091","220","30",
"25-083-22274-00-00","10/31/2017 12:00:00 AM","Bakken","6950","616","785","275","28",
"25-083-22274-00-00","9/30/2017 12:00:00 AM","Bakken","6950","461","718","408","24",
"25-083-22274-00-00","8/31/2017 12:00:00 AM","Bakken","6950","0","0","0","0",
"25-083-22274-00-00","7/31/2017 12:00:00 AM","Bakken","6950","470","753","423","21",
"25-083-22274-00-00","6/30/2017 12:00:00 AM","Bakken","6950","682","1037","326","30",
"25-083-22274-00-00","5/31/2017 12:00:00 AM","Bakken","6950","237","462","353","21",
"25-083-22274-00-00","4/30/2017 12:00:00 AM","Bakken","6950","30","196","9","10",
"25-083-22274-00-00","3/31/2017 12:00:00 AM","Bakken","6950","144","549","31","28",
"25-083-22274-00-00","2/28/2017 12:00:00 AM","Bakken","6950","214","606","76","28",
"25-083-22274-00-00","1/31/2017 12:00:00 AM","Bakken","6950","263","602","118","29",
"25-083-22274-00-00","12/31/2016 12:00:00 AM","Bakken","6950","446","974","221","28",
"25-083-22274-00-00","11/30/2016 12:00:00 AM","Bakken","6950","262","846","182","25",
"25-083-22274-00-00","10/31/2016 12:00:00 AM","Bakken","6950","188","751","67","31",
"25-083-22274-00-00","9/30/2016 12:00:00 AM","Bakken","6950","308","533","98","26",
