"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25083229370000","Continental Resources Inc","Conaway  1-19H","Oil","Producing","Richland","Elm Coulee, Northeast","25N-57E","19",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-083-22937-00-00","7/31/2025 12:00:00 AM","Bakken","10349","268","534","765","31",
"25-083-22937-00-00","6/30/2025 12:00:00 AM","Bakken","10349","302","572","768","30",
"25-083-22937-00-00","5/31/2025 12:00:00 AM","Bakken","10349","221","444","689","29",
"25-083-22937-00-00","4/30/2025 12:00:00 AM","Bakken","10349","318","496","772","30",
"25-083-22937-00-00","3/31/2025 12:00:00 AM","Bakken","10349","335","498","993","31",
"25-083-22937-00-00","2/28/2025 12:00:00 AM","Bakken","10349","206","303","672","28",
"25-083-22937-00-00","1/31/2025 12:00:00 AM","Bakken","10349","54","146","267","14",
"25-083-22937-00-00","12/31/2024 12:00:00 AM","Bakken","10349","222","483","698","31",
"25-083-22937-00-00","11/30/2024 12:00:00 AM","Bakken","10349","205","429","848","30",
"25-083-22937-00-00","10/31/2024 12:00:00 AM","Bakken","10349","219","503","762","31",
"25-083-22937-00-00","9/30/2024 12:00:00 AM","Bakken","10349","221","521","647","30",
"25-083-22937-00-00","8/31/2024 12:00:00 AM","Bakken","10349","258","653","768","31",
"25-083-22937-00-00","7/31/2024 12:00:00 AM","Bakken","10349","272","647","813","31",
"25-083-22937-00-00","6/30/2024 12:00:00 AM","Bakken","10349","239","587","733","29",
"25-083-22937-00-00","5/31/2024 12:00:00 AM","Bakken","10349","269","528","738","31",
"25-083-22937-00-00","4/30/2024 12:00:00 AM","Bakken","10349","262","619","761","30",
"25-083-22937-00-00","3/31/2024 12:00:00 AM","Bakken","10349","313","606","872","31",
"25-083-22937-00-00","2/29/2024 12:00:00 AM","Bakken","10349","226","462","641","25",
"25-083-22937-00-00","1/31/2024 12:00:00 AM","Bakken","10349","276","569","781","29",
"25-083-22937-00-00","12/31/2023 12:00:00 AM","Bakken","10349","315","586","952","26",
"25-083-22937-00-00","11/30/2023 12:00:00 AM","Bakken","10349","277","528","777","30",
"25-083-22937-00-00","10/31/2023 12:00:00 AM","Bakken","10349","280","573","820","31",
"25-083-22937-00-00","9/30/2023 12:00:00 AM","Bakken","10349","268","571","766","30",
"25-083-22937-00-00","8/31/2023 12:00:00 AM","Bakken","10349","294","700","830","31",
"25-083-22937-00-00","7/31/2023 12:00:00 AM","Bakken","10349","258","701","841","31",
"25-083-22937-00-00","6/30/2023 12:00:00 AM","Bakken","10349","318","674","828","30",
"25-083-22937-00-00","5/31/2023 12:00:00 AM","Bakken","10349","236","526","755","26",
"25-083-22937-00-00","4/30/2023 12:00:00 AM","Bakken","10349","280","619","813","30",
"25-083-22937-00-00","3/31/2023 12:00:00 AM","Bakken","10349","329","609","854","31",
"25-083-22937-00-00","2/28/2023 12:00:00 AM","Bakken","10349","270","563","750","28",
"25-083-22937-00-00","1/31/2023 12:00:00 AM","Bakken","10349","280","560","917","31",
"25-083-22937-00-00","12/31/2022 12:00:00 AM","Bakken","10349","335","492","732","31",
"25-083-22937-00-00","11/30/2022 12:00:00 AM","Bakken","10349","297","583","838","30",
"25-083-22937-00-00","10/31/2022 12:00:00 AM","Bakken","10349","315","674","862","31",
"25-083-22937-00-00","9/30/2022 12:00:00 AM","Bakken","10349","291","683","808","30",
"25-083-22937-00-00","8/31/2022 12:00:00 AM","Bakken","10349","337","709","920","31",
"25-083-22937-00-00","7/31/2022 12:00:00 AM","Bakken","10349","393","761","953","31",
"25-083-22937-00-00","6/30/2022 12:00:00 AM","Bakken","10349","440","767","1061","30",
"25-083-22937-00-00","5/31/2022 12:00:00 AM","Bakken","10349","140","313","510","15",
"25-083-22937-00-00","4/30/2022 12:00:00 AM","Bakken","10349","235","575","752","29",
"25-083-22937-00-00","3/31/2022 12:00:00 AM","Bakken","10349","364","575","883","31",
"25-083-22937-00-00","2/28/2022 12:00:00 AM","Bakken","10349","298","536","797","28",
