"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25003213280000","Fidelity Exploration & Production Co.","Consol 2599  24M","Coal Bed Methane","P&A - Approved","Big Horn","CX","9S-39E","25",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-003-21328-00-00","2/28/2013 12:00:00 AM","Monarch","6221","0","0","0","0",
"25-003-21328-00-00","1/31/2013 12:00:00 AM","Monarch","6221","0","0","0","0",
"25-003-21328-00-00","12/31/2012 12:00:00 AM","Monarch","6221","0","0","0","0",
"25-003-21328-00-00","11/30/2012 12:00:00 AM","Monarch","6221","0","0","0","0",
"25-003-21328-00-00","10/31/2012 12:00:00 AM","Monarch","6221","0","0","0","0",
"25-003-21328-00-00","9/30/2012 12:00:00 AM","Monarch","6221","0","0","0","0",
"25-003-21328-00-00","8/31/2012 12:00:00 AM","Monarch","6221","0","0","0","0",
"25-003-21328-00-00","7/31/2012 12:00:00 AM","Monarch","6221","0","0","0","0",
"25-003-21328-00-00","6/30/2012 12:00:00 AM","Monarch","6221","0","0","0","0",
"25-003-21328-00-00","5/31/2012 12:00:00 AM","Monarch","6221","0","0","0","0",
"25-003-21328-00-00","4/30/2012 12:00:00 AM","Monarch","6221","0","8","0","3",
"25-003-21328-00-00","3/31/2012 12:00:00 AM","Monarch","6221","0","134","0","31",
"25-003-21328-00-00","2/29/2012 12:00:00 AM","Monarch","6221","0","162","0","29",
"25-003-21328-00-00","1/31/2012 12:00:00 AM","Monarch","6221","0","215","0","31",
"25-003-21328-00-00","12/31/2011 12:00:00 AM","Monarch","6221","0","352","0","31",
"25-003-21328-00-00","11/30/2011 12:00:00 AM","Monarch","6221","0","511","0","30",
"25-003-21328-00-00","10/31/2011 12:00:00 AM","Monarch","6221","0","719","0","31",
"25-003-21328-00-00","9/30/2011 12:00:00 AM","Monarch","6221","0","709","0","30",
"25-003-21328-00-00","8/31/2011 12:00:00 AM","Monarch","6221","0","559","0","31",
"25-003-21328-00-00","7/31/2011 12:00:00 AM","Monarch","6221","0","883","0","31",
"25-003-21328-00-00","6/30/2011 12:00:00 AM","Monarch","6221","0","855","0","22",
"25-003-21328-00-00","5/31/2011 12:00:00 AM","Monarch","6221","0","693","0","22",
"25-003-21328-00-00","4/30/2011 12:00:00 AM","Monarch","6221","0","1102","0","30",
"25-003-21328-00-00","3/31/2011 12:00:00 AM","Monarch","6221","0","1176","0","31",
"25-003-21328-00-00","2/28/2011 12:00:00 AM","Monarch","6221","0","1027","0","28",
"25-003-21328-00-00","1/31/2011 12:00:00 AM","Monarch","6221","0","1112","0","31",
"25-003-21328-00-00","12/31/2010 12:00:00 AM","Monarch","6221","0","1085","0","31",
"25-003-21328-00-00","11/30/2010 12:00:00 AM","Monarch","6221","0","836","0","22",
"25-003-21328-00-00","10/31/2010 12:00:00 AM","Monarch","6221","0","0","0","3",
"25-003-21328-00-00","9/30/2010 12:00:00 AM","Monarch","6221","0","0","0","0",
"25-003-21328-00-00","8/31/2010 12:00:00 AM","Monarch","6221","0","0","0","0",
"25-003-21328-00-00","7/31/2010 12:00:00 AM","Monarch","6221","0","24","0","4",
"25-003-21328-00-00","6/30/2010 12:00:00 AM","Monarch","6221","0","2","0","5",
"25-003-21328-00-00","5/31/2010 12:00:00 AM","Monarch","6221","0","31","0","15",
"25-003-21328-00-00","4/30/2010 12:00:00 AM","Monarch","6221","0","41","0","24",
"25-003-21328-00-00","3/31/2010 12:00:00 AM","Monarch","6221","0","88","0","23",
"25-003-21328-00-00","2/28/2010 12:00:00 AM","Monarch","6221","0","56","0","28",
"25-003-21328-00-00","1/31/2010 12:00:00 AM","Monarch","6221","0","0","0","0",
"25-003-21328-00-00","12/31/2009 12:00:00 AM","Monarch","6221","0","0","0","0",
"25-003-21328-00-00","11/30/2009 12:00:00 AM","Monarch","6221","0","0","0","0",
"25-003-21328-00-00","10/31/2009 12:00:00 AM","Monarch","6221","0","0","0","0",
"25-003-21328-00-00","9/30/2009 12:00:00 AM","Monarch","6221","0","0","0","0",
"25-003-21328-00-00","8/31/2009 12:00:00 AM","Monarch","6221","0","0","0","0",
"25-003-21328-00-00","7/31/2009 12:00:00 AM","Monarch","6221","0","0","0","0",
