"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25025056950000","Denbury Onshore, LLC","Coral Creek  33X-32CCH","Injection, EOR","Active Injection","Fallon","Lookout Butte","7N-60E","32",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-025-05695-00-00","3/31/2005 12:00:00 AM","Siluro-Ordovician","456","298","103","5674","27",
"25-025-05695-00-00","2/28/2005 12:00:00 AM","Siluro-Ordovician","456","337","120","6214","28",
"25-025-05695-00-00","1/31/2005 12:00:00 AM","Siluro-Ordovician","456","783","196","7085","31",
"25-025-05695-00-00","12/31/2004 12:00:00 AM","Siluro-Ordovician","456","0","0","0","0",
"25-025-05695-00-00","11/30/2004 12:00:00 AM","Siluro-Ordovician","456","0","0","0","0",
"25-025-05695-00-00","10/31/2004 12:00:00 AM","Siluro-Ordovician","456","844","197","7848","31",
"25-025-05695-00-00","9/30/2004 12:00:00 AM","Siluro-Ordovician","456","875","173","7322","30",
"25-025-05695-00-00","8/31/2004 12:00:00 AM","Siluro-Ordovician","456","915","188","6700","31",
"25-025-05695-00-00","7/31/2004 12:00:00 AM","Siluro-Ordovician","456","868","186","6924","31",
"25-025-05695-00-00","6/30/2004 12:00:00 AM","Siluro-Ordovician","456","952","199","7287","30",
"25-025-05695-00-00","5/31/2004 12:00:00 AM","Siluro-Ordovician","456","954","211","7642","31",
"25-025-05695-00-00","4/30/2004 12:00:00 AM","Siluro-Ordovician","456","850","201","6463","30",
"25-025-05695-00-00","3/31/2004 12:00:00 AM","Siluro-Ordovician","456","659","202","7076","31",
"25-025-05695-00-00","2/29/2004 12:00:00 AM","Siluro-Ordovician","456","571","199","6534","29",
"25-025-05695-00-00","1/31/2004 12:00:00 AM","Siluro-Ordovician","456","909","219","6850","31",
"25-025-05695-00-00","12/31/2003 12:00:00 AM","Siluro-Ordovician","456","755","172","6859","31",
"25-025-05695-00-00","11/30/2003 12:00:00 AM","Siluro-Ordovician","456","482","114","3884","19",
"25-025-05695-00-00","10/31/2003 12:00:00 AM","Siluro-Ordovician","456","1018","262","6499","31",
"25-025-05695-00-00","9/30/2003 12:00:00 AM","Siluro-Ordovician","456","965","202","6831","30",
"25-025-05695-00-00","8/31/2003 12:00:00 AM","Siluro-Ordovician","456","1173","55","7399","31",
"25-025-05695-00-00","7/31/2003 12:00:00 AM","Siluro-Ordovician","456","737","211","7446","31",
