"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25025222490000","Denbury Onshore, LLC","Coral Creek  41-15CCH","Oil","Producing","Fallon","Lookout Butte","6N-60E","15",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-025-22249-00-00","7/31/2025 12:00:00 AM","Siluro-Ordovician","456","529","429","24362","31",
"25-025-22249-00-00","6/30/2025 12:00:00 AM","Siluro-Ordovician","456","573","141","25802","30",
"25-025-22249-00-00","5/31/2025 12:00:00 AM","Siluro-Ordovician","456","577","144","26426","31",
"25-025-22249-00-00","4/30/2025 12:00:00 AM","Siluro-Ordovician","456","683","64","21853","30",
"25-025-22249-00-00","3/31/2025 12:00:00 AM","Siluro-Ordovician","456","738","0","20432","31",
"25-025-22249-00-00","2/28/2025 12:00:00 AM","Siluro-Ordovician","456","583","0","15389","28",
"25-025-22249-00-00","1/31/2025 12:00:00 AM","Siluro-Ordovician","456","462","0","12125","22",
"25-025-22249-00-00","12/31/2024 12:00:00 AM","Siluro-Ordovician","456","68","0","2370","3",
"25-025-22249-00-00","11/30/2024 12:00:00 AM","Siluro-Ordovician","456","157","0","4237","7",
"25-025-22249-00-00","10/31/2024 12:00:00 AM","Siluro-Ordovician","456","23","0","551","1",
"25-025-22249-00-00","9/30/2024 12:00:00 AM","Siluro-Ordovician","456","208","0","5090","10",
"25-025-22249-00-00","8/31/2024 12:00:00 AM","Siluro-Ordovician","456","688","0","16601","31",
"25-025-22249-00-00","7/31/2024 12:00:00 AM","Siluro-Ordovician","456","710","0","16167","30",
"25-025-22249-00-00","6/30/2024 12:00:00 AM","Siluro-Ordovician","456","605","0","14685","30",
"25-025-22249-00-00","5/31/2024 12:00:00 AM","Siluro-Ordovician","456","623","0","18020","31",
"25-025-22249-00-00","4/30/2024 12:00:00 AM","Siluro-Ordovician","456","645","0","18117","30",
"25-025-22249-00-00","3/31/2024 12:00:00 AM","Siluro-Ordovician","456","721","0","17242","31",
"25-025-22249-00-00","2/29/2024 12:00:00 AM","Siluro-Ordovician","456","651","0","15648","29",
"25-025-22249-00-00","1/31/2024 12:00:00 AM","Siluro-Ordovician","456","646","0","15422","31",
"25-025-22249-00-00","12/31/2023 12:00:00 AM","Siluro-Ordovician","456","751","0","18221","31",
"25-025-22249-00-00","11/30/2023 12:00:00 AM","Siluro-Ordovician","456","746","0","16924","30",
"25-025-22249-00-00","10/31/2023 12:00:00 AM","Siluro-Ordovician","456","711","0","18644","31",
"25-025-22249-00-00","9/30/2023 12:00:00 AM","Siluro-Ordovician","456","687","0","17789","30",
"25-025-22249-00-00","8/31/2023 12:00:00 AM","Siluro-Ordovician","456","681","0","18378","31",
"25-025-22249-00-00","7/31/2023 12:00:00 AM","Siluro-Ordovician","456","673","0","17336","31",
"25-025-22249-00-00","6/30/2023 12:00:00 AM","Siluro-Ordovician","456","652","0","17235","30",
"25-025-22249-00-00","5/31/2023 12:00:00 AM","Siluro-Ordovician","456","721","0","18458","31",
"25-025-22249-00-00","4/30/2023 12:00:00 AM","Siluro-Ordovician","456","701","0","18277","30",
"25-025-22249-00-00","3/31/2023 12:00:00 AM","Siluro-Ordovician","456","679","0","18858","31",
"25-025-22249-00-00","2/28/2023 12:00:00 AM","Siluro-Ordovician","456","605","0","16193","28",
"25-025-22249-00-00","1/31/2023 12:00:00 AM","Siluro-Ordovician","456","665","0","17419","31",
"25-025-22249-00-00","12/31/2022 12:00:00 AM","Siluro-Ordovician","456","655","0","17210","31",
"25-025-22249-00-00","11/30/2022 12:00:00 AM","Siluro-Ordovician","456","650","0","16887","30",
"25-025-22249-00-00","10/31/2022 12:00:00 AM","Siluro-Ordovician","456","732","0","17940","31",
"25-025-22249-00-00","9/30/2022 12:00:00 AM","Siluro-Ordovician","456","695","0","17791","30",
"25-025-22249-00-00","8/31/2022 12:00:00 AM","Siluro-Ordovician","456","685","0","16577","31",
"25-025-22249-00-00","7/31/2022 12:00:00 AM","Siluro-Ordovician","456","712","0","17337","31",
"25-025-22249-00-00","6/30/2022 12:00:00 AM","Siluro-Ordovician","456","742","0","18388","30",
"25-025-22249-00-00","5/31/2022 12:00:00 AM","Siluro-Ordovician","456","771","0","18966","31",
"25-025-22249-00-00","4/30/2022 12:00:00 AM","Siluro-Ordovician","456","693","0","15815","29",
"25-025-22249-00-00","3/31/2022 12:00:00 AM","Siluro-Ordovician","456","780","0","18807","31",
"25-025-22249-00-00","2/28/2022 12:00:00 AM","Siluro-Ordovician","456","644","0","14832","28",
"25-025-22249-00-00","1/31/2022 12:00:00 AM","Siluro-Ordovician","456","770","0","16401","31",
"25-025-22249-00-00","12/31/2021 12:00:00 AM","Siluro-Ordovician","456","778","0","17730","31",
"25-025-22249-00-00","11/30/2021 12:00:00 AM","Siluro-Ordovician","456","773","0","17483","30",
"25-025-22249-00-00","10/31/2021 12:00:00 AM","Siluro-Ordovician","456","752","0","16472","31",
"25-025-22249-00-00","9/30/2021 12:00:00 AM","Siluro-Ordovician","456","782","0","15158","30",
"25-025-22249-00-00","8/31/2021 12:00:00 AM","Siluro-Ordovician","456","714","0","15136","31",
"25-025-22249-00-00","7/31/2021 12:00:00 AM","Siluro-Ordovician","456","733","0","13951","31",
"25-025-22249-00-00","6/30/2021 12:00:00 AM","Siluro-Ordovician","456","715","0","15229","30",
"25-025-22249-00-00","5/31/2021 12:00:00 AM","Siluro-Ordovician","456","749","0","15036","31",
"25-025-22249-00-00","4/30/2021 12:00:00 AM","Siluro-Ordovician","456","721","0","15379","30",
"25-025-22249-00-00","3/31/2021 12:00:00 AM","Siluro-Ordovician","456","823","129","15259","31",
"25-025-22249-00-00","2/28/2021 12:00:00 AM","Siluro-Ordovician","456","743","342","15970","28",
"25-025-22249-00-00","1/31/2021 12:00:00 AM","Siluro-Ordovician","456","869","182","17625","31",
"25-025-22249-00-00","12/31/2020 12:00:00 AM","Siluro-Ordovician","456","926","370","18773","31",
