"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25073051920000","Balko, Inc.","Copley  B-4","Oil","Producing","Pondera","Pondera","27N-4W","10",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-073-05192-00-00","6/30/2025 12:00:00 AM","Madison","454","3","0","2354","30",
"25-073-05192-00-00","5/31/2025 12:00:00 AM","Madison","454","3","0","2432","31",
"25-073-05192-00-00","4/30/2025 12:00:00 AM","Madison","454","3","0","2354","30",
"25-073-05192-00-00","3/31/2025 12:00:00 AM","Madison","454","3","0","1802","31",
"25-073-05192-00-00","2/28/2025 12:00:00 AM","Madison","454","2","0","1061","22",
"25-073-05192-00-00","1/31/2025 12:00:00 AM","Madison","454","3","0","2847","31",
"25-073-05192-00-00","12/31/2024 12:00:00 AM","Madison","454","3","0","2607","31",
"25-073-05192-00-00","11/30/2024 12:00:00 AM","Madison","454","42","0","886","30",
"25-073-05192-00-00","10/31/2024 12:00:00 AM","Madison","454","3","0","1800","31",
"25-073-05192-00-00","9/30/2024 12:00:00 AM","Madison","454","3","0","2984","30",
"25-073-05192-00-00","8/31/2024 12:00:00 AM","Madison","454","3","0","2270","31",
"25-073-05192-00-00","7/31/2024 12:00:00 AM","Madison","454","3","0","3348","31",
"25-073-05192-00-00","6/30/2024 12:00:00 AM","Madison","454","4","0","4094","30",
"25-073-05192-00-00","5/31/2024 12:00:00 AM","Madison","454","3","0","3091","31",
"25-073-05192-00-00","4/30/2024 12:00:00 AM","Madison","454","3","0","3646","31",
"25-073-05192-00-00","3/31/2024 12:00:00 AM","Madison","454","3","0","3595","31",
"25-073-05192-00-00","2/29/2024 12:00:00 AM","Madison","454","2","0","3603","29",
"25-073-05192-00-00","1/31/2024 12:00:00 AM","Madison","454","1","0","1992","31",
"25-073-05192-00-00","12/31/2023 12:00:00 AM","Madison","454","3","0","3002","31",
"25-073-05192-00-00","11/30/2023 12:00:00 AM","Madison","454","3","0","2984","30",
"25-073-05192-00-00","10/31/2023 12:00:00 AM","Madison","454","3","0","2868","31",
"25-073-05192-00-00","9/30/2023 12:00:00 AM","Madison","454","3","0","3215","30",
"25-073-05192-00-00","8/31/2023 12:00:00 AM","Madison","454","3","0","3842","31",
"25-073-05192-00-00","7/31/2023 12:00:00 AM","Madison","454","3","0","4222","31",
"25-073-05192-00-00","6/30/2023 12:00:00 AM","Madison","454","3","0","4405","30",
"25-073-05192-00-00","5/31/2023 12:00:00 AM","Madison","454","2","0","1811","31",
"25-073-05192-00-00","4/30/2023 12:00:00 AM","Madison","454","3","0","3754","30",
"25-073-05192-00-00","3/31/2023 12:00:00 AM","Madison","454","3","0","3896","31",
"25-073-05192-00-00","2/28/2023 12:00:00 AM","Madison","454","3","0","3206","29",
"25-073-05192-00-00","1/31/2023 12:00:00 AM","Madison","454","3","0","1812","31",
"25-073-05192-00-00","12/31/2022 12:00:00 AM","Madison","454","2","0","2895","31",
"25-073-05192-00-00","11/30/2022 12:00:00 AM","Madison","454","2","0","2249","30",
"25-073-05192-00-00","10/31/2022 12:00:00 AM","Madison","454","3","0","2822","31",
"25-073-05192-00-00","9/30/2022 12:00:00 AM","Madison","454","3","0","2681","30",
"25-073-05192-00-00","8/31/2022 12:00:00 AM","Madison","454","3","0","4092","31",
"25-073-05192-00-00","7/31/2022 12:00:00 AM","Madison","454","3","0","4092","31",
"25-073-05192-00-00","6/30/2022 12:00:00 AM","Madison","454","4","0","3907","30",
"25-073-05192-00-00","5/31/2022 12:00:00 AM","Madison","454","3","0","3973","31",
"25-073-05192-00-00","4/30/2022 12:00:00 AM","Madison","454","2","0","3962","30",
"25-073-05192-00-00","3/31/2022 12:00:00 AM","Madison","454","3","0","3399","31",
"25-073-05192-00-00","2/28/2022 12:00:00 AM","Madison","454","3","0","2970","28",
"25-073-05192-00-00","1/31/2022 12:00:00 AM","Madison","454","3","0","3254","31",
"25-073-05192-00-00","12/31/2021 12:00:00 AM","Madison","454","3","0","3323","31",
"25-073-05192-00-00","11/30/2021 12:00:00 AM","Madison","454","3","0","3205","30",
"25-073-05192-00-00","10/31/2021 12:00:00 AM","Madison","454","3","0","3108","31",
"25-073-05192-00-00","9/30/2021 12:00:00 AM","Madison","454","3","0","2933","30",
"25-073-05192-00-00","8/31/2021 12:00:00 AM","Madison","454","3","0","2093","31",
"25-073-05192-00-00","7/31/2021 12:00:00 AM","Madison","454","3","0","2254","31",
"25-073-05192-00-00","6/30/2021 12:00:00 AM","Madison","454","3","0","2498","30",
"25-073-05192-00-00","5/31/2021 12:00:00 AM","Madison","454","2","0","1449","31",
"25-073-05192-00-00","4/30/2021 12:00:00 AM","Madison","454","2","0","448","30",
"25-073-05192-00-00","3/31/2021 12:00:00 AM","Madison","454","3","0","524","31",
"25-073-05192-00-00","2/28/2021 12:00:00 AM","Madison","454","3","0","532","28",
"25-073-05192-00-00","1/31/2021 12:00:00 AM","Madison","454","3","0","558","31",
"25-073-05192-00-00","12/31/2020 12:00:00 AM","Madison","454","2","0","658","31",
"25-073-05192-00-00","11/30/2020 12:00:00 AM","Madison","454","2","0","591","30",
"25-073-05192-00-00","10/31/2020 12:00:00 AM","Madison","454","3","0","725","31",
"25-073-05192-00-00","9/30/2020 12:00:00 AM","Madison","454","3","0","761","30",
"25-073-05192-00-00","8/31/2020 12:00:00 AM","Madison","454","3","0","741","31",
"25-073-05192-00-00","7/31/2020 12:00:00 AM","Madison","454","4","0","783","31",
"25-073-05192-00-00","6/30/2020 12:00:00 AM","Madison","454","2","0","733","30",
"25-073-05192-00-00","5/31/2020 12:00:00 AM","Madison","454","0","0","0","0",
"25-073-05192-00-00","4/30/2020 12:00:00 AM","Madison","454","3","0","1448","30",
"25-073-05192-00-00","3/31/2020 12:00:00 AM","Madison","454","4","0","1725","31",
"25-073-05192-00-00","2/29/2020 12:00:00 AM","Madison","454","3","0","1823","29",
"25-073-05192-00-00","1/31/2020 12:00:00 AM","Madison","454","4","0","2088","31",
"25-073-05192-00-00","12/31/2019 12:00:00 AM","Madison","454","3","0","492","31",
"25-073-05192-00-00","11/30/2019 12:00:00 AM","Madison","454","3","0","251","30",
"25-073-05192-00-00","10/31/2019 12:00:00 AM","Madison","454","3","0","231","30",
"25-073-05192-00-00","9/30/2019 12:00:00 AM","Madison","454","3","0","200","30",
"25-073-05192-00-00","8/31/2019 12:00:00 AM","Madison","454","3","0","213","31",
"25-073-05192-00-00","7/31/2019 12:00:00 AM","Madison","454","3","0","179","31",
"25-073-05192-00-00","6/30/2019 12:00:00 AM","Madison","454","3","0","268","30",
"25-073-05192-00-00","5/31/2019 12:00:00 AM","Madison","454","3","0","260","31",
"25-073-05192-00-00","4/30/2019 12:00:00 AM","Madison","454","3","0","974","30",
"25-073-05192-00-00","3/31/2019 12:00:00 AM","Madison","454","2","0","1105","31",
"25-073-05192-00-00","2/28/2019 12:00:00 AM","Madison","454","2","0","914","28",
"25-073-05192-00-00","1/31/2019 12:00:00 AM","Madison","454","3","0","1197","31",
