"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25005237010000","NorthWestern Corporation","Courtnage-State  35-8-25-17","Gas","Shut In","Blaine","Sherard","25N-17E","35",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-005-23701-00-00","7/31/2025 12:00:00 AM","Eagle","8060","0","0","0","0",
"25-005-23701-00-00","6/30/2025 12:00:00 AM","Eagle","8060","0","0","0","0",
"25-005-23701-00-00","5/31/2025 12:00:00 AM","Eagle","8060","0","1","0","1",
"25-005-23701-00-00","4/30/2025 12:00:00 AM","Eagle","8060","0","2","0","1",
"25-005-23701-00-00","3/31/2025 12:00:00 AM","Eagle","8060","0","1","0","1",
"25-005-23701-00-00","2/28/2025 12:00:00 AM","Eagle","8060","0","0","0","0",
"25-005-23701-00-00","1/31/2025 12:00:00 AM","Eagle","8060","0","5","0","3",
"25-005-23701-00-00","12/31/2024 12:00:00 AM","Eagle","8060","0","2","0","1",
"25-005-23701-00-00","11/30/2024 12:00:00 AM","Eagle","8060","0","13","0","7",
"25-005-23701-00-00","10/31/2024 12:00:00 AM","Eagle","8060","0","19","0","8",
"25-005-23701-00-00","9/30/2024 12:00:00 AM","Eagle","8060","0","27","0","9",
"25-005-23701-00-00","8/31/2024 12:00:00 AM","Eagle","8060","0","13","0","3",
"25-005-23701-00-00","7/31/2024 12:00:00 AM","Eagle","8060","0","0","0","0",
"25-005-23701-00-00","6/30/2024 12:00:00 AM","Eagle","8060","0","0","0","0",
"25-005-23701-00-00","5/31/2024 12:00:00 AM","Eagle","8060","0","0","0","0",
"25-005-23701-00-00","4/30/2024 12:00:00 AM","Eagle","8060","0","0","0","0",
"25-005-23701-00-00","3/31/2024 12:00:00 AM","Eagle","8060","0","0","0","0",
"25-005-23701-00-00","2/29/2024 12:00:00 AM","Eagle","8060","0","0","0","0",
"25-005-23701-00-00","1/31/2024 12:00:00 AM","Eagle","8060","0","0","0","0",
"25-005-23701-00-00","12/31/2023 12:00:00 AM","Eagle","8060","0","0","0","0",
"25-005-23701-00-00","11/30/2023 12:00:00 AM","Eagle","8060","0","0","0","0",
"25-005-23701-00-00","10/31/2023 12:00:00 AM","Eagle","8060","0","0","0","0",
"25-005-23701-00-00","9/30/2023 12:00:00 AM","Eagle","8060","0","0","0","0",
"25-005-23701-00-00","8/31/2023 12:00:00 AM","Eagle","8060","0","0","0","0",
"25-005-23701-00-00","7/31/2023 12:00:00 AM","Eagle","8060","0","24","0","11",
"25-005-23701-00-00","6/30/2023 12:00:00 AM","Eagle","8060","0","59","0","23",
"25-005-23701-00-00","5/31/2023 12:00:00 AM","Eagle","8060","0","0","0","0",
"25-005-23701-00-00","4/30/2023 12:00:00 AM","Eagle","8060","0","0","0","0",
"25-005-23701-00-00","3/31/2023 12:00:00 AM","Eagle","8060","0","0","0","0",
"25-005-23701-00-00","2/28/2023 12:00:00 AM","Eagle","8060","0","0","0","0",
"25-005-23701-00-00","1/31/2023 12:00:00 AM","Eagle","8060","0","0","0","0",
