"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25009210840000","Montana Power Company","CROFT 7-32","Gas","P&A - Approved","Carbon","Dry Creek, West","6S-21E","32",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-009-21084-00-00","4/30/1991 12:00:00 AM","Frontier","472","0","0","0","0",
"25-009-21084-00-00","3/31/1991 12:00:00 AM","Frontier","472","0","0","0","0",
"25-009-21084-00-00","2/28/1991 12:00:00 AM","Frontier","472","0","0","0","0",
"25-009-21084-00-00","1/31/1991 12:00:00 AM","Frontier","472","0","0","0","0",
"25-009-21084-00-00","8/31/1988 12:00:00 AM","Frontier","472","0","211","180","11",
"25-009-21084-00-00","7/31/1988 12:00:00 AM","Frontier","472","138","0","185","27",
"25-009-21084-00-00","6/30/1988 12:00:00 AM","Frontier","472","434","0","310","22",
"25-009-21084-00-00","12/31/1987 12:00:00 AM","Frontier","472","47","162","41","4",
"25-009-21084-00-00","11/30/1987 12:00:00 AM","Frontier","472","284","1063","0","19",
"25-009-21084-00-00","10/31/1987 12:00:00 AM","Frontier","472","177","239","0","3",
"25-009-21084-00-00","8/31/1987 12:00:00 AM","Frontier","472","0","67","0","2",
"25-009-21084-00-00","7/31/1987 12:00:00 AM","Frontier","472","70","28","0","3",
"25-009-21084-00-00","6/30/1987 12:00:00 AM","Frontier","472","82","0","0","3",
"25-009-21084-00-00","5/31/1987 12:00:00 AM","Frontier","472","42","43","0","2",
"25-009-21084-00-00","10/31/1986 12:00:00 AM","Frontier","472","47","0","0","2",
"25-009-21084-00-00","9/30/1986 12:00:00 AM","Frontier","472","161","0","0","5",

