"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25051210690000","Sands Oil Company","Dafoe  4","Gas","Producing","Liberty","Black Jack","36N-5E","3",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-051-21069-00-00","7/31/2025 12:00:00 AM","Sunburst","3912","0","757","0","31",
"25-051-21069-00-00","6/30/2025 12:00:00 AM","Sunburst","3912","0","725","0","30",
"25-051-21069-00-00","5/31/2025 12:00:00 AM","Sunburst","3912","0","775","0","31",
"25-051-21069-00-00","4/30/2025 12:00:00 AM","Sunburst","3912","0","760","0","30",
"25-051-21069-00-00","3/31/2025 12:00:00 AM","Sunburst","3912","0","798","0","31",
"25-051-21069-00-00","2/28/2025 12:00:00 AM","Sunburst","3912","0","467","0","27",
"25-051-21069-00-00","1/31/2025 12:00:00 AM","Sunburst","3912","0","692","0","30",
"25-051-21069-00-00","12/31/2024 12:00:00 AM","Sunburst","3912","0","735","0","31",
"25-051-21069-00-00","11/30/2024 12:00:00 AM","Sunburst","3912","0","713","0","30",
"25-051-21069-00-00","10/31/2024 12:00:00 AM","Sunburst","3912","0","762","0","31",
"25-051-21069-00-00","9/30/2024 12:00:00 AM","Sunburst","3912","0","726","0","28",
"25-051-21069-00-00","8/31/2024 12:00:00 AM","Sunburst","3912","0","757","0","31",
"25-051-21069-00-00","7/31/2024 12:00:00 AM","Sunburst","3912","0","782","0","31",
"25-051-21069-00-00","6/30/2024 12:00:00 AM","Sunburst","3912","0","742","0","30",
"25-051-21069-00-00","5/31/2024 12:00:00 AM","Sunburst","3912","0","776","0","31",
"25-051-21069-00-00","4/30/2024 12:00:00 AM","Sunburst","3912","0","793","0","29",
"25-051-21069-00-00","3/31/2024 12:00:00 AM","Sunburst","3912","0","168","0","27",
"25-051-21069-00-00","2/29/2024 12:00:00 AM","Sunburst","3912","0","647","0","28",
"25-051-21069-00-00","1/31/2024 12:00:00 AM","Sunburst","3912","0","576","0","31",
"25-051-21069-00-00","12/31/2023 12:00:00 AM","Sunburst","3912","0","717","0","31",
"25-051-21069-00-00","11/30/2023 12:00:00 AM","Sunburst","3912","0","746","0","30",
"25-051-21069-00-00","10/31/2023 12:00:00 AM","Sunburst","3912","0","661","0","26",
"25-051-21069-00-00","9/30/2023 12:00:00 AM","Sunburst","3912","0","678","0","28",
"25-051-21069-00-00","8/31/2023 12:00:00 AM","Sunburst","3912","0","700","0","31",
"25-051-21069-00-00","7/31/2023 12:00:00 AM","Sunburst","3912","0","690","0","31",
"25-051-21069-00-00","6/30/2023 12:00:00 AM","Sunburst","3912","0","720","0","30",
"25-051-21069-00-00","5/31/2023 12:00:00 AM","Sunburst","3912","0","736","0","31",
