"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25083222630000","MorningStar Operating LLC","Daniel  1-1H","Oil","Producing","Richland","Elm Coulee","25N-54E","1",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-083-22263-00-00","7/31/2025 12:00:00 AM","Bakken","7070","172","164","35","31",
"25-083-22263-00-00","6/30/2025 12:00:00 AM","Bakken","7070","170","148","27","30",
"25-083-22263-00-00","5/31/2025 12:00:00 AM","Bakken","7070","174","261","30","31",
"25-083-22263-00-00","4/30/2025 12:00:00 AM","Bakken","7070","160","135","22","30",
"25-083-22263-00-00","3/31/2025 12:00:00 AM","Bakken","7070","176","192","13","31",
"25-083-22263-00-00","2/28/2025 12:00:00 AM","Bakken","7070","177","207","0","28",
"25-083-22263-00-00","1/31/2025 12:00:00 AM","Bakken","7070","187","184","0","29",
"25-083-22263-00-00","12/31/2024 12:00:00 AM","Bakken","7070","72","93","8","15",
"25-083-22263-00-00","11/30/2024 12:00:00 AM","Bakken","7070","233","184","25","30",
"25-083-22263-00-00","10/31/2024 12:00:00 AM","Bakken","7070","226","269","39","31",
"25-083-22263-00-00","9/30/2024 12:00:00 AM","Bakken","7070","175","55","69","28",
"25-083-22263-00-00","8/31/2024 12:00:00 AM","Bakken","7070","236","189","29","31",
"25-083-22263-00-00","7/31/2024 12:00:00 AM","Bakken","7070","254","220","55","31",
"25-083-22263-00-00","6/30/2024 12:00:00 AM","Bakken","7070","247","204","6","30",
"25-083-22263-00-00","5/31/2024 12:00:00 AM","Bakken","7070","263","183","4","31",
"25-083-22263-00-00","4/30/2024 12:00:00 AM","Bakken","7070","251","170","10","30",
"25-083-22263-00-00","3/31/2024 12:00:00 AM","Bakken","7070","247","156","19","31",
"25-083-22263-00-00","2/29/2024 12:00:00 AM","Bakken","7070","221","144","19","29",
"25-083-22263-00-00","1/31/2024 12:00:00 AM","Bakken","7070","225","138","20","31",
"25-083-22263-00-00","12/31/2023 12:00:00 AM","Bakken","7070","241","362","15","31",
"25-083-22263-00-00","11/30/2023 12:00:00 AM","Bakken","7070","222","334","24","30",
"25-083-22263-00-00","10/31/2023 12:00:00 AM","Bakken","7070","238","361","25","31",
"25-083-22263-00-00","9/30/2023 12:00:00 AM","Bakken","7070","237","356","20","30",
"25-083-22263-00-00","8/31/2023 12:00:00 AM","Bakken","7070","234","352","22","31",
"25-083-22263-00-00","7/31/2023 12:00:00 AM","Bakken","7070","225","338","29","31",
"25-083-22263-00-00","6/30/2023 12:00:00 AM","Bakken","7070","264","396","48","30",
"25-083-22263-00-00","5/31/2023 12:00:00 AM","Bakken","7070","15","32","41","10",
"25-083-22263-00-00","4/30/2023 12:00:00 AM","Bakken","7070","383","598","16","30",
"25-083-22263-00-00","3/31/2023 12:00:00 AM","Bakken","7070","429","644","68","31",
"25-083-22263-00-00","2/28/2023 12:00:00 AM","Bakken","7070","420","202","45","28",
"25-083-22263-00-00","1/31/2023 12:00:00 AM","Bakken","7070","381","240","88","31",
"25-083-22263-00-00","12/31/2022 12:00:00 AM","Bakken","7070","234","268","15","25",
"25-083-22263-00-00","11/30/2022 12:00:00 AM","Bakken","7070","211","260","28","28",
"25-083-22263-00-00","10/31/2022 12:00:00 AM","Bakken","7070","292","248","60","31",
"25-083-22263-00-00","9/30/2022 12:00:00 AM","Bakken","7070","133","169","76","17",
"25-083-22263-00-00","8/31/2022 12:00:00 AM","Bakken","7070","0","0","0","0",
