"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25083226970000","Petro-Hunt, LLC","CP  5B-3-1H","Oil","P&A - Approved","Richland","Lane","22N-54E","5",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-083-22697-00-00","12/31/2015 12:00:00 AM","Red River","8035","0","0","0","0",
"25-083-22697-00-00","11/30/2015 12:00:00 AM","Red River","8035","0","0","0","0",
"25-083-22697-00-00","10/31/2015 12:00:00 AM","Red River","8035","0","0","0","0",
"25-083-22697-00-00","9/30/2015 12:00:00 AM","Red River","8035","0","0","0","0",
"25-083-22697-00-00","8/31/2015 12:00:00 AM","Red River","8035","53","0","3","3",
"25-083-22697-00-00","7/31/2015 12:00:00 AM","Red River","8035","0","0","0","0",
"25-083-22697-00-00","6/30/2015 12:00:00 AM","Red River","8035","0","0","0","0",
"25-083-22697-00-00","5/31/2015 12:00:00 AM","Red River","8035","0","0","0","0",
"25-083-22697-00-00","4/30/2015 12:00:00 AM","Red River","8035","0","0","0","0",
"25-083-22697-00-00","3/31/2015 12:00:00 AM","Red River","8035","0","0","0","0",
"25-083-22697-00-00","2/28/2015 12:00:00 AM","Red River","8035","0","0","0","0",
"25-083-22697-00-00","1/31/2015 12:00:00 AM","Red River","8035","0","218","0","2",
"25-083-22697-00-00","12/31/2014 12:00:00 AM","Red River","8035","174","247","556","31",
"25-083-22697-00-00","11/30/2014 12:00:00 AM","Red River","8035","140","239","601","30",
"25-083-22697-00-00","10/31/2014 12:00:00 AM","Red River","8035","117","233","409","17",
"25-083-22697-00-00","9/30/2014 12:00:00 AM","Red River","8035","161","239","491","30",
"25-083-22697-00-00","8/31/2014 12:00:00 AM","Red River","8035","168","247","594","31",
"25-083-22697-00-00","7/31/2014 12:00:00 AM","Red River","8035","168","245","559","31",
"25-083-22697-00-00","6/30/2014 12:00:00 AM","Red River","8035","168","258","501","30",
"25-083-22697-00-00","5/31/2014 12:00:00 AM","Red River","8035","172","182","512","27",
"25-083-22697-00-00","4/30/2014 12:00:00 AM","Red River","8035","172","0","542","30",
"25-083-22697-00-00","3/31/2014 12:00:00 AM","Red River","8035","142","222","730","31",
"25-083-22697-00-00","2/28/2014 12:00:00 AM","Red River","8035","178","217","507","25",
"25-083-22697-00-00","1/31/2014 12:00:00 AM","Red River","8035","138","260","388","24",
"25-083-22697-00-00","12/31/2013 12:00:00 AM","Red River","8035","174","225","458","27",
"25-083-22697-00-00","11/30/2013 12:00:00 AM","Red River","8035","195","239","528","29",
"25-083-22697-00-00","10/31/2013 12:00:00 AM","Red River","8035","203","285","528","31",
"25-083-22697-00-00","9/30/2013 12:00:00 AM","Red River","8035","202","244","520","30",
"25-083-22697-00-00","8/31/2013 12:00:00 AM","Red River","8035","225","280","606","31",
"25-083-22697-00-00","7/31/2013 12:00:00 AM","Red River","8035","137","261","430","15",
"25-083-22697-00-00","6/30/2013 12:00:00 AM","Red River","8035","206","227","548","30",
"25-083-22697-00-00","5/31/2013 12:00:00 AM","Red River","8035","239","266","716","31",
"25-083-22697-00-00","4/30/2013 12:00:00 AM","Red River","8035","127","342","197","9",
"25-083-22697-00-00","3/31/2013 12:00:00 AM","Red River","8035","222","475","565","31",
"25-083-22697-00-00","2/28/2013 12:00:00 AM","Red River","8035","206","428","567","27",
"25-083-22697-00-00","1/31/2013 12:00:00 AM","Red River","8035","209","411","456","28",
"25-083-22697-00-00","12/31/2012 12:00:00 AM","Red River","8035","233","504","478","31",
"25-083-22697-00-00","11/30/2012 12:00:00 AM","Red River","8035","229","491","495","30",
"25-083-22697-00-00","10/31/2012 12:00:00 AM","Red River","8035","250","486","503","31",
"25-083-22697-00-00","9/30/2012 12:00:00 AM","Red River","8035","245","513","516","30",
"25-083-22697-00-00","8/31/2012 12:00:00 AM","Red River","8035","247","372","502","31",
"25-083-22697-00-00","7/31/2012 12:00:00 AM","Red River","8035","274","288","592","31",
"25-083-22697-00-00","6/30/2012 12:00:00 AM","Red River","8035","236","304","455","26",
"25-083-22697-00-00","5/31/2012 12:00:00 AM","Red River","8035","353","432","721","29",
"25-083-22697-00-00","4/30/2012 12:00:00 AM","Red River","8035","164","291","410","11",
"25-083-22697-00-00","3/31/2012 12:00:00 AM","Red River","8035","216","472","344","24",
"25-083-22697-00-00","2/29/2012 12:00:00 AM","Red River","8035","306","203","515","29",
"25-083-22697-00-00","1/31/2012 12:00:00 AM","Red River","8035","332","625","477","31",
"25-083-22697-00-00","12/31/2011 12:00:00 AM","Red River","8035","346","616","460","31",
"25-083-22697-00-00","11/30/2011 12:00:00 AM","Red River","8035","344","475","506","30",
"25-083-22697-00-00","10/31/2011 12:00:00 AM","Red River","8035","371","359","453","31",
"25-083-22697-00-00","9/30/2011 12:00:00 AM","Red River","8035","372","576","459","30",
"25-083-22697-00-00","8/31/2011 12:00:00 AM","Red River","8035","409","350","532","31",
"25-083-22697-00-00","7/31/2011 12:00:00 AM","Red River","8035","545","738","710","31",
"25-083-22697-00-00","6/30/2011 12:00:00 AM","Red River","8035","155","253","156","12",
"25-083-22697-00-00","5/31/2011 12:00:00 AM","Red River","8035","418","356","456","31",
"25-083-22697-00-00","4/30/2011 12:00:00 AM","Red River","8035","410","411","428","30",
"25-083-22697-00-00","3/31/2011 12:00:00 AM","Red River","8035","447","565","513","31",
"25-083-22697-00-00","2/28/2011 12:00:00 AM","Red River","8035","429","606","370","28",
"25-083-22697-00-00","1/31/2011 12:00:00 AM","Red River","8035","476","917","485","31",
"25-083-22697-00-00","12/31/2010 12:00:00 AM","Red River","8035","489","759","505","31",
"25-083-22697-00-00","11/30/2010 12:00:00 AM","Red River","8035","485","431","431","30",
"25-083-22697-00-00","10/31/2010 12:00:00 AM","Red River","8035","515","637","462","31",
"25-083-22697-00-00","9/30/2010 12:00:00 AM","Red River","8035","497","845","488","30",
"25-083-22697-00-00","8/31/2010 12:00:00 AM","Red River","8035","546","868","502","31",
"25-083-22697-00-00","7/31/2010 12:00:00 AM","Red River","8035","546","1016","483","31",
"25-083-22697-00-00","6/30/2010 12:00:00 AM","Red River","8035","567","981","461","30",
"25-083-22697-00-00","5/31/2010 12:00:00 AM","Red River","8035","622","943","499","31",
"25-083-22697-00-00","4/30/2010 12:00:00 AM","Red River","8035","637","1235","469","30",
"25-083-22697-00-00","3/31/2010 12:00:00 AM","Red River","8035","674","1412","588","31",
"25-083-22697-00-00","2/28/2010 12:00:00 AM","Red River","8035","726","1316","593","28",
"25-083-22697-00-00","1/31/2010 12:00:00 AM","Red River","8035","568","1188","344","21",
"25-083-22697-00-00","12/31/2009 12:00:00 AM","Red River","8035","793","1674","579","31",
"25-083-22697-00-00","11/30/2009 12:00:00 AM","Red River","8035","813","1898","561","30",
"25-083-22697-00-00","10/31/2009 12:00:00 AM","Red River","8035","893","1832","595","31",
"25-083-22697-00-00","9/30/2009 12:00:00 AM","Red River","8035","882","2140","633","30",
"25-083-22697-00-00","8/31/2009 12:00:00 AM","Red River","8035","963","2232","675","31",
"25-083-22697-00-00","7/31/2009 12:00:00 AM","Red River","8035","1084","3382","718","31",
"25-083-22697-00-00","6/30/2009 12:00:00 AM","Red River","8035","1043","1546","607","30",
"25-083-22697-00-00","5/31/2009 12:00:00 AM","Red River","8035","891","1374","485","29",
"25-083-22697-00-00","4/30/2009 12:00:00 AM","Red River","8035","884","1239","461","28",
"25-083-22697-00-00","3/31/2009 12:00:00 AM","Red River","8035","917","1242","472","29",
"25-083-22697-00-00","2/28/2009 12:00:00 AM","Red River","8035","1012","1760","537","28",
"25-083-22697-00-00","1/31/2009 12:00:00 AM","Red River","8035","1124","1144","575","31",
"25-083-22697-00-00","12/31/2008 12:00:00 AM","Red River","8035","1182","1035","605","30",
"25-083-22697-00-00","11/30/2008 12:00:00 AM","Red River","8035","1196","1227","507","29",
"25-083-22697-00-00","10/31/2008 12:00:00 AM","Red River","8035","1649","2837","912","29",
"25-083-22697-00-00","9/30/2008 12:00:00 AM","Red River","8035","1890","3769","974","30",
"25-083-22697-00-00","8/31/2008 12:00:00 AM","Red River","8035","2230","4372","1192","31",
"25-083-22697-00-00","7/31/2008 12:00:00 AM","Red River","8035","1876","2370","923","23",
"25-083-22697-00-00","6/30/2008 12:00:00 AM","Red River","8035","2409","3552","1093","30",
"25-083-22697-00-00","5/31/2008 12:00:00 AM","Red River","8035","2709","3579","1205","31",
"25-083-22697-00-00","4/30/2008 12:00:00 AM","Red River","8035","3180","2974","1330","30",
"25-083-22697-00-00","3/31/2008 12:00:00 AM","Red River","8035","2838","583","1105","29",
"25-083-22697-00-00","2/29/2008 12:00:00 AM","Red River","8035","4101","1662","551","29",
"25-083-22697-00-00","1/31/2008 12:00:00 AM","Red River","8035","4237","716","305","17",

