"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25105213470000","Anadarko Petroleum Corporation","Crawford  A-4","Oil","P&A - Approved","Valley","Lustre","31N-44E","30",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-105-21347-00-00","10/31/1993 12:00:00 AM","Charles","3467","0","0","0","0",
"25-105-21347-00-00","9/30/1993 12:00:00 AM","Charles","3467","0","0","0","0",
"25-105-21347-00-00","8/31/1993 12:00:00 AM","Charles","3467","669","224","6831","28",
"25-105-21347-00-00","7/31/1993 12:00:00 AM","Charles","3467","502","240","7650","30",
"25-105-21347-00-00","6/30/1993 12:00:00 AM","Charles","3467","423","192","5265","24",
"25-105-21347-00-00","5/31/1993 12:00:00 AM","Charles","3467","733","248","6050","31",
"25-105-21347-00-00","4/30/1993 12:00:00 AM","Charles","3467","733","240","6066","30",
"25-105-21347-00-00","3/31/1993 12:00:00 AM","Charles","3467","759","248","6642","31",
"25-105-21347-00-00","2/28/1993 12:00:00 AM","Charles","3467","692","224","6009","28",
"25-105-21347-00-00","1/31/1993 12:00:00 AM","Charles","3467","775","248","6807","31",
"25-105-21347-00-00","12/31/1992 12:00:00 AM","Charles","3467","778","248","6818","31",
"25-105-21347-00-00","11/30/1992 12:00:00 AM","Charles","3467","750","240","6600","30",
"25-105-21347-00-00","10/31/1992 12:00:00 AM","Charles","3467","800","248","6770","31",
"25-105-21347-00-00","9/30/1992 12:00:00 AM","Charles","3467","800","240","6550","30",
"25-105-21347-00-00","8/31/1992 12:00:00 AM","Charles","3467","815","248","6803","31",
"25-105-21347-00-00","7/31/1992 12:00:00 AM","Charles","3467","827","248","6750","31",
"25-105-21347-00-00","6/30/1992 12:00:00 AM","Charles","3467","821","240","6887","30",
"25-105-21347-00-00","5/31/1992 12:00:00 AM","Charles","3467","841","248","7123","31",
"25-105-21347-00-00","4/30/1992 12:00:00 AM","Charles","3467","805","240","6853","30",
"25-105-21347-00-00","3/31/1992 12:00:00 AM","Charles","3467","850","248","7058","31",
"25-105-21347-00-00","2/29/1992 12:00:00 AM","Charles","3467","798","232","6627","29",
"25-105-21347-00-00","1/31/1992 12:00:00 AM","Charles","3467","877","248","7364","31",
"25-105-21347-00-00","12/31/1991 12:00:00 AM","Charles","3467","891","248","7556","31",
"25-105-21347-00-00","11/30/1991 12:00:00 AM","Charles","3467","878","240","7229","30",
"25-105-21347-00-00","10/31/1991 12:00:00 AM","Charles","3467","923","248","7654","31",
"25-105-21347-00-00","9/30/1991 12:00:00 AM","Charles","3467","924","240","7354","30",
"25-105-21347-00-00","8/31/1991 12:00:00 AM","Charles","3467","918","248","7540","31",
"25-105-21347-00-00","7/31/1991 12:00:00 AM","Charles","3467","928","248","7601","31",
"25-105-21347-00-00","6/30/1991 12:00:00 AM","Charles","3467","903","240","7510","30",
"25-105-21347-00-00","5/31/1991 12:00:00 AM","Charles","3467","931","248","7621","31",
"25-105-21347-00-00","4/30/1991 12:00:00 AM","Charles","3467","897","240","7470","30",
"25-105-21347-00-00","3/31/1991 12:00:00 AM","Charles","3467","937","248","7706","31",
"25-105-21347-00-00","2/28/1991 12:00:00 AM","Charles","3467","850","224","7114","28",
"25-105-21347-00-00","1/31/1991 12:00:00 AM","Charles","3467","787","248","7678","31",
"25-105-21347-00-00","12/31/1990 12:00:00 AM","Charles","3467","688","216","6798","27",
"25-105-21347-00-00","11/30/1990 12:00:00 AM","Charles","3467","980","240","7385","30",
"25-105-21347-00-00","10/31/1990 12:00:00 AM","Charles","3467","1049","248","7559","31",
"25-105-21347-00-00","9/30/1990 12:00:00 AM","Charles","3467","1005","240","6896","30",
"25-105-21347-00-00","8/31/1990 12:00:00 AM","Charles","3467","1070","248","7475","31",
"25-105-21347-00-00","7/31/1990 12:00:00 AM","Charles","3467","1077","248","7498","31",
"25-105-21347-00-00","6/30/1990 12:00:00 AM","Charles","3467","1028","240","7184","30",
"25-105-21347-00-00","5/31/1990 12:00:00 AM","Charles","3467","1110","248","7678","31",
"25-105-21347-00-00","4/30/1990 12:00:00 AM","Charles","3467","1095","240","7479","30",
"25-105-21347-00-00","3/31/1990 12:00:00 AM","Charles","3467","1165","248","7809","31",
"25-105-21347-00-00","2/28/1990 12:00:00 AM","Charles","3467","1043","224","6694","28",
"25-105-21347-00-00","1/31/1990 12:00:00 AM","Charles","3467","1181","248","7746","31",
"25-105-21347-00-00","12/31/1989 12:00:00 AM","Charles","3467","1199","248","7649","31",
"25-105-21347-00-00","11/30/1989 12:00:00 AM","Charles","3467","1069","240","7537","30",
"25-105-21347-00-00","10/31/1989 12:00:00 AM","Charles","3467","968","248","8037","31",
"25-105-21347-00-00","9/30/1989 12:00:00 AM","Charles","3467","644","192","6631","24",
"25-105-21347-00-00","8/31/1989 12:00:00 AM","Charles","3467","1329","248","8590","31",
"25-105-21347-00-00","7/31/1989 12:00:00 AM","Charles","3467","1133","240","7073","30",
"25-105-21347-00-00","6/30/1989 12:00:00 AM","Charles","3467","918","240","6640","30",
"25-105-21347-00-00","5/31/1989 12:00:00 AM","Charles","3467","906","248","7032","31",
"25-105-21347-00-00","4/30/1989 12:00:00 AM","Charles","3467","663","144","6678","18",
"25-105-21347-00-00","3/31/1989 12:00:00 AM","Charles","3467","1011","248","6419","31",
"25-105-21347-00-00","2/28/1989 12:00:00 AM","Charles","3467","897","224","5896","28",
"25-105-21347-00-00","1/31/1989 12:00:00 AM","Charles","3467","981","248","6414","31",
"25-105-21347-00-00","12/31/1988 12:00:00 AM","Charles","3467","1018","248","6445","31",
"25-105-21347-00-00","11/30/1988 12:00:00 AM","Charles","3467","995","240","6367","30",
"25-105-21347-00-00","10/31/1988 12:00:00 AM","Charles","3467","989","248","6784","31",
"25-105-21347-00-00","9/30/1988 12:00:00 AM","Charles","3467","947","240","6626","30",
"25-105-21347-00-00","8/31/1988 12:00:00 AM","Charles","3467","982","248","6750","31",
"25-105-21347-00-00","7/31/1988 12:00:00 AM","Charles","3467","919","248","6847","31",
"25-105-21347-00-00","6/30/1988 12:00:00 AM","Charles","3467","754","240","7026","30",
"25-105-21347-00-00","5/31/1988 12:00:00 AM","Charles","3467","380","200","5818","25",
"25-105-21347-00-00","4/30/1988 12:00:00 AM","Charles","3467","921","240","6511","30",
"25-105-21347-00-00","3/31/1988 12:00:00 AM","Charles","3467","938","248","6789","31",
"25-105-21347-00-00","2/29/1988 12:00:00 AM","Charles","3467","798","232","6522","29",
"25-105-21347-00-00","1/31/1988 12:00:00 AM","Charles","3467","774","248","7279","31",
"25-105-21347-00-00","12/31/1987 12:00:00 AM","Charles","3467","524","208","6149","26",
"25-105-21347-00-00","11/30/1987 12:00:00 AM","Charles","3467","757","240","6654","30",
"25-105-21347-00-00","10/31/1987 12:00:00 AM","Charles","3467","763","248","6423","31",
"25-105-21347-00-00","9/30/1987 12:00:00 AM","Charles","3467","758","240","5817","30",
"25-105-21347-00-00","8/31/1987 12:00:00 AM","Charles","3467","761","248","6168","31",
"25-105-21347-00-00","7/31/1987 12:00:00 AM","Charles","3467","782","248","6289","31",
"25-105-21347-00-00","6/30/1987 12:00:00 AM","Charles","3467","753","240","6110","30",
"25-105-21347-00-00","5/31/1987 12:00:00 AM","Charles","3467","781","248","6209","31",
"25-105-21347-00-00","4/30/1987 12:00:00 AM","Charles","3467","751","240","5931","30",
"25-105-21347-00-00","3/31/1987 12:00:00 AM","Charles","3467","794","248","6142","31",
"25-105-21347-00-00","2/28/1987 12:00:00 AM","Charles","3467","720","224","5458","28",
"25-105-21347-00-00","1/31/1987 12:00:00 AM","Charles","3467","803","248","5980","31",
"25-105-21347-00-00","12/31/1986 12:00:00 AM","Charles","3467","811","248","5873","31",
"25-105-21347-00-00","11/30/1986 12:00:00 AM","Charles","3467","821","240","5624","30",
"25-105-21347-00-00","10/31/1986 12:00:00 AM","Charles","3467","842","248","5806","31",
"25-105-21347-00-00","9/30/1986 12:00:00 AM","Charles","3467","810","240","1191","30",
"25-105-21347-00-00","8/31/1986 12:00:00 AM","Charles","3467","842","248","5781","31",
"25-105-21347-00-00","7/31/1986 12:00:00 AM","Charles","3467","860","248","5731","31",
"25-105-21347-00-00","6/30/1986 12:00:00 AM","Charles","3467","835","240","5472","30",
"25-105-21347-00-00","5/31/1986 12:00:00 AM","Charles","3467","888","248","5545","31",
"25-105-21347-00-00","4/30/1986 12:00:00 AM","Charles","3467","881","240","5303","30",
"25-105-21347-00-00","3/31/1986 12:00:00 AM","Charles","3467","916","248","5168","31",
"25-105-21347-00-00","2/28/1986 12:00:00 AM","Charles","3467","837","224","4766","28",
"25-105-21347-00-00","1/31/1986 12:00:00 AM","Charles","3467","964","248","5346","31",

