"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25065212430000","Grand Resources, Ltd.","B.N. 13-11-29  1","Oil","Producing","Musselshell","Ragged Point, Southwest","11N-29E","13",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-065-21243-00-00","4/30/2025 12:00:00 AM","Tyler","2709","60","0","3238","20",
"25-065-21243-00-00","3/31/2025 12:00:00 AM","Tyler","2709","81","0","5435","31",
"25-065-21243-00-00","2/28/2025 12:00:00 AM","Tyler","2709","19","0","819","5",
"25-065-21243-00-00","1/31/2025 12:00:00 AM","Tyler","2709","83","0","3580","20",
"25-065-21243-00-00","12/31/2024 12:00:00 AM","Tyler","2709","79","0","5537","31",
"25-065-21243-00-00","11/30/2024 12:00:00 AM","Tyler","2709","17","0","539","30",
"25-065-21243-00-00","10/31/2024 12:00:00 AM","Tyler","2709","75","0","4209","26",
"25-065-21243-00-00","9/30/2024 12:00:00 AM","Tyler","2709","133","0","7156","31",
"25-065-21243-00-00","8/31/2024 12:00:00 AM","Tyler","2709","94","0","8101","31",
"25-065-21243-00-00","7/31/2024 12:00:00 AM","Tyler","2709","160","0","7329","30",
"25-065-21243-00-00","6/30/2024 12:00:00 AM","Tyler","2709","83","0","6160","27",
"25-065-21243-00-00","5/31/2024 12:00:00 AM","Tyler","2709","54","0","5174","22",
"25-065-21243-00-00","4/30/2024 12:00:00 AM","Tyler","2709","0","0","0","0",
"25-065-21243-00-00","3/31/2024 12:00:00 AM","Tyler","2709","0","0","0","0",
"25-065-21243-00-00","2/29/2024 12:00:00 AM","Tyler","2709","20","0","3169","12",
"25-065-21243-00-00","1/31/2024 12:00:00 AM","Tyler","2709","150","0","8196","31",
"25-065-21243-00-00","12/31/2023 12:00:00 AM","Tyler","2709","4","0","8900","31",
"25-065-21243-00-00","11/30/2023 12:00:00 AM","Tyler","2709","8","0","8168","30",
"25-065-21243-00-00","10/31/2023 12:00:00 AM","Tyler","2709","3","0","5604","30",
"25-065-21243-00-00","9/30/2023 12:00:00 AM","Tyler","2709","3","0","7405","30",
"25-065-21243-00-00","8/31/2023 12:00:00 AM","Tyler","2709","3","0","6825","30",
"25-065-21243-00-00","7/31/2023 12:00:00 AM","Tyler","2709","2","0","5279","24",
"25-065-21243-00-00","6/30/2023 12:00:00 AM","Tyler","2709","2","0","4531","24",
"25-065-21243-00-00","5/31/2023 12:00:00 AM","Tyler","2709","1","0","2415","30",
"25-065-21243-00-00","4/30/2023 12:00:00 AM","Tyler","2709","40","0","5013","30",
"25-065-21243-00-00","3/31/2023 12:00:00 AM","Tyler","2709","3","0","5585","28",
"25-065-21243-00-00","2/28/2023 12:00:00 AM","Tyler","2709","3","0","3951","28",
"25-065-21243-00-00","1/31/2023 12:00:00 AM","Tyler","2709","0","0","0","0",
"25-065-21243-00-00","12/31/2022 12:00:00 AM","Tyler","2709","2","0","195","2",
"25-065-21243-00-00","11/30/2022 12:00:00 AM","Tyler","2709","4","0","1000","7",
"25-065-21243-00-00","10/31/2022 12:00:00 AM","Tyler","2709","43","0","4130","31",
"25-065-21243-00-00","9/30/2022 12:00:00 AM","Tyler","2709","3","0","360","5",
"25-065-21243-00-00","8/31/2022 12:00:00 AM","Tyler","2709","0","0","0","0",
"25-065-21243-00-00","7/31/2022 12:00:00 AM","Tyler","2709","0","0","0","0",
"25-065-21243-00-00","6/30/2022 12:00:00 AM","Tyler","2709","0","0","0","0",
"25-065-21243-00-00","5/31/2022 12:00:00 AM","Tyler","2709","26","0","1223","8",
"25-065-21243-00-00","4/30/2022 12:00:00 AM","Tyler","2709","44","0","5714","30",
"25-065-21243-00-00","3/31/2022 12:00:00 AM","Tyler","2709","44","0","5753","30",
"25-065-21243-00-00","2/28/2022 12:00:00 AM","Tyler","2709","49","0","5447","28",
"25-065-21243-00-00","1/31/2022 12:00:00 AM","Tyler","2709","61","0","6154","31",
"25-065-21243-00-00","12/31/2021 12:00:00 AM","Tyler","2709","73","0","5807","8",
"25-065-21243-00-00","11/30/2021 12:00:00 AM","Tyler","2709","4","0","1596","8",
"25-065-21243-00-00","10/31/2021 12:00:00 AM","Tyler","2709","114","0","5484","29",
"25-065-21243-00-00","9/30/2021 12:00:00 AM","Tyler","2709","104","0","6586","30",
"25-065-21243-00-00","8/31/2021 12:00:00 AM","Tyler","2709","139","0","5615","31",
"25-065-21243-00-00","7/31/2021 12:00:00 AM","Tyler","2709","193","0","7409","31",
"25-065-21243-00-00","6/30/2021 12:00:00 AM","Tyler","2709","118","0","7142","31",
"25-065-21243-00-00","5/31/2021 12:00:00 AM","Tyler","2709","135","0","7355","31",
"25-065-21243-00-00","4/30/2021 12:00:00 AM","Tyler","2709","80","0","6946","30",
"25-065-21243-00-00","3/31/2021 12:00:00 AM","Tyler","2709","74","0","6854","31",
"25-065-21243-00-00","2/28/2021 12:00:00 AM","Tyler","2709","55","0","6345","28",
"25-065-21243-00-00","1/31/2021 12:00:00 AM","Tyler","2709","67","0","6776","31",
"25-065-21243-00-00","12/31/2020 12:00:00 AM","Tyler","2709","67","0","6673","31",
"25-065-21243-00-00","11/30/2020 12:00:00 AM","Tyler","2709","50","0","5358","30",
"25-065-21243-00-00","10/31/2020 12:00:00 AM","Tyler","2709","34","0","3295","23",
"25-065-21243-00-00","9/30/2020 12:00:00 AM","Tyler","2709","106","0","6432","30",
"25-065-21243-00-00","8/31/2020 12:00:00 AM","Tyler","2709","127","0","5394","26",
"25-065-21243-00-00","7/31/2020 12:00:00 AM","Tyler","2709","103","0","6003","28",
"25-065-21243-00-00","6/30/2020 12:00:00 AM","Tyler","2709","112","0","6297","30",
"25-065-21243-00-00","5/31/2020 12:00:00 AM","Tyler","2709","23","0","2813","14",
"25-065-21243-00-00","4/30/2020 12:00:00 AM","Tyler","2709","21","0","3360","17",
"25-065-21243-00-00","3/31/2020 12:00:00 AM","Tyler","2709","115","0","14457","31",
"25-065-21243-00-00","2/29/2020 12:00:00 AM","Tyler","2709","65","0","6178","29",
"25-065-21243-00-00","1/31/2020 12:00:00 AM","Tyler","2709","77","0","7788","31",
"25-065-21243-00-00","12/31/2019 12:00:00 AM","Tyler","2709","74","0","7501","31",
"25-065-21243-00-00","11/30/2019 12:00:00 AM","Tyler","2709","97","0","7297","30",
"25-065-21243-00-00","10/31/2019 12:00:00 AM","Tyler","2709","74","0","7498","31",
"25-065-21243-00-00","9/30/2019 12:00:00 AM","Tyler","2709","124","0","7227","30",
