"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25083215940000","Ramhorn Energy, LLC","Anderson  2-6","Oil","Producing","Richland","Eagle","22N-59E","6",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-083-21594-00-00","7/31/2025 12:00:00 AM","Mission Canyon","93","148","0","923","31",
"25-083-21594-00-00","6/30/2025 12:00:00 AM","Mission Canyon","93","144","0","468","30",
"25-083-21594-00-00","5/31/2025 12:00:00 AM","Mission Canyon","93","176","0","836","30",
"25-083-21594-00-00","4/30/2025 12:00:00 AM","Mission Canyon","93","165","0","577","30",
"25-083-21594-00-00","3/31/2025 12:00:00 AM","Mission Canyon","93","149","0","548","31",
"25-083-21594-00-00","2/28/2025 12:00:00 AM","Mission Canyon","93","107","0","471","24",
"25-083-21594-00-00","1/31/2025 12:00:00 AM","Mission Canyon","93","106","0","829","31",
"25-083-21594-00-00","12/31/2024 12:00:00 AM","Mission Canyon","93","163","0","893","31",
"25-083-21594-00-00","11/30/2024 12:00:00 AM","Mission Canyon","93","37","0","946","30",
"25-083-21594-00-00","10/31/2024 12:00:00 AM","Mission Canyon","93","95","0","900","31",
"25-083-21594-00-00","9/30/2024 12:00:00 AM","Mission Canyon","93","160","0","810","30",
"25-083-21594-00-00","8/31/2024 12:00:00 AM","Mission Canyon","93","141","0","835","31",
"25-083-21594-00-00","7/31/2024 12:00:00 AM","Mission Canyon","93","131","0","670","31",
"25-083-21594-00-00","6/30/2024 12:00:00 AM","Mission Canyon","93","72","0","423","27",
"25-083-21594-00-00","5/31/2024 12:00:00 AM","Mission Canyon","93","135","0","699","31",
"25-083-21594-00-00","4/30/2024 12:00:00 AM","Mission Canyon","93","153","0","670","30",
"25-083-21594-00-00","3/31/2024 12:00:00 AM","Mission Canyon","93","157","0","872","31",
"25-083-21594-00-00","2/29/2024 12:00:00 AM","Mission Canyon","93","77","0","578","22",
"25-083-21594-00-00","1/31/2024 12:00:00 AM","Mission Canyon","93","100","0","498","31",
"25-083-21594-00-00","12/31/2023 12:00:00 AM","Mission Canyon","93","150","0","678","31",
"25-083-21594-00-00","11/30/2023 12:00:00 AM","Mission Canyon","93","140","0","647","30",
"25-083-21594-00-00","10/31/2023 12:00:00 AM","Mission Canyon","93","111","0","422","31",
"25-083-21594-00-00","9/30/2023 12:00:00 AM","Mission Canyon","93","131","0","664","30",
"25-083-21594-00-00","8/31/2023 12:00:00 AM","Mission Canyon","93","88","0","488","31",
"25-083-21594-00-00","7/31/2023 12:00:00 AM","Mission Canyon","93","146","0","567","31",
"25-083-21594-00-00","6/30/2023 12:00:00 AM","Mission Canyon","93","140","0","605","30",
"25-083-21594-00-00","5/31/2023 12:00:00 AM","Mission Canyon","93","215","0","705","31",
"25-083-21594-00-00","4/30/2023 12:00:00 AM","Mission Canyon","93","0","0","0","0",
"25-083-21594-00-00","3/31/2023 12:00:00 AM","Mission Canyon","93","0","0","0","0",
"25-083-21594-00-00","2/28/2023 12:00:00 AM","Mission Canyon","93","0","0","0","0",
"25-083-21594-00-00","1/31/2023 12:00:00 AM","Mission Canyon","93","2","0","0","1",
"25-083-21594-00-00","12/31/2022 12:00:00 AM","Mission Canyon","93","94","0","483","19",
"25-083-21594-00-00","11/30/2022 12:00:00 AM","Mission Canyon","93","169","0","798","30",
"25-083-21594-00-00","10/31/2022 12:00:00 AM","Mission Canyon","93","44","0","701","26",
"25-083-21594-00-00","9/30/2022 12:00:00 AM","Mission Canyon","93","106","0","539","27",
"25-083-21594-00-00","8/31/2022 12:00:00 AM","Mission Canyon","93","130","0","631","31",
"25-083-21594-00-00","7/31/2022 12:00:00 AM","Mission Canyon","93","229","0","854","31",
"25-083-21594-00-00","6/30/2022 12:00:00 AM","Mission Canyon","93","69","0","692","30",
"25-083-21594-00-00","5/31/2022 12:00:00 AM","Mission Canyon","93","90","0","780","31",
"25-083-21594-00-00","4/30/2022 12:00:00 AM","Mission Canyon","93","156","0","741","30",
"25-083-21594-00-00","3/31/2022 12:00:00 AM","Mission Canyon","93","157","0","798","31",
"25-083-21594-00-00","2/28/2022 12:00:00 AM","Mission Canyon","93","153","0","738","28",
"25-083-21594-00-00","1/31/2022 12:00:00 AM","Mission Canyon","93","183","0","810","31",
"25-083-21594-00-00","12/31/2021 12:00:00 AM","Mission Canyon","93","169","0","510","31",
"25-083-21594-00-00","11/30/2021 12:00:00 AM","Mission Canyon","93","162","0","955","30",
"25-083-21594-00-00","10/31/2021 12:00:00 AM","Mission Canyon","93","202","0","548","31",
"25-083-21594-00-00","9/30/2021 12:00:00 AM","Mission Canyon","93","154","0","660","30",
"25-083-21594-00-00","8/31/2021 12:00:00 AM","Mission Canyon","93","153","0","695","31",
"25-083-21594-00-00","7/31/2021 12:00:00 AM","Mission Canyon","93","162","0","743","30",
"25-083-21594-00-00","6/30/2021 12:00:00 AM","Mission Canyon","93","132","0","428","30",
"25-083-21594-00-00","5/31/2021 12:00:00 AM","Mission Canyon","93","142","0","551","30",
"25-083-21594-00-00","4/30/2021 12:00:00 AM","Mission Canyon","93","133","0","702","30",
"25-083-21594-00-00","3/31/2021 12:00:00 AM","Mission Canyon","93","162","0","735","29",
"25-083-21594-00-00","2/28/2021 12:00:00 AM","Mission Canyon","93","147","0","642","24",
"25-083-21594-00-00","1/31/2021 12:00:00 AM","Mission Canyon","93","170","0","718","31",
"25-083-21594-00-00","12/31/2020 12:00:00 AM","Mission Canyon","93","182","0","797","30",
"25-083-21594-00-00","11/30/2020 12:00:00 AM","Mission Canyon","93","146","0","581","30",
"25-083-21594-00-00","10/31/2020 12:00:00 AM","Mission Canyon","93","164","0","740","31",
"25-083-21594-00-00","9/30/2020 12:00:00 AM","Mission Canyon","93","178","0","749","30",
"25-083-21594-00-00","8/31/2020 12:00:00 AM","Mission Canyon","93","188","0","841","31",
"25-083-21594-00-00","7/31/2020 12:00:00 AM","Mission Canyon","93","207","0","985","31",
"25-083-21594-00-00","6/30/2020 12:00:00 AM","Mission Canyon","93","143","0","840","15",
"25-083-21594-00-00","5/31/2020 12:00:00 AM","Mission Canyon","93","0","0","0","0",
"25-083-21594-00-00","4/30/2020 12:00:00 AM","Mission Canyon","93","111","0","584","12",
"25-083-21594-00-00","3/31/2020 12:00:00 AM","Mission Canyon","93","154","0","650","31",
"25-083-21594-00-00","2/29/2020 12:00:00 AM","Mission Canyon","93","165","0","657","29",
"25-083-21594-00-00","1/31/2020 12:00:00 AM","Mission Canyon","93","182","0","813","31",
"25-083-21594-00-00","12/31/2019 12:00:00 AM","Mission Canyon","93","168","0","705","31",
"25-083-21594-00-00","11/30/2019 12:00:00 AM","Mission Canyon","93","165","0","765","30",
"25-083-21594-00-00","10/31/2019 12:00:00 AM","Mission Canyon","93","176","0","750","31",
"25-083-21594-00-00","9/30/2019 12:00:00 AM","Mission Canyon","93","171","0","750","30",
"25-083-21594-00-00","8/31/2019 12:00:00 AM","Mission Canyon","93","174","0","815","31",
"25-083-21594-00-00","7/31/2019 12:00:00 AM","Mission Canyon","93","185","0","770","31",
