"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25101097670000","Keesun Corporation","Anderson (1-0762-1)  1","Gas","Producing","Toole","Old Shelby","33N-2W","25",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-101-09767-00-00","5/31/2025 12:00:00 AM","Sunburst","107621","0","299","0","31",
"25-101-09767-00-00","4/30/2025 12:00:00 AM","Sunburst","107621","0","113","0","30",
"25-101-09767-00-00","3/31/2025 12:00:00 AM","Sunburst","107621","0","206","0","31",
"25-101-09767-00-00","2/28/2025 12:00:00 AM","Sunburst","107621","0","163","0","28",
"25-101-09767-00-00","1/31/2025 12:00:00 AM","Sunburst","107621","0","357","0","31",
"25-101-09767-00-00","12/31/2024 12:00:00 AM","Sunburst","107621","0","396","0","31",
"25-101-09767-00-00","11/30/2024 12:00:00 AM","Sunburst","107621","0","425","0","30",
"25-101-09767-00-00","10/31/2024 12:00:00 AM","Sunburst","107621","0","375","0","31",
"25-101-09767-00-00","9/30/2024 12:00:00 AM","Sunburst","107621","0","567","0","30",
"25-101-09767-00-00","8/31/2024 12:00:00 AM","Sunburst","107621","0","294","0","31",
"25-101-09767-00-00","7/31/2024 12:00:00 AM","Sunburst","107621","0","127","0","31",
"25-101-09767-00-00","6/30/2024 12:00:00 AM","Sunburst","107621","0","411","0","30",
"25-101-09767-00-00","5/31/2024 12:00:00 AM","Sunburst","107621","0","416","0","31",
"25-101-09767-00-00","4/30/2024 12:00:00 AM","Sunburst","107621","0","412","0","30",
"25-101-09767-00-00","3/31/2024 12:00:00 AM","Sunburst","107621","0","487","0","31",
"25-101-09767-00-00","2/29/2024 12:00:00 AM","Sunburst","107621","0","424","0","29",
"25-101-09767-00-00","1/31/2024 12:00:00 AM","Sunburst","107621","0","356","0","31",
"25-101-09767-00-00","12/31/2023 12:00:00 AM","Sunburst","107621","0","579","0","31",
"25-101-09767-00-00","11/30/2023 12:00:00 AM","Sunburst","107621","0","0","0","30",
"25-101-09767-00-00","10/31/2023 12:00:00 AM","Sunburst","107621","0","0","0","31",
"25-101-09767-00-00","9/30/2023 12:00:00 AM","Sunburst","107621","0","0","0","30",
"25-101-09767-00-00","8/31/2023 12:00:00 AM","Sunburst","107621","0","11","0","31",
"25-101-09767-00-00","7/31/2023 12:00:00 AM","Sunburst","107621","0","4","0","31",
"25-101-09767-00-00","6/30/2023 12:00:00 AM","Sunburst","107621","0","7","0","30",
"25-101-09767-00-00","5/31/2023 12:00:00 AM","Sunburst","107621","0","13","0","31",
"25-101-09767-00-00","4/30/2023 12:00:00 AM","Sunburst","107621","0","0","0","30",
"25-101-09767-00-00","3/31/2023 12:00:00 AM","Sunburst","107621","0","0","0","31",
"25-101-09767-00-00","2/28/2023 12:00:00 AM","Sunburst","107621","0","0","0","28",
"25-101-09767-00-00","1/31/2023 12:00:00 AM","Sunburst","107621","0","0","0","31",
"25-101-09767-00-00","12/31/2022 12:00:00 AM","Sunburst","107621","0","0","0","0",
"25-101-09767-00-00","11/30/2022 12:00:00 AM","Sunburst","107621","0","0","0","0",
"25-101-09767-00-00","10/31/2022 12:00:00 AM","Sunburst","107621","0","0","0","31",
"25-101-09767-00-00","9/30/2022 12:00:00 AM","Sunburst","107621","0","14","0","30",
"25-101-09767-00-00","8/31/2022 12:00:00 AM","Sunburst","107621","0","11","0","31",
"25-101-09767-00-00","7/31/2022 12:00:00 AM","Sunburst","107621","0","8","0","31",
"25-101-09767-00-00","6/30/2022 12:00:00 AM","Sunburst","107621","0","5","0","30",
"25-101-09767-00-00","5/31/2022 12:00:00 AM","Sunburst","107621","0","4","0","31",
"25-101-09767-00-00","4/30/2022 12:00:00 AM","Sunburst","107621","0","7","0","30",
"25-101-09767-00-00","3/31/2022 12:00:00 AM","Sunburst","107621","0","0","0","31",
"25-101-09767-00-00","2/28/2022 12:00:00 AM","Sunburst","107621","0","1","0","31",
"25-101-09767-00-00","1/31/2022 12:00:00 AM","Sunburst","107621","0","3","0","31",
"25-101-09767-00-00","12/31/2021 12:00:00 AM","Sunburst","107621","0","0","0","0",
"25-101-09767-00-00","11/30/2021 12:00:00 AM","Sunburst","107621","0","51","0","30",
"25-101-09767-00-00","10/31/2021 12:00:00 AM","Sunburst","107621","0","60","0","30",
