"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25003216880000","Fidelity Exploration & Production Co.","Decker 2890  33C","Coal Bed Methane","P&A - Approved","Big Horn","CX","9S-40E","28",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-003-21688-00-00","2/28/2015 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","1/31/2015 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","12/31/2014 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","11/30/2014 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","10/31/2014 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","9/30/2014 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","8/31/2014 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","7/31/2014 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","6/30/2014 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","5/31/2014 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","4/30/2014 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","3/31/2014 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","2/28/2014 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","1/31/2014 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","12/31/2013 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","11/30/2013 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","10/31/2013 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","9/30/2013 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","8/31/2013 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","7/31/2013 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","6/30/2013 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","5/31/2013 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","4/30/2013 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","3/31/2013 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","2/28/2013 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","1/31/2013 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","12/31/2012 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","11/30/2012 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","10/31/2012 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","9/30/2012 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","8/31/2012 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","7/31/2012 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","6/30/2012 12:00:00 AM","Carney","6662","0","0","0","0",
"25-003-21688-00-00","5/31/2012 12:00:00 AM","Carney","6662","0","0","948","31",
"25-003-21688-00-00","4/30/2012 12:00:00 AM","Carney","6662","0","0","924","30",
"25-003-21688-00-00","3/31/2012 12:00:00 AM","Carney","6662","0","45","2441","31",
"25-003-21688-00-00","2/29/2012 12:00:00 AM","Carney","6662","0","49","1407","29",
"25-003-21688-00-00","1/31/2012 12:00:00 AM","Carney","6662","0","93","4451","31",
"25-003-21688-00-00","12/31/2011 12:00:00 AM","Carney","6662","0","42","2765","31",
"25-003-21688-00-00","11/30/2011 12:00:00 AM","Carney","6662","0","92","5108","30",
"25-003-21688-00-00","10/31/2011 12:00:00 AM","Carney","6662","0","92","5459","31",
"25-003-21688-00-00","9/30/2011 12:00:00 AM","Carney","6662","0","92","5225","30",
"25-003-21688-00-00","8/31/2011 12:00:00 AM","Carney","6662","0","111","5528","31",
"25-003-21688-00-00","7/31/2011 12:00:00 AM","Carney","6662","0","125","5639","31",
"25-003-21688-00-00","6/30/2011 12:00:00 AM","Carney","6662","0","129","5463","30",
"25-003-21688-00-00","5/31/2011 12:00:00 AM","Carney","6662","0","153","5670","31",
"25-003-21688-00-00","4/30/2011 12:00:00 AM","Carney","6662","0","164","5661","30",
"25-003-21688-00-00","3/31/2011 12:00:00 AM","Carney","6662","0","174","1417","31",
"25-003-21688-00-00","2/28/2011 12:00:00 AM","Carney","6662","0","180","4901","28",
"25-003-21688-00-00","1/31/2011 12:00:00 AM","Carney","6662","0","175","4430","31",
"25-003-21688-00-00","12/31/2010 12:00:00 AM","Carney","6662","0","70","5990","31",
"25-003-21688-00-00","11/30/2010 12:00:00 AM","Carney","6662","0","106","5844","30",
"25-003-21688-00-00","10/31/2010 12:00:00 AM","Carney","6662","0","281","6704","31",
"25-003-21688-00-00","9/30/2010 12:00:00 AM","Carney","6662","0","435","6468","30",
"25-003-21688-00-00","8/31/2010 12:00:00 AM","Carney","6662","0","533","7227","31",
"25-003-21688-00-00","7/31/2010 12:00:00 AM","Carney","6662","0","689","8224","31",
"25-003-21688-00-00","6/30/2010 12:00:00 AM","Carney","6662","0","527","7910","30",
"25-003-21688-00-00","5/31/2010 12:00:00 AM","Carney","6662","0","396","1791","24",
"25-003-21688-00-00","4/30/2010 12:00:00 AM","Carney","6662","0","512","6573","30",
"25-003-21688-00-00","3/31/2010 12:00:00 AM","Carney","6662","0","584","6956","31",
"25-003-21688-00-00","2/28/2010 12:00:00 AM","Carney","6662","0","606","6432","28",
"25-003-21688-00-00","1/31/2010 12:00:00 AM","Carney","6662","0","860","7510","31",
"25-003-21688-00-00","12/31/2009 12:00:00 AM","Carney","6662","0","1030","7450","31",
"25-003-21688-00-00","11/30/2009 12:00:00 AM","Carney","6662","0","1135","7248","30",
"25-003-21688-00-00","10/31/2009 12:00:00 AM","Carney","6662","0","1450","7772","31",
"25-003-21688-00-00","9/30/2009 12:00:00 AM","Carney","6662","0","1619","7445","30",
"25-003-21688-00-00","8/31/2009 12:00:00 AM","Carney","6662","0","2056","7403","31",
"25-003-21688-00-00","7/31/2009 12:00:00 AM","Carney","6662","0","2288","7869","31",
"25-003-21688-00-00","6/30/2009 12:00:00 AM","Carney","6662","0","2633","9132","30",
"25-003-21688-00-00","5/31/2009 12:00:00 AM","Carney","6662","0","2984","7858","31",
"25-003-21688-00-00","4/30/2009 12:00:00 AM","Carney","6662","0","3088","8620","30",
"25-003-21688-00-00","3/31/2009 12:00:00 AM","Carney","6662","0","3047","7320","31",
"25-003-21688-00-00","2/28/2009 12:00:00 AM","Carney","6662","0","2509","7051","28",
"25-003-21688-00-00","1/31/2009 12:00:00 AM","Carney","6662","0","3097","8338","31",
