"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25005225090000","NorthWestern Corporation","Davey  6-4","Gas","Producing","Blaine","Tiger Ridge","31N-18E","6",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-005-22509-00-00","7/31/2025 12:00:00 AM","Eagle","2356","0","374","0","31",
"25-005-22509-00-00","6/30/2025 12:00:00 AM","Eagle","2356","0","368","0","30",
"25-005-22509-00-00","5/31/2025 12:00:00 AM","Eagle","2356","0","376","0","31",
"25-005-22509-00-00","4/30/2025 12:00:00 AM","Eagle","2356","0","385","0","30",
"25-005-22509-00-00","3/31/2025 12:00:00 AM","Eagle","2356","0","426","0","31",
"25-005-22509-00-00","2/28/2025 12:00:00 AM","Eagle","2356","0","197","0","22",
"25-005-22509-00-00","1/31/2025 12:00:00 AM","Eagle","2356","0","378","0","27",
"25-005-22509-00-00","12/31/2024 12:00:00 AM","Eagle","2356","0","379","0","30",
"25-005-22509-00-00","11/30/2024 12:00:00 AM","Eagle","2356","0","280","0","23",
"25-005-22509-00-00","10/31/2024 12:00:00 AM","Eagle","2356","0","367","0","31",
"25-005-22509-00-00","9/30/2024 12:00:00 AM","Eagle","2356","0","329","0","30",
"25-005-22509-00-00","8/31/2024 12:00:00 AM","Eagle","2356","0","369","0","31",
"25-005-22509-00-00","7/31/2024 12:00:00 AM","Eagle","2356","0","379","0","31",
"25-005-22509-00-00","6/30/2024 12:00:00 AM","Eagle","2356","0","381","0","30",
"25-005-22509-00-00","5/31/2024 12:00:00 AM","Eagle","2356","0","416","0","31",
"25-005-22509-00-00","4/30/2024 12:00:00 AM","Eagle","2356","0","421","0","30",
"25-005-22509-00-00","3/31/2024 12:00:00 AM","Eagle","2356","0","332","0","29",
"25-005-22509-00-00","2/29/2024 12:00:00 AM","Eagle","2356","0","363","0","29",
"25-005-22509-00-00","1/31/2024 12:00:00 AM","Eagle","2356","0","264","0","23",
"25-005-22509-00-00","12/31/2023 12:00:00 AM","Eagle","2356","0","417","0","31",
