"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25083230020000","Oasis Petroleum North America LLC","David Federal 2658  43-9H","Oil","Producing","Richland","Elm Coulee, Northeast","26N-58E","9",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-083-23002-00-00","7/31/2025 12:00:00 AM","Bakken","8825","816","461","1230","31",
"25-083-23002-00-00","6/30/2025 12:00:00 AM","Bakken","8825","1100","754","1867","29",
"25-083-23002-00-00","5/31/2025 12:00:00 AM","Bakken","8825","92","78","142","3",
"25-083-23002-00-00","4/30/2025 12:00:00 AM","Bakken","8825","565","382","870","22",
"25-083-23002-00-00","3/31/2025 12:00:00 AM","Bakken","8825","536","402","820","29",
"25-083-23002-00-00","2/28/2025 12:00:00 AM","Bakken","8825","692","592","955","26",
"25-083-23002-00-00","1/31/2025 12:00:00 AM","Bakken","8825","628","463","1187","30",
"25-083-23002-00-00","12/31/2024 12:00:00 AM","Bakken","8825","662","661","1062","31",
"25-083-23002-00-00","11/30/2024 12:00:00 AM","Bakken","8825","588","637","1021","30",
"25-083-23002-00-00","10/31/2024 12:00:00 AM","Bakken","8825","710","407","1031","31",
"25-083-23002-00-00","9/30/2024 12:00:00 AM","Bakken","8825","647","359","1103","30",
"25-083-23002-00-00","8/31/2024 12:00:00 AM","Bakken","8825","738","682","1322","31",
"25-083-23002-00-00","7/31/2024 12:00:00 AM","Bakken","8825","671","814","1148","31",
"25-083-23002-00-00","6/30/2024 12:00:00 AM","Bakken","8825","831","999","1109","30",
"25-083-23002-00-00","5/31/2024 12:00:00 AM","Bakken","8825","990","938","1689","31",
"25-083-23002-00-00","4/30/2024 12:00:00 AM","Bakken","8825","624","358","1063","30",
"25-083-23002-00-00","3/31/2024 12:00:00 AM","Bakken","8825","887","622","1423","31",
"25-083-23002-00-00","2/29/2024 12:00:00 AM","Bakken","8825","717","217","1077","29",
"25-083-23002-00-00","1/31/2024 12:00:00 AM","Bakken","8825","923","890","1255","29",
"25-083-23002-00-00","12/31/2023 12:00:00 AM","Bakken","8825","921","922","1477","29",
"25-083-23002-00-00","11/30/2023 12:00:00 AM","Bakken","8825","1376","829","1718","28",
"25-083-23002-00-00","10/31/2023 12:00:00 AM","Bakken","8825","789","914","1028","27",
"25-083-23002-00-00","9/30/2023 12:00:00 AM","Bakken","8825","956","900","1403","23",
"25-083-23002-00-00","8/31/2023 12:00:00 AM","Bakken","8825","1397","1253","2295","28",
"25-083-23002-00-00","7/31/2023 12:00:00 AM","Bakken","8825","1456","2203","2177","30",
"25-083-23002-00-00","6/30/2023 12:00:00 AM","Bakken","8825","0","30","0","30",
"25-083-23002-00-00","5/31/2023 12:00:00 AM","Bakken","8825","585","1265","1103","31",
"25-083-23002-00-00","4/30/2023 12:00:00 AM","Bakken","8825","187","283","552","1",
