"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25095212180000","West Gas Inc","Dannenberg  7-34","Gas","P&A - Approved","Stillwater","Lake Basin, North","2N-21E","34",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-095-21218-00-00","9/30/1991 12:00:00 AM","Frontier","4080","0","0","0","0",
"25-095-21218-00-00","8/31/1991 12:00:00 AM","Frontier","4080","0","0","0","0",
"25-095-21218-00-00","7/31/1991 12:00:00 AM","Frontier","4080","0","0","0","0",
"25-095-21218-00-00","6/30/1991 12:00:00 AM","Frontier","4080","0","0","0","0",
"25-095-21218-00-00","5/31/1991 12:00:00 AM","Frontier","4080","0","0","0","0",
"25-095-21218-00-00","4/30/1991 12:00:00 AM","Frontier","4080","0","0","0","0",
"25-095-21218-00-00","3/31/1991 12:00:00 AM","Frontier","4080","0","0","0","0",
"25-095-21218-00-00","2/28/1991 12:00:00 AM","Frontier","4080","0","0","0","0",
"25-095-21218-00-00","1/31/1991 12:00:00 AM","Frontier","4080","0","0","0","0",
"25-095-21218-00-00","12/31/1988 12:00:00 AM","Frontier","4080","0","79","0","31",
"25-095-21218-00-00","11/30/1988 12:00:00 AM","Frontier","4080","0","325","0","26",
"25-095-21218-00-00","10/31/1988 12:00:00 AM","Frontier","4080","0","344","0","31",
"25-095-21218-00-00","9/30/1988 12:00:00 AM","Frontier","4080","0","323","0","30",
"25-095-21218-00-00","8/31/1988 12:00:00 AM","Frontier","4080","0","262","0","31",
"25-095-21218-00-00","7/31/1988 12:00:00 AM","Frontier","4080","0","338","0","31",
"25-095-21218-00-00","6/30/1988 12:00:00 AM","Frontier","4080","0","988","0","30",
"25-095-21218-00-00","5/31/1988 12:00:00 AM","Frontier","4080","0","1683","0","31",
"25-095-21218-00-00","4/30/1988 12:00:00 AM","Frontier","4080","0","824","0","30",
"25-095-21218-00-00","3/31/1988 12:00:00 AM","Frontier","4080","0","1767","0","31",
"25-095-21218-00-00","2/29/1988 12:00:00 AM","Frontier","4080","0","641","0","29",
"25-095-21218-00-00","1/31/1988 12:00:00 AM","Frontier","4080","0","1922","0","31",

