"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25035067900000","Beren Corporation","Doorenbos  1","Oil","Producing","Glacier","Cut Bank","36N-6W","12",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-035-06790-00-00","7/31/2025 12:00:00 AM","Madison","557","49","0","4733","31",
"25-035-06790-00-00","6/30/2025 12:00:00 AM","Madison","557","46","0","4580","30",
"25-035-06790-00-00","5/31/2025 12:00:00 AM","Madison","557","46","0","4733","31",
"25-035-06790-00-00","4/30/2025 12:00:00 AM","Madison","557","47","0","4580","30",
"25-035-06790-00-00","3/31/2025 12:00:00 AM","Madison","557","49","0","4733","31",
"25-035-06790-00-00","2/28/2025 12:00:00 AM","Madison","557","54","0","4275","28",
"25-035-06790-00-00","1/31/2025 12:00:00 AM","Madison","557","52","0","4733","31",
"25-035-06790-00-00","12/31/2024 12:00:00 AM","Madison","557","52","0","4733","31",
"25-035-06790-00-00","11/30/2024 12:00:00 AM","Madison","557","49","0","4580","30",
"25-035-06790-00-00","10/31/2024 12:00:00 AM","Madison","557","52","0","4733","31",
"25-035-06790-00-00","9/30/2024 12:00:00 AM","Madison","557","47","0","4580","30",
"25-035-06790-00-00","8/31/2024 12:00:00 AM","Madison","557","53","0","4733","31",
"25-035-06790-00-00","7/31/2024 12:00:00 AM","Madison","557","49","0","4580","30",
"25-035-06790-00-00","6/30/2024 12:00:00 AM","Madison","557","47","0","4580","30",
"25-035-06790-00-00","5/31/2024 12:00:00 AM","Madison","557","50","0","4733","31",
"25-035-06790-00-00","4/30/2024 12:00:00 AM","Madison","557","48","0","4733","31",
"25-035-06790-00-00","3/31/2024 12:00:00 AM","Madison","557","54","0","4733","31",
"25-035-06790-00-00","2/29/2024 12:00:00 AM","Madison","557","51","0","4427","29",
"25-035-06790-00-00","1/31/2024 12:00:00 AM","Madison","557","57","0","4733","31",
"25-035-06790-00-00","12/31/2023 12:00:00 AM","Madison","557","43","0","4733","31",
"25-035-06790-00-00","11/30/2023 12:00:00 AM","Madison","557","52","0","4580","30",
"25-035-06790-00-00","10/31/2023 12:00:00 AM","Madison","557","57","0","4733","31",
"25-035-06790-00-00","9/30/2023 12:00:00 AM","Madison","557","63","0","4580","30",
"25-035-06790-00-00","8/31/2023 12:00:00 AM","Madison","557","52","0","4733","31",
"25-035-06790-00-00","7/31/2023 12:00:00 AM","Madison","557","56","0","4733","31",
"25-035-06790-00-00","6/30/2023 12:00:00 AM","Madison","557","57","0","4580","30",
"25-035-06790-00-00","5/31/2023 12:00:00 AM","Madison","557","52","0","4733","31",
"25-035-06790-00-00","4/30/2023 12:00:00 AM","Madison","557","56","0","4581","30",
"25-035-06790-00-00","3/31/2023 12:00:00 AM","Madison","557","60","0","3311","31",
"25-035-06790-00-00","2/28/2023 12:00:00 AM","Madison","557","52","0","3311","31",
"25-035-06790-00-00","1/31/2023 12:00:00 AM","Madison","557","55","0","3311","31",
"25-035-06790-00-00","12/31/2022 12:00:00 AM","Madison","557","61","0","3311","31",
"25-035-06790-00-00","11/30/2022 12:00:00 AM","Madison","557","58","0","3205","30",
"25-035-06790-00-00","10/31/2022 12:00:00 AM","Madison","557","64","0","3311","31",
"25-035-06790-00-00","9/30/2022 12:00:00 AM","Madison","557","58","0","3205","30",
"25-035-06790-00-00","8/31/2022 12:00:00 AM","Madison","557","61","0","3311","31",
"25-035-06790-00-00","7/31/2022 12:00:00 AM","Madison","557","58","0","2991","28",
"25-035-06790-00-00","6/30/2022 12:00:00 AM","Madison","557","61","0","3205","30",
"25-035-06790-00-00","5/31/2022 12:00:00 AM","Madison","557","59","0","3311","31",
"25-035-06790-00-00","4/30/2022 12:00:00 AM","Madison","557","67","0","3205","30",
"25-035-06790-00-00","3/31/2022 12:00:00 AM","Madison","557","101","0","2565","31",
"25-035-06790-00-00","2/28/2022 12:00:00 AM","Madison","557","78","0","2316","28",
"25-035-06790-00-00","1/31/2022 12:00:00 AM","Madison","557","90","0","2565","31",
"25-035-06790-00-00","12/31/2021 12:00:00 AM","Madison","557","86","0","2565","31",
"25-035-06790-00-00","11/30/2021 12:00:00 AM","Madison","557","89","0","2482","30",
"25-035-06790-00-00","10/31/2021 12:00:00 AM","Madison","557","101","0","2565","31",
"25-035-06790-00-00","9/30/2021 12:00:00 AM","Madison","557","77","0","2234","27",
"25-035-06790-00-00","8/31/2021 12:00:00 AM","Madison","557","84","0","2565","31",
"25-035-06790-00-00","7/31/2021 12:00:00 AM","Madison","557","59","0","1474","20",
"25-035-06790-00-00","6/30/2021 12:00:00 AM","Madison","557","53","0","2212","30",
"25-035-06790-00-00","5/31/2021 12:00:00 AM","Madison","557","81","0","3428","31",
"25-035-06790-00-00","4/30/2021 12:00:00 AM","Madison","557","81","0","3317","30",
"25-035-06790-00-00","3/31/2021 12:00:00 AM","Madison","557","91","0","1438","13",
"25-035-06790-00-00","2/28/2021 12:00:00 AM","Madison","557","34","0","1438","13",
"25-035-06790-00-00","1/31/2021 12:00:00 AM","Madison","557","18","0","1106","10",
"25-035-06790-00-00","12/31/2020 12:00:00 AM","Madison","557","98","0","3428","31",
"25-035-06790-00-00","11/30/2020 12:00:00 AM","Madison","557","92","0","3317","30",
"25-035-06790-00-00","10/31/2020 12:00:00 AM","Madison","557","90","0","3428","31",
"25-035-06790-00-00","9/30/2020 12:00:00 AM","Madison","557","35","0","3317","30",
"25-035-06790-00-00","8/31/2020 12:00:00 AM","Madison","557","115","0","3317","30",
"25-035-06790-00-00","7/31/2020 12:00:00 AM","Madison","557","54","0","2232","31",
"25-035-06790-00-00","6/30/2020 12:00:00 AM","Madison","557","58","0","2160","30",
"25-035-06790-00-00","5/31/2020 12:00:00 AM","Madison","557","28","0","1296","18",
"25-035-06790-00-00","4/30/2020 12:00:00 AM","Madison","557","0","0","0","0",
"25-035-06790-00-00","3/31/2020 12:00:00 AM","Madison","557","0","0","0","0",
"25-035-06790-00-00","2/29/2020 12:00:00 AM","Madison","557","8","0","360","5",
"25-035-06790-00-00","1/31/2020 12:00:00 AM","Madison","557","18","0","1800","25",
