"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25051064840000","MCR, LLC","Dohrs  1","Gas","Producing","Liberty","Whitlash","37N-4E","17",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-051-06484-00-00","5/31/2025 12:00:00 AM","Dakota","4219","0","465","0","31",
"25-051-06484-00-00","4/30/2025 12:00:00 AM","Dakota","4219","0","544","0","30",
"25-051-06484-00-00","3/31/2025 12:00:00 AM","Dakota","4219","0","760","0","31",
"25-051-06484-00-00","2/28/2025 12:00:00 AM","Dakota","4219","0","983","0","28",
"25-051-06484-00-00","1/31/2025 12:00:00 AM","Dakota","4219","0","838","0","31",
"25-051-06484-00-00","12/31/2024 12:00:00 AM","Dakota","4219","0","682","0","31",
"25-051-06484-00-00","11/30/2024 12:00:00 AM","Dakota","4219","0","624","0","30",
"25-051-06484-00-00","10/31/2024 12:00:00 AM","Dakota","4219","0","337","0","31",
"25-051-06484-00-00","9/30/2024 12:00:00 AM","Dakota","4219","0","97","0","30",
"25-051-06484-00-00","8/31/2024 12:00:00 AM","Dakota","4219","0","89","0","31",
"25-051-06484-00-00","7/31/2024 12:00:00 AM","Dakota","4219","0","183","0","30",
"25-051-06484-00-00","6/30/2024 12:00:00 AM","Dakota","4219","0","370","0","30",
"25-051-06484-00-00","5/31/2024 12:00:00 AM","Dakota","4219","0","346","0","31",
"25-051-06484-00-00","4/30/2024 12:00:00 AM","Dakota","4219","0","281","0","30",
"25-051-06484-00-00","3/31/2024 12:00:00 AM","Dakota","4219","0","989","0","31",
"25-051-06484-00-00","2/29/2024 12:00:00 AM","Dakota","4219","0","904","0","29",
"25-051-06484-00-00","1/31/2024 12:00:00 AM","Dakota","4219","0","821","0","30",
"25-051-06484-00-00","12/31/2023 12:00:00 AM","Dakota","4219","0","657","0","30",
"25-051-06484-00-00","11/30/2023 12:00:00 AM","Dakota","4219","0","513","0","30",
"25-051-06484-00-00","10/31/2023 12:00:00 AM","Dakota","4219","0","394","0","31",
