"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25099213130000","Balko, Inc.","Donovan  33-3","Oil","Producing","Teton","Pondera","27N-4W","33",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-099-21313-00-00","6/30/2025 12:00:00 AM","Madison","8267","33","0","351","30",
"25-099-21313-00-00","5/31/2025 12:00:00 AM","Madison","8267","34","0","854","31",
"25-099-21313-00-00","4/30/2025 12:00:00 AM","Madison","8267","24","0","843","30",
"25-099-21313-00-00","3/31/2025 12:00:00 AM","Madison","8267","43","0","656","31",
"25-099-21313-00-00","2/28/2025 12:00:00 AM","Madison","8267","23","0","565","21",
"25-099-21313-00-00","1/31/2025 12:00:00 AM","Madison","8267","33","0","871","31",
"25-099-21313-00-00","12/31/2024 12:00:00 AM","Madison","8267","34","0","827","31",
"25-099-21313-00-00","11/30/2024 12:00:00 AM","Madison","8267","45","0","854","30",
"25-099-21313-00-00","10/31/2024 12:00:00 AM","Madison","8267","29","0","646","31",
"25-099-21313-00-00","9/30/2024 12:00:00 AM","Madison","8267","31","0","834","30",
"25-099-21313-00-00","8/31/2024 12:00:00 AM","Madison","8267","41","0","869","31",
"25-099-21313-00-00","7/31/2024 12:00:00 AM","Madison","8267","21","0","691","31",
"25-099-21313-00-00","6/30/2024 12:00:00 AM","Madison","8267","42","0","815","30",
"25-099-21313-00-00","5/31/2024 12:00:00 AM","Madison","8267","47","0","1011","31",
"25-099-21313-00-00","4/30/2024 12:00:00 AM","Madison","8267","19","0","334","31",
"25-099-21313-00-00","3/31/2024 12:00:00 AM","Madison","8267","7","0","416","31",
"25-099-21313-00-00","2/29/2024 12:00:00 AM","Madison","8267","33","0","1195","29",
"25-099-21313-00-00","1/31/2024 12:00:00 AM","Madison","8267","27","0","511","31",
"25-099-21313-00-00","12/31/2023 12:00:00 AM","Madison","8267","25","0","670","31",
"25-099-21313-00-00","11/30/2023 12:00:00 AM","Madison","8267","27","0","653","30",
"25-099-21313-00-00","10/31/2023 12:00:00 AM","Madison","8267","30","0","553","31",
"25-099-21313-00-00","9/30/2023 12:00:00 AM","Madison","8267","27","0","683","30",
"25-099-21313-00-00","8/31/2023 12:00:00 AM","Madison","8267","32","0","684","31",
