"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25009050100000","Contango Resources, Inc.","EBM2  026","Oil","Shut In","Carbon","Elk Basin","9S-23E","34",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-009-05010-00-00","7/31/2025 12:00:00 AM","Madison","597","0","0","0","0",
"25-009-05010-00-00","6/30/2025 12:00:00 AM","Madison","597","0","0","0","0",
"25-009-05010-00-00","5/31/2025 12:00:00 AM","Madison","597","0","0","0","0",
"25-009-05010-00-00","4/30/2025 12:00:00 AM","Madison","597","0","0","0","0",
"25-009-05010-00-00","3/31/2025 12:00:00 AM","Madison","597","0","0","0","0",
"25-009-05010-00-00","2/28/2025 12:00:00 AM","Madison","597","0","0","0","0",
"25-009-05010-00-00","1/31/2025 12:00:00 AM","Madison","597","0","0","0","0",
"25-009-05010-00-00","12/31/2024 12:00:00 AM","Madison","597","0","0","0","0",
"25-009-05010-00-00","11/30/2024 12:00:00 AM","Madison","597","0","0","0","0",
"25-009-05010-00-00","10/31/2024 12:00:00 AM","Madison","597","0","0","0","0",
"25-009-05010-00-00","9/30/2024 12:00:00 AM","Madison","597","0","0","0","0",
"25-009-05010-00-00","8/31/2024 12:00:00 AM","Madison","597","0","0","0","0",
"25-009-05010-00-00","7/31/2024 12:00:00 AM","Madison","597","0","0","0","0",
"25-009-05010-00-00","6/30/2024 12:00:00 AM","Madison","597","0","0","0","0",
"25-009-05010-00-00","5/31/2024 12:00:00 AM","Madison","597","0","0","0","0",
"25-009-05010-00-00","4/30/2024 12:00:00 AM","Madison","597","0","0","0","0",
"25-009-05010-00-00","3/31/2024 12:00:00 AM","Madison","597","0","0","0","0",
"25-009-05010-00-00","2/29/2024 12:00:00 AM","Madison","597","0","0","0","0",
"25-009-05010-00-00","1/31/2024 12:00:00 AM","Madison","597","0","0","0","0",
"25-009-05010-00-00","12/31/2023 12:00:00 AM","Madison","597","6","0","295","3",
"25-009-05010-00-00","11/30/2023 12:00:00 AM","Madison","597","66","0","2928","30",
"25-009-05010-00-00","10/31/2023 12:00:00 AM","Madison","597","115","0","2860","31",
"25-009-05010-00-00","9/30/2023 12:00:00 AM","Madison","597","44","0","2787","30",
"25-009-05010-00-00","8/31/2023 12:00:00 AM","Madison","597","77","44","3049","31",
"25-009-05010-00-00","7/31/2023 12:00:00 AM","Madison","597","108","68","2712","31",
"25-009-05010-00-00","6/30/2023 12:00:00 AM","Madison","597","54","13","2866","30",
"25-009-05010-00-00","5/31/2023 12:00:00 AM","Madison","597","108","78","3210","31",
"25-009-05010-00-00","4/30/2023 12:00:00 AM","Madison","597","125","96","3152","30",
"25-009-05010-00-00","3/31/2023 12:00:00 AM","Madison","597","35","0","2976","31",
"25-009-05010-00-00","2/28/2023 12:00:00 AM","Madison","597","30","0","2688","28",
"25-009-05010-00-00","1/31/2023 12:00:00 AM","Madison","597","37","0","2976","31",
"25-009-05010-00-00","12/31/2022 12:00:00 AM","Madison","597","31","0","2976","31",
"25-009-05010-00-00","11/30/2022 12:00:00 AM","Madison","597","33","0","2880","30",
"25-009-05010-00-00","10/31/2022 12:00:00 AM","Madison","597","134","32","1114","31",
"25-009-05010-00-00","9/30/2022 12:00:00 AM","Madison","597","165","54","451","30",
"25-009-05010-00-00","8/31/2022 12:00:00 AM","Madison","597","159","36","466","31",
"25-009-05010-00-00","7/31/2022 12:00:00 AM","Madison","597","155","22","448","31",
"25-009-05010-00-00","6/30/2022 12:00:00 AM","Madison","597","181","52","397","30",
"25-009-05010-00-00","5/31/2022 12:00:00 AM","Madison","597","159","48","628","31",
"25-009-05010-00-00","4/30/2022 12:00:00 AM","Madison","597","68","21","2681","30",
"25-009-05010-00-00","3/31/2022 12:00:00 AM","Madison","597","77","17","2770","31",
"25-009-05010-00-00","2/28/2022 12:00:00 AM","Madison","597","80","20","2501","28",
"25-009-05010-00-00","1/31/2022 12:00:00 AM","Madison","597","90","20","2687","31",
"25-009-05010-00-00","12/31/2021 12:00:00 AM","Madison","597","76","28","2636","31",
"25-009-05010-00-00","11/30/2021 12:00:00 AM","Madison","597","73","25","2544","30",
"25-009-05010-00-00","10/31/2021 12:00:00 AM","Madison","597","73","27","2628","31",
"25-009-05010-00-00","9/30/2021 12:00:00 AM","Madison","597","74","28","2544","30",
"25-009-05010-00-00","8/31/2021 12:00:00 AM","Madison","597","269","100","3412","31",
"25-009-05010-00-00","7/31/2021 12:00:00 AM","Madison","597","256","96","3412","30",
"25-009-05010-00-00","6/30/2021 12:00:00 AM","Madison","597","246","91","3001","30",
"25-009-05010-00-00","5/31/2021 12:00:00 AM","Madison","597","203","76","2977","31",
"25-009-05010-00-00","4/30/2021 12:00:00 AM","Madison","597","49","18","2535","30",
"25-009-05010-00-00","3/31/2021 12:00:00 AM","Madison","597","64","23","2606","31",
"25-009-05010-00-00","2/28/2021 12:00:00 AM","Madison","597","44","16","2136","28",
"25-009-05010-00-00","1/31/2021 12:00:00 AM","Madison","597","52","23","2680","31",
"25-009-05010-00-00","12/31/2020 12:00:00 AM","Madison","597","70","27","2806","31",
"25-009-05010-00-00","11/30/2020 12:00:00 AM","Madison","597","45","17","2409","30",
"25-009-05010-00-00","10/31/2020 12:00:00 AM","Madison","597","52","23","2321","31",
"25-009-05010-00-00","9/30/2020 12:00:00 AM","Madison","597","50","27","2246","30",
"25-009-05010-00-00","8/31/2020 12:00:00 AM","Madison","597","53","30","2321","31",
"25-009-05010-00-00","7/31/2020 12:00:00 AM","Madison","597","86","41","2412","31",
"25-009-05010-00-00","6/30/2020 12:00:00 AM","Madison","597","189","76","2757","30",
"25-009-05010-00-00","5/31/2020 12:00:00 AM","Madison","597","201","65","2849","31",
"25-009-05010-00-00","4/30/2020 12:00:00 AM","Madison","597","184","66","2757","30",
"25-009-05010-00-00","3/31/2020 12:00:00 AM","Madison","597","103","40","2872","31",
"25-009-05010-00-00","2/29/2020 12:00:00 AM","Madison","597","55","21","2698","29",
"25-009-05010-00-00","1/31/2020 12:00:00 AM","Madison","597","60","26","2884","31",
"25-009-05010-00-00","12/31/2019 12:00:00 AM","Madison","597","106","39","2952","31",
"25-009-05010-00-00","11/30/2019 12:00:00 AM","Madison","597","156","64","2916","30",
"25-009-05010-00-00","10/31/2019 12:00:00 AM","Madison","597","0","57","3124","31",
"25-009-05010-00-00","9/30/2019 12:00:00 AM","Madison","597","125","62","3057","30",
"25-009-05010-00-00","8/31/2019 12:00:00 AM","Madison","597","125","69","3422","31",
"25-009-05010-00-00","7/31/2019 12:00:00 AM","Madison","597","116","80","3493","31",
"25-009-05010-00-00","6/30/2019 12:00:00 AM","Madison","597","93","56","3127","28",
"25-009-05010-00-00","5/31/2019 12:00:00 AM","Madison","597","84","52","3579","31",
"25-009-05010-00-00","4/30/2019 12:00:00 AM","Madison","597","95","55","3175","30",
"25-009-05010-00-00","3/31/2019 12:00:00 AM","Madison","597","120","52","3098","31",
"25-009-05010-00-00","2/28/2019 12:00:00 AM","Madison","597","23","9","599","6",
"25-009-05010-00-00","1/31/2019 12:00:00 AM","Madison","597","99","38","2600","26",
"25-009-05010-00-00","12/31/2018 12:00:00 AM","Madison","597","118","56","3098","31",
"25-009-05010-00-00","11/30/2018 12:00:00 AM","Madison","597","118","50","3001","30",
"25-009-05010-00-00","10/31/2018 12:00:00 AM","Madison","597","118","59","3096","31",
"25-009-05010-00-00","9/30/2018 12:00:00 AM","Madison","597","113","66","2997","30",
"25-009-05010-00-00","8/31/2018 12:00:00 AM","Madison","597","100","55","3119","31",
"25-009-05010-00-00","7/31/2018 12:00:00 AM","Madison","597","70","36","3152","31",
"25-009-05010-00-00","6/30/2018 12:00:00 AM","Madison","597","107","48","3032","30",
"25-009-05010-00-00","5/31/2018 12:00:00 AM","Madison","597","109","44","3173","31",
"25-009-05010-00-00","4/30/2018 12:00:00 AM","Madison","597","127","52","3188","30",
"25-009-05010-00-00","3/31/2018 12:00:00 AM","Madison","597","172","62","3430","31",
"25-009-05010-00-00","2/28/2018 12:00:00 AM","Madison","597","153","62","3123","28",
"25-009-05010-00-00","1/31/2018 12:00:00 AM","Madison","597","152","54","3415","31",
"25-009-05010-00-00","12/31/2017 12:00:00 AM","Madison","597","75","59","2063","19",
"25-009-05010-00-00","11/30/2017 12:00:00 AM","Madison","597","123","60","3201","30",
"25-009-05010-00-00","10/31/2017 12:00:00 AM","Madison","597","120","53","3419","31",
"25-009-05010-00-00","9/30/2017 12:00:00 AM","Madison","597","120","55","3308","30",
"25-009-05010-00-00","8/31/2017 12:00:00 AM","Madison","597","187","109","4502","31",
"25-009-05010-00-00","7/31/2017 12:00:00 AM","Madison","597","219","119","5024","31",
"25-009-05010-00-00","6/30/2017 12:00:00 AM","Madison","597","140","79","3027","22",
"25-009-05010-00-00","5/31/2017 12:00:00 AM","Madison","597","17","9","276","3",
"25-009-05010-00-00","4/30/2017 12:00:00 AM","Madison","597","6","3","92","1",
"25-009-05010-00-00","3/31/2017 12:00:00 AM","Madison","597","94","41","1562","17",
"25-009-05010-00-00","2/28/2017 12:00:00 AM","Madison","597","121","48","2022","22",
"25-009-05010-00-00","1/31/2017 12:00:00 AM","Madison","597","146","57","2998","31",
"25-009-05010-00-00","12/31/2016 12:00:00 AM","Madison","597","138","55","3041","31",
"25-009-05010-00-00","11/30/2016 12:00:00 AM","Madison","597","104","41","3364","30",
"25-009-05010-00-00","10/31/2016 12:00:00 AM","Madison","597","100","36","2030","19",
"25-009-05010-00-00","9/30/2016 12:00:00 AM","Madison","597","53","20","912","9",
"25-009-05010-00-00","8/31/2016 12:00:00 AM","Madison","597","174","85","3024","30",
"25-009-05010-00-00","7/31/2016 12:00:00 AM","Madison","597","154","61","2921","31",
"25-009-05010-00-00","6/30/2016 12:00:00 AM","Madison","597","153","63","2827","30",
"25-009-05010-00-00","5/31/2016 12:00:00 AM","Madison","597","127","53","2450","26",
"25-009-05010-00-00","4/30/2016 12:00:00 AM","Madison","597","152","69","2836","30",
"25-009-05010-00-00","3/31/2016 12:00:00 AM","Madison","597","153","64","2947","31",
"25-009-05010-00-00","2/29/2016 12:00:00 AM","Madison","597","142","57","2664","29",
"25-009-05010-00-00","1/31/2016 12:00:00 AM","Madison","597","155","70","2827","31",
"25-009-05010-00-00","12/31/2015 12:00:00 AM","Madison","597","149","60","2882","31",
