"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25009050570000","Contango Resources, Inc.","EBET2  205","Oil","Producing","Carbon","Elk Basin","9S-23E","26",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-009-05057-00-00","7/31/2025 12:00:00 AM","Embar, Tensleep","595","346","7324","83","30",
"25-009-05057-00-00","6/30/2025 12:00:00 AM","Embar, Tensleep","595","398","12332","83","30",
"25-009-05057-00-00","5/31/2025 12:00:00 AM","Embar, Tensleep","595","371","11367","86","31",
"25-009-05057-00-00","4/30/2025 12:00:00 AM","Embar, Tensleep","595","375","10169","83","30",
"25-009-05057-00-00","3/31/2025 12:00:00 AM","Embar, Tensleep","595","295","10950","77","31",
"25-009-05057-00-00","2/28/2025 12:00:00 AM","Embar, Tensleep","595","130","7409","56","28",
"25-009-05057-00-00","1/31/2025 12:00:00 AM","Embar, Tensleep","595","131","8423","62","31",
"25-009-05057-00-00","12/31/2024 12:00:00 AM","Embar, Tensleep","595","191","11292","32","31",
"25-009-05057-00-00","11/30/2024 12:00:00 AM","Embar, Tensleep","595","60","3939","0","11",
"25-009-05057-00-00","10/31/2024 12:00:00 AM","Embar, Tensleep","595","56","2811","0","10",
"25-009-05057-00-00","9/30/2024 12:00:00 AM","Embar, Tensleep","595","165","9076","0","30",
"25-009-05057-00-00","8/31/2024 12:00:00 AM","Embar, Tensleep","595","178","9044","12","31",
"25-009-05057-00-00","7/31/2024 12:00:00 AM","Embar, Tensleep","595","251","3473","91","31",
"25-009-05057-00-00","6/30/2024 12:00:00 AM","Embar, Tensleep","595","214","3593","87","30",
"25-009-05057-00-00","5/31/2024 12:00:00 AM","Embar, Tensleep","595","228","3367","90","31",
"25-009-05057-00-00","4/30/2024 12:00:00 AM","Embar, Tensleep","595","230","3515","112","30",
"25-009-05057-00-00","3/31/2024 12:00:00 AM","Embar, Tensleep","595","313","7168","327","31",
"25-009-05057-00-00","2/29/2024 12:00:00 AM","Embar, Tensleep","595","344","5864","715","29",
"25-009-05057-00-00","1/31/2024 12:00:00 AM","Embar, Tensleep","595","340","2029","764","31",
"25-009-05057-00-00","12/31/2023 12:00:00 AM","Embar, Tensleep","595","314","6266","582","31",
"25-009-05057-00-00","11/30/2023 12:00:00 AM","Embar, Tensleep","595","256","4154","17","30",
"25-009-05057-00-00","10/31/2023 12:00:00 AM","Embar, Tensleep","595","454","4552","0","31",
"25-009-05057-00-00","9/30/2023 12:00:00 AM","Embar, Tensleep","595","441","4908","0","30",
"25-009-05057-00-00","8/31/2023 12:00:00 AM","Embar, Tensleep","595","459","4598","0","31",
"25-009-05057-00-00","7/31/2023 12:00:00 AM","Embar, Tensleep","595","377","3802","0","31",
"25-009-05057-00-00","6/30/2023 12:00:00 AM","Embar, Tensleep","595","330","1207","7","30",
"25-009-05057-00-00","5/31/2023 12:00:00 AM","Embar, Tensleep","595","374","3878","58","31",
"25-009-05057-00-00","4/30/2023 12:00:00 AM","Embar, Tensleep","595","404","3358","45","30",
"25-009-05057-00-00","3/31/2023 12:00:00 AM","Embar, Tensleep","595","339","0","75","31",
"25-009-05057-00-00","2/28/2023 12:00:00 AM","Embar, Tensleep","595","386","869","0","28",
"25-009-05057-00-00","1/31/2023 12:00:00 AM","Embar, Tensleep","595","372","4217","0","31",
