"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25025218290000","Denbury Onshore, LLC","ELOB  34-3SH","Injection, EOR","Active Injection","Fallon","Lookout Butte, East, Unit","7N-60E","3",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-025-21829-00-00","12/31/1999 12:00:00 AM","Red River","5054","0","0","0","31",
"25-025-21829-00-00","11/30/1999 12:00:00 AM","Red River","5054","975","314","320","10",
"25-025-21829-00-00","10/31/1999 12:00:00 AM","Red River","5054","3341","830","2946","31",
"25-025-21829-00-00","9/30/1999 12:00:00 AM","Red River","5054","3109","761","3901","26",
"25-025-21829-00-00","8/31/1999 12:00:00 AM","Red River","5054","3081","719","2016","31",
"25-025-21829-00-00","7/31/1999 12:00:00 AM","Red River","5054","3906","848","3003","31",
"25-025-21829-00-00","6/30/1999 12:00:00 AM","Red River","5054","5129","1004","4600","30",
"25-025-21829-00-00","5/31/1999 12:00:00 AM","Red River","5054","3981","1006","122","31",
"25-025-21829-00-00","4/30/1999 12:00:00 AM","Red River","5054","0","0","6336","30",

