"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25083226230000","Continental Resources Inc","Elaine  2-5H","Oil","Producing","Richland","Elm Coulee","23N-56E","5",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-083-22623-00-00","7/31/2025 12:00:00 AM","Bakken","6875","307","377","43","31",
"25-083-22623-00-00","6/30/2025 12:00:00 AM","Bakken","6875","312","364","43","30",
"25-083-22623-00-00","5/31/2025 12:00:00 AM","Bakken","6875","283","287","22","23",
"25-083-22623-00-00","4/30/2025 12:00:00 AM","Bakken","6875","317","342","42","30",
"25-083-22623-00-00","3/31/2025 12:00:00 AM","Bakken","6875","224","327","17","27",
"25-083-22623-00-00","2/28/2025 12:00:00 AM","Bakken","6875","209","316","9","28",
"25-083-22623-00-00","1/31/2025 12:00:00 AM","Bakken","6875","234","358","12","31",
"25-083-22623-00-00","12/31/2024 12:00:00 AM","Bakken","6875","231","383","16","31",
"25-083-22623-00-00","11/30/2024 12:00:00 AM","Bakken","6875","210","399","10","30",
"25-083-22623-00-00","10/31/2024 12:00:00 AM","Bakken","6875","226","416","9","31",
"25-083-22623-00-00","9/30/2024 12:00:00 AM","Bakken","6875","203","389","11","30",
"25-083-22623-00-00","8/31/2024 12:00:00 AM","Bakken","6875","209","424","9","31",
"25-083-22623-00-00","7/31/2024 12:00:00 AM","Bakken","6875","256","361","2","27",
"25-083-22623-00-00","6/30/2024 12:00:00 AM","Bakken","6875","270","377","1","30",
"25-083-22623-00-00","5/31/2024 12:00:00 AM","Bakken","6875","295","362","2","31",
"25-083-22623-00-00","4/30/2024 12:00:00 AM","Bakken","6875","285","386","2","30",
"25-083-22623-00-00","3/31/2024 12:00:00 AM","Bakken","6875","299","405","2","31",
"25-083-22623-00-00","2/29/2024 12:00:00 AM","Bakken","6875","283","384","2","29",
"25-083-22623-00-00","1/31/2024 12:00:00 AM","Bakken","6875","321","410","2","31",
"25-083-22623-00-00","12/31/2023 12:00:00 AM","Bakken","6875","309","547","11","28",
"25-083-22623-00-00","11/30/2023 12:00:00 AM","Bakken","6875","351","745","63","30",
"25-083-22623-00-00","10/31/2023 12:00:00 AM","Bakken","6875","432","814","53","31",
"25-083-22623-00-00","9/30/2023 12:00:00 AM","Bakken","6875","437","789","93","30",
"25-083-22623-00-00","8/31/2023 12:00:00 AM","Bakken","6875","470","827","91","31",
"25-083-22623-00-00","7/31/2023 12:00:00 AM","Bakken","6875","514","709","183","31",
"25-083-22623-00-00","6/30/2023 12:00:00 AM","Bakken","6875","307","471","74","30",
"25-083-22623-00-00","5/31/2023 12:00:00 AM","Bakken","6875","256","328","48","24",
"25-083-22623-00-00","4/30/2023 12:00:00 AM","Bakken","6875","165","207","21","18",
"25-083-22623-00-00","3/31/2023 12:00:00 AM","Bakken","6875","322","378","16","31",
"25-083-22623-00-00","2/28/2023 12:00:00 AM","Bakken","6875","294","348","16","28",
"25-083-22623-00-00","1/31/2023 12:00:00 AM","Bakken","6875","331","382","24","31",
"25-083-22623-00-00","12/31/2022 12:00:00 AM","Bakken","6875","297","411","16","31",
"25-083-22623-00-00","11/30/2022 12:00:00 AM","Bakken","6875","300","414","21","30",
"25-083-22623-00-00","10/31/2022 12:00:00 AM","Bakken","6875","315","475","26","31",
"25-083-22623-00-00","9/30/2022 12:00:00 AM","Bakken","6875","313","466","28","30",
"25-083-22623-00-00","8/31/2022 12:00:00 AM","Bakken","6875","350","507","26","31",
"25-083-22623-00-00","7/31/2022 12:00:00 AM","Bakken","6875","277","416","42","28",
"25-083-22623-00-00","6/30/2022 12:00:00 AM","Bakken","6875","310","402","28","30",
"25-083-22623-00-00","5/31/2022 12:00:00 AM","Bakken","6875","142","221","16","16",
"25-083-22623-00-00","4/30/2022 12:00:00 AM","Bakken","6875","257","374","33","29",
"25-083-22623-00-00","3/31/2022 12:00:00 AM","Bakken","6875","333","470","40","31",
"25-083-22623-00-00","2/28/2022 12:00:00 AM","Bakken","6875","299","420","31","28",
"25-083-22623-00-00","1/31/2022 12:00:00 AM","Bakken","6875","342","479","34","31",
"25-083-22623-00-00","12/31/2021 12:00:00 AM","Bakken","6875","344","489","29","31",
"25-083-22623-00-00","11/30/2021 12:00:00 AM","Bakken","6875","369","539","39","30",
"25-083-22623-00-00","10/31/2021 12:00:00 AM","Bakken","6875","372","551","36","31",
"25-083-22623-00-00","9/30/2021 12:00:00 AM","Bakken","6875","357","564","40","27",
"25-083-22623-00-00","8/31/2021 12:00:00 AM","Bakken","6875","456","774","67","31",
"25-083-22623-00-00","7/31/2021 12:00:00 AM","Bakken","6875","394","655","53","31",
"25-083-22623-00-00","6/30/2021 12:00:00 AM","Bakken","6875","345","527","39","30",
"25-083-22623-00-00","5/31/2021 12:00:00 AM","Bakken","6875","390","585","45","31",
"25-083-22623-00-00","4/30/2021 12:00:00 AM","Bakken","6875","327","485","30","30",
"25-083-22623-00-00","3/31/2021 12:00:00 AM","Bakken","6875","471","673","65","31",
"25-083-22623-00-00","2/28/2021 12:00:00 AM","Bakken","6875","345","467","39","28",
"25-083-22623-00-00","1/31/2021 12:00:00 AM","Bakken","6875","480","649","65","31",
"25-083-22623-00-00","12/31/2020 12:00:00 AM","Bakken","6875","506","642","72","31",
"25-083-22623-00-00","11/30/2020 12:00:00 AM","Bakken","6875","458","547","64","30",
"25-083-22623-00-00","10/31/2020 12:00:00 AM","Bakken","6875","394","481","31","31",
"25-083-22623-00-00","9/30/2020 12:00:00 AM","Bakken","6875","473","486","65","28",
"25-083-22623-00-00","8/31/2020 12:00:00 AM","Bakken","6875","544","406","95","31",
"25-083-22623-00-00","7/31/2020 12:00:00 AM","Bakken","6875","586","454","80","31",
"25-083-22623-00-00","6/30/2020 12:00:00 AM","Bakken","6875","157","107","29","6",
"25-083-22623-00-00","5/31/2020 12:00:00 AM","Bakken","6875","-1","0","0","0",
"25-083-22623-00-00","4/30/2020 12:00:00 AM","Bakken","6875","190","198","30","17",
"25-083-22623-00-00","3/31/2020 12:00:00 AM","Bakken","6875","404","402","88","31",
"25-083-22623-00-00","2/29/2020 12:00:00 AM","Bakken","6875","386","420","142","29",
"25-083-22623-00-00","1/31/2020 12:00:00 AM","Bakken","6875","419","481","98","31",
"25-083-22623-00-00","12/31/2019 12:00:00 AM","Bakken","6875","484","546","94","31",
"25-083-22623-00-00","11/30/2019 12:00:00 AM","Bakken","6875","612","593","147","30",
"25-083-22623-00-00","10/31/2019 12:00:00 AM","Bakken","6875","508","589","115","31",
"25-083-22623-00-00","9/30/2019 12:00:00 AM","Bakken","6875","341","344","165","28",
"25-083-22623-00-00","8/31/2019 12:00:00 AM","Bakken","6875","425","513","80","31",
"25-083-22623-00-00","7/31/2019 12:00:00 AM","Bakken","6875","438","511","85","31",
"25-083-22623-00-00","6/30/2019 12:00:00 AM","Bakken","6875","436","486","76","30",
"25-083-22623-00-00","5/31/2019 12:00:00 AM","Bakken","6875","495","497","101","31",
"25-083-22623-00-00","4/30/2019 12:00:00 AM","Bakken","6875","452","491","77","30",
"25-083-22623-00-00","3/31/2019 12:00:00 AM","Bakken","6875","369","411","36","28",
"25-083-22623-00-00","2/28/2019 12:00:00 AM","Bakken","6875","372","388","32","28",
"25-083-22623-00-00","1/31/2019 12:00:00 AM","Bakken","6875","421","440","41","31",
"25-083-22623-00-00","12/31/2018 12:00:00 AM","Bakken","6875","445","478","43","31",
"25-083-22623-00-00","11/30/2018 12:00:00 AM","Bakken","6875","429","442","38","30",
"25-083-22623-00-00","10/31/2018 12:00:00 AM","Bakken","6875","437","507","51","31",
"25-083-22623-00-00","9/30/2018 12:00:00 AM","Bakken","6875","353","452","48","27",
"25-083-22623-00-00","8/31/2018 12:00:00 AM","Bakken","6875","381","493","54","31",
"25-083-22623-00-00","7/31/2018 12:00:00 AM","Bakken","6875","383","490","59","31",
"25-083-22623-00-00","6/30/2018 12:00:00 AM","Bakken","6875","382","466","54","30",
"25-083-22623-00-00","5/31/2018 12:00:00 AM","Bakken","6875","405","556","82","31",
"25-083-22623-00-00","4/30/2018 12:00:00 AM","Bakken","6875","350","462","53","27",
"25-083-22623-00-00","3/31/2018 12:00:00 AM","Bakken","6875","332","414","100","31",
"25-083-22623-00-00","2/28/2018 12:00:00 AM","Bakken","6875","334","401","53","28",
"25-083-22623-00-00","1/31/2018 12:00:00 AM","Bakken","6875","417","490","77","31",
"25-083-22623-00-00","12/31/2017 12:00:00 AM","Bakken","6875","372","363","165","31",
"25-083-22623-00-00","11/30/2017 12:00:00 AM","Bakken","6875","365","421","48","30",
"25-083-22623-00-00","10/31/2017 12:00:00 AM","Bakken","6875","390","414","107","31",
"25-083-22623-00-00","9/30/2017 12:00:00 AM","Bakken","6875","440","421","34","26",
"25-083-22623-00-00","8/31/2017 12:00:00 AM","Bakken","6875","656","637","158","31",
"25-083-22623-00-00","7/31/2017 12:00:00 AM","Bakken","6875","490","477","250","31",
"25-083-22623-00-00","6/30/2017 12:00:00 AM","Bakken","6875","535","493","90","30",
"25-083-22623-00-00","5/31/2017 12:00:00 AM","Bakken","6875","592","522","100","31",
"25-083-22623-00-00","4/30/2017 12:00:00 AM","Bakken","6875","599","467","94","30",
"25-083-22623-00-00","3/31/2017 12:00:00 AM","Bakken","6875","647","350","163","31",
"25-083-22623-00-00","2/28/2017 12:00:00 AM","Bakken","6875","521","396","0","25",
"25-083-22623-00-00","1/31/2017 12:00:00 AM","Bakken","6875","465","352","0","30",
"25-083-22623-00-00","12/31/2016 12:00:00 AM","Bakken","6875","508","354","0","31",
"25-083-22623-00-00","11/30/2016 12:00:00 AM","Bakken","6875","496","378","0","30",
"25-083-22623-00-00","10/31/2016 12:00:00 AM","Bakken","6875","476","351","10","27",
"25-083-22623-00-00","9/30/2016 12:00:00 AM","Bakken","6875","600","539","150","30",
"25-083-22623-00-00","8/31/2016 12:00:00 AM","Bakken","6875","627","517","154","31",
"25-083-22623-00-00","7/31/2016 12:00:00 AM","Bakken","6875","601","445","94","27",
"25-083-22623-00-00","6/30/2016 12:00:00 AM","Bakken","6875","808","488","58","30",
