"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25101239330000","Branch Oil & Gas","Edwards  14-26","Gas","P&A - Approved","Toole","Kevin Southwest","34N-3W","26",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-101-23933-00-00","3/31/2004 12:00:00 AM","Sunburst","6576","0","0","0","0",
"25-101-23933-00-00","2/29/2004 12:00:00 AM","Sunburst","6576","0","0","0","0",
"25-101-23933-00-00","1/31/2004 12:00:00 AM","Sunburst","6576","0","0","0","0",
"25-101-23933-00-00","12/31/2003 12:00:00 AM","Sunburst","6576","0","88","0","31",
"25-101-23933-00-00","11/30/2003 12:00:00 AM","Sunburst","6576","0","203","0","30",
"25-101-23933-00-00","10/31/2003 12:00:00 AM","Sunburst","6576","0","193","0","31",
"25-101-23933-00-00","9/30/2003 12:00:00 AM","Sunburst","6576","0","189","0","0",
"25-101-23933-00-00","8/31/2003 12:00:00 AM","Sunburst","6576","0","0","0","0",
"25-101-23933-00-00","7/31/2003 12:00:00 AM","Sunburst","6576","0","174","0","31",
"25-101-23933-00-00","6/30/2003 12:00:00 AM","Sunburst","6576","0","216","0","30",
"25-101-23933-00-00","5/31/2003 12:00:00 AM","Sunburst","6576","0","182","0","31",
"25-101-23933-00-00","4/30/2003 12:00:00 AM","Sunburst","6576","0","188","0","30",
"25-101-23933-00-00","3/31/2003 12:00:00 AM","Sunburst","6576","0","282","0","31",
"25-101-23933-00-00","2/28/2003 12:00:00 AM","Sunburst","6576","0","430","0","28",
"25-101-23933-00-00","1/31/2003 12:00:00 AM","Sunburst","6576","0","516","0","31",
"25-101-23933-00-00","12/31/2002 12:00:00 AM","Sunburst","6576","0","429","0","31",
"25-101-23933-00-00","11/30/2002 12:00:00 AM","Sunburst","6576","0","510","0","30",
"25-101-23933-00-00","10/31/2002 12:00:00 AM","Sunburst","6576","0","347","0","31",

