"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25025213410000","Denbury Onshore, LLC","ELOB Unit  12A-10","Injection, EOR","Temporarily Abandoned","Fallon","Lookout Butte, East, Unit","7N-60E","10",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-025-21341-00-00","12/31/1996 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21341-00-00","11/30/1996 12:00:00 AM","Red River","5054","476","154","141","29",
"25-025-21341-00-00","10/31/1996 12:00:00 AM","Red River","5054","627","204","158","31",
"25-025-21341-00-00","9/30/1996 12:00:00 AM","Red River","5054","604","180","306","30",
"25-025-21341-00-00","8/31/1996 12:00:00 AM","Red River","5054","606","179","221","30",
"25-025-21341-00-00","7/31/1996 12:00:00 AM","Red River","5054","591","0","142","31",
"25-025-21341-00-00","6/30/1996 12:00:00 AM","Red River","5054","635","0","219","29",
"25-025-21341-00-00","5/31/1996 12:00:00 AM","Red River","5054","697","114","218","31",
"25-025-21341-00-00","4/30/1996 12:00:00 AM","Red River","5054","675","43","255","30",
"25-025-21341-00-00","3/31/1996 12:00:00 AM","Red River","5054","661","122","211","31",
"25-025-21341-00-00","2/29/1996 12:00:00 AM","Red River","5054","679","129","227","29",
"25-025-21341-00-00","1/31/1996 12:00:00 AM","Red River","5054","612","264","127","29",
"25-025-21341-00-00","12/31/1995 12:00:00 AM","Red River","5054","610","0","145","29",
"25-025-21341-00-00","11/30/1995 12:00:00 AM","Red River","5054","586","0","128","30",
"25-025-21341-00-00","10/31/1995 12:00:00 AM","Red River","5054","632","0","97","31",
"25-025-21341-00-00","9/30/1995 12:00:00 AM","Red River","5054","657","0","56","0",
"25-025-21341-00-00","8/31/1995 12:00:00 AM","Red River","5054","583","0","126","30",
"25-025-21341-00-00","7/31/1995 12:00:00 AM","Red River","5054","652","0","146","31",
"25-025-21341-00-00","6/30/1995 12:00:00 AM","Red River","5054","623","0","164","30",
"25-025-21341-00-00","5/31/1995 12:00:00 AM","Red River","5054","455","0","57","29",
"25-025-21341-00-00","4/30/1995 12:00:00 AM","Red River","5054","596","0","32","30",
"25-025-21341-00-00","3/31/1995 12:00:00 AM","Red River","5054","635","0","44","31",
"25-025-21341-00-00","2/28/1995 12:00:00 AM","Red River","5054","557","0","39","28",
"25-025-21341-00-00","1/31/1995 12:00:00 AM","Red River","5054","659","0","42","31",
"25-025-21341-00-00","12/31/1994 12:00:00 AM","Red River","5054","571","0","27","31",
"25-025-21341-00-00","11/30/1994 12:00:00 AM","Red River","5054","610","0","36","30",
"25-025-21341-00-00","10/31/1994 12:00:00 AM","Red River","5054","662","0","41","31",
"25-025-21341-00-00","9/30/1994 12:00:00 AM","Red River","5054","657","0","56","30",
"25-025-21341-00-00","8/31/1994 12:00:00 AM","Red River","5054","518","0","65","30",
"25-025-21341-00-00","7/31/1994 12:00:00 AM","Red River","5054","661","0","62","31",
"25-025-21341-00-00","6/30/1994 12:00:00 AM","Red River","5054","596","0","60","30",
"25-025-21341-00-00","5/31/1994 12:00:00 AM","Red River","5054","588","0","74","30",
"25-025-21341-00-00","4/30/1994 12:00:00 AM","Red River","5054","700","0","101","30",
"25-025-21341-00-00","3/31/1994 12:00:00 AM","Red River","5054","734","0","95","29",
"25-025-21341-00-00","2/28/1994 12:00:00 AM","Red River","5054","453","0","81","28",
"25-025-21341-00-00","1/31/1994 12:00:00 AM","Red River","5054","554","0","93","31",
"25-025-21341-00-00","1/31/1994 12:00:00 AM","Interlake","5054","0","0","0","0",
"25-025-21341-00-00","12/31/1993 12:00:00 AM","Interlake","5054","0","0","0","0",
"25-025-21341-00-00","12/31/1993 12:00:00 AM","Red River","5054","573","0","81","31",
"25-025-21341-00-00","11/30/1993 12:00:00 AM","Red River","5054","414","0","85","30",
"25-025-21341-00-00","11/30/1993 12:00:00 AM","Interlake","5054","0","0","0","0",
"25-025-21341-00-00","10/31/1993 12:00:00 AM","Interlake","5054","0","0","0","0",
"25-025-21341-00-00","10/31/1993 12:00:00 AM","Red River","5054","1120","0","328","31",
"25-025-21341-00-00","9/30/1993 12:00:00 AM","Red River","5054","644","0","87","30",
"25-025-21341-00-00","9/30/1993 12:00:00 AM","Interlake","5054","0","0","0","0",
"25-025-21341-00-00","8/31/1993 12:00:00 AM","Interlake","5054","0","0","0","0",
"25-025-21341-00-00","8/31/1993 12:00:00 AM","Red River","5054","624","0","95","31",
"25-025-21341-00-00","7/31/1993 12:00:00 AM","Red River","5054","515","0","84","31",
"25-025-21341-00-00","7/31/1993 12:00:00 AM","Interlake","5054","0","0","0","0",
"25-025-21341-00-00","6/30/1993 12:00:00 AM","Interlake","5054","0","0","0","0",
"25-025-21341-00-00","6/30/1993 12:00:00 AM","Red River","5054","619","0","227","30",
"25-025-21341-00-00","5/31/1993 12:00:00 AM","Red River","5054","574","0","89","30",
"25-025-21341-00-00","4/30/1993 12:00:00 AM","Red River","5054","571","0","95","30",
"25-025-21341-00-00","3/31/1993 12:00:00 AM","Red River","5054","529","0","160","30",
"25-025-21341-00-00","2/28/1993 12:00:00 AM","Red River","5054","529","0","118","28",
"25-025-21341-00-00","1/31/1993 12:00:00 AM","Red River","5054","562","0","130","31",
"25-025-21341-00-00","12/31/1992 12:00:00 AM","Red River","5054","601","0","122","31",
"25-025-21341-00-00","11/30/1992 12:00:00 AM","Red River","5054","649","0","144","30",
"25-025-21341-00-00","10/31/1992 12:00:00 AM","Red River","5054","626","0","135","31",
"25-025-21341-00-00","9/30/1992 12:00:00 AM","Red River","5054","592","0","120","30",
"25-025-21341-00-00","8/31/1992 12:00:00 AM","Red River","5054","663","0","133","31",
"25-025-21341-00-00","7/31/1992 12:00:00 AM","Red River","5054","638","0","149","31",
"25-025-21341-00-00","6/30/1992 12:00:00 AM","Red River","5054","623","0","136","30",
