"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25085050210000","Poplar Resources LLC","EPU  104","Oil","Shut In","Roosevelt","Poplar, East","28N-51E","14",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-085-05021-00-00","6/30/2025 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05021-00-00","5/31/2025 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05021-00-00","4/30/2025 12:00:00 AM","Madison","605","154","0","30819","28",
"25-085-05021-00-00","3/31/2025 12:00:00 AM","Madison","605","186","0","35296","31",
"25-085-05021-00-00","2/28/2025 12:00:00 AM","Madison","605","162","0","32419","28",
"25-085-05021-00-00","1/31/2025 12:00:00 AM","Madison","605","186","0","33567","31",
"25-085-05021-00-00","12/31/2024 12:00:00 AM","Madison","605","183","0","36522","31",
"25-085-05021-00-00","11/30/2024 12:00:00 AM","Madison","605","178","0","35730","30",
"25-085-05021-00-00","10/31/2024 12:00:00 AM","Madison","605","158","0","34309","31",
"25-085-05021-00-00","9/30/2024 12:00:00 AM","Madison","605","124","0","31989","30",
"25-085-05021-00-00","8/31/2024 12:00:00 AM","Madison","605","113","0","29104","31",
"25-085-05021-00-00","7/31/2024 12:00:00 AM","Madison","605","2","0","1605","5",
"25-085-05021-00-00","6/30/2024 12:00:00 AM","Madison","605","106","0","30166","30",
"25-085-05021-00-00","5/31/2024 12:00:00 AM","Madison","605","110","0","36746","31",
"25-085-05021-00-00","4/30/2024 12:00:00 AM","Madison","605","110","0","35713","30",
"25-085-05021-00-00","3/31/2024 12:00:00 AM","Madison","605","113","0","36809","31",
"25-085-05021-00-00","2/29/2024 12:00:00 AM","Madison","605","105","0","33026","29",
"25-085-05021-00-00","1/31/2024 12:00:00 AM","Madison","605","118","0","32117","31",
"25-085-05021-00-00","12/31/2023 12:00:00 AM","Madison","605","117","0","31269","31",
"25-085-05021-00-00","11/30/2023 12:00:00 AM","Madison","605","111","0","27590","30",
"25-085-05021-00-00","10/31/2023 12:00:00 AM","Madison","605","120","0","27518","31",
"25-085-05021-00-00","9/30/2023 12:00:00 AM","Madison","605","97","0","29067","30",
"25-085-05021-00-00","8/31/2023 12:00:00 AM","Madison","605","89","0","27742","31",
"25-085-05021-00-00","7/31/2023 12:00:00 AM","Madison","605","82","0","25110","31",
"25-085-05021-00-00","6/30/2023 12:00:00 AM","Madison","605","118","0","30427","30",
"25-085-05021-00-00","5/31/2023 12:00:00 AM","Madison","605","149","0","26432","31",
"25-085-05021-00-00","4/30/2023 12:00:00 AM","Madison","605","146","0","28505","30",
"25-085-05021-00-00","3/31/2023 12:00:00 AM","Madison","605","132","0","28874","31",
"25-085-05021-00-00","2/28/2023 12:00:00 AM","Madison","605","115","0","27455","28",
"25-085-05021-00-00","1/31/2023 12:00:00 AM","Madison","605","146","0","30007","31",
"25-085-05021-00-00","12/31/2022 12:00:00 AM","Madison","605","124","0","25749","31",
"25-085-05021-00-00","11/30/2022 12:00:00 AM","Madison","605","121","0","23957","30",
"25-085-05021-00-00","10/31/2022 12:00:00 AM","Madison","605","147","0","26926","31",
