"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25085220170000","CWT Operating, LLC","EPU Deep  13-1","Oil","Shut In","Roosevelt","Wildcat Roosevelt","28N-51E","13",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-085-22017-00-00","7/31/2025 12:00:00 AM","Nisku","9076","0","0","0","0",
"25-085-22017-00-00","6/30/2025 12:00:00 AM","Nisku","9076","0","0","0","0",
"25-085-22017-00-00","5/31/2025 12:00:00 AM","Nisku","9076","0","0","0","0",
"25-085-22017-00-00","4/30/2025 12:00:00 AM","Nisku","9076","0","0","0","0",
"25-085-22017-00-00","3/31/2025 12:00:00 AM","Nisku","9076","0","0","0","0",
"25-085-22017-00-00","2/28/2025 12:00:00 AM","Nisku","9076","0","0","0","0",
"25-085-22017-00-00","1/31/2025 12:00:00 AM","Nisku","9076","0","0","0","0",
"25-085-22017-00-00","12/31/2024 12:00:00 AM","Nisku","9076","0","0","0","0",
"25-085-22017-00-00","11/30/2024 12:00:00 AM","Nisku","9076","0","0","0","0",
"25-085-22017-00-00","10/31/2024 12:00:00 AM","Nisku","9076","0","0","0","0",
"25-085-22017-00-00","9/30/2024 12:00:00 AM","Nisku","9076","0","0","0","0",
"25-085-22017-00-00","8/31/2024 12:00:00 AM","Nisku","9076","0","0","0","0",
"25-085-22017-00-00","7/31/2024 12:00:00 AM","Nisku","9076","0","0","0","0",
"25-085-22017-00-00","6/30/2024 12:00:00 AM","Nisku","9076","0","0","0","0",
"25-085-22017-00-00","5/31/2024 12:00:00 AM","Nisku","9076","0","0","0","0",
"25-085-22017-00-00","4/30/2024 12:00:00 AM","Nisku","9076","0","0","0","0",
"25-085-22017-00-00","3/31/2024 12:00:00 AM","Nisku","9076","0","0","0","0",
"25-085-22017-00-00","2/29/2024 12:00:00 AM","Nisku","9076","0","0","0","0",
"25-085-22017-00-00","1/31/2024 12:00:00 AM","Nisku","9076","0","0","0","0",

