"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25101065940000","Somont Oil Company, Inc.","Engemoen A  29","Oil","Producing","Toole","Kevin-Sunburst","35N-2W","14",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-101-06594-00-00","7/31/2025 12:00:00 AM","Madison","3138","17","0","200","31",
"25-101-06594-00-00","6/30/2025 12:00:00 AM","Madison","3138","17","0","200","30",
"25-101-06594-00-00","5/31/2025 12:00:00 AM","Madison","3138","24","0","200","31",
"25-101-06594-00-00","4/30/2025 12:00:00 AM","Madison","3138","13","0","200","30",
"25-101-06594-00-00","3/31/2025 12:00:00 AM","Madison","3138","17","0","200","31",
"25-101-06594-00-00","2/28/2025 12:00:00 AM","Madison","3138","4","0","200","28",
"25-101-06594-00-00","1/31/2025 12:00:00 AM","Madison","3138","23","0","200","31",
"25-101-06594-00-00","12/31/2024 12:00:00 AM","Madison","3138","28","0","200","31",
"25-101-06594-00-00","11/30/2024 12:00:00 AM","Madison","3138","103","0","200","30",
"25-101-06594-00-00","10/31/2024 12:00:00 AM","Madison","3138","3","0","200","31",
"25-101-06594-00-00","9/30/2024 12:00:00 AM","Madison","3138","6","0","200","30",
"25-101-06594-00-00","8/31/2024 12:00:00 AM","Madison","3138","8","0","200","31",
"25-101-06594-00-00","7/31/2024 12:00:00 AM","Madison","3138","8","0","200","31",
"25-101-06594-00-00","6/30/2024 12:00:00 AM","Madison","3138","5","0","200","30",
"25-101-06594-00-00","5/31/2024 12:00:00 AM","Madison","3138","16","0","200","31",
"25-101-06594-00-00","4/30/2024 12:00:00 AM","Madison","3138","12","0","200","30",
"25-101-06594-00-00","3/31/2024 12:00:00 AM","Madison","3138","15","0","200","31",
"25-101-06594-00-00","2/29/2024 12:00:00 AM","Madison","3138","20","0","200","29",
"25-101-06594-00-00","1/31/2024 12:00:00 AM","Madison","3138","22","0","200","31",
"25-101-06594-00-00","12/31/2023 12:00:00 AM","Madison","3138","20","0","200","31",
"25-101-06594-00-00","11/30/2023 12:00:00 AM","Madison","3138","32","0","200","30",
"25-101-06594-00-00","10/31/2023 12:00:00 AM","Madison","3138","25","0","200","31",
"25-101-06594-00-00","9/30/2023 12:00:00 AM","Madison","3138","10","0","200","30",
"25-101-06594-00-00","8/31/2023 12:00:00 AM","Madison","3138","11","0","200","31",
"25-101-06594-00-00","7/31/2023 12:00:00 AM","Madison","3138","32","0","200","31",
"25-101-06594-00-00","6/30/2023 12:00:00 AM","Madison","3138","96","0","200","30",
"25-101-06594-00-00","5/31/2023 12:00:00 AM","Madison","3138","26","0","200","31",
"25-101-06594-00-00","4/30/2023 12:00:00 AM","Madison","3138","5","0","200","30",
"25-101-06594-00-00","3/31/2023 12:00:00 AM","Madison","3138","0","0","200","31",
"25-101-06594-00-00","2/28/2023 12:00:00 AM","Madison","3138","0","0","200","28",
"25-101-06594-00-00","1/31/2023 12:00:00 AM","Madison","3138","0","0","200","31",
"25-101-06594-00-00","12/31/2022 12:00:00 AM","Madison","3138","0","0","200","31",
"25-101-06594-00-00","11/30/2022 12:00:00 AM","Madison","3138","5","0","200","30",
"25-101-06594-00-00","10/31/2022 12:00:00 AM","Madison","3138","17","0","200","31",
"25-101-06594-00-00","9/30/2022 12:00:00 AM","Madison","3138","11","0","200","30",
"25-101-06594-00-00","8/31/2022 12:00:00 AM","Madison","3138","17","0","200","31",
"25-101-06594-00-00","7/31/2022 12:00:00 AM","Madison","3138","18","0","200","31",
"25-101-06594-00-00","6/30/2022 12:00:00 AM","Madison","3138","29","0","200","30",
"25-101-06594-00-00","5/31/2022 12:00:00 AM","Madison","3138","38","0","200","31",
"25-101-06594-00-00","4/30/2022 12:00:00 AM","Madison","3138","19","0","200","30",
"25-101-06594-00-00","3/31/2022 12:00:00 AM","Madison","3138","17","0","200","31",
"25-101-06594-00-00","2/28/2022 12:00:00 AM","Madison","3138","21","0","200","28",
"25-101-06594-00-00","1/31/2022 12:00:00 AM","Madison","3138","14","0","200","31",
"25-101-06594-00-00","12/31/2021 12:00:00 AM","Madison","3138","16","0","200","31",
"25-101-06594-00-00","11/30/2021 12:00:00 AM","Madison","3138","23","0","200","30",
"25-101-06594-00-00","10/31/2021 12:00:00 AM","Madison","3138","29","0","34","31",
"25-101-06594-00-00","9/30/2021 12:00:00 AM","Madison","3138","24","0","34","30",
"25-101-06594-00-00","8/31/2021 12:00:00 AM","Madison","3138","37","0","34","31",
"25-101-06594-00-00","7/31/2021 12:00:00 AM","Madison","3138","20","0","34","31",
"25-101-06594-00-00","6/30/2021 12:00:00 AM","Madison","3138","19","0","34","30",
"25-101-06594-00-00","5/31/2021 12:00:00 AM","Madison","3138","5","0","34","31",
"25-101-06594-00-00","4/30/2021 12:00:00 AM","Madison","3138","9","0","34","30",
"25-101-06594-00-00","3/31/2021 12:00:00 AM","Madison","3138","16","0","34","31",
"25-101-06594-00-00","2/28/2021 12:00:00 AM","Madison","3138","18","0","34","28",
"25-101-06594-00-00","1/31/2021 12:00:00 AM","Madison","3138","110","0","34","31",
"25-101-06594-00-00","12/31/2020 12:00:00 AM","Madison","3138","6","0","34","31",
"25-101-06594-00-00","11/30/2020 12:00:00 AM","Madison","3138","14","0","34","30",
"25-101-06594-00-00","10/31/2020 12:00:00 AM","Madison","3138","21","0","34","31",
"25-101-06594-00-00","9/30/2020 12:00:00 AM","Madison","3138","22","0","34","30",
"25-101-06594-00-00","8/31/2020 12:00:00 AM","Madison","3138","24","0","34","31",
"25-101-06594-00-00","7/31/2020 12:00:00 AM","Madison","3138","35","0","34","31",
"25-101-06594-00-00","6/30/2020 12:00:00 AM","Madison","3138","57","0","34","30",
"25-101-06594-00-00","5/31/2020 12:00:00 AM","Madison","3138","0","0","34","31",
"25-101-06594-00-00","4/30/2020 12:00:00 AM","Madison","3138","4","0","34","30",
"25-101-06594-00-00","3/31/2020 12:00:00 AM","Madison","3138","35","0","34","31",
"25-101-06594-00-00","2/29/2020 12:00:00 AM","Madison","3138","20","0","34","29",
"25-101-06594-00-00","1/31/2020 12:00:00 AM","Madison","3138","20","0","34","31",
"25-101-06594-00-00","12/31/2019 12:00:00 AM","Madison","3138","19","0","34","31",
"25-101-06594-00-00","11/30/2019 12:00:00 AM","Madison","3138","23","0","34","30",
"25-101-06594-00-00","10/31/2019 12:00:00 AM","Madison","3138","21","0","34","31",
"25-101-06594-00-00","9/30/2019 12:00:00 AM","Madison","3138","18","0","34","30",
"25-101-06594-00-00","8/31/2019 12:00:00 AM","Madison","3138","22","0","34","31",
"25-101-06594-00-00","7/31/2019 12:00:00 AM","Madison","3138","8","0","34","31",
"25-101-06594-00-00","6/30/2019 12:00:00 AM","Madison","3138","21","0","34","30",
"25-101-06594-00-00","5/31/2019 12:00:00 AM","Madison","3138","14","0","34","31",
"25-101-06594-00-00","4/30/2019 12:00:00 AM","Madison","3138","20","0","34","30",
"25-101-06594-00-00","3/31/2019 12:00:00 AM","Madison","3138","14","0","34","31",
"25-101-06594-00-00","2/28/2019 12:00:00 AM","Madison","3138","21","0","34","28",
"25-101-06594-00-00","1/31/2019 12:00:00 AM","Madison","3138","18","0","34","31",
"25-101-06594-00-00","12/31/2018 12:00:00 AM","Madison","3138","18","0","34","31",
"25-101-06594-00-00","11/30/2018 12:00:00 AM","Madison","3138","23","0","34","30",
"25-101-06594-00-00","10/31/2018 12:00:00 AM","Madison","3138","15","0","34","31",
"25-101-06594-00-00","9/30/2018 12:00:00 AM","Madison","3138","15","0","34","30",
"25-101-06594-00-00","8/31/2018 12:00:00 AM","Madison","3138","39","0","34","31",
"25-101-06594-00-00","7/31/2018 12:00:00 AM","Madison","3138","16","0","34","31",
"25-101-06594-00-00","6/30/2018 12:00:00 AM","Madison","3138","15","0","34","30",
"25-101-06594-00-00","5/31/2018 12:00:00 AM","Madison","3138","21","0","34","31",
"25-101-06594-00-00","4/30/2018 12:00:00 AM","Madison","3138","22","0","34","30",
"25-101-06594-00-00","3/31/2018 12:00:00 AM","Madison","3138","13","0","34","31",
"25-101-06594-00-00","2/28/2018 12:00:00 AM","Madison","3138","12","0","34","28",
"25-101-06594-00-00","1/31/2018 12:00:00 AM","Madison","3138","21","0","34","31",
"25-101-06594-00-00","12/31/2017 12:00:00 AM","Madison","3138","24","0","34","31",
"25-101-06594-00-00","11/30/2017 12:00:00 AM","Madison","3138","22","0","34","30",
"25-101-06594-00-00","10/31/2017 12:00:00 AM","Madison","3138","24","0","34","31",
"25-101-06594-00-00","9/30/2017 12:00:00 AM","Madison","3138","25","0","34","30",
"25-101-06594-00-00","8/31/2017 12:00:00 AM","Madison","3138","26","0","34","31",
"25-101-06594-00-00","7/31/2017 12:00:00 AM","Madison","3138","24","0","34","31",
"25-101-06594-00-00","6/30/2017 12:00:00 AM","Madison","3138","27","0","34","30",
"25-101-06594-00-00","5/31/2017 12:00:00 AM","Madison","3138","32","0","34","31",
"25-101-06594-00-00","4/30/2017 12:00:00 AM","Madison","3138","11","0","34","30",
"25-101-06594-00-00","3/31/2017 12:00:00 AM","Madison","3138","10","0","34","31",
"25-101-06594-00-00","2/28/2017 12:00:00 AM","Madison","3138","18","0","34","28",
"25-101-06594-00-00","1/31/2017 12:00:00 AM","Madison","3138","35","0","34","31",
"25-101-06594-00-00","12/31/2016 12:00:00 AM","Madison","3138","28","0","34","31",
"25-101-06594-00-00","11/30/2016 12:00:00 AM","Madison","3138","32","0","34","30",
"25-101-06594-00-00","10/31/2016 12:00:00 AM","Madison","3138","30","0","34","31",
"25-101-06594-00-00","9/30/2016 12:00:00 AM","Madison","3138","10","0","34","30",
"25-101-06594-00-00","8/31/2016 12:00:00 AM","Madison","3138","10","0","100","31",
"25-101-06594-00-00","7/31/2016 12:00:00 AM","Madison","3138","11","0","100","31",
"25-101-06594-00-00","6/30/2016 12:00:00 AM","Madison","3138","8","0","100","30",
"25-101-06594-00-00","5/31/2016 12:00:00 AM","Madison","3138","18","0","100","31",
"25-101-06594-00-00","4/30/2016 12:00:00 AM","Madison","3138","23","0","100","30",
"25-101-06594-00-00","3/31/2016 12:00:00 AM","Madison","3138","23","0","100","31",
"25-101-06594-00-00","2/29/2016 12:00:00 AM","Madison","3138","28","0","100","29",
"25-101-06594-00-00","1/31/2016 12:00:00 AM","Madison","3138","8","0","100","31",
"25-101-06594-00-00","12/31/2015 12:00:00 AM","Madison","3138","6","0","100","31",
"25-101-06594-00-00","11/30/2015 12:00:00 AM","Madison","3138","6","0","100","30",
"25-101-06594-00-00","10/31/2015 12:00:00 AM","Madison","3138","23","0","100","31",
"25-101-06594-00-00","9/30/2015 12:00:00 AM","Madison","3138","56","0","100","30",
"25-101-06594-00-00","8/31/2015 12:00:00 AM","Madison","3138","3","0","100","31",
"25-101-06594-00-00","7/31/2015 12:00:00 AM","Madison","3138","13","0","100","31",
"25-101-06594-00-00","6/30/2015 12:00:00 AM","Madison","3138","16","0","100","30",
"25-101-06594-00-00","5/31/2015 12:00:00 AM","Madison","3138","22","0","100","31",
"25-101-06594-00-00","4/30/2015 12:00:00 AM","Madison","3138","23","0","100","30",
"25-101-06594-00-00","3/31/2015 12:00:00 AM","Madison","3138","17","0","100","31",
"25-101-06594-00-00","2/28/2015 12:00:00 AM","Madison","3138","15","0","100","28",
"25-101-06594-00-00","1/31/2015 12:00:00 AM","Madison","3138","20","0","100","31",
"25-101-06594-00-00","12/31/2014 12:00:00 AM","Madison","3138","24","0","100","31",
"25-101-06594-00-00","11/30/2014 12:00:00 AM","Madison","3138","7","0","100","30",
"25-101-06594-00-00","10/31/2014 12:00:00 AM","Madison","3138","13","0","100","31",
"25-101-06594-00-00","9/30/2014 12:00:00 AM","Madison","3138","11","0","100","30",
"25-101-06594-00-00","8/31/2014 12:00:00 AM","Madison","3138","17","0","100","31",
"25-101-06594-00-00","7/31/2014 12:00:00 AM","Madison","3138","22","0","100","31",
"25-101-06594-00-00","6/30/2014 12:00:00 AM","Madison","3138","21","0","100","30",
"25-101-06594-00-00","5/31/2014 12:00:00 AM","Madison","3138","14","0","100","31",
"25-101-06594-00-00","4/30/2014 12:00:00 AM","Madison","3138","16","0","100","30",
"25-101-06594-00-00","3/31/2014 12:00:00 AM","Madison","3138","15","0","100","31",
"25-101-06594-00-00","2/28/2014 12:00:00 AM","Madison","3138","3","0","100","28",
"25-101-06594-00-00","1/31/2014 12:00:00 AM","Madison","3138","29","0","100","31",
"25-101-06594-00-00","12/31/2013 12:00:00 AM","Madison","3138","13","0","100","31",
"25-101-06594-00-00","11/30/2013 12:00:00 AM","Madison","3138","12","0","100","30",
"25-101-06594-00-00","10/31/2013 12:00:00 AM","Madison","3138","11","0","100","31",
"25-101-06594-00-00","9/30/2013 12:00:00 AM","Madison","3138","9","0","100","30",
"25-101-06594-00-00","8/31/2013 12:00:00 AM","Madison","3138","11","0","100","31",
"25-101-06594-00-00","7/31/2013 12:00:00 AM","Madison","3138","12","0","100","31",
"25-101-06594-00-00","6/30/2013 12:00:00 AM","Madison","3138","22","0","100","30",
"25-101-06594-00-00","5/31/2013 12:00:00 AM","Madison","3138","2","0","100","31",
"25-101-06594-00-00","4/30/2013 12:00:00 AM","Madison","3138","9","0","100","30",
"25-101-06594-00-00","3/31/2013 12:00:00 AM","Madison","3138","10","0","100","31",
"25-101-06594-00-00","2/28/2013 12:00:00 AM","Madison","3138","10","0","100","28",
"25-101-06594-00-00","1/31/2013 12:00:00 AM","Madison","3138","28","0","100","31",
"25-101-06594-00-00","12/31/2012 12:00:00 AM","Madison","3138","57","0","100","31",
"25-101-06594-00-00","11/30/2012 12:00:00 AM","Madison","3138","148","0","100","30",
"25-101-06594-00-00","10/31/2012 12:00:00 AM","Madison","3138","47","0","100","31",
"25-101-06594-00-00","9/30/2012 12:00:00 AM","Madison","3138","3","0","100","30",
"25-101-06594-00-00","8/31/2012 12:00:00 AM","Madison","3138","12","0","25","31",
"25-101-06594-00-00","7/31/2012 12:00:00 AM","Madison","3138","15","0","25","31",
"25-101-06594-00-00","6/30/2012 12:00:00 AM","Madison","3138","14","0","25","30",
"25-101-06594-00-00","5/31/2012 12:00:00 AM","Madison","3138","11","0","25","31",
"25-101-06594-00-00","4/30/2012 12:00:00 AM","Madison","3138","12","0","25","30",
