"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25005212720000","NorthWestern Corporation","Barber  1-33","Gas","Producing","Blaine","Sawtooth Mountain","28N-19E","33",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-005-21272-00-00","7/31/2025 12:00:00 AM","Eagle","111521","0","766","0","30",
"25-005-21272-00-00","6/30/2025 12:00:00 AM","Eagle","111521","0","749","0","30",
"25-005-21272-00-00","5/31/2025 12:00:00 AM","Eagle","111521","0","715","0","31",
"25-005-21272-00-00","4/30/2025 12:00:00 AM","Eagle","111521","0","790","0","30",
"25-005-21272-00-00","3/31/2025 12:00:00 AM","Eagle","111521","0","825","0","31",
"25-005-21272-00-00","2/28/2025 12:00:00 AM","Eagle","111521","0","743","0","27",
"25-005-21272-00-00","1/31/2025 12:00:00 AM","Eagle","111521","0","833","0","31",
"25-005-21272-00-00","12/31/2024 12:00:00 AM","Eagle","111521","0","833","0","30",
"25-005-21272-00-00","11/30/2024 12:00:00 AM","Eagle","111521","0","814","0","30",
"25-005-21272-00-00","10/31/2024 12:00:00 AM","Eagle","111521","0","844","0","31",
"25-005-21272-00-00","9/30/2024 12:00:00 AM","Eagle","111521","0","829","0","30",
"25-005-21272-00-00","8/31/2024 12:00:00 AM","Eagle","111521","0","841","0","31",
"25-005-21272-00-00","7/31/2024 12:00:00 AM","Eagle","111521","0","837","0","31",
"25-005-21272-00-00","6/30/2024 12:00:00 AM","Eagle","111521","0","809","0","30",
"25-005-21272-00-00","5/31/2024 12:00:00 AM","Eagle","111521","0","842","0","31",
"25-005-21272-00-00","4/30/2024 12:00:00 AM","Eagle","111521","0","808","0","29",
"25-005-21272-00-00","3/31/2024 12:00:00 AM","Eagle","111521","0","845","0","31",
"25-005-21272-00-00","2/29/2024 12:00:00 AM","Eagle","111521","0","802","0","29",
"25-005-21272-00-00","1/31/2024 12:00:00 AM","Eagle","111521","0","777","0","31",
"25-005-21272-00-00","12/31/2023 12:00:00 AM","Eagle","111521","0","663","0","31",
"25-005-21272-00-00","11/30/2023 12:00:00 AM","Eagle","111521","0","645","0","30",
"25-005-21272-00-00","10/31/2023 12:00:00 AM","Eagle","111521","0","672","0","31",
"25-005-21272-00-00","9/30/2023 12:00:00 AM","Eagle","111521","0","658","0","30",
"25-005-21272-00-00","8/31/2023 12:00:00 AM","Eagle","111521","0","681","0","31",
"25-005-21272-00-00","7/31/2023 12:00:00 AM","Eagle","111521","0","663","0","31",
"25-005-21272-00-00","6/30/2023 12:00:00 AM","Eagle","111521","0","631","0","30",
"25-005-21272-00-00","5/31/2023 12:00:00 AM","Eagle","111521","0","657","0","31",
"25-005-21272-00-00","4/30/2023 12:00:00 AM","Eagle","111521","0","758","0","30",
"25-005-21272-00-00","3/31/2023 12:00:00 AM","Eagle","111521","0","1048","0","31",
"25-005-21272-00-00","2/28/2023 12:00:00 AM","Eagle","111521","0","951","0","28",
"25-005-21272-00-00","1/31/2023 12:00:00 AM","Eagle","111521","0","855","0","31",
