"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25005224610000","NorthWestern Corporation","Battle  16-27","Gas","Producing","Blaine","Battle Creek","36N-19E","27",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-005-22461-00-00","7/31/2025 12:00:00 AM","Eagle","169","0","348","31","31",
"25-005-22461-00-00","6/30/2025 12:00:00 AM","Eagle","169","0","344","30","30",
"25-005-22461-00-00","5/31/2025 12:00:00 AM","Eagle","169","0","353","31","31",
"25-005-22461-00-00","4/30/2025 12:00:00 AM","Eagle","169","0","362","29","29",
"25-005-22461-00-00","3/31/2025 12:00:00 AM","Eagle","169","0","405","31","31",
"25-005-22461-00-00","2/28/2025 12:00:00 AM","Eagle","169","0","373","26","26",
"25-005-22461-00-00","1/31/2025 12:00:00 AM","Eagle","169","0","432","31","31",
"25-005-22461-00-00","12/31/2024 12:00:00 AM","Eagle","169","0","438","31","31",
"25-005-22461-00-00","11/30/2024 12:00:00 AM","Eagle","169","0","427","30","30",
"25-005-22461-00-00","10/31/2024 12:00:00 AM","Eagle","169","0","446","31","31",
"25-005-22461-00-00","9/30/2024 12:00:00 AM","Eagle","169","0","437","30","30",
"25-005-22461-00-00","8/31/2024 12:00:00 AM","Eagle","169","0","455","31","31",
"25-005-22461-00-00","7/31/2024 12:00:00 AM","Eagle","169","0","459","31","31",
"25-005-22461-00-00","6/30/2024 12:00:00 AM","Eagle","169","0","449","30","30",
"25-005-22461-00-00","5/31/2024 12:00:00 AM","Eagle","169","0","467","31","31",
"25-005-22461-00-00","4/30/2024 12:00:00 AM","Eagle","169","0","461","30","30",
"25-005-22461-00-00","3/31/2024 12:00:00 AM","Eagle","169","0","466","30","30",
"25-005-22461-00-00","2/29/2024 12:00:00 AM","Eagle","169","0","447","29","29",
"25-005-22461-00-00","1/31/2024 12:00:00 AM","Eagle","169","0","481","31","31",
"25-005-22461-00-00","12/31/2023 12:00:00 AM","Eagle","169","0","481","31","31",
"25-005-22461-00-00","11/30/2023 12:00:00 AM","Eagle","169","0","467","30","30",
"25-005-22461-00-00","10/31/2023 12:00:00 AM","Eagle","169","0","489","31","31",
"25-005-22461-00-00","9/30/2023 12:00:00 AM","Eagle","169","0","493","30","30",
"25-005-22461-00-00","8/31/2023 12:00:00 AM","Eagle","169","0","373","19","19",
"25-005-22461-00-00","7/31/2023 12:00:00 AM","Eagle","169","0","447","31","31",
"25-005-22461-00-00","6/30/2023 12:00:00 AM","Eagle","169","0","438","30","30",
