"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25005231800000","Lonewolf Operating, LLC","Battle Creek  5-5","Gas","Shut In","Blaine","Battle Creek","35N-20E","5",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-005-23180-00-00","5/31/2025 12:00:00 AM","Eagle","10069","0","0","0","0",
"25-005-23180-00-00","4/30/2025 12:00:00 AM","Eagle","10069","0","0","0","0",
"25-005-23180-00-00","3/31/2025 12:00:00 AM","Eagle","10069","0","0","0","0",
"25-005-23180-00-00","2/28/2025 12:00:00 AM","Eagle","10069","0","0","0","0",
"25-005-23180-00-00","1/31/2025 12:00:00 AM","Eagle","10069","0","0","0","0",
"25-005-23180-00-00","12/31/2024 12:00:00 AM","Eagle","10069","0","0","0","0",
"25-005-23180-00-00","11/30/2024 12:00:00 AM","Eagle","10069","0","0","0","0",
"25-005-23180-00-00","10/31/2024 12:00:00 AM","Eagle","10069","0","0","0","0",
"25-005-23180-00-00","9/30/2024 12:00:00 AM","Eagle","10069","0","0","0","0",
"25-005-23180-00-00","8/31/2024 12:00:00 AM","Eagle","10069","0","0","0","0",
"25-005-23180-00-00","7/31/2024 12:00:00 AM","Eagle","10069","0","0","0","0",
"25-005-23180-00-00","6/30/2024 12:00:00 AM","Eagle","10069","0","0","0","0",
"25-005-23180-00-00","5/31/2024 12:00:00 AM","Eagle","10069","0","0","0","0",
"25-005-23180-00-00","4/30/2024 12:00:00 AM","Eagle","10069","0","0","0","0",
"25-005-23180-00-00","3/31/2024 12:00:00 AM","Eagle","10069","0","179","289","9",
"25-005-23180-00-00","2/29/2024 12:00:00 AM","Eagle","10069","0","45","73","2",
"25-005-23180-00-00","1/31/2024 12:00:00 AM","Eagle","10069","0","60","97","5",
"25-005-23180-00-00","12/31/2023 12:00:00 AM","Eagle","10069","0","420","678","25",
"25-005-23180-00-00","11/30/2023 12:00:00 AM","Eagle","10069","0","478","771","28",
"25-005-23180-00-00","10/31/2023 12:00:00 AM","Eagle","10069","0","432","697","21",
"25-005-23180-00-00","9/30/2023 12:00:00 AM","Eagle","10069","0","225","363","10",
"25-005-23180-00-00","8/31/2023 12:00:00 AM","Eagle","10069","0","524","846","25",
"25-005-23180-00-00","7/31/2023 12:00:00 AM","Eagle","10069","0","277","447","11",
"25-005-23180-00-00","6/30/2023 12:00:00 AM","Eagle","10069","0","0","0","0",
"25-005-23180-00-00","5/31/2023 12:00:00 AM","Eagle","10069","0","0","0","0",
"25-005-23180-00-00","4/30/2023 12:00:00 AM","Eagle","10069","0","0","0","0",
"25-005-23180-00-00","3/31/2023 12:00:00 AM","Eagle","10069","0","0","0","0",
"25-005-23180-00-00","2/28/2023 12:00:00 AM","Eagle","10069","0","0","0","0",
"25-005-23180-00-00","1/31/2023 12:00:00 AM","Eagle","10069","0","0","0","0",
"25-005-23180-00-00","12/31/2022 12:00:00 AM","Eagle","10069","0","0","0","0",
"25-005-23180-00-00","11/30/2022 12:00:00 AM","Eagle","10069","0","673","1061","30",
"25-005-23180-00-00","10/31/2022 12:00:00 AM","Eagle","10069","0","104","164","5",
"25-005-23180-00-00","9/30/2022 12:00:00 AM","Eagle","10069","0","19","31","3",
"25-005-23180-00-00","8/31/2022 12:00:00 AM","Eagle","10069","0","11","18","1",
"25-005-23180-00-00","7/31/2022 12:00:00 AM","Eagle","10069","0","0","0","0",
"25-005-23180-00-00","6/30/2022 12:00:00 AM","Eagle","10069","0","0","0","0",
"25-005-23180-00-00","5/31/2022 12:00:00 AM","Eagle","10069","0","31","49","6",
"25-005-23180-00-00","4/30/2022 12:00:00 AM","Eagle","10069","0","160","255","8",
"25-005-23180-00-00","3/31/2022 12:00:00 AM","Eagle","10069","0","321","512","17",
"25-005-23180-00-00","2/28/2022 12:00:00 AM","Eagle","10069","0","200","319","9",
"25-005-23180-00-00","1/31/2022 12:00:00 AM","Eagle","10069","0","13","21","1",
"25-005-23180-00-00","12/31/2021 12:00:00 AM","Eagle","10069","0","415","662","18",
"25-005-23180-00-00","11/30/2021 12:00:00 AM","Eagle","10069","0","406","648","17",
"25-005-23180-00-00","10/31/2021 12:00:00 AM","Eagle","10069","0","502","801","22",
"25-005-23180-00-00","9/30/2021 12:00:00 AM","Eagle","10069","0","130","208","5",
"25-005-23180-00-00","8/31/2021 12:00:00 AM","Eagle","10069","0","179","285","8",
"25-005-23180-00-00","7/31/2021 12:00:00 AM","Eagle","10069","0","204","325","9",
"25-005-23180-00-00","6/30/2021 12:00:00 AM","Eagle","10069","0","214","341","10",
"25-005-23180-00-00","5/31/2021 12:00:00 AM","Eagle","10069","0","397","633","19",
"25-005-23180-00-00","4/30/2021 12:00:00 AM","Eagle","10069","0","372","593","16",
"25-005-23180-00-00","3/31/2021 12:00:00 AM","Eagle","10069","0","356","568","17",
"25-005-23180-00-00","2/28/2021 12:00:00 AM","Eagle","10069","0","161","257","8",
"25-005-23180-00-00","1/31/2021 12:00:00 AM","Eagle","10069","0","491","783","23",
"25-005-23180-00-00","12/31/2020 12:00:00 AM","Eagle","10069","0","313","499","19",
"25-005-23180-00-00","11/30/2020 12:00:00 AM","Eagle","10069","0","455","725","20",
"25-005-23180-00-00","10/31/2020 12:00:00 AM","Eagle","10069","0","268","427","13",
"25-005-23180-00-00","9/30/2020 12:00:00 AM","Eagle","10069","0","526","839","25",
"25-005-23180-00-00","8/31/2020 12:00:00 AM","Eagle","10069","0","465","741","21",
"25-005-23180-00-00","7/31/2020 12:00:00 AM","Eagle","10069","0","446","711","31",
"25-005-23180-00-00","6/30/2020 12:00:00 AM","Eagle","10069","0","503","802","22",
"25-005-23180-00-00","5/31/2020 12:00:00 AM","Eagle","10069","0","355","566","26",
"25-005-23180-00-00","4/30/2020 12:00:00 AM","Eagle","10069","0","470","748","27",
"25-005-23180-00-00","3/31/2020 12:00:00 AM","Eagle","10069","0","270","431","14",
"25-005-23180-00-00","2/29/2020 12:00:00 AM","Eagle","10069","0","429","684","24",
"25-005-23180-00-00","1/31/2020 12:00:00 AM","Eagle","10069","0","434","692","22",
"25-005-23180-00-00","12/31/2019 12:00:00 AM","Eagle","10069","0","344","535","18",
"25-005-23180-00-00","11/30/2019 12:00:00 AM","Eagle","10069","0","167","260","11",
"25-005-23180-00-00","10/31/2019 12:00:00 AM","Eagle","10069","0","447","713","24",
"25-005-23180-00-00","9/30/2019 12:00:00 AM","Eagle","10069","0","367","674","22",
"25-005-23180-00-00","8/31/2019 12:00:00 AM","Eagle","10069","0","293","467","15",
"25-005-23180-00-00","7/31/2019 12:00:00 AM","Eagle","10069","0","310","494","31",
"25-005-23180-00-00","6/30/2019 12:00:00 AM","Eagle","10069","0","523","960","30",
"25-005-23180-00-00","5/31/2019 12:00:00 AM","Eagle","10069","0","321","511","16",
"25-005-23180-00-00","4/30/2019 12:00:00 AM","Eagle","10069","0","306","487","17",
"25-005-23180-00-00","3/31/2019 12:00:00 AM","Eagle","10069","0","417","664","22",
"25-005-23180-00-00","2/28/2019 12:00:00 AM","Eagle","10069","0","136","217","9",
"25-005-23180-00-00","1/31/2019 12:00:00 AM","Eagle","10069","0","396","631","22",
"25-005-23180-00-00","12/31/2018 12:00:00 AM","Eagle","10069","0","471","750","25",
"25-005-23180-00-00","11/30/2018 12:00:00 AM","Eagle","10069","0","376","690","23",
"25-005-23180-00-00","10/31/2018 12:00:00 AM","Eagle","10069","0","456","750","25",
"25-005-23180-00-00","9/30/2018 12:00:00 AM","Eagle","10069","0","367","570","19",
"25-005-23180-00-00","8/31/2018 12:00:00 AM","Eagle","10069","0","386","690","23",
"25-005-23180-00-00","7/31/2018 12:00:00 AM","Eagle","10069","0","281","420","14",
"25-005-23180-00-00","6/30/2018 12:00:00 AM","Eagle","10069","0","204","510","17",
"25-005-23180-00-00","5/31/2018 12:00:00 AM","Eagle","10069","0","503","686","23",
"25-005-23180-00-00","4/30/2018 12:00:00 AM","Eagle","10069","0","257","452","16",
"25-005-23180-00-00","3/31/2018 12:00:00 AM","Eagle","10069","0","325","479","16",
"25-005-23180-00-00","2/28/2018 12:00:00 AM","Eagle","10069","0","249","328","11",
"25-005-23180-00-00","1/31/2018 12:00:00 AM","Eagle","10069","0","597","930","31",
"25-005-23180-00-00","12/31/2017 12:00:00 AM","Eagle","10069","0","330","356","12",
"25-005-23180-00-00","11/30/2017 12:00:00 AM","Eagle","10069","0","0","0","0",
"25-005-23180-00-00","10/31/2017 12:00:00 AM","Eagle","10069","0","526","925","31",
"25-005-23180-00-00","9/30/2017 12:00:00 AM","Eagle","10069","0","286","624","14",
"25-005-23180-00-00","8/31/2017 12:00:00 AM","Eagle","10069","0","365","624","21",
"25-005-23180-00-00","7/31/2017 12:00:00 AM","Eagle","10069","0","392","728","24",
"25-005-23180-00-00","6/30/2017 12:00:00 AM","Eagle","10069","0","402","774","26",
"25-005-23180-00-00","5/31/2017 12:00:00 AM","Eagle","10069","0","442","863","29",
"25-005-23180-00-00","4/30/2017 12:00:00 AM","Eagle","10069","0","403","767","26",
"25-005-23180-00-00","3/31/2017 12:00:00 AM","Eagle","10069","0","433","895","30",
"25-005-23180-00-00","2/28/2017 12:00:00 AM","Eagle","10069","0","398","799","27",
"25-005-23180-00-00","1/31/2017 12:00:00 AM","Eagle","10069","0","448","894","30",
"25-005-23180-00-00","12/31/2016 12:00:00 AM","Eagle","10069","0","460","888","30",
"25-005-23180-00-00","11/30/2016 12:00:00 AM","Eagle","10069","0","404","802","27",
"25-005-23180-00-00","10/31/2016 12:00:00 AM","Eagle","10069","0","436","885","29",
"25-005-23180-00-00","9/30/2016 12:00:00 AM","Eagle","10069","0","429","861","29",
"25-005-23180-00-00","8/31/2016 12:00:00 AM","Eagle","10069","0","451","866","29",
"25-005-23180-00-00","7/31/2016 12:00:00 AM","Eagle","10069","0","467","911","30",
"25-005-23180-00-00","6/30/2016 12:00:00 AM","Eagle","10069","0","439","814","27",
"25-005-23180-00-00","5/31/2016 12:00:00 AM","Eagle","10069","0","440","802","27",
"25-005-23180-00-00","4/30/2016 12:00:00 AM","Eagle","10069","0","438","734","24",
"25-005-23180-00-00","3/31/2016 12:00:00 AM","Eagle","10069","0","438","752","25",
"25-005-23180-00-00","2/29/2016 12:00:00 AM","Eagle","10069","0","450","822","27",
"25-005-23180-00-00","1/31/2016 12:00:00 AM","Eagle","10069","0","458","808","27",
"25-005-23180-00-00","12/31/2015 12:00:00 AM","Eagle","10069","0","399","724","24",
"25-005-23180-00-00","11/30/2015 12:00:00 AM","Eagle","10069","0","474","842","28",
"25-005-23180-00-00","10/31/2015 12:00:00 AM","Eagle","10069","0","498","901","30",
"25-005-23180-00-00","9/30/2015 12:00:00 AM","Eagle","10069","0","428","787","26",
"25-005-23180-00-00","8/31/2015 12:00:00 AM","Eagle","10069","0","521","929","31",
"25-005-23180-00-00","7/31/2015 12:00:00 AM","Eagle","10069","0","525","924","31",
"25-005-23180-00-00","6/30/2015 12:00:00 AM","Eagle","10069","0","465","763","25",
"25-005-23180-00-00","5/31/2015 12:00:00 AM","Eagle","10069","0","477","875","29",
"25-005-23180-00-00","4/30/2015 12:00:00 AM","Eagle","10069","0","476","793","26",
"25-005-23180-00-00","3/31/2015 12:00:00 AM","Eagle","10069","0","415","735","24",
"25-005-23180-00-00","2/28/2015 12:00:00 AM","Eagle","10069","0","477","844","28",
"25-005-23180-00-00","1/31/2015 12:00:00 AM","Eagle","10069","0","540","921","31",
"25-005-23180-00-00","12/31/2014 12:00:00 AM","Eagle","10069","0","579","920","31",
"25-005-23180-00-00","11/30/2014 12:00:00 AM","Eagle","10069","0","445","742","25",
"25-005-23180-00-00","10/31/2014 12:00:00 AM","Eagle","10069","0","546","918","31",
"25-005-23180-00-00","9/30/2014 12:00:00 AM","Eagle","10069","0","461","734","24",
"25-005-23180-00-00","8/31/2014 12:00:00 AM","Eagle","10069","0","546","901","30",
"25-005-23180-00-00","7/31/2014 12:00:00 AM","Eagle","10069","0","543","911","30",
"25-005-23180-00-00","6/30/2014 12:00:00 AM","Eagle","10069","0","552","878","29",
"25-005-23180-00-00","5/31/2014 12:00:00 AM","Eagle","10069","0","512","777","26",
"25-005-23180-00-00","4/30/2014 12:00:00 AM","Eagle","10069","0","508","905","29",
"25-005-23180-00-00","3/31/2014 12:00:00 AM","Eagle","10069","0","543","905","30",
"25-005-23180-00-00","2/28/2014 12:00:00 AM","Eagle","10069","0","445","736","25",
"25-005-23180-00-00","1/31/2014 12:00:00 AM","Eagle","10069","0","581","928","31",
"25-005-23180-00-00","12/31/2013 12:00:00 AM","Eagle","10069","0","498","881","29",
"25-005-23180-00-00","11/30/2013 12:00:00 AM","Eagle","10069","0","530","1008","30",
"25-005-23180-00-00","10/31/2013 12:00:00 AM","Eagle","10069","0","521","965","28",
"25-005-23180-00-00","9/30/2013 12:00:00 AM","Eagle","10069","0","503","920","27",
"25-005-23180-00-00","8/31/2013 12:00:00 AM","Eagle","10069","0","537","1034","30",
"25-005-23180-00-00","7/31/2013 12:00:00 AM","Eagle","10069","0","492","890","26",
"25-005-23180-00-00","6/30/2013 12:00:00 AM","Eagle","10069","0","509","969","28",
"25-005-23180-00-00","5/31/2013 12:00:00 AM","Eagle","10069","0","527","1042","31",
"25-005-23180-00-00","4/30/2013 12:00:00 AM","Eagle","10069","0","422","951","28",
"25-005-23180-00-00","3/31/2013 12:00:00 AM","Eagle","10069","0","538","1050","31",
"25-005-23180-00-00","2/28/2013 12:00:00 AM","Eagle","10069","0","513","943","28",
"25-005-23180-00-00","1/31/2013 12:00:00 AM","Eagle","10069","0","557","1014","30",
"25-005-23180-00-00","12/31/2012 12:00:00 AM","Eagle","10069","0","571","1049","31",
"25-005-23180-00-00","11/30/2012 12:00:00 AM","Eagle","10069","0","566","932","28",
"25-005-23180-00-00","10/31/2012 12:00:00 AM","Eagle","10069","0","538","872","26",
"25-005-23180-00-00","9/30/2012 12:00:00 AM","Eagle","10069","0","453","701","21",
"25-005-23180-00-00","8/31/2012 12:00:00 AM","Eagle","10069","0","525","818","24",
"25-005-23180-00-00","7/31/2012 12:00:00 AM","Eagle","10069","0","545","931","27",
"25-005-23180-00-00","6/30/2012 12:00:00 AM","Eagle","10069","0","553","972","29",
"25-005-23180-00-00","5/31/2012 12:00:00 AM","Eagle","10069","0","510","885","26",
"25-005-23180-00-00","4/30/2012 12:00:00 AM","Eagle","10069","0","574","999","29",
"25-005-23180-00-00","3/31/2012 12:00:00 AM","Eagle","10069","0","565","984","29",
"25-005-23180-00-00","2/29/2012 12:00:00 AM","Eagle","10069","0","559","971","29",
"25-005-23180-00-00","1/31/2012 12:00:00 AM","Eagle","10069","0","598","1055","31",
"25-005-23180-00-00","12/31/2011 12:00:00 AM","Eagle","10069","0","591","1037","31",
"25-005-23180-00-00","11/30/2011 12:00:00 AM","Eagle","10069","0","573","1007","30",
"25-005-23180-00-00","10/31/2011 12:00:00 AM","Eagle","10069","0","599","1001","29",
"25-005-23180-00-00","9/30/2011 12:00:00 AM","Eagle","10069","0","556","865","25",
"25-005-23180-00-00","8/31/2011 12:00:00 AM","Eagle","10069","0","622","1032","30",
"25-005-23180-00-00","7/31/2011 12:00:00 AM","Eagle","10069","0","614","995","29",
"25-005-23180-00-00","6/30/2011 12:00:00 AM","Eagle","10069","0","627","1053","29",
