"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25075214170000","Denbury Onshore, LLC","BCCMU  804","Oil","Producing","Powder River","Bell Creek","9S-54E","8",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-075-21417-00-00","7/31/2025 12:00:00 AM","Muddy","4630","0","0","8","9",
"25-075-21417-00-00","6/30/2025 12:00:00 AM","Muddy","4630","36","895","98","30",
"25-075-21417-00-00","5/31/2025 12:00:00 AM","Muddy","4630","86","3173","255","31",
"25-075-21417-00-00","4/30/2025 12:00:00 AM","Muddy","4630","109","9701","614","30",
"25-075-21417-00-00","3/31/2025 12:00:00 AM","Muddy","4630","538","40190","2116","29",
"25-075-21417-00-00","2/28/2025 12:00:00 AM","Muddy","4630","648","45917","2654","26",
"25-075-21417-00-00","1/31/2025 12:00:00 AM","Muddy","4630","617","43474","2133","31",
"25-075-21417-00-00","12/31/2024 12:00:00 AM","Muddy","4630","216","21901","940","31",
"25-075-21417-00-00","11/30/2024 12:00:00 AM","Muddy","4630","446","30168","1462","30",
"25-075-21417-00-00","10/31/2024 12:00:00 AM","Muddy","4630","328","8110","369","30",
"25-075-21417-00-00","9/30/2024 12:00:00 AM","Muddy","4630","347","9630","408","30",
"25-075-21417-00-00","8/31/2024 12:00:00 AM","Muddy","4630","355","13974","594","30",
"25-075-21417-00-00","7/31/2024 12:00:00 AM","Muddy","4630","349","22358","952","31",
"25-075-21417-00-00","6/30/2024 12:00:00 AM","Muddy","4630","352","23137","1021","30",
"25-075-21417-00-00","5/31/2024 12:00:00 AM","Muddy","4630","166","13094","621","16",
"25-075-21417-00-00","4/30/2024 12:00:00 AM","Muddy","4630","188","16083","665","24",
"25-075-21417-00-00","3/31/2024 12:00:00 AM","Muddy","4630","219","15534","979","31",
"25-075-21417-00-00","2/29/2024 12:00:00 AM","Muddy","4630","109","8111","654","16",
"25-075-21417-00-00","1/31/2024 12:00:00 AM","Muddy","4630","103","8186","648","16",
"25-075-21417-00-00","12/31/2023 12:00:00 AM","Muddy","4630","457","25874","2296","31",
"25-075-21417-00-00","11/30/2023 12:00:00 AM","Muddy","4630","1478","71103","7321","28",
"25-075-21417-00-00","10/31/2023 12:00:00 AM","Muddy","4630","1716","81045","7434","31",
"25-075-21417-00-00","9/30/2023 12:00:00 AM","Muddy","4630","1387","67576","6192","30",
"25-075-21417-00-00","8/31/2023 12:00:00 AM","Muddy","4630","897","46808","3551","31",
"25-075-21417-00-00","7/31/2023 12:00:00 AM","Muddy","4630","217","12899","1024","29",
"25-075-21417-00-00","6/30/2023 12:00:00 AM","Muddy","4630","339","15622","1935","30",
"25-075-21417-00-00","5/31/2023 12:00:00 AM","Muddy","4630","520","22280","3042","29",
"25-075-21417-00-00","4/30/2023 12:00:00 AM","Muddy","4630","518","20924","2983","30",
"25-075-21417-00-00","3/31/2023 12:00:00 AM","Muddy","4630","257","16928","2587","23",
"25-075-21417-00-00","2/28/2023 12:00:00 AM","Muddy","4630","159","10448","1602","15",
"25-075-21417-00-00","1/31/2023 12:00:00 AM","Muddy","4630","364","23323","3259","31",
"25-075-21417-00-00","12/31/2022 12:00:00 AM","Muddy","4630","278","16161","2147","31",
"25-075-21417-00-00","11/30/2022 12:00:00 AM","Muddy","4630","183","7219","1206","26",
"25-075-21417-00-00","10/31/2022 12:00:00 AM","Muddy","4630","243","9427","1689","31",
"25-075-21417-00-00","9/30/2022 12:00:00 AM","Muddy","4630","329","14706","2488","30",
"25-075-21417-00-00","8/31/2022 12:00:00 AM","Muddy","4630","473","20574","3710","31",
"25-075-21417-00-00","7/31/2022 12:00:00 AM","Muddy","4630","487","25117","5301","31",
