"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25035060870000","Montana Power Company","Bickett  #1","Gas","P&A - Approved","Glacier","Cut Bank","34N-5W","14",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-035-06087-00-00","12/31/1992 12:00:00 AM","Cut Bank","100731","0","0","0","0",
"25-035-06087-00-00","11/30/1992 12:00:00 AM","Cut Bank","100731","0","0","0","0",
"25-035-06087-00-00","10/31/1992 12:00:00 AM","Cut Bank","100731","0","0","0","0",
"25-035-06087-00-00","9/30/1992 12:00:00 AM","Cut Bank","100731","0","0","0","0",
"25-035-06087-00-00","8/31/1992 12:00:00 AM","Cut Bank","100731","0","0","0","0",
"25-035-06087-00-00","7/31/1992 12:00:00 AM","Cut Bank","100731","0","0","0","0",
"25-035-06087-00-00","6/30/1992 12:00:00 AM","Cut Bank","100731","0","0","0","0",
"25-035-06087-00-00","5/31/1992 12:00:00 AM","Cut Bank","100731","0","0","0","0",
"25-035-06087-00-00","4/30/1992 12:00:00 AM","Cut Bank","100731","0","0","0","0",
"25-035-06087-00-00","3/31/1992 12:00:00 AM","Cut Bank","100731","0","0","0","0",
"25-035-06087-00-00","2/29/1992 12:00:00 AM","Cut Bank","100731","0","0","0","0",
"25-035-06087-00-00","1/31/1992 12:00:00 AM","Cut Bank","100731","0","0","0","0",
"25-035-06087-00-00","12/31/1991 12:00:00 AM","Cut Bank","100731","0","0","0","0",
"25-035-06087-00-00","11/30/1991 12:00:00 AM","Cut Bank","100731","0","0","0","0",
"25-035-06087-00-00","10/31/1991 12:00:00 AM","Cut Bank","100731","0","0","0","0",
"25-035-06087-00-00","9/30/1991 12:00:00 AM","Cut Bank","100731","0","0","0","0",
"25-035-06087-00-00","8/31/1991 12:00:00 AM","Cut Bank","100731","0","0","0","0",
"25-035-06087-00-00","7/31/1991 12:00:00 AM","Cut Bank","100731","0","0","0","0",
"25-035-06087-00-00","6/30/1991 12:00:00 AM","Cut Bank","100731","0","0","0","0",
"25-035-06087-00-00","5/31/1991 12:00:00 AM","Cut Bank","100731","0","0","0","0",
"25-035-06087-00-00","4/30/1991 12:00:00 AM","Cut Bank","100731","0","0","0","0",
"25-035-06087-00-00","3/31/1991 12:00:00 AM","Cut Bank","100731","0","0","0","0",
"25-035-06087-00-00","2/28/1991 12:00:00 AM","Cut Bank","100731","0","0","0","0",
"25-035-06087-00-00","1/31/1991 12:00:00 AM","Cut Bank","100731","0","0","0","0",
"25-035-06087-00-00","12/31/1987 12:00:00 AM","Cut Bank","100731","0","13","0","9",
"25-035-06087-00-00","11/30/1987 12:00:00 AM","Cut Bank","100731","0","1","0","1",
"25-035-06087-00-00","5/31/1987 12:00:00 AM","Cut Bank","100731","0","4","0","5",
"25-035-06087-00-00","2/28/1987 12:00:00 AM","Cut Bank","100731","0","7","0","4",
"25-035-06087-00-00","1/31/1987 12:00:00 AM","Cut Bank","100731","0","13","0","7",
"25-035-06087-00-00","12/31/1986 12:00:00 AM","Cut Bank","100731","0","14","0","10",
"25-035-06087-00-00","11/30/1986 12:00:00 AM","Cut Bank","100731","0","8","0","7",
"25-035-06087-00-00","10/31/1986 12:00:00 AM","Cut Bank","100731","0","1","0","0",
"25-035-06087-00-00","7/31/1986 12:00:00 AM","Cut Bank","100731","0","8","0","8",
"25-035-06087-00-00","2/28/1986 12:00:00 AM","Cut Bank","100731","0","4","0","5",

