"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25073217760000","K2 America Corporation","Big Knife  1614 #2","Oil","P&A - Approved","Pondera","Wildcat Pondera","31N-6W","14",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-073-21776-00-00","10/31/2011 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","9/30/2011 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","8/31/2011 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","7/31/2011 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","6/30/2011 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","5/31/2011 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","4/30/2011 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","3/31/2011 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","2/28/2011 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","1/31/2011 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","12/31/2010 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","11/30/2010 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","10/31/2010 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","9/30/2010 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","8/31/2010 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","7/31/2010 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","6/30/2010 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","5/31/2010 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","4/30/2010 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","3/31/2010 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","2/28/2010 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","1/31/2010 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","12/31/2009 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","11/30/2009 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","10/31/2009 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","9/30/2009 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","8/31/2009 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","7/31/2009 12:00:00 AM","Madison","8235","0","0","0","0",
"25-073-21776-00-00","6/30/2009 12:00:00 AM","Madison","8235","0","0","0","0",

