API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-005-22098-00-00,7/31/2025 12:00:00 AM,Eagle,4119,0,67,0,15
25-005-22098-00-00,6/30/2025 12:00:00 AM,Eagle,4119,0,63,0,13
25-005-22098-00-00,5/31/2025 12:00:00 AM,Eagle,4119,0,65,0,14
25-005-22098-00-00,4/30/2025 12:00:00 AM,Eagle,4119,0,67,0,15
25-005-22098-00-00,3/31/2025 12:00:00 AM,Eagle,4119,0,70,0,16
25-005-22098-00-00,2/28/2025 12:00:00 AM,Eagle,4119,0,50,0,15
25-005-22098-00-00,1/31/2025 12:00:00 AM,Eagle,4119,0,77,0,19
25-005-22098-00-00,12/31/2024 12:00:00 AM,Eagle,4119,0,90,0,17
25-005-22098-00-00,11/30/2024 12:00:00 AM,Eagle,4119,0,75,0,14
25-005-22098-00-00,10/31/2024 12:00:00 AM,Eagle,4119,0,76,0,16
25-005-22098-00-00,9/30/2024 12:00:00 AM,Eagle,4119,0,75,0,17
25-005-22098-00-00,8/31/2024 12:00:00 AM,Eagle,4119,0,80,0,20
25-005-22098-00-00,7/31/2024 12:00:00 AM,Eagle,4119,0,75,0,25
25-005-22098-00-00,6/30/2024 12:00:00 AM,Eagle,4119,0,69,0,23
25-005-22098-00-00,5/31/2024 12:00:00 AM,Eagle,4119,0,72,0,23
25-005-22098-00-00,4/30/2024 12:00:00 AM,Eagle,4119,0,70,0,22
25-005-22098-00-00,3/31/2024 12:00:00 AM,Eagle,4119,0,79,0,22
25-005-22098-00-00,2/29/2024 12:00:00 AM,Eagle,4119,0,71,0,20
25-005-22098-00-00,1/31/2024 12:00:00 AM,Eagle,4119,0,71,0,22
25-005-22098-00-00,12/31/2023 12:00:00 AM,Eagle,4119,0,80,0,24
25-005-22098-00-00,11/30/2023 12:00:00 AM,Eagle,4119,0,70,0,21
25-005-22098-00-00,10/31/2023 12:00:00 AM,Eagle,4119,0,68,0,20
25-005-22098-00-00,9/30/2023 12:00:00 AM,Eagle,4119,0,61,0,18
25-005-22098-00-00,8/31/2023 12:00:00 AM,Eagle,4119,0,63,0,19
25-005-22098-00-00,7/31/2023 12:00:00 AM,Eagle,4119,0,64,0,19
25-005-22098-00-00,6/30/2023 12:00:00 AM,Eagle,4119,0,61,0,19
25-005-22098-00-00,5/31/2023 12:00:00 AM,Eagle,4119,0,62,0,19
25-005-22098-00-00,4/30/2023 12:00:00 AM,Eagle,4119,0,63,0,19
25-005-22098-00-00,3/31/2023 12:00:00 AM,Eagle,4119,0,80,0,19
25-005-22098-00-00,2/28/2023 12:00:00 AM,Eagle,4119,0,68,0,17
25-005-22098-00-00,1/31/2023 12:00:00 AM,Eagle,4119,0,71,0,17
25-005-22098-00-00,12/31/2022 12:00:00 AM,Eagle,4119,0,72,0,19
25-005-22098-00-00,11/30/2022 12:00:00 AM,Eagle,4119,0,77,0,17
25-005-22098-00-00,10/31/2022 12:00:00 AM,Eagle,4119,0,58,0,16
25-005-22098-00-00,9/30/2022 12:00:00 AM,Eagle,4119,0,56,0,16
25-005-22098-00-00,8/31/2022 12:00:00 AM,Eagle,4119,0,58,0,16
25-005-22098-00-00,7/31/2022 12:00:00 AM,Eagle,4119,0,62,0,18
25-005-22098-00-00,6/30/2022 12:00:00 AM,Eagle,4119,0,58,0,17
25-005-22098-00-00,5/31/2022 12:00:00 AM,Eagle,4119,0,60,0,17
25-005-22098-00-00,4/30/2022 12:00:00 AM,Eagle,4119,0,63,0,17
25-005-22098-00-00,3/31/2022 12:00:00 AM,Eagle,4119,0,65,0,18
25-005-22098-00-00,2/28/2022 12:00:00 AM,Eagle,4119,0,62,17,17
25-005-22098-00-00,1/31/2022 12:00:00 AM,Eagle,4119,0,70,19,19
25-005-22098-00-00,12/31/2021 12:00:00 AM,Eagle,4119,0,84,20,20
25-005-22098-00-00,11/30/2021 12:00:00 AM,Eagle,4119,0,72,18,18
25-005-22098-00-00,10/31/2021 12:00:00 AM,Eagle,4119,0,65,18,18
25-005-22098-00-00,9/30/2021 12:00:00 AM,Eagle,4119,0,63,18,18
25-005-22098-00-00,8/31/2021 12:00:00 AM,Eagle,4119,0,66,19,19
25-005-22098-00-00,7/31/2021 12:00:00 AM,Eagle,4119,0,81,22,22
25-005-22098-00-00,6/30/2021 12:00:00 AM,Eagle,4119,0,59,12,12
25-005-22098-00-00,5/31/2021 12:00:00 AM,Eagle,4119,0,92,17,17
25-005-22098-00-00,4/30/2021 12:00:00 AM,Eagle,4119,0,114,0,21
25-005-22098-00-00,3/31/2021 12:00:00 AM,Eagle,4119,0,121,0,21
25-005-22098-00-00,2/28/2021 12:00:00 AM,Eagle,4119,0,129,0,18
25-005-22098-00-00,1/31/2021 12:00:00 AM,Eagle,4119,0,134,0,21
25-005-22098-00-00,12/31/2020 12:00:00 AM,Eagle,4119,0,157,0,24
25-005-22098-00-00,11/30/2020 12:00:00 AM,Eagle,4119,0,167,0,25
25-005-22098-00-00,10/31/2020 12:00:00 AM,Eagle,4119,0,173,0,27
25-005-22098-00-00,9/30/2020 12:00:00 AM,Eagle,4119,0,186,0,29
25-005-22098-00-00,8/31/2020 12:00:00 AM,Eagle,4119,0,210,0,31
25-005-22098-00-00,7/31/2020 12:00:00 AM,Eagle,4119,0,214,0,31
25-005-22098-00-00,6/30/2020 12:00:00 AM,Eagle,4119,0,211,0,30
25-005-22098-00-00,5/31/2020 12:00:00 AM,Eagle,4119,0,225,0,31
25-005-22098-00-00,4/30/2020 12:00:00 AM,Eagle,4119,0,269,0,30
25-005-22098-00-00,3/31/2020 12:00:00 AM,Eagle,4119,0,272,0,30
25-005-22098-00-00,2/29/2020 12:00:00 AM,Eagle,4119,0,274,0,29
25-005-22098-00-00,1/31/2020 12:00:00 AM,Eagle,4119,0,277,0,28
25-005-22098-00-00,12/31/2019 12:00:00 AM,Eagle,4119,0,231,0,24
25-005-22098-00-00,11/30/2019 12:00:00 AM,Eagle,4119,0,285,0,28
25-005-22098-00-00,10/31/2019 12:00:00 AM,Eagle,4119,0,280,0,31
25-005-22098-00-00,9/30/2019 12:00:00 AM,Eagle,4119,0,264,0,30
25-005-22098-00-00,8/31/2019 12:00:00 AM,Eagle,4119,0,284,0,31
25-005-22098-00-00,7/31/2019 12:00:00 AM,Eagle,4119,0,303,0,31
25-005-22098-00-00,6/30/2019 12:00:00 AM,Eagle,4119,0,304,0,30
25-005-22098-00-00,5/31/2019 12:00:00 AM,Eagle,4119,0,304,0,31
25-005-22098-00-00,4/30/2019 12:00:00 AM,Eagle,4119,0,306,0,30
25-005-22098-00-00,3/31/2019 12:00:00 AM,Eagle,4119,0,394,0,30
25-005-22098-00-00,2/28/2019 12:00:00 AM,Eagle,4119,0,369,0,18
25-005-22098-00-00,1/31/2019 12:00:00 AM,Eagle,4119,0,421,0,31
25-005-22098-00-00,12/31/2018 12:00:00 AM,Eagle,4119,0,454,0,30
25-005-22098-00-00,11/30/2018 12:00:00 AM,Eagle,4119,0,392,0,29
25-005-22098-00-00,10/31/2018 12:00:00 AM,Eagle,4119,0,359,0,31
25-005-22098-00-00,9/30/2018 12:00:00 AM,Eagle,4119,0,319,0,29
25-005-22098-00-00,8/31/2018 12:00:00 AM,Eagle,4119,0,335,0,29
25-005-22098-00-00,7/31/2018 12:00:00 AM,Eagle,4119,0,330,0,29
25-005-22098-00-00,6/30/2018 12:00:00 AM,Eagle,4119,0,165,0,14
25-005-22098-00-00,5/31/2018 12:00:00 AM,Eagle,4119,0,285,0,26
25-005-22098-00-00,4/30/2018 12:00:00 AM,Eagle,4119,0,388,0,30
25-005-22098-00-00,3/31/2018 12:00:00 AM,Eagle,4119,0,157,0,11
25-005-22098-00-00,2/28/2018 12:00:00 AM,Eagle,4119,0,415,0,23
25-005-22098-00-00,1/31/2018 12:00:00 AM,Eagle,4119,0,487,0,31
25-005-22098-00-00,12/31/2017 12:00:00 AM,Eagle,4119,0,350,0,29
25-005-22098-00-00,11/30/2017 12:00:00 AM,Eagle,4119,0,426,0,30
25-005-22098-00-00,10/31/2017 12:00:00 AM,Eagle,4119,0,357,0,29
25-005-22098-00-00,9/30/2017 12:00:00 AM,Eagle,4119,0,369,0,30
25-005-22098-00-00,8/31/2017 12:00:00 AM,Eagle,4119,0,374,0,31
25-005-22098-00-00,7/31/2017 12:00:00 AM,Eagle,4119,0,343,0,30
25-005-22098-00-00,6/30/2017 12:00:00 AM,Eagle,4119,0,327,0,28
25-005-22098-00-00,5/31/2017 12:00:00 AM,Eagle,4119,0,379,0,31
25-005-22098-00-00,4/30/2017 12:00:00 AM,Eagle,4119,0,382,0,30
25-005-22098-00-00,3/31/2017 12:00:00 AM,Eagle,4119,0,409,0,30
25-005-22098-00-00,2/28/2017 12:00:00 AM,Eagle,4119,0,515,0,24
25-005-22098-00-00,1/31/2017 12:00:00 AM,Eagle,4119,0,830,0,27
25-005-22098-00-00,12/31/2016 12:00:00 AM,Eagle,4119,0,397,0,26
25-005-22098-00-00,11/30/2016 12:00:00 AM,Eagle,4119,0,385,0,30
25-005-22098-00-00,10/31/2016 12:00:00 AM,Eagle,4119,0,389,0,31
25-005-22098-00-00,9/30/2016 12:00:00 AM,Eagle,4119,0,377,0,30
