API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-22472-00-00,7/31/2025 12:00:00 AM,Bakken,10264,481,281,121,31
25-083-22472-00-00,6/30/2025 12:00:00 AM,Bakken,10264,505,278,54,30
25-083-22472-00-00,5/31/2025 12:00:00 AM,Bakken,10264,391,196,79,22
25-083-22472-00-00,4/30/2025 12:00:00 AM,Bakken,10264,477,262,67,30
25-083-22472-00-00,3/31/2025 12:00:00 AM,Bakken,10264,373,135,86,27
25-083-22472-00-00,2/28/2025 12:00:00 AM,Bakken,10264,340,94,109,28
25-083-22472-00-00,1/31/2025 12:00:00 AM,Bakken,10264,385,87,124,31
25-083-22472-00-00,12/31/2024 12:00:00 AM,Bakken,10264,387,98,125,31
25-083-22472-00-00,11/30/2024 12:00:00 AM,Bakken,10264,371,109,140,30
25-083-22472-00-00,10/31/2024 12:00:00 AM,Bakken,10264,376,115,197,31
25-083-22472-00-00,9/30/2024 12:00:00 AM,Bakken,10264,406,114,298,30
25-083-22472-00-00,8/31/2024 12:00:00 AM,Bakken,10264,445,170,214,31
25-083-22472-00-00,7/31/2024 12:00:00 AM,Bakken,10264,427,188,90,31
25-083-22472-00-00,6/30/2024 12:00:00 AM,Bakken,10264,390,194,110,30
25-083-22472-00-00,5/31/2024 12:00:00 AM,Bakken,10264,417,194,72,31
25-083-22472-00-00,4/30/2024 12:00:00 AM,Bakken,10264,401,190,77,30
25-083-22472-00-00,3/31/2024 12:00:00 AM,Bakken,10264,450,190,74,31
25-083-22472-00-00,2/29/2024 12:00:00 AM,Bakken,10264,410,179,66,29
25-083-22472-00-00,1/31/2024 12:00:00 AM,Bakken,10264,448,197,79,31
25-083-22472-00-00,12/31/2023 12:00:00 AM,Bakken,10264,436,219,70,31
25-083-22472-00-00,11/30/2023 12:00:00 AM,Bakken,10264,409,290,61,30
25-083-22472-00-00,10/31/2023 12:00:00 AM,Bakken,10264,415,298,64,31
