API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-23431-00-00,7/31/2025 12:00:00 AM,Bakken,8989,248,329,678,3
25-083-23431-00-00,6/30/2025 12:00:00 AM,Bakken,8989,0,0,0,0
25-083-23431-00-00,5/31/2025 12:00:00 AM,Bakken,8989,2130,4343,6129,17
25-083-23431-00-00,4/30/2025 12:00:00 AM,Bakken,8989,4282,6732,8976,29
25-083-23431-00-00,3/31/2025 12:00:00 AM,Bakken,8989,4573,7182,10697,29
25-083-23431-00-00,2/28/2025 12:00:00 AM,Bakken,8989,5852,8985,12228,26
25-083-23431-00-00,1/31/2025 12:00:00 AM,Bakken,8989,5513,6243,12651,26
25-083-23431-00-00,12/31/2024 12:00:00 AM,Bakken,8989,10219,11297,17730,31
25-083-23431-00-00,11/30/2024 12:00:00 AM,Bakken,8989,9951,7909,19822,30
25-083-23431-00-00,10/31/2024 12:00:00 AM,Bakken,8989,9282,6594,24220,31
25-083-23431-00-00,9/30/2024 12:00:00 AM,Bakken,8989,8564,5963,24505,27
25-083-23431-00-00,8/31/2024 12:00:00 AM,Bakken,8989,6461,6470,29476,29
25-083-23431-00-00,7/31/2024 12:00:00 AM,Bakken,8989,8158,8483,35892,31
25-083-23431-00-00,6/30/2024 12:00:00 AM,Bakken,8989,6401,6046,24178,21
25-083-23431-00-00,5/31/2024 12:00:00 AM,Bakken,8989,4404,3644,14678,24
25-083-23431-00-00,4/30/2024 12:00:00 AM,Bakken,8989,6066,6008,19121,27
25-083-23431-00-00,3/31/2024 12:00:00 AM,Bakken,8989,9315,6735,24724,31
25-083-23431-00-00,2/29/2024 12:00:00 AM,Bakken,8989,12101,8452,34109,29
25-083-23431-00-00,1/31/2024 12:00:00 AM,Bakken,8989,5142,3341,12119,17
