API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-065-21115-00-00,5/31/1992 12:00:00 AM,Tyler,1202,0,0,0,0
25-065-21115-00-00,4/30/1992 12:00:00 AM,Tyler,1202,0,0,0,0
25-065-21115-00-00,3/31/1992 12:00:00 AM,Tyler,1202,0,0,0,0
25-065-21115-00-00,2/29/1992 12:00:00 AM,Tyler,1202,0,0,0,0
25-065-21115-00-00,1/31/1992 12:00:00 AM,Tyler,1202,0,0,0,0
25-065-21115-00-00,12/31/1991 12:00:00 AM,Tyler,1202,0,0,0,0
25-065-21115-00-00,11/30/1991 12:00:00 AM,Tyler,1202,0,0,0,0
25-065-21115-00-00,10/31/1991 12:00:00 AM,Tyler,1202,0,0,0,0
25-065-21115-00-00,9/30/1991 12:00:00 AM,Tyler,1202,0,0,0,0
25-065-21115-00-00,8/31/1991 12:00:00 AM,Tyler,1202,0,0,0,0
25-065-21115-00-00,7/31/1991 12:00:00 AM,Tyler,1202,0,0,0,0
25-065-21115-00-00,6/30/1991 12:00:00 AM,Tyler,1202,0,0,0,0
25-065-21115-00-00,5/31/1991 12:00:00 AM,Tyler,1202,0,0,0,0
25-065-21115-00-00,4/30/1991 12:00:00 AM,Tyler,1202,0,0,0,0
25-065-21115-00-00,3/31/1991 12:00:00 AM,Tyler,1202,0,0,0,0
25-065-21115-00-00,2/28/1991 12:00:00 AM,Tyler,1202,0,0,0,0
25-065-21115-00-00,1/31/1991 12:00:00 AM,Tyler,1202,4,0,1014,4
25-065-21115-00-00,12/31/1990 12:00:00 AM,Tyler,1202,34,3,2227,13
25-065-21115-00-00,11/30/1989 12:00:00 AM,Tyler,1202,0,0,11855,23
25-065-21115-00-00,10/31/1989 12:00:00 AM,Tyler,1202,0,0,13504,31
25-065-21115-00-00,9/30/1989 12:00:00 AM,Tyler,1202,0,0,12977,30
25-065-21115-00-00,4/30/1988 12:00:00 AM,Tyler,1202,17,1,4337,14
25-065-21115-00-00,3/31/1988 12:00:00 AM,Tyler,1202,82,7,12416,31
25-065-21115-00-00,2/29/1988 12:00:00 AM,Tyler,1202,18,1,10082,29
25-065-21115-00-00,1/31/1988 12:00:00 AM,Tyler,1202,60,5,10872,31
25-065-21115-00-00,12/31/1987 12:00:00 AM,Tyler,1202,31,2,10111,31
25-065-21115-00-00,11/30/1987 12:00:00 AM,Tyler,1202,30,2,9341,30
25-065-21115-00-00,10/31/1987 12:00:00 AM,Tyler,1202,310,25,11407,31
25-065-21115-00-00,9/30/1987 12:00:00 AM,Tyler,1202,88,7,9735,30
25-065-21115-00-00,8/31/1987 12:00:00 AM,Tyler,1202,153,12,11210,31
25-065-21115-00-00,7/31/1987 12:00:00 AM,Tyler,1202,128,10,10041,31
25-065-21115-00-00,6/30/1987 12:00:00 AM,Tyler,1202,181,11,10417,30
25-065-21115-00-00,5/31/1987 12:00:00 AM,Tyler,1202,120,10,10483,31
25-065-21115-00-00,4/30/1987 12:00:00 AM,Tyler,1202,148,12,10126,30
25-065-21115-00-00,3/31/1987 12:00:00 AM,Tyler,1202,91,7,1613,31
25-065-21115-00-00,2/28/1987 12:00:00 AM,Tyler,1202,78,6,9956,27
25-065-21115-00-00,1/31/1987 12:00:00 AM,Tyler,1202,99,8,11003,31
25-065-21115-00-00,12/31/1986 12:00:00 AM,Tyler,1202,97,8,11305,31
25-065-21115-00-00,11/30/1986 12:00:00 AM,Tyler,1202,87,7,11371,30
25-065-21115-00-00,10/31/1986 12:00:00 AM,Tyler,1202,94,5,10980,31
25-065-21115-00-00,9/30/1986 12:00:00 AM,Tyler,1202,97,8,8940,30
25-065-21115-00-00,8/31/1986 12:00:00 AM,Tyler,1202,106,8,9673,31
25-065-21115-00-00,7/31/1986 12:00:00 AM,Tyler,1202,94,8,8580,30
25-065-21115-00-00,6/30/1986 12:00:00 AM,Tyler,1202,148,12,9023,30
25-065-21115-00-00,5/31/1986 12:00:00 AM,Tyler,1202,129,10,9682,31
25-065-21115-00-00,4/30/1986 12:00:00 AM,Tyler,1202,93,7,9301,30
25-065-21115-00-00,3/31/1986 12:00:00 AM,Tyler,1202,147,12,8884,31
25-065-21115-00-00,2/28/1986 12:00:00 AM,Tyler,1202,155,12,7994,28
25-065-21115-00-00,1/31/1986 12:00:00 AM,Tyler,1202,160,13,9599,31
