API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-101-22263-00-00,12/31/1993 12:00:00 AM,Sunburst,141,0,0,0,0
25-101-22263-00-00,11/30/1993 12:00:00 AM,Sunburst,141,0,0,0,0
25-101-22263-00-00,10/31/1993 12:00:00 AM,Sunburst,141,0,0,0,0
25-101-22263-00-00,9/30/1993 12:00:00 AM,Sunburst,141,0,404,0,30
25-101-22263-00-00,8/31/1993 12:00:00 AM,Sunburst,141,0,460,0,31
25-101-22263-00-00,7/31/1993 12:00:00 AM,Sunburst,141,0,468,0,31
25-101-22263-00-00,6/30/1993 12:00:00 AM,Sunburst,141,0,441,0,30
25-101-22263-00-00,5/31/1993 12:00:00 AM,Sunburst,141,0,452,0,31
25-101-22263-00-00,4/30/1993 12:00:00 AM,Sunburst,141,0,409,0,30
25-101-22263-00-00,3/31/1993 12:00:00 AM,Sunburst,141,0,408,0,31
25-101-22263-00-00,2/28/1993 12:00:00 AM,Sunburst,141,0,441,0,28
25-101-22263-00-00,1/31/1993 12:00:00 AM,Sunburst,141,0,468,0,31
25-101-22263-00-00,12/31/1992 12:00:00 AM,Sunburst,141,0,393,0,31
25-101-22263-00-00,11/30/1992 12:00:00 AM,Sunburst,141,0,527,0,30
25-101-22263-00-00,10/31/1992 12:00:00 AM,Sunburst,141,0,630,0,31
25-101-22263-00-00,9/30/1992 12:00:00 AM,Sunburst,141,0,336,0,30
25-101-22263-00-00,8/31/1992 12:00:00 AM,Sunburst,141,0,400,0,31
25-101-22263-00-00,7/31/1992 12:00:00 AM,Sunburst,141,0,277,0,31
25-101-22263-00-00,6/30/1992 12:00:00 AM,Sunburst,141,0,233,0,30
25-101-22263-00-00,5/31/1992 12:00:00 AM,Sunburst,141,0,353,0,31
25-101-22263-00-00,4/30/1992 12:00:00 AM,Sunburst,141,0,396,0,30
25-101-22263-00-00,3/31/1992 12:00:00 AM,Sunburst,141,0,336,0,31
25-101-22263-00-00,2/29/1992 12:00:00 AM,Sunburst,141,0,408,0,29
25-101-22263-00-00,1/31/1992 12:00:00 AM,Sunburst,141,0,663,0,31
25-101-22263-00-00,12/31/1991 12:00:00 AM,Sunburst,141,0,431,0,31
25-101-22263-00-00,11/30/1991 12:00:00 AM,Sunburst,141,0,965,0,30
25-101-22263-00-00,10/31/1991 12:00:00 AM,Sunburst,141,0,1219,0,31
25-101-22263-00-00,9/30/1991 12:00:00 AM,Sunburst,141,0,1360,0,30
25-101-22263-00-00,8/31/1991 12:00:00 AM,Sunburst,141,0,419,0,31
25-101-22263-00-00,7/31/1991 12:00:00 AM,Sunburst,141,0,526,0,31
25-101-22263-00-00,6/30/1991 12:00:00 AM,Sunburst,141,0,419,0,30
25-101-22263-00-00,5/31/1991 12:00:00 AM,Sunburst,141,0,808,0,31
25-101-22263-00-00,4/30/1991 12:00:00 AM,Sunburst,141,0,199,0,30
25-101-22263-00-00,3/31/1991 12:00:00 AM,Sunburst,141,0,1336,0,31
25-101-22263-00-00,2/28/1991 12:00:00 AM,Sunburst,141,0,1290,0,28
25-101-22263-00-00,1/31/1991 12:00:00 AM,Sunburst,141,0,1450,0,31
25-101-22263-00-00,12/31/1990 12:00:00 AM,Sunburst,141,0,1302,0,31
25-101-22263-00-00,11/30/1990 12:00:00 AM,Sunburst,141,0,1257,0,30
25-101-22263-00-00,10/31/1990 12:00:00 AM,Sunburst,141,0,1686,0,31
25-101-22263-00-00,9/30/1990 12:00:00 AM,Sunburst,141,0,1067,0,30
25-101-22263-00-00,8/31/1990 12:00:00 AM,Sunburst,141,0,185,0,31
25-101-22263-00-00,7/31/1990 12:00:00 AM,Sunburst,141,0,172,0,31
25-101-22263-00-00,6/30/1990 12:00:00 AM,Sunburst,141,0,162,0,0
25-101-22263-00-00,5/31/1990 12:00:00 AM,Sunburst,141,0,159,0,31
25-101-22263-00-00,4/30/1990 12:00:00 AM,Bow Island,141,0,131,0,30
25-101-22263-00-00,3/31/1990 12:00:00 AM,Bow Island,141,0,274,0,31
25-101-22263-00-00,2/28/1990 12:00:00 AM,Bow Island,141,0,279,0,28
25-101-22263-00-00,1/31/1990 12:00:00 AM,Bow Island,141,0,454,0,30
25-101-22263-00-00,12/31/1989 12:00:00 AM,Bow Island,141,0,437,0,31
25-101-22263-00-00,11/30/1989 12:00:00 AM,Bow Island,141,0,629,0,30
25-101-22263-00-00,10/31/1989 12:00:00 AM,Bow Island,141,0,809,0,31
25-101-22263-00-00,9/30/1989 12:00:00 AM,Bow Island,141,0,513,0,30
25-101-22263-00-00,8/31/1989 12:00:00 AM,Bow Island,141,0,277,0,31
25-101-22263-00-00,7/31/1989 12:00:00 AM,Bow Island,141,0,251,0,31
25-101-22263-00-00,6/30/1989 12:00:00 AM,Bow Island,141,0,207,0,30
25-101-22263-00-00,5/31/1989 12:00:00 AM,Bow Island,141,0,165,0,31
25-101-22263-00-00,4/30/1989 12:00:00 AM,Bow Island,141,0,9,0,30
25-101-22263-00-00,3/31/1989 12:00:00 AM,Bow Island,141,0,534,0,31
25-101-22263-00-00,2/28/1989 12:00:00 AM,Bow Island,141,0,395,0,28
25-101-22263-00-00,1/31/1989 12:00:00 AM,Sunburst,141,0,377,0,31
25-101-22263-00-00,1/31/1989 12:00:00 AM,Bow Island,141,0,377,0,31
25-101-22263-00-00,12/31/1988 12:00:00 AM,Sunburst,141,0,434,0,31
25-101-22263-00-00,12/31/1988 12:00:00 AM,Bow Island,141,0,434,0,31
25-101-22263-00-00,11/30/1988 12:00:00 AM,Sunburst,141,0,434,0,30
25-101-22263-00-00,11/30/1988 12:00:00 AM,Bow Island,141,0,434,0,0
25-101-22263-00-00,10/31/1988 12:00:00 AM,Sunburst,141,0,290,0,31
25-101-22263-00-00,10/31/1988 12:00:00 AM,Bow Island,141,0,290,0,31
25-101-22263-00-00,9/30/1988 12:00:00 AM,Sunburst,141,0,277,0,30
25-101-22263-00-00,9/30/1988 12:00:00 AM,Bow Island,141,0,277,0,30
25-101-22263-00-00,8/31/1988 12:00:00 AM,Sunburst,141,0,351,0,31
25-101-22263-00-00,8/31/1988 12:00:00 AM,Bow Island,141,0,351,0,31
25-101-22263-00-00,7/31/1988 12:00:00 AM,Sunburst,141,0,308,0,31
25-101-22263-00-00,7/31/1988 12:00:00 AM,Bow Island,141,0,308,0,31
25-101-22263-00-00,6/30/1988 12:00:00 AM,Sunburst,141,0,277,0,31
25-101-22263-00-00,5/31/1988 12:00:00 AM,Sunburst,141,0,206,0,31
25-101-22263-00-00,4/30/1988 12:00:00 AM,Sunburst,141,0,98,0,30
25-101-22263-00-00,3/31/1988 12:00:00 AM,Sunburst,141,0,276,0,31
25-101-22263-00-00,2/29/1988 12:00:00 AM,Sunburst,141,0,258,0,29
25-101-22263-00-00,1/31/1988 12:00:00 AM,Sunburst,141,0,418,0,31
25-101-22263-00-00,1/31/1988 12:00:00 AM,Bow Island,141,0,418,0,31
25-101-22263-00-00,12/31/1987 12:00:00 AM,Sunburst,141,0,597,0,31
25-101-22263-00-00,12/31/1987 12:00:00 AM,Bow Island,141,0,597,0,31
25-101-22263-00-00,11/30/1987 12:00:00 AM,Sunburst,141,0,559,0,30
25-101-22263-00-00,11/30/1987 12:00:00 AM,Bow Island,141,0,559,0,30
25-101-22263-00-00,10/31/1987 12:00:00 AM,Sunburst,141,0,361,0,31
25-101-22263-00-00,10/31/1987 12:00:00 AM,Bow Island,141,0,361,0,31
25-101-22263-00-00,9/30/1987 12:00:00 AM,Bow Island,141,0,342,0,30
25-101-22263-00-00,9/30/1987 12:00:00 AM,Sunburst,141,0,342,0,30
25-101-22263-00-00,8/31/1987 12:00:00 AM,Sunburst,141,0,373,0,31
25-101-22263-00-00,8/31/1987 12:00:00 AM,Bow Island,141,0,373,0,31
25-101-22263-00-00,7/31/1987 12:00:00 AM,Sunburst,141,0,373,0,31
25-101-22263-00-00,7/31/1987 12:00:00 AM,Bow Island,141,0,373,0,31
25-101-22263-00-00,6/30/1987 12:00:00 AM,Sunburst,141,0,319,0,30
25-101-22263-00-00,6/30/1987 12:00:00 AM,Bow Island,141,0,319,0,30
25-101-22263-00-00,5/31/1987 12:00:00 AM,Sunburst,141,0,322,0,31
25-101-22263-00-00,5/31/1987 12:00:00 AM,Bow Island,141,0,322,0,31
25-101-22263-00-00,4/30/1987 12:00:00 AM,Sunburst,141,0,160,0,30
25-101-22263-00-00,4/30/1987 12:00:00 AM,Bow Island,141,0,160,0,30
25-101-22263-00-00,3/31/1987 12:00:00 AM,Sunburst,141,0,425,0,31
25-101-22263-00-00,3/31/1987 12:00:00 AM,Bow Island,141,0,425,0,31
25-101-22263-00-00,2/28/1987 12:00:00 AM,Sunburst,141,0,520,0,28
25-101-22263-00-00,2/28/1987 12:00:00 AM,Bow Island,141,0,520,0,28
25-101-22263-00-00,1/31/1987 12:00:00 AM,Sunburst,141,0,721,0,0
25-101-22263-00-00,1/31/1987 12:00:00 AM,Bow Island,141,0,721,0,31
25-101-22263-00-00,12/31/1986 12:00:00 AM,Sunburst,141,0,205,0,31
25-101-22263-00-00,11/30/1986 12:00:00 AM,Sunburst,141,0,657,0,30
25-101-22263-00-00,10/31/1986 12:00:00 AM,Sunburst,141,0,840,0,31
25-101-22263-00-00,9/30/1986 12:00:00 AM,Sunburst,141,0,64,0,3
25-101-22263-00-00,8/31/1986 12:00:00 AM,Sunburst,141,0,17,0,0
25-101-22263-00-00,7/31/1986 12:00:00 AM,Sunburst,141,0,121,0,31
25-101-22263-00-00,6/30/1986 12:00:00 AM,Sunburst,141,0,84,0,30
25-101-22263-00-00,5/31/1986 12:00:00 AM,Sunburst,141,0,205,0,31
25-101-22263-00-00,4/30/1986 12:00:00 AM,Sunburst,141,0,111,0,30
25-101-22263-00-00,3/31/1986 12:00:00 AM,Sunburst,141,0,149,0,31
25-101-22263-00-00,2/28/1986 12:00:00 AM,Sunburst,141,0,221,0,28
25-101-22263-00-00,1/31/1986 12:00:00 AM,Sunburst,141,0,316,0,31
