API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-025-21985-00-00,7/31/2025 12:00:00 AM,Eagle,6085,0,221,10,31
25-025-21985-00-00,6/30/2025 12:00:00 AM,Eagle,6085,0,206,10,30
25-025-21985-00-00,5/31/2025 12:00:00 AM,Eagle,6085,0,236,1,31
25-025-21985-00-00,4/30/2025 12:00:00 AM,Eagle,6085,0,230,0,30
25-025-21985-00-00,3/31/2025 12:00:00 AM,Eagle,6085,0,226,0,31
25-025-21985-00-00,2/28/2025 12:00:00 AM,Eagle,6085,0,183,0,28
25-025-21985-00-00,1/31/2025 12:00:00 AM,Eagle,6085,0,225,0,31
25-025-21985-00-00,12/31/2024 12:00:00 AM,Eagle,6085,0,221,0,31
25-025-21985-00-00,11/30/2024 12:00:00 AM,Eagle,6085,0,241,0,30
25-025-21985-00-00,10/31/2024 12:00:00 AM,Eagle,6085,0,247,9,31
25-025-21985-00-00,9/30/2024 12:00:00 AM,Eagle,6085,0,238,1,30
25-025-21985-00-00,8/31/2024 12:00:00 AM,Eagle,6085,0,234,9,31
25-025-21985-00-00,7/31/2024 12:00:00 AM,Eagle,6085,0,228,0,31
25-025-21985-00-00,6/30/2024 12:00:00 AM,Eagle,6085,0,222,9,30
25-025-21985-00-00,5/31/2024 12:00:00 AM,Eagle,6085,0,232,9,31
25-025-21985-00-00,4/30/2024 12:00:00 AM,Eagle,6085,0,224,9,30
25-025-21985-00-00,3/31/2024 12:00:00 AM,Eagle,6085,0,195,9,31
25-025-21985-00-00,2/29/2024 12:00:00 AM,Eagle,6085,0,199,8,29
25-025-21985-00-00,1/31/2024 12:00:00 AM,Eagle,6085,0,184,9,31
25-025-21985-00-00,12/31/2023 12:00:00 AM,Eagle,6085,0,234,1,31
25-025-21985-00-00,11/30/2023 12:00:00 AM,Eagle,6085,0,221,9,30
25-025-21985-00-00,10/31/2023 12:00:00 AM,Eagle,6085,0,220,0,31
25-025-21985-00-00,9/30/2023 12:00:00 AM,Eagle,6085,0,225,0,30
25-025-21985-00-00,8/31/2023 12:00:00 AM,Eagle,6085,0,232,9,31
25-025-21985-00-00,7/31/2023 12:00:00 AM,Eagle,6085,0,231,9,31
25-025-21985-00-00,6/30/2023 12:00:00 AM,Eagle,6085,0,222,9,30
