API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-025-22403-00-00,7/31/2025 12:00:00 AM,Eagle,6933,0,141,4,31
25-025-22403-00-00,6/30/2025 12:00:00 AM,Eagle,6933,0,139,4,30
25-025-22403-00-00,5/31/2025 12:00:00 AM,Eagle,6933,0,130,0,31
25-025-22403-00-00,4/30/2025 12:00:00 AM,Eagle,6933,0,120,0,30
25-025-22403-00-00,3/31/2025 12:00:00 AM,Eagle,6933,0,62,0,31
25-025-22403-00-00,2/28/2025 12:00:00 AM,Eagle,6933,0,113,0,28
25-025-22403-00-00,1/31/2025 12:00:00 AM,Eagle,6933,0,126,0,31
25-025-22403-00-00,12/31/2024 12:00:00 AM,Eagle,6933,0,127,0,31
25-025-22403-00-00,11/30/2024 12:00:00 AM,Eagle,6933,0,129,0,30
25-025-22403-00-00,10/31/2024 12:00:00 AM,Eagle,6933,0,145,4,31
25-025-22403-00-00,9/30/2024 12:00:00 AM,Eagle,6933,0,134,3,30
25-025-22403-00-00,8/31/2024 12:00:00 AM,Eagle,6933,0,144,4,31
25-025-22403-00-00,7/31/2024 12:00:00 AM,Eagle,6933,0,146,3,31
25-025-22403-00-00,6/30/2024 12:00:00 AM,Eagle,6933,0,142,4,30
25-025-22403-00-00,5/31/2024 12:00:00 AM,Eagle,6933,0,153,4,31
25-025-22403-00-00,4/30/2024 12:00:00 AM,Eagle,6933,0,133,4,30
25-025-22403-00-00,3/31/2024 12:00:00 AM,Eagle,6933,0,161,4,31
25-025-22403-00-00,2/29/2024 12:00:00 AM,Eagle,6933,0,132,4,29
25-025-22403-00-00,1/31/2024 12:00:00 AM,Eagle,6933,0,179,4,31
25-025-22403-00-00,12/31/2023 12:00:00 AM,Eagle,6933,0,141,4,31
25-025-22403-00-00,11/30/2023 12:00:00 AM,Eagle,6933,0,146,4,30
25-025-22403-00-00,10/31/2023 12:00:00 AM,Eagle,6933,0,156,3,31
25-025-22403-00-00,9/30/2023 12:00:00 AM,Eagle,6933,0,155,4,30
25-025-22403-00-00,8/31/2023 12:00:00 AM,Eagle,6933,0,154,4,31
25-025-22403-00-00,7/31/2023 12:00:00 AM,Eagle,6933,0,155,4,31
25-025-22403-00-00,6/30/2023 12:00:00 AM,Eagle,6933,0,158,4,30
25-025-22403-00-00,5/31/2023 12:00:00 AM,Eagle,6933,0,164,4,31
25-025-22403-00-00,4/30/2023 12:00:00 AM,Eagle,6933,0,157,4,30
25-025-22403-00-00,3/31/2023 12:00:00 AM,Eagle,6933,0,155,4,31
25-025-22403-00-00,2/28/2023 12:00:00 AM,Eagle,6933,0,137,4,28
25-025-22403-00-00,1/31/2023 12:00:00 AM,Eagle,6933,0,161,4,31
25-025-22403-00-00,12/31/2022 12:00:00 AM,Eagle,6933,0,148,4,31
25-025-22403-00-00,11/30/2022 12:00:00 AM,Eagle,6933,0,151,4,30
25-025-22403-00-00,10/31/2022 12:00:00 AM,Eagle,6933,0,167,4,31
25-025-22403-00-00,9/30/2022 12:00:00 AM,Eagle,6933,0,169,3,30
25-025-22403-00-00,8/31/2022 12:00:00 AM,Eagle,6933,0,172,2,31
25-025-22403-00-00,7/31/2022 12:00:00 AM,Eagle,6933,0,0,2,31
25-025-22403-00-00,6/30/2022 12:00:00 AM,Eagle,6933,0,137,2,30
25-025-22403-00-00,5/31/2022 12:00:00 AM,Eagle,6933,0,176,2,31
25-025-22403-00-00,4/30/2022 12:00:00 AM,Eagle,6933,0,166,2,30
25-025-22403-00-00,3/31/2022 12:00:00 AM,Eagle,6933,0,169,2,31
25-025-22403-00-00,2/28/2022 12:00:00 AM,Eagle,6933,0,151,2,28
25-025-22403-00-00,1/31/2022 12:00:00 AM,Eagle,6933,0,168,2,31
25-025-22403-00-00,12/31/2021 12:00:00 AM,Eagle,6933,0,168,2,31
25-025-22403-00-00,11/30/2021 12:00:00 AM,Eagle,6933,0,163,2,30
25-025-22403-00-00,10/31/2021 12:00:00 AM,Eagle,6933,0,180,2,31
25-025-22403-00-00,9/30/2021 12:00:00 AM,Eagle,6933,0,197,2,30
25-025-22403-00-00,8/31/2021 12:00:00 AM,Eagle,6933,0,198,2,31
25-025-22403-00-00,7/31/2021 12:00:00 AM,Eagle,6933,0,161,2,31
25-025-22403-00-00,6/30/2021 12:00:00 AM,Eagle,6933,0,174,2,30
25-025-22403-00-00,5/31/2021 12:00:00 AM,Eagle,6933,0,176,2,31
25-025-22403-00-00,4/30/2021 12:00:00 AM,Eagle,6933,0,176,2,30
25-025-22403-00-00,3/31/2021 12:00:00 AM,Eagle,6933,0,178,2,31
25-025-22403-00-00,2/28/2021 12:00:00 AM,Eagle,6933,0,165,2,28
25-025-22403-00-00,1/31/2021 12:00:00 AM,Eagle,6933,0,184,2,31
25-025-22403-00-00,12/31/2020 12:00:00 AM,Eagle,6933,0,191,2,31
25-025-22403-00-00,11/30/2020 12:00:00 AM,Eagle,6933,0,180,2,30
25-025-22403-00-00,10/31/2020 12:00:00 AM,Eagle,6933,0,190,2,31
25-025-22403-00-00,9/30/2020 12:00:00 AM,Eagle,6933,0,191,2,30
25-025-22403-00-00,8/31/2020 12:00:00 AM,Eagle,6933,0,199,2,31
25-025-22403-00-00,7/31/2020 12:00:00 AM,Eagle,6933,0,39,2,31
25-025-22403-00-00,6/30/2020 12:00:00 AM,Eagle,6933,0,194,2,30
25-025-22403-00-00,5/31/2020 12:00:00 AM,Eagle,6933,0,203,2,31
25-025-22403-00-00,4/30/2020 12:00:00 AM,Eagle,6933,0,195,2,30
25-025-22403-00-00,3/31/2020 12:00:00 AM,Eagle,6933,0,196,2,31
25-025-22403-00-00,2/29/2020 12:00:00 AM,Eagle,6933,0,192,2,29
25-025-22403-00-00,1/31/2020 12:00:00 AM,Eagle,6933,0,199,2,31
25-025-22403-00-00,12/31/2019 12:00:00 AM,Eagle,6933,0,207,2,31
25-025-22403-00-00,11/30/2019 12:00:00 AM,Eagle,6933,0,204,2,30
25-025-22403-00-00,10/31/2019 12:00:00 AM,Eagle,6933,0,222,2,31
25-025-22403-00-00,9/30/2019 12:00:00 AM,Eagle,6933,0,208,2,30
25-025-22403-00-00,8/31/2019 12:00:00 AM,Eagle,6933,0,223,2,31
25-025-22403-00-00,7/31/2019 12:00:00 AM,Eagle,6933,0,225,2,31
25-025-22403-00-00,6/30/2019 12:00:00 AM,Eagle,6933,0,230,0,30
25-025-22403-00-00,5/31/2019 12:00:00 AM,Eagle,6933,0,240,0,31
25-025-22403-00-00,4/30/2019 12:00:00 AM,Eagle,6933,0,237,0,30
25-025-22403-00-00,3/31/2019 12:00:00 AM,Eagle,6933,0,244,1,31
25-025-22403-00-00,2/28/2019 12:00:00 AM,Eagle,6933,0,217,2,28
25-025-22403-00-00,1/31/2019 12:00:00 AM,Eagle,6933,0,239,2,31
25-025-22403-00-00,12/31/2018 12:00:00 AM,Eagle,6933,0,246,2,31
25-025-22403-00-00,11/30/2018 12:00:00 AM,Eagle,6933,0,243,2,30
25-025-22403-00-00,10/31/2018 12:00:00 AM,Eagle,6933,0,251,2,31
25-025-22403-00-00,9/30/2018 12:00:00 AM,Eagle,6933,0,252,2,30
