API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-22421-00-00,1/31/2017 12:00:00 AM,Red River,7406,0,0,0,29
25-083-22421-00-00,12/31/2016 12:00:00 AM,Red River,7406,0,216,0,31
25-083-22421-00-00,11/30/2016 12:00:00 AM,Red River,7406,0,209,0,30
25-083-22421-00-00,10/31/2016 12:00:00 AM,Red River,7406,0,216,0,31
25-083-22421-00-00,9/30/2016 12:00:00 AM,Red River,7406,0,209,0,30
25-083-22421-00-00,8/31/2016 12:00:00 AM,Red River,7406,0,216,0,31
25-083-22421-00-00,7/31/2016 12:00:00 AM,Red River,7406,0,216,0,31
25-083-22421-00-00,6/30/2016 12:00:00 AM,Red River,7406,0,209,0,30
25-083-22421-00-00,5/31/2016 12:00:00 AM,Red River,7406,0,216,0,31
25-083-22421-00-00,4/30/2016 12:00:00 AM,Red River,7406,0,0,0,0
25-083-22421-00-00,3/31/2016 12:00:00 AM,Red River,7406,0,0,0,0
25-083-22421-00-00,2/29/2016 12:00:00 AM,Red River,7406,20,0,54,3
25-083-22421-00-00,1/31/2016 12:00:00 AM,Red River,7406,0,0,0,0
25-083-22421-00-00,12/31/2015 12:00:00 AM,Red River,7406,85,0,542,18
25-083-22421-00-00,11/30/2015 12:00:00 AM,Red River,7406,151,0,952,30
25-083-22421-00-00,10/31/2015 12:00:00 AM,Red River,7406,173,0,909,31
25-083-22421-00-00,9/30/2015 12:00:00 AM,Red River,7406,171,0,820,30
25-083-22421-00-00,8/31/2015 12:00:00 AM,Red River,7406,171,216,946,30
25-083-22421-00-00,7/31/2015 12:00:00 AM,Red River,7406,164,0,1001,31
25-083-22421-00-00,6/30/2015 12:00:00 AM,Red River,7406,188,0,954,30
25-083-22421-00-00,5/31/2015 12:00:00 AM,Red River,7406,185,0,922,31
25-083-22421-00-00,4/30/2015 12:00:00 AM,Red River,7406,199,0,901,30
25-083-22421-00-00,3/31/2015 12:00:00 AM,Red River,7406,197,0,930,31
25-083-22421-00-00,2/28/2015 12:00:00 AM,Red River,7406,177,0,850,28
25-083-22421-00-00,1/31/2015 12:00:00 AM,Red River,7406,203,0,854,31
25-083-22421-00-00,12/31/2014 12:00:00 AM,Red River,7406,214,0,944,31
25-083-22421-00-00,11/30/2014 12:00:00 AM,Red River,7406,184,0,863,26
25-083-22421-00-00,10/31/2014 12:00:00 AM,Red River,7406,224,0,888,31
25-083-22421-00-00,9/30/2014 12:00:00 AM,Red River,7406,210,0,875,30
25-083-22421-00-00,8/31/2014 12:00:00 AM,Red River,7406,217,0,927,30
25-083-22421-00-00,7/31/2014 12:00:00 AM,Red River,7406,225,0,941,31
25-083-22421-00-00,6/30/2014 12:00:00 AM,Red River,7406,227,0,934,30
25-083-22421-00-00,5/31/2014 12:00:00 AM,Red River,7406,235,0,964,31
25-083-22421-00-00,4/30/2014 12:00:00 AM,Red River,7406,217,0,916,30
25-083-22421-00-00,3/31/2014 12:00:00 AM,Red River,7406,235,0,965,31
25-083-22421-00-00,2/28/2014 12:00:00 AM,Red River,7406,214,0,814,28
25-083-22421-00-00,1/31/2014 12:00:00 AM,Red River,7406,252,281,874,29
25-083-22421-00-00,12/31/2013 12:00:00 AM,Red River,7406,246,370,844,31
25-083-22421-00-00,11/30/2013 12:00:00 AM,Red River,7406,217,234,880,22
25-083-22421-00-00,10/31/2013 12:00:00 AM,Red River,7406,237,227,852,30
25-083-22421-00-00,9/30/2013 12:00:00 AM,Red River,7406,249,0,876,30
25-083-22421-00-00,8/31/2013 12:00:00 AM,Red River,7406,246,216,883,31
25-083-22421-00-00,7/31/2013 12:00:00 AM,Red River,7406,260,216,923,31
25-083-22421-00-00,6/30/2013 12:00:00 AM,Red River,7406,256,220,852,30
25-083-22421-00-00,5/31/2013 12:00:00 AM,Red River,7406,277,0,925,31
25-083-22421-00-00,4/30/2013 12:00:00 AM,Red River,7406,267,0,895,30
25-083-22421-00-00,3/31/2013 12:00:00 AM,Red River,7406,291,0,962,31
25-083-22421-00-00,2/28/2013 12:00:00 AM,Red River,7406,278,220,938,28
25-083-22421-00-00,1/31/2013 12:00:00 AM,Red River,7406,374,259,1290,27
25-083-22421-00-00,12/31/2012 12:00:00 AM,Red River,7406,102,263,306,12
25-083-22421-00-00,11/30/2012 12:00:00 AM,Red River,7406,269,229,922,30
25-083-22421-00-00,10/31/2012 12:00:00 AM,Red River,7406,273,252,945,31
25-083-22421-00-00,9/30/2012 12:00:00 AM,Red River,7406,269,290,884,30
25-083-22421-00-00,8/31/2012 12:00:00 AM,Red River,7406,273,274,910,31
25-083-22421-00-00,7/31/2012 12:00:00 AM,Red River,7406,286,244,1015,31
25-083-22421-00-00,6/30/2012 12:00:00 AM,Red River,7406,321,223,945,30
25-083-22421-00-00,5/31/2012 12:00:00 AM,Red River,7406,387,248,1086,31
25-083-22421-00-00,4/30/2012 12:00:00 AM,Red River,7406,488,72,1284,22
25-083-22421-00-00,3/31/2012 12:00:00 AM,Red River,7406,0,19,0,0
25-083-22421-00-00,2/29/2012 12:00:00 AM,Red River,7406,0,17,0,0
25-083-22421-00-00,1/31/2012 12:00:00 AM,Red River,7406,186,241,591,25
25-083-22421-00-00,12/31/2011 12:00:00 AM,Red River,7406,267,231,940,31
25-083-22421-00-00,11/30/2011 12:00:00 AM,Red River,7406,227,0,890,29
25-083-22421-00-00,10/31/2011 12:00:00 AM,Red River,7406,288,217,888,31
25-083-22421-00-00,9/30/2011 12:00:00 AM,Red River,7406,273,227,800,30
25-083-22421-00-00,8/31/2011 12:00:00 AM,Red River,7406,273,217,821,31
25-083-22421-00-00,7/31/2011 12:00:00 AM,Red River,7406,283,219,904,29
25-083-22421-00-00,6/30/2011 12:00:00 AM,Red River,7406,268,0,916,30
25-083-22421-00-00,5/31/2011 12:00:00 AM,Red River,7406,289,0,873,30
25-083-22421-00-00,4/30/2011 12:00:00 AM,Red River,7406,276,0,867,30
25-083-22421-00-00,3/31/2011 12:00:00 AM,Red River,7406,298,0,862,31
25-083-22421-00-00,2/28/2011 12:00:00 AM,Red River,7406,267,0,747,28
25-083-22421-00-00,1/31/2011 12:00:00 AM,Red River,7406,292,245,890,31
25-083-22421-00-00,12/31/2010 12:00:00 AM,Red River,7406,328,228,876,30
25-083-22421-00-00,11/30/2010 12:00:00 AM,Red River,7406,283,0,806,28
25-083-22421-00-00,10/31/2010 12:00:00 AM,Red River,7406,318,231,892,30
25-083-22421-00-00,9/30/2010 12:00:00 AM,Red River,7406,303,265,876,30
25-083-22421-00-00,8/31/2010 12:00:00 AM,Red River,7406,320,267,952,31
25-083-22421-00-00,7/31/2010 12:00:00 AM,Red River,7406,323,278,898,31
25-083-22421-00-00,6/30/2010 12:00:00 AM,Red River,7406,313,250,907,30
25-083-22421-00-00,5/31/2010 12:00:00 AM,Red River,7406,337,24,934,31
25-083-22421-00-00,4/30/2010 12:00:00 AM,Red River,7406,340,247,953,30
25-083-22421-00-00,3/31/2010 12:00:00 AM,Red River,7406,457,284,1305,31
25-083-22421-00-00,2/28/2010 12:00:00 AM,Red River,7406,108,207,274,11
25-083-22421-00-00,1/31/2010 12:00:00 AM,Red River,7406,334,245,896,31
25-083-22421-00-00,12/31/2009 12:00:00 AM,Red River,7406,353,235,888,31
25-083-22421-00-00,11/30/2009 12:00:00 AM,Red River,7406,359,272,893,30
25-083-22421-00-00,10/31/2009 12:00:00 AM,Red River,7406,332,306,797,27
25-083-22421-00-00,9/30/2009 12:00:00 AM,Red River,7406,343,263,901,30
25-083-22421-00-00,8/31/2009 12:00:00 AM,Red River,7406,357,269,901,31
25-083-22421-00-00,7/31/2009 12:00:00 AM,Red River,7406,371,253,920,31
25-083-22421-00-00,6/30/2009 12:00:00 AM,Red River,7406,363,257,909,30
25-083-22421-00-00,5/31/2009 12:00:00 AM,Red River,7406,368,284,879,29
25-083-22421-00-00,4/30/2009 12:00:00 AM,Red River,7406,379,269,856,30
25-083-22421-00-00,3/31/2009 12:00:00 AM,Red River,7406,419,246,880,31
25-083-22421-00-00,2/28/2009 12:00:00 AM,Red River,7406,380,231,781,28
25-083-22421-00-00,1/31/2009 12:00:00 AM,Red River,7406,445,243,868,31
25-083-22421-00-00,12/31/2008 12:00:00 AM,Red River,7406,510,294,1009,28
25-083-22421-00-00,11/30/2008 12:00:00 AM,Red River,7406,322,214,605,22
25-083-22421-00-00,10/31/2008 12:00:00 AM,Red River,7406,465,412,861,31
25-083-22421-00-00,9/30/2008 12:00:00 AM,Red River,7406,451,262,837,30
25-083-22421-00-00,8/31/2008 12:00:00 AM,Red River,7406,483,761,839,31
25-083-22421-00-00,7/31/2008 12:00:00 AM,Red River,7406,513,744,860,31
