API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-087-21050-00-00,12/31/2001 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,11/30/2001 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,10/31/2001 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,9/30/2001 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,8/31/2001 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,7/31/2001 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,6/30/2001 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,5/31/2001 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,4/30/2001 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,3/31/2001 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,2/28/2001 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,1/31/2001 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,12/31/2000 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,11/30/2000 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,10/31/2000 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,9/30/2000 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,8/31/2000 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,7/31/2000 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,6/30/2000 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,5/31/2000 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,4/30/2000 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,3/31/2000 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,2/29/2000 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,1/31/2000 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,12/31/1999 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,11/30/1999 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,10/31/1999 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,9/30/1999 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,8/31/1999 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,7/31/1999 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,6/30/1999 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,5/31/1999 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,4/30/1999 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,3/31/1999 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,2/28/1999 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,1/31/1999 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,12/31/1998 12:00:00 AM,Tyler,1245,0,0,561,14
25-087-21050-00-00,11/30/1998 12:00:00 AM,Tyler,1245,8,0,2717,30
25-087-21050-00-00,10/31/1998 12:00:00 AM,Tyler,1245,110,0,3052,7
25-087-21050-00-00,9/30/1998 12:00:00 AM,Tyler,1245,21,0,5145,9
25-087-21050-00-00,8/31/1998 12:00:00 AM,Tyler,1245,84,0,1945,14
25-087-21050-00-00,7/31/1998 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,6/30/1998 12:00:00 AM,Tyler,1245,130,0,1896,19
25-087-21050-00-00,5/31/1998 12:00:00 AM,Tyler,1245,157,0,1414,13
25-087-21050-00-00,4/30/1998 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,3/31/1998 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,2/28/1998 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,1/31/1998 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,12/31/1997 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,9/30/1997 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,8/31/1997 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,7/31/1997 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,6/30/1997 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,5/31/1997 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,4/30/1997 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,3/31/1997 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,2/28/1997 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,1/31/1997 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,10/31/1996 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,9/30/1996 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,8/31/1996 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,7/31/1996 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,6/30/1996 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,5/31/1996 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,4/30/1996 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,3/31/1996 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,2/29/1996 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,1/31/1996 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,12/31/1995 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,11/30/1995 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,10/31/1995 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,9/30/1995 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,8/31/1995 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,7/31/1995 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,6/30/1995 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,5/31/1995 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,4/30/1995 12:00:00 AM,Tyler,151,70,0,6905,18
25-087-21050-00-00,3/31/1995 12:00:00 AM,Tyler,151,157,0,12675,31
25-087-21050-00-00,2/28/1995 12:00:00 AM,Tyler,151,112,0,10495,25
25-087-21050-00-00,1/31/1995 12:00:00 AM,Tyler,151,154,0,12870,31
25-087-21050-00-00,12/31/1994 12:00:00 AM,Tyler,151,161,0,12928,31
25-087-21050-00-00,11/30/1994 12:00:00 AM,Tyler,151,164,0,12357,30
25-087-21050-00-00,10/31/1994 12:00:00 AM,Tyler,151,175,0,9767,29
25-087-21050-00-00,9/30/1994 12:00:00 AM,Tyler,151,128,0,5625,25
25-087-21050-00-00,8/31/1994 12:00:00 AM,Tyler,151,186,0,6975,31
25-087-21050-00-00,7/31/1994 12:00:00 AM,Tyler,151,172,0,7750,31
25-087-21050-00-00,6/30/1994 12:00:00 AM,Tyler,151,120,0,7500,13
25-087-21050-00-00,5/31/1994 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,4/30/1994 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,3/31/1994 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,2/28/1994 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,1/31/1994 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,12/31/1993 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,11/30/1993 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,10/31/1993 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,9/30/1993 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,8/31/1993 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,7/31/1993 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,6/30/1993 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,5/31/1993 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,4/30/1993 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,3/31/1993 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,2/28/1993 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,1/31/1993 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,12/31/1992 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,11/30/1992 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,10/31/1992 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,9/30/1992 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,8/31/1992 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,7/31/1992 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,6/30/1992 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,5/31/1992 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,4/30/1992 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,3/31/1992 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,2/29/1992 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,1/31/1992 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,12/31/1991 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,11/30/1991 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,10/31/1991 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,9/30/1991 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,8/31/1991 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,7/31/1991 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,6/30/1991 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,5/31/1991 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,4/30/1991 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,3/31/1991 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,2/28/1991 12:00:00 AM,Tyler,1245,0,0,0,0
25-087-21050-00-00,1/31/1991 12:00:00 AM,Tyler,1245,0,0,0,0
