API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-005-21932-00-00,7/31/2025 12:00:00 AM,Eagle,156,0,261,0,31
25-005-21932-00-00,6/30/2025 12:00:00 AM,Eagle,156,0,268,0,30
25-005-21932-00-00,5/31/2025 12:00:00 AM,Eagle,156,0,368,0,31
25-005-21932-00-00,4/30/2025 12:00:00 AM,Eagle,156,0,364,0,30
25-005-21932-00-00,3/31/2025 12:00:00 AM,Eagle,156,0,288,0,31
25-005-21932-00-00,2/28/2025 12:00:00 AM,Eagle,156,0,241,0,28
25-005-21932-00-00,1/31/2025 12:00:00 AM,Eagle,156,0,287,0,31
25-005-21932-00-00,12/31/2024 12:00:00 AM,Eagle,156,0,286,0,31
25-005-21932-00-00,11/30/2024 12:00:00 AM,Eagle,156,0,270,0,30
25-005-21932-00-00,10/31/2024 12:00:00 AM,Eagle,156,0,256,0,31
25-005-21932-00-00,9/30/2024 12:00:00 AM,Eagle,156,0,286,0,30
25-005-21932-00-00,8/31/2024 12:00:00 AM,Eagle,156,0,299,0,31
25-005-21932-00-00,7/31/2024 12:00:00 AM,Eagle,156,0,251,0,31
25-005-21932-00-00,6/30/2024 12:00:00 AM,Eagle,156,0,234,0,30
25-005-21932-00-00,5/31/2024 12:00:00 AM,Eagle,156,0,271,0,31
25-005-21932-00-00,4/30/2024 12:00:00 AM,Eagle,156,0,271,0,30
25-005-21932-00-00,3/31/2024 12:00:00 AM,Eagle,156,0,263,0,31
25-005-21932-00-00,2/29/2024 12:00:00 AM,Eagle,156,0,249,0,29
25-005-21932-00-00,1/31/2024 12:00:00 AM,Eagle,156,0,252,0,31
25-005-21932-00-00,12/31/2023 12:00:00 AM,Eagle,156,0,235,0,31
25-005-21932-00-00,11/30/2023 12:00:00 AM,Eagle,156,0,256,0,30
25-005-21932-00-00,10/31/2023 12:00:00 AM,Eagle,156,0,298,0,31
25-005-21932-00-00,9/30/2023 12:00:00 AM,Eagle,156,0,295,0,30
25-005-21932-00-00,8/31/2023 12:00:00 AM,Eagle,156,0,283,0,25
25-005-21932-00-00,7/31/2023 12:00:00 AM,Eagle,156,0,370,0,31
25-005-21932-00-00,6/30/2023 12:00:00 AM,Eagle,156,0,359,0,30
