API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-21852-00-00,2/28/2017 12:00:00 AM,Mission Canyon,5206,0,0,0,0
25-083-21852-00-00,1/31/2017 12:00:00 AM,Mission Canyon,5206,0,0,0,0
25-083-21852-00-00,12/31/2016 12:00:00 AM,Mission Canyon,5206,0,0,0,0
25-083-21852-00-00,11/30/2016 12:00:00 AM,Mission Canyon,5206,0,0,0,0
25-083-21852-00-00,10/31/2016 12:00:00 AM,Mission Canyon,5206,0,0,0,0
25-083-21852-00-00,9/30/2016 12:00:00 AM,Mission Canyon,5206,0,0,2,1
25-083-21852-00-00,8/31/2016 12:00:00 AM,Mission Canyon,5206,0,0,0,0
25-083-21852-00-00,7/31/2016 12:00:00 AM,Mission Canyon,5206,0,0,0,0
25-083-21852-00-00,6/30/2016 12:00:00 AM,Mission Canyon,5206,0,0,0,0
25-083-21852-00-00,5/31/2016 12:00:00 AM,Mission Canyon,5206,0,0,0,0
25-083-21852-00-00,4/30/2016 12:00:00 AM,Mission Canyon,5206,0,0,0,0
25-083-21852-00-00,3/31/2016 12:00:00 AM,Mission Canyon,5206,0,0,0,0
25-083-21852-00-00,2/29/2016 12:00:00 AM,Mission Canyon,5206,0,0,0,0
25-083-21852-00-00,1/31/2016 12:00:00 AM,Mission Canyon,5206,0,0,0,0
25-083-21852-00-00,12/31/2015 12:00:00 AM,Mission Canyon,5206,0,0,0,3
25-083-21852-00-00,11/30/2015 12:00:00 AM,Mission Canyon,5206,0,32,0,2
25-083-21852-00-00,10/31/2015 12:00:00 AM,Mission Canyon,5206,0,0,0,1
25-083-21852-00-00,9/30/2015 12:00:00 AM,Mission Canyon,5206,0,1,0,1
25-083-21852-00-00,8/31/2015 12:00:00 AM,Mission Canyon,5206,78,192,522,12
25-083-21852-00-00,7/31/2015 12:00:00 AM,Mission Canyon,5206,363,466,1623,31
25-083-21852-00-00,6/30/2015 12:00:00 AM,Mission Canyon,5206,397,480,1753,30
25-083-21852-00-00,5/31/2015 12:00:00 AM,Mission Canyon,5206,427,476,1970,31
25-083-21852-00-00,4/30/2015 12:00:00 AM,Mission Canyon,5206,464,450,2093,29
25-083-21852-00-00,3/31/2015 12:00:00 AM,Mission Canyon,5206,306,319,1707,20
25-083-21852-00-00,2/28/2015 12:00:00 AM,Mission Canyon,5206,222,337,1015,22
25-083-21852-00-00,1/31/2015 12:00:00 AM,Mission Canyon,5206,336,490,1585,31
25-083-21852-00-00,12/31/2014 12:00:00 AM,Mission Canyon,5206,385,495,1560,31
25-083-21852-00-00,11/30/2014 12:00:00 AM,Mission Canyon,5206,262,408,1243,28
25-083-21852-00-00,10/31/2014 12:00:00 AM,Mission Canyon,5206,425,496,1658,31
25-083-21852-00-00,9/30/2014 12:00:00 AM,Mission Canyon,5206,271,475,1290,30
25-083-21852-00-00,8/31/2014 12:00:00 AM,Mission Canyon,5206,302,480,1462,31
25-083-21852-00-00,7/31/2014 12:00:00 AM,Mission Canyon,5206,323,496,1448,31
