API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-035-21743-00-00,7/31/2025 12:00:00 AM,Bow Island,120311,0,128,0,31
25-035-21743-00-00,6/30/2025 12:00:00 AM,Bow Island,120311,0,121,0,30
25-035-21743-00-00,5/31/2025 12:00:00 AM,Bow Island,120311,0,126,0,31
25-035-21743-00-00,4/30/2025 12:00:00 AM,Bow Island,120311,0,120,0,30
25-035-21743-00-00,3/31/2025 12:00:00 AM,Bow Island,120311,0,125,0,31
25-035-21743-00-00,2/28/2025 12:00:00 AM,Bow Island,120311,0,78,0,28
25-035-21743-00-00,1/31/2025 12:00:00 AM,Bow Island,120311,0,96,0,31
25-035-21743-00-00,12/31/2024 12:00:00 AM,Bow Island,120311,0,94,0,31
25-035-21743-00-00,11/30/2024 12:00:00 AM,Bow Island,120311,0,116,0,30
25-035-21743-00-00,10/31/2024 12:00:00 AM,Bow Island,120311,0,127,0,31
25-035-21743-00-00,9/30/2024 12:00:00 AM,Bow Island,120311,0,116,0,30
25-035-21743-00-00,8/31/2024 12:00:00 AM,Bow Island,120311,0,63,0,31
25-035-21743-00-00,7/31/2024 12:00:00 AM,Bow Island,120311,0,91,0,31
25-035-21743-00-00,6/30/2024 12:00:00 AM,Bow Island,120311,0,60,0,30
25-035-21743-00-00,5/31/2024 12:00:00 AM,Bow Island,120311,0,81,0,31
25-035-21743-00-00,4/30/2024 12:00:00 AM,Bow Island,120311,0,69,0,30
25-035-21743-00-00,3/31/2024 12:00:00 AM,Bow Island,120311,0,65,0,31
25-035-21743-00-00,2/29/2024 12:00:00 AM,Bow Island,120311,0,68,0,29
25-035-21743-00-00,1/31/2024 12:00:00 AM,Bow Island,120311,0,61,0,31
25-035-21743-00-00,12/31/2023 12:00:00 AM,Bow Island,120311,0,71,0,31
25-035-21743-00-00,11/30/2023 12:00:00 AM,Bow Island,120311,0,76,0,30
25-035-21743-00-00,10/31/2023 12:00:00 AM,Bow Island,120311,0,87,0,31
25-035-21743-00-00,9/30/2023 12:00:00 AM,Bow Island,120311,0,77,0,30
25-035-21743-00-00,8/31/2023 12:00:00 AM,Bow Island,120311,0,90,0,31
25-035-21743-00-00,7/31/2023 12:00:00 AM,Bow Island,120311,0,88,0,31
25-035-21743-00-00,6/30/2023 12:00:00 AM,Bow Island,120311,0,65,0,30
25-035-21743-00-00,5/31/2023 12:00:00 AM,Bow Island,120311,0,80,0,31
25-035-21743-00-00,4/30/2023 12:00:00 AM,Bow Island,120311,0,72,0,30
25-035-21743-00-00,3/31/2023 12:00:00 AM,Bow Island,120311,0,75,0,31
25-035-21743-00-00,2/28/2023 12:00:00 AM,Bow Island,120311,0,68,0,28
25-035-21743-00-00,1/31/2023 12:00:00 AM,Bow Island,120311,0,78,0,31
25-035-21743-00-00,12/31/2022 12:00:00 AM,Bow Island,120311,0,88,0,31
25-035-21743-00-00,11/30/2022 12:00:00 AM,Bow Island,120311,0,88,0,30
25-035-21743-00-00,10/31/2022 12:00:00 AM,Bow Island,120311,0,91,0,31
25-035-21743-00-00,9/30/2022 12:00:00 AM,Bow Island,120311,0,91,0,30
25-035-21743-00-00,8/31/2022 12:00:00 AM,Bow Island,120311,0,89,0,31
25-035-21743-00-00,7/31/2022 12:00:00 AM,Bow Island,120311,0,99,0,31
25-035-21743-00-00,6/30/2022 12:00:00 AM,Bow Island,120311,0,74,0,30
25-035-21743-00-00,5/31/2022 12:00:00 AM,Bow Island,120311,0,86,0,31
25-035-21743-00-00,4/30/2022 12:00:00 AM,Bow Island,120311,0,0,0,0
25-035-21743-00-00,3/31/2022 12:00:00 AM,Bow Island,120311,0,92,0,31
25-035-21743-00-00,2/28/2022 12:00:00 AM,Bow Island,120311,0,77,0,28
25-035-21743-00-00,1/31/2022 12:00:00 AM,Bow Island,120311,0,94,0,31
25-035-21743-00-00,12/31/2021 12:00:00 AM,Bow Island,120311,0,87,0,31
25-035-21743-00-00,11/30/2021 12:00:00 AM,Bow Island,120311,0,59,0,30
25-035-21743-00-00,10/31/2021 12:00:00 AM,Bow Island,120311,0,90,0,31
25-035-21743-00-00,9/30/2021 12:00:00 AM,Bow Island,120311,0,85,0,30
25-035-21743-00-00,8/31/2021 12:00:00 AM,Bow Island,120311,0,87,0,31
25-035-21743-00-00,7/31/2021 12:00:00 AM,Bow Island,120311,0,93,0,31
25-035-21743-00-00,6/30/2021 12:00:00 AM,Bow Island,120311,0,1,0,30
25-035-21743-00-00,5/31/2021 12:00:00 AM,Bow Island,120311,0,91,0,31
25-035-21743-00-00,4/30/2021 12:00:00 AM,Bow Island,120311,0,35,0,30
25-035-21743-00-00,3/31/2021 12:00:00 AM,Bow Island,120311,0,0,0,0
